data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
RacketSports,ModernTCN,30,128,3,13,5,4,1,1,0.8026315789473685,1185732,4.58
RacketSports,ModernTCN,30,128,3,13,5,4,2,1,0.7894736842105263,1185764,4.58
RacketSports,ModernTCN,30,128,3,13,5,4,3,2,0.8092105263157895,1173508,4.54
RacketSports,ModernTCN,30,128,3,13,5,4,5,3,0.7894736842105263,1170500,4.52
RacketSports,ModernTCN,30,128,3,13,5,4,6,3,0.8026315789473685,1170532,4.52
RacketSports,ModernTCN,30,128,3,13,5,4,8,4,0.8223684210526315,1167524,4.51
RacketSports,ModernTCN,30,128,3,9,5,4,1,1,0.7960526315789473,1180356,4.56
RacketSports,ModernTCN,30,128,3,9,5,4,2,1,0.8223684210526315,1180388,4.56
RacketSports,ModernTCN,30,128,3,9,5,4,3,2,0.8092105263157895,1168132,4.51
RacketSports,ModernTCN,30,128,3,9,5,4,5,3,0.7894736842105263,1165124,4.5
RacketSports,ModernTCN,30,128,3,9,5,4,6,3,0.8092105263157895,1165156,4.5
RacketSports,ModernTCN,30,128,3,9,5,4,8,4,0.8092105263157895,1162148,4.49
RacketSports,ModernTCN,30,256,2,13,5,4,1,1,0.8092105263157895,4275972,16.38
RacketSports,ModernTCN,30,256,2,13,5,4,2,1,0.7894736842105263,4276100,16.38
RacketSports,ModernTCN,30,256,2,13,5,4,3,2,0.8026315789473685,4233220,16.21
RacketSports,ModernTCN,30,256,2,13,5,4,5,3,0.8026315789473685,4215044,16.14
RacketSports,ModernTCN,30,256,2,13,5,4,6,3,0.7894736842105263,4215172,16.14
RacketSports,ModernTCN,30,256,2,13,5,4,8,4,0.8092105263157895,4209284,16.12
RacketSports,ModernTCN,30,128,2,13,5,4,1,1,0.8157894736842105,1138564,4.39
RacketSports,ModernTCN,30,128,2,13,5,4,2,1,0.8092105263157895,1138628,4.39
RacketSports,ModernTCN,30,128,2,13,5,4,3,2,0.7828947368421053,1117188,4.31
RacketSports,ModernTCN,30,128,2,13,5,4,5,3,0.8157894736842105,1108100,4.27
RacketSports,ModernTCN,30,128,2,13,5,4,6,3,0.7894736842105263,1108164,4.27
RacketSports,ModernTCN,30,128,2,13,5,4,8,4,0.8026315789473685,1105220,4.26
RacketSports,ModernTCN,30,64,2,13,5,4,1,1,0.7960526315789473,319428,1.25
RacketSports,ModernTCN,30,64,2,13,5,4,2,1,0.8026315789473685,319460,1.25
RacketSports,ModernTCN,30,64,2,13,5,4,3,2,0.7960526315789473,308740,1.21
RacketSports,ModernTCN,30,64,2,13,5,4,5,3,0.8092105263157895,304196,1.19
RacketSports,ModernTCN,30,64,2,13,5,4,6,3,0.8157894736842105,304228,1.19
RacketSports,ModernTCN,30,64,2,13,5,4,8,4,0.8421052631578947,302756,1.19
RacketSports,ModernTCN,30,256,2,9,5,4,1,1,0.8157894736842105,4266756,16.34
RacketSports,ModernTCN,30,256,2,9,5,4,2,1,0.8092105263157895,4266884,16.34
RacketSports,ModernTCN,30,256,2,9,5,4,3,2,0.7960526315789473,4224004,16.18
