data_name,model,seq_len,d_model,n_layers,large_kernel_size,small_kernel_size,ffn_ratio,patch_size,patch_stride,acc,model_params,model_size (MB)
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,4,23,12,0.9078498293515358,1191042,4.6
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,4,45,23,0.9112627986348123,1177922,4.55
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,4,68,34,0.9146757679180887,1174050,4.54
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,4,90,45,0.9215017064846417,1171682,4.53
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,4,135,68,0.9112627986348123,1171586,4.53
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,4,180,90,0.9180887372013652,1171490,4.53
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,4,224,112,0.9249146757679181,1171362,4.53
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,4,23,12,0.9010238907849829,1185666,4.58
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,4,45,23,0.9078498293515358,1172546,4.53
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,4,68,34,0.9078498293515358,1168674,4.52
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,4,90,45,0.9078498293515358,1166306,4.51
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,4,135,68,0.9180887372013652,1166210,4.51
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,4,180,90,0.9215017064846417,1166114,4.51
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,4,224,112,0.9283276450511946,1165986,4.51
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,4,23,12,0.9010238907849829,4300290,16.47
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,4,45,23,0.9146757679180887,4247810,16.27
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,4,68,34,0.9044368600682594,4232322,16.21
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,4,90,45,0.9078498293515358,4225922,16.19
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,4,135,68,0.9044368600682594,4222466,16.17
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,4,180,90,0.9180887372013652,4222082,16.17
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,4,224,112,0.9180887372013652,4224642,16.18
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,4,23,12,0.9112627986348123,1150722,4.43
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,4,45,23,0.8976109215017065,1124482,4.33
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,4,68,34,0.9078498293515358,1116738,4.3
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,4,90,45,0.9112627986348123,1113538,4.29
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,4,135,68,0.9180887372013652,1111810,4.29
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,4,180,90,0.9146757679180887,1111618,4.28
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,4,224,112,0.9283276450511946,1112898,4.29
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,4,23,12,0.9044368600682594,325506,1.28
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,4,45,23,0.9180887372013652,312386,1.23
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,4,68,34,0.9146757679180887,308514,1.21
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,4,90,45,0.9180887372013652,306914,1.21
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,4,135,68,0.9078498293515358,306050,1.2
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,4,180,90,0.9180887372013652,305954,1.2
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,4,224,112,0.9249146757679181,306594,1.2
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,4,23,12,0.9078498293515358,4291074,16.43
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,4,45,23,0.9146757679180887,4238594,16.23
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,4,68,34,0.9078498293515358,4223106,16.17
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,4,90,45,0.9044368600682594,4216706,16.15
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,4,135,68,0.9010238907849829,4213250,16.14
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,4,180,90,0.9044368600682594,4212866,16.14
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,4,224,112,0.9146757679180887,4215426,16.14
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,4,23,12,0.9078498293515358,1146114,4.42
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,4,45,23,0.9112627986348123,1119874,4.32
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,4,68,34,0.9044368600682594,1112130,4.29
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,4,90,45,0.9180887372013652,1108930,4.27
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,4,135,68,0.9215017064846417,1107202,4.27
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,4,180,90,0.9249146757679181,1107010,4.27
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,4,224,112,0.9249146757679181,1108290,4.27
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,4,23,12,0.9180887372013652,323202,1.27
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,4,45,23,0.9044368600682594,310082,1.22
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,4,68,34,0.9112627986348123,306210,1.2
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,4,90,45,0.9146757679180887,304610,1.2
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,4,135,68,0.9146757679180887,303746,1.19
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,4,180,90,0.9146757679180887,303650,1.19
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,4,224,112,0.9180887372013652,304290,1.2
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,4,23,12,0.8907849829351536,3503106,13.4
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,4,45,23,0.9112627986348123,3398146,13.0
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,4,68,34,0.9112627986348123,3367170,12.89
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,4,90,45,0.9044368600682594,3351298,12.82
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,4,135,68,0.9180887372013652,3344386,12.8
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,4,180,90,0.9146757679180887,3343618,12.8
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,4,224,112,0.9112627986348123,3351810,12.83
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,4,23,12,0.9044368600682594,965122,3.71
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,4,45,23,0.9112627986348123,912642,3.51
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,4,68,34,0.9112627986348123,897154,3.45
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,4,90,45,0.9146757679180887,889218,3.42
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,4,135,68,0.9215017064846417,885762,3.41
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,4,180,90,0.9180887372013652,885378,3.4
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,4,224,112,0.9078498293515358,889474,3.42
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,4,23,12,0.8976109215017065,285954,1.11
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,4,45,23,0.9010238907849829,259714,1.01
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,4,68,34,0.9078498293515358,251970,0.98
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,4,90,45,0.9078498293515358,248002,0.97
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,4,135,68,0.9146757679180887,246274,0.96
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,4,180,90,0.9112627986348123,246082,0.96
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,4,224,112,0.9078498293515358,248130,0.97
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,4,23,12,0.9078498293515358,93826,0.37
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,4,45,23,0.9146757679180887,80706,0.32
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,4,68,34,0.9044368600682594,76834,0.31
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,4,90,45,0.9078498293515358,74850,0.3
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,4,135,68,0.9215017064846417,73986,0.3
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,4,180,90,0.9146757679180887,73890,0.3
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,4,224,112,0.9215017064846417,74914,0.3
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,2,23,12,0.8976109215017065,637314,2.49
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,2,45,23,0.9146757679180887,624194,2.44
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,2,68,34,0.9180887372013652,620322,2.43
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,2,90,45,0.9249146757679181,617954,2.42
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,2,135,68,0.9112627986348123,617858,2.42
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,2,180,90,0.9215017064846417,617762,2.42
SelfRegulationSCP1,ModernTCN,896,128,3,13,5,2,224,112,0.9249146757679181,617634,2.42
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,2,23,12,0.9010238907849829,631938,2.47
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,2,45,23,0.9044368600682594,618818,2.42
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,2,68,34,0.9146757679180887,614946,2.4
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,2,90,45,0.9146757679180887,612578,2.4
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,2,135,68,0.9146757679180887,612482,2.4
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,2,180,90,0.9215017064846417,612386,2.39
SelfRegulationSCP1,ModernTCN,896,128,3,9,5,2,224,112,0.9283276450511946,612258,2.39
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,2,23,12,0.8873720136518771,2269698,8.72
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,2,45,23,0.9112627986348123,2217218,8.52
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,2,68,34,0.9112627986348123,2201730,8.46
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,2,90,45,0.9044368600682594,2195330,8.44
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,2,135,68,0.9112627986348123,2191874,8.43
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,2,180,90,0.9146757679180887,2191490,8.42
SelfRegulationSCP1,ModernTCN,896,256,2,13,5,2,224,112,0.9146757679180887,2194050,8.43
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,2,23,12,0.9044368600682594,626946,2.44
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,2,45,23,0.9146757679180887,600706,2.34
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,2,68,34,0.9044368600682594,592962,2.31
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,2,90,45,0.9146757679180887,589762,2.29
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,2,135,68,0.9078498293515358,588034,2.29
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,2,180,90,0.9215017064846417,587842,2.29
SelfRegulationSCP1,ModernTCN,896,128,2,13,5,2,224,112,0.9249146757679181,589122,2.29
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,2,23,12,0.9044368600682594,186498,0.75
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,2,45,23,0.9044368600682594,173378,0.7
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,2,68,34,0.9112627986348123,169506,0.68
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,2,90,45,0.9215017064846417,167906,0.67
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,2,135,68,0.9112627986348123,167042,0.67
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,2,180,90,0.931740614334471,166946,0.67
SelfRegulationSCP1,ModernTCN,896,64,2,13,5,2,224,112,0.9249146757679181,167586,0.67
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,2,23,12,0.89419795221843,2260482,8.69
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,2,45,23,0.9044368600682594,2208002,8.49
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,2,68,34,0.9112627986348123,2192514,8.43
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,2,90,45,0.9112627986348123,2186114,8.4
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,2,135,68,0.9146757679180887,2182658,8.39
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,2,180,90,0.9146757679180887,2182274,8.39
SelfRegulationSCP1,ModernTCN,896,256,2,9,5,2,224,112,0.9180887372013652,2184834,8.4
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,2,23,12,0.9010238907849829,622338,2.42
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,2,45,23,0.9112627986348123,596098,2.32
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,2,68,34,0.9078498293515358,588354,2.29
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,2,90,45,0.9112627986348123,585154,2.28
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,2,135,68,0.9078498293515358,583426,2.27
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,2,180,90,0.9146757679180887,583234,2.27
SelfRegulationSCP1,ModernTCN,896,128,2,9,5,2,224,112,0.9249146757679181,584514,2.27
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,2,23,12,0.9146757679180887,184194,0.74
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,2,45,23,0.9078498293515358,171074,0.69
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,2,68,34,0.9112627986348123,167202,0.67
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,2,90,45,0.9146757679180887,165602,0.67
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,2,135,68,0.9180887372013652,164738,0.66
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,2,180,90,0.9215017064846417,164642,0.66
SelfRegulationSCP1,ModernTCN,896,64,2,9,5,2,224,112,0.931740614334471,165282,0.66
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,2,23,12,0.8805460750853242,1887234,7.24
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,2,45,23,0.9112627986348123,1782274,6.84
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,2,68,34,0.8737201365187713,1751298,6.72
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,2,90,45,0.9112627986348123,1735426,6.66
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,2,135,68,0.9112627986348123,1728514,6.63
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,2,180,90,0.9112627986348123,1727746,6.63
SelfRegulationSCP1,ModernTCN,896,256,1,13,5,2,224,112,0.9180887372013652,1735938,6.66
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,2,23,12,0.9146757679180887,550402,2.13
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,2,45,23,0.9044368600682594,497922,1.93
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,2,68,34,0.9146757679180887,482434,1.87
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,2,90,45,0.9078498293515358,474498,1.84
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,2,135,68,0.9112627986348123,471042,1.82
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,2,180,90,0.9044368600682594,470658,1.82
SelfRegulationSCP1,ModernTCN,896,128,1,13,5,2,224,112,0.9146757679180887,474754,1.84
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,2,23,12,0.9215017064846417,176898,0.69
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,2,45,23,0.9215017064846417,150658,0.59
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,2,68,34,0.9112627986348123,142914,0.57
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,2,90,45,0.9044368600682594,138946,0.55
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,2,135,68,0.9010238907849829,137218,0.54
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,2,180,90,0.9146757679180887,137026,0.54
SelfRegulationSCP1,ModernTCN,896,64,1,13,5,2,224,112,0.931740614334471,139074,0.55
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,2,23,12,0.9010238907849829,63874,0.26
SelfRegulationSCP1,ModernTCN,896,32,1,13,5,2,45,23,0.9180887372013652,50754,0.21
