data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
ArticularyWordRecognition,PatchTST,144,3,128,16,256,4,2,0.9533333333333334,2471833,11.89
ArticularyWordRecognition,PatchTST,144,3,128,16,256,8,4,0.9766666666666667,1435545,7.94
ArticularyWordRecognition,PatchTST,144,3,128,16,256,11,6,0.98,1090329,6.62
ArticularyWordRecognition,PatchTST,144,3,128,16,256,15,8,0.9766666666666667,918041,5.97
ArticularyWordRecognition,PatchTST,144,3,128,16,256,22,11,0.9833333333333333,774937,5.42
ArticularyWordRecognition,PatchTST,144,3,128,16,256,29,15,0.98,660633,4.98
ArticularyWordRecognition,PatchTST,144,3,128,16,256,36,18,0.9866666666666667,632729,4.88
ArticularyWordRecognition,PatchTST,144,3,128,16,128,4,2,0.9533333333333334,2373145,11.52
ArticularyWordRecognition,PatchTST,144,3,128,16,128,8,4,0.9666666666666667,1336857,7.56
ArticularyWordRecognition,PatchTST,144,3,128,16,128,11,6,0.9766666666666667,991641,6.25
ArticularyWordRecognition,PatchTST,144,3,128,16,128,15,8,0.9766666666666667,819353,5.59
ArticularyWordRecognition,PatchTST,144,3,128,16,128,22,11,0.98,676249,5.04
ArticularyWordRecognition,PatchTST,144,3,128,16,128,29,15,0.9866666666666667,561945,4.61
ArticularyWordRecognition,PatchTST,144,3,128,16,128,36,18,0.9833333333333333,534041,4.5
ArticularyWordRecognition,PatchTST,144,3,128,16,64,4,2,0.9433333333333334,2323801,11.33
ArticularyWordRecognition,PatchTST,144,3,128,16,64,8,4,0.98,1287513,7.37
ArticularyWordRecognition,PatchTST,144,3,128,16,64,11,6,0.9833333333333333,942297,6.06
ArticularyWordRecognition,PatchTST,144,3,128,16,64,15,8,0.98,770009,5.4
ArticularyWordRecognition,PatchTST,144,3,128,16,64,22,11,0.9833333333333333,626905,4.85
ArticularyWordRecognition,PatchTST,144,3,128,16,64,29,15,0.9833333333333333,512601,4.42
ArticularyWordRecognition,PatchTST,144,3,128,16,64,36,18,0.98,484697,4.31
ArticularyWordRecognition,PatchTST,144,3,64,16,256,4,2,0.9666666666666667,1187161,5.77
ArticularyWordRecognition,PatchTST,144,3,64,16,256,8,4,0.9833333333333333,669017,3.79
ArticularyWordRecognition,PatchTST,144,3,64,16,256,11,6,0.98,496409,3.14
ArticularyWordRecognition,PatchTST,144,3,64,16,256,15,8,0.98,410265,2.81
ArticularyWordRecognition,PatchTST,144,3,64,16,256,22,11,0.9833333333333333,338713,2.53
ArticularyWordRecognition,PatchTST,144,3,64,16,256,29,15,0.98,281561,2.32
ArticularyWordRecognition,PatchTST,144,3,64,16,256,36,18,0.9866666666666667,267609,2.26
ArticularyWordRecognition,PatchTST,144,3,64,16,128,4,2,0.9733333333333334,1137625,5.58
ArticularyWordRecognition,PatchTST,144,3,64,16,128,8,4,0.98,619481,3.61
ArticularyWordRecognition,PatchTST,144,3,64,16,128,11,6,0.98,446873,2.95
ArticularyWordRecognition,PatchTST,144,3,64,16,128,15,8,0.9766666666666667,360729,2.62
ArticularyWordRecognition,PatchTST,144,3,64,16,128,22,11,0.98,289177,2.35
ArticularyWordRecognition,PatchTST,144,3,64,16,128,29,15,0.9833333333333333,232025,2.13
ArticularyWordRecognition,PatchTST,144,3,64,16,128,36,18,0.9833333333333333,218073,2.07
ArticularyWordRecognition,PatchTST,144,3,64,16,64,4,2,0.9666666666666667,1112857,5.49
ArticularyWordRecognition,PatchTST,144,3,64,16,64,8,4,0.98,594713,3.51
ArticularyWordRecognition,PatchTST,144,3,64,16,64,11,6,0.9766666666666667,422105,2.85
ArticularyWordRecognition,PatchTST,144,3,64,16,64,15,8,0.9833333333333333,335961,2.52
ArticularyWordRecognition,PatchTST,144,3,64,16,64,22,11,0.9866666666666667,264409,2.25
ArticularyWordRecognition,PatchTST,144,3,64,16,64,29,15,0.98,207257,2.03
ArticularyWordRecognition,PatchTST,144,3,64,16,64,36,18,0.9766666666666667,193305,1.98
ArticularyWordRecognition,PatchTST,144,3,32,4,256,4,2,0.98,581689,2.85
ArticularyWordRecognition,PatchTST,144,3,32,4,256,8,4,0.9833333333333333,322617,1.86
ArticularyWordRecognition,PatchTST,144,3,32,4,256,11,6,0.9766666666666667,236313,1.53
ArticularyWordRecognition,PatchTST,144,3,32,4,256,15,8,0.98,193241,1.37
ArticularyWordRecognition,PatchTST,144,3,32,4,256,22,11,0.9833333333333333,157465,1.23
ArticularyWordRecognition,PatchTST,144,3,32,4,256,29,15,0.9833333333333333,128889,1.12
ArticularyWordRecognition,PatchTST,144,3,32,4,256,36,18,0.9833333333333333,121913,1.1
ArticularyWordRecognition,PatchTST,144,3,32,4,128,4,2,0.9833333333333333,556729,2.76
ArticularyWordRecognition,PatchTST,144,3,32,4,128,8,4,0.9833333333333333,297657,1.77
ArticularyWordRecognition,PatchTST,144,3,32,4,128,11,6,0.98,211353,1.44
ArticularyWordRecognition,PatchTST,144,3,32,4,128,15,8,0.9766666666666667,168281,1.27
ArticularyWordRecognition,PatchTST,144,3,32,4,128,22,11,0.9833333333333333,132505,1.14
ArticularyWordRecognition,PatchTST,144,3,32,4,128,29,15,0.98,103929,1.03
ArticularyWordRecognition,PatchTST,144,3,32,4,128,36,18,0.9866666666666667,96953,1.0
ArticularyWordRecognition,PatchTST,144,3,32,4,64,4,2,0.98,544249,2.71
ArticularyWordRecognition,PatchTST,144,3,32,4,64,8,4,0.9766666666666667,285177,1.72
ArticularyWordRecognition,PatchTST,144,3,32,4,64,11,6,0.98,198873,1.39
ArticularyWordRecognition,PatchTST,144,3,32,4,64,15,8,0.9766666666666667,155801,1.23
ArticularyWordRecognition,PatchTST,144,3,32,4,64,22,11,0.98,120025,1.09
ArticularyWordRecognition,PatchTST,144,3,32,4,64,29,15,0.98,91449,0.98
ArticularyWordRecognition,PatchTST,144,3,32,4,64,36,18,0.9866666666666667,84473,0.95
ArticularyWordRecognition,PatchTST,144,3,16,4,256,4,2,0.9833333333333333,288169,1.43
ArticularyWordRecognition,PatchTST,144,3,16,4,256,8,4,0.9766666666666667,158633,0.93
ArticularyWordRecognition,PatchTST,144,3,16,4,256,11,6,0.9766666666666667,115481,0.77
ArticularyWordRecognition,PatchTST,144,3,16,4,256,15,8,0.98,93945,0.68
ArticularyWordRecognition,PatchTST,144,3,16,4,256,22,11,0.9833333333333333,76057,0.62
ArticularyWordRecognition,PatchTST,144,3,16,4,256,29,15,0.9833333333333333,61769,0.56
ArticularyWordRecognition,PatchTST,144,3,16,4,256,36,18,0.9866666666666667,58281,0.55
ArticularyWordRecognition,PatchTST,144,3,16,4,128,4,2,0.98,275497,1.38
ArticularyWordRecognition,PatchTST,144,3,16,4,128,8,4,0.9766666666666667,145961,0.88
ArticularyWordRecognition,PatchTST,144,3,16,4,128,11,6,0.98,102809,0.72
ArticularyWordRecognition,PatchTST,144,3,16,4,128,15,8,0.9766666666666667,81273,0.64
ArticularyWordRecognition,PatchTST,144,3,16,4,128,22,11,0.98,63385,0.57
ArticularyWordRecognition,PatchTST,144,3,16,4,128,29,15,0.9866666666666667,49097,0.51
ArticularyWordRecognition,PatchTST,144,3,16,4,128,36,18,0.9833333333333333,45609,0.5
ArticularyWordRecognition,PatchTST,144,3,16,4,64,4,2,0.9833333333333333,269161,1.35
ArticularyWordRecognition,PatchTST,144,3,16,4,64,8,4,0.98,139625,0.86
