data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
AtrialFibrillation,PatchTST,640,3,128,16,256,16,8,0.4,461187,4.22
AtrialFibrillation,PatchTST,640,3,128,16,256,32,16,0.4666666666666667,432515,4.11
AtrialFibrillation,PatchTST,640,3,128,16,256,48,24,0.2,423811,4.08
AtrialFibrillation,PatchTST,640,3,128,16,256,64,32,0.4,421251,4.07
AtrialFibrillation,PatchTST,640,3,128,16,256,96,48,0.6,419971,4.07
AtrialFibrillation,PatchTST,640,3,128,16,256,128,64,0.4,421763,4.07
AtrialFibrillation,PatchTST,640,3,128,16,256,160,80,0.3333333333333333,424323,4.08
AtrialFibrillation,PatchTST,640,3,128,16,128,16,8,0.5333333333333333,362499,3.85
AtrialFibrillation,PatchTST,640,3,128,16,128,32,16,0.4666666666666667,333827,3.74
AtrialFibrillation,PatchTST,640,3,128,16,128,48,24,0.3333333333333333,325123,3.7
AtrialFibrillation,PatchTST,640,3,128,16,128,64,32,0.4666666666666667,322563,3.69
AtrialFibrillation,PatchTST,640,3,128,16,128,96,48,0.3333333333333333,321283,3.69
AtrialFibrillation,PatchTST,640,3,128,16,128,128,64,0.3333333333333333,323075,3.7
AtrialFibrillation,PatchTST,640,3,128,16,128,160,80,0.4666666666666667,325635,3.71
AtrialFibrillation,PatchTST,640,3,128,16,64,16,8,0.4666666666666667,313155,3.66
AtrialFibrillation,PatchTST,640,3,128,16,64,32,16,0.4666666666666667,284483,3.55
AtrialFibrillation,PatchTST,640,3,128,16,64,48,24,0.3333333333333333,275779,3.52
AtrialFibrillation,PatchTST,640,3,128,16,64,64,32,0.26666666666666666,273219,3.51
AtrialFibrillation,PatchTST,640,3,128,16,64,96,48,0.4,271939,3.5
AtrialFibrillation,PatchTST,640,3,128,16,64,128,64,0.6,273731,3.51
AtrialFibrillation,PatchTST,640,3,128,16,64,160,80,0.26666666666666666,276291,3.52
AtrialFibrillation,PatchTST,640,3,64,16,256,16,8,0.3333333333333333,181827,1.94
AtrialFibrillation,PatchTST,640,3,64,16,256,32,16,0.4666666666666667,167491,1.88
AtrialFibrillation,PatchTST,640,3,64,16,256,48,24,0.4,163139,1.86
AtrialFibrillation,PatchTST,640,3,64,16,256,64,32,0.4,161859,1.86
AtrialFibrillation,PatchTST,640,3,64,16,256,96,48,0.3333333333333333,161219,1.86
AtrialFibrillation,PatchTST,640,3,64,16,256,128,64,0.5333333333333333,162115,1.86
AtrialFibrillation,PatchTST,640,3,64,16,256,160,80,0.5333333333333333,163395,1.87
AtrialFibrillation,PatchTST,640,3,64,16,128,16,8,0.4,132291,1.75
AtrialFibrillation,PatchTST,640,3,64,16,128,32,16,0.3333333333333333,117955,1.69
AtrialFibrillation,PatchTST,640,3,64,16,128,48,24,0.3333333333333333,113603,1.68
AtrialFibrillation,PatchTST,640,3,64,16,128,64,32,0.4666666666666667,112323,1.67
AtrialFibrillation,PatchTST,640,3,64,16,128,96,48,0.5333333333333333,111683,1.67
AtrialFibrillation,PatchTST,640,3,64,16,128,128,64,0.4,112579,1.67
AtrialFibrillation,PatchTST,640,3,64,16,128,160,80,0.4,113859,1.68
AtrialFibrillation,PatchTST,640,3,64,16,64,16,8,0.3333333333333333,107523,1.65
AtrialFibrillation,PatchTST,640,3,64,16,64,32,16,0.4666666666666667,93187,1.6
AtrialFibrillation,PatchTST,640,3,64,16,64,48,24,0.4,88835,1.58
AtrialFibrillation,PatchTST,640,3,64,16,64,64,32,0.6666666666666666,87555,1.58
AtrialFibrillation,PatchTST,640,3,64,16,64,96,48,0.5333333333333333,86915,1.57
AtrialFibrillation,PatchTST,640,3,64,16,64,128,64,0.5333333333333333,87811,1.58
AtrialFibrillation,PatchTST,640,3,64,16,64,160,80,0.4,89091,1.58
AtrialFibrillation,PatchTST,640,3,32,4,256,16,8,0.4,79011,0.93
AtrialFibrillation,PatchTST,640,3,32,4,256,32,16,0.4,71843,0.91
AtrialFibrillation,PatchTST,640,3,32,4,256,48,24,0.4,69667,0.9
AtrialFibrillation,PatchTST,640,3,32,4,256,64,32,0.4,69027,0.89
AtrialFibrillation,PatchTST,640,3,32,4,256,96,48,0.4,68707,0.89
AtrialFibrillation,PatchTST,640,3,32,4,256,128,64,0.4666666666666667,69155,0.9
AtrialFibrillation,PatchTST,640,3,32,4,256,160,80,0.4,69795,0.9
AtrialFibrillation,PatchTST,640,3,32,4,128,16,8,0.26666666666666666,54051,0.84
AtrialFibrillation,PatchTST,640,3,32,4,128,32,16,0.4,46883,0.81
AtrialFibrillation,PatchTST,640,3,32,4,128,48,24,0.3333333333333333,44707,0.8
AtrialFibrillation,PatchTST,640,3,32,4,128,64,32,0.26666666666666666,44067,0.8
AtrialFibrillation,PatchTST,640,3,32,4,128,96,48,0.4,43747,0.8
AtrialFibrillation,PatchTST,640,3,32,4,128,128,64,0.4666666666666667,44195,0.8
AtrialFibrillation,PatchTST,640,3,32,4,128,160,80,0.26666666666666666,44835,0.8
AtrialFibrillation,PatchTST,640,3,32,4,64,16,8,0.3333333333333333,41571,0.79
AtrialFibrillation,PatchTST,640,3,32,4,64,32,16,0.2,34403,0.76
AtrialFibrillation,PatchTST,640,3,32,4,64,48,24,0.4,32227,0.75
AtrialFibrillation,PatchTST,640,3,32,4,64,64,32,0.26666666666666666,31587,0.75
AtrialFibrillation,PatchTST,640,3,32,4,64,96,48,0.4,31267,0.75
AtrialFibrillation,PatchTST,640,3,32,4,64,128,64,0.2,31715,0.75
AtrialFibrillation,PatchTST,640,3,32,4,64,160,80,0.26666666666666666,32355,0.75
AtrialFibrillation,PatchTST,640,3,16,4,256,16,8,0.26666666666666666,36819,0.47
AtrialFibrillation,PatchTST,640,3,16,4,256,32,16,0.2,33235,0.45
