data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
Cricket,PatchTST,1197,3,128,16,256,30,15,0.9583333333333334,1129612,6.77
Cricket,PatchTST,1197,3,128,16,256,60,30,0.9583333333333334,764812,5.38
Cricket,PatchTST,1197,3,128,16,256,90,45,0.9305555555555556,648844,4.94
Cricket,PatchTST,1197,3,128,16,256,120,60,0.9583333333333334,588172,4.71
Cricket,PatchTST,1197,3,128,16,256,180,90,0.9027777777777778,540556,4.53
Cricket,PatchTST,1197,3,128,16,256,240,120,0.9444444444444444,511372,4.41
Cricket,PatchTST,1197,3,128,16,256,300,150,0.9027777777777778,500620,4.37
Cricket,PatchTST,1197,3,128,16,128,30,15,0.9444444444444444,1030924,6.4
Cricket,PatchTST,1197,3,128,16,128,60,30,0.9444444444444444,666124,5.0
Cricket,PatchTST,1197,3,128,16,128,90,45,0.9444444444444444,550156,4.56
Cricket,PatchTST,1197,3,128,16,128,120,60,0.9305555555555556,489484,4.33
Cricket,PatchTST,1197,3,128,16,128,180,90,0.9583333333333334,441868,4.15
Cricket,PatchTST,1197,3,128,16,128,240,120,0.9444444444444444,412684,4.04
Cricket,PatchTST,1197,3,128,16,128,300,150,0.9166666666666666,401932,4.0
Cricket,PatchTST,1197,3,128,16,64,30,15,0.9583333333333334,981580,6.21
Cricket,PatchTST,1197,3,128,16,64,60,30,0.9305555555555556,616780,4.82
Cricket,PatchTST,1197,3,128,16,64,90,45,0.9444444444444444,500812,4.37
Cricket,PatchTST,1197,3,128,16,64,120,60,0.9305555555555556,440140,4.14
Cricket,PatchTST,1197,3,128,16,64,180,90,0.9722222222222222,392524,3.96
Cricket,PatchTST,1197,3,128,16,64,240,120,0.9583333333333334,363340,3.85
Cricket,PatchTST,1197,3,128,16,64,300,150,0.9305555555555556,352588,3.81
Cricket,PatchTST,1197,3,64,16,256,30,15,0.9583333333333334,516044,3.21
Cricket,PatchTST,1197,3,64,16,256,60,30,0.9444444444444444,333644,2.51
Cricket,PatchTST,1197,3,64,16,256,90,45,0.9305555555555556,275660,2.29
Cricket,PatchTST,1197,3,64,16,256,120,60,0.9305555555555556,245324,2.18
Cricket,PatchTST,1197,3,64,16,256,180,90,0.9444444444444444,221516,2.09
Cricket,PatchTST,1197,3,64,16,256,240,120,0.9305555555555556,206924,2.03
Cricket,PatchTST,1197,3,64,16,256,300,150,0.9305555555555556,201548,2.01
Cricket,PatchTST,1197,3,64,16,128,30,15,0.9583333333333334,466508,3.02
Cricket,PatchTST,1197,3,64,16,128,60,30,0.9583333333333334,284108,2.33
Cricket,PatchTST,1197,3,64,16,128,90,45,0.9583333333333334,226124,2.1
Cricket,PatchTST,1197,3,64,16,128,120,60,0.9027777777777778,195788,1.99
Cricket,PatchTST,1197,3,64,16,128,180,90,0.9583333333333334,171980,1.9
Cricket,PatchTST,1197,3,64,16,128,240,120,0.9444444444444444,157388,1.84
Cricket,PatchTST,1197,3,64,16,128,300,150,0.9027777777777778,152012,1.82
Cricket,PatchTST,1197,3,64,16,64,30,15,0.9583333333333334,441740,2.93
Cricket,PatchTST,1197,3,64,16,64,60,30,0.9583333333333334,259340,2.23
Cricket,PatchTST,1197,3,64,16,64,90,45,0.9444444444444444,201356,2.01
Cricket,PatchTST,1197,3,64,16,64,120,60,0.9444444444444444,171020,1.89
Cricket,PatchTST,1197,3,64,16,64,180,90,0.8888888888888888,147212,1.8
Cricket,PatchTST,1197,3,64,16,64,240,120,0.9305555555555556,132620,1.75
Cricket,PatchTST,1197,3,64,16,64,300,150,0.9305555555555556,127244,1.73
Cricket,PatchTST,1197,3,32,4,256,30,15,0.9583333333333334,246124,1.57
Cricket,PatchTST,1197,3,32,4,256,60,30,0.9305555555555556,154924,1.22
Cricket,PatchTST,1197,3,32,4,256,90,45,0.9583333333333334,125932,1.11
Cricket,PatchTST,1197,3,32,4,256,120,60,0.9305555555555556,110764,1.05
Cricket,PatchTST,1197,3,32,4,256,180,90,0.9305555555555556,98860,1.01
Cricket,PatchTST,1197,3,32,4,256,240,120,0.9166666666666666,91564,0.98
Cricket,PatchTST,1197,3,32,4,256,300,150,0.9166666666666666,88876,0.97
Cricket,PatchTST,1197,3,32,4,128,30,15,0.9722222222222222,221164,1.48
Cricket,PatchTST,1197,3,32,4,128,60,30,0.9583333333333334,129964,1.13
Cricket,PatchTST,1197,3,32,4,128,90,45,0.9305555555555556,100972,1.02
Cricket,PatchTST,1197,3,32,4,128,120,60,0.9305555555555556,85804,0.96
Cricket,PatchTST,1197,3,32,4,128,180,90,0.9166666666666666,73900,0.91
Cricket,PatchTST,1197,3,32,4,128,240,120,0.9166666666666666,66604,0.89
Cricket,PatchTST,1197,3,32,4,128,300,150,0.9027777777777778,63916,0.88
Cricket,PatchTST,1197,3,32,4,64,30,15,0.9583333333333334,208684,1.43
Cricket,PatchTST,1197,3,32,4,64,60,30,0.9583333333333334,117484,1.08
Cricket,PatchTST,1197,3,32,4,64,90,45,0.9444444444444444,88492,0.97
Cricket,PatchTST,1197,3,32,4,64,120,60,0.8888888888888888,73324,0.91
Cricket,PatchTST,1197,3,32,4,64,180,90,0.9444444444444444,61420,0.87
Cricket,PatchTST,1197,3,32,4,64,240,120,0.9166666666666666,54124,0.84
Cricket,PatchTST,1197,3,32,4,64,300,150,0.9027777777777778,51436,0.83
Cricket,PatchTST,1197,3,16,4,256,30,15,0.9583333333333334,120380,0.79
Cricket,PatchTST,1197,3,16,4,256,60,30,0.9583333333333334,74780,0.61
Cricket,PatchTST,1197,3,16,4,256,90,45,0.9166666666666666,60284,0.56
Cricket,PatchTST,1197,3,16,4,256,120,60,0.9444444444444444,52700,0.53
Cricket,PatchTST,1197,3,16,4,256,180,90,0.9444444444444444,46748,0.5
Cricket,PatchTST,1197,3,16,4,256,240,120,0.9444444444444444,43100,0.49
Cricket,PatchTST,1197,3,16,4,256,300,150,0.8888888888888888,41756,0.49
Cricket,PatchTST,1197,3,16,4,128,30,15,0.9444444444444444,107708,0.74
Cricket,PatchTST,1197,3,16,4,128,60,30,0.9305555555555556,62108,0.56
Cricket,PatchTST,1197,3,16,4,128,90,45,0.9583333333333334,47612,0.51
Cricket,PatchTST,1197,3,16,4,128,120,60,0.9444444444444444,40028,0.48
Cricket,PatchTST,1197,3,16,4,128,180,90,0.9166666666666666,34076,0.46
Cricket,PatchTST,1197,3,16,4,128,240,120,0.9027777777777778,30428,0.44
Cricket,PatchTST,1197,3,16,4,128,300,150,0.9583333333333334,29084,0.44
Cricket,PatchTST,1197,3,16,4,64,30,15,0.9305555555555556,101372,0.71
Cricket,PatchTST,1197,3,16,4,64,60,30,0.9722222222222222,55772,0.54
Cricket,PatchTST,1197,3,16,4,64,90,45,0.9166666666666666,41276,0.48
Cricket,PatchTST,1197,3,16,4,64,120,60,0.9722222222222222,33692,0.45
Cricket,PatchTST,1197,3,16,4,64,180,90,0.9166666666666666,27740,0.43
Cricket,PatchTST,1197,3,16,4,64,240,120,0.9444444444444444,24092,0.42
Cricket,PatchTST,1197,3,16,4,64,300,150,0.9305555555555556,22748,0.41
Cricket,PatchTST,1197,2,128,16,256,30,15,0.9583333333333334,997132,6.26
Cricket,PatchTST,1197,2,128,16,256,60,30,0.9305555555555556,632332,4.87
Cricket,PatchTST,1197,2,128,16,256,90,45,0.9444444444444444,516364,4.43
Cricket,PatchTST,1197,2,128,16,256,120,60,0.9444444444444444,455692,4.2
Cricket,PatchTST,1197,2,128,16,256,180,90,0.9305555555555556,408076,4.01
Cricket,PatchTST,1197,2,128,16,256,240,120,0.9444444444444444,378892,3.9
Cricket,PatchTST,1197,2,128,16,256,300,150,0.9027777777777778,368140,3.86
Cricket,PatchTST,1197,2,128,16,128,30,15,0.9583333333333334,931340,6.01
Cricket,PatchTST,1197,2,128,16,128,60,30,0.9305555555555556,566540,4.62
Cricket,PatchTST,1197,2,128,16,128,90,45,0.9305555555555556,450572,4.18
Cricket,PatchTST,1197,2,128,16,128,120,60,0.9305555555555556,389900,3.94
Cricket,PatchTST,1197,2,128,16,128,180,90,0.9444444444444444,342284,3.76
Cricket,PatchTST,1197,2,128,16,128,240,120,0.9305555555555556,313100,3.65
Cricket,PatchTST,1197,2,128,16,128,300,150,0.9166666666666666,302348,3.61
Cricket,PatchTST,1197,2,128,16,64,30,15,0.9444444444444444,898444,5.88
Cricket,PatchTST,1197,2,128,16,64,60,30,0.9444444444444444,533644,4.49
Cricket,PatchTST,1197,2,128,16,64,90,45,0.9444444444444444,417676,4.05
Cricket,PatchTST,1197,2,128,16,64,120,60,0.9305555555555556,357004,3.82
Cricket,PatchTST,1197,2,128,16,64,180,90,0.9305555555555556,309388,3.64
Cricket,PatchTST,1197,2,128,16,64,240,120,0.9722222222222222,280204,3.53
