data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
DuckDuckGeese,PatchTST,270,3,128,16,256,7,4,0.26,58072197,223.99
DuckDuckGeese,PatchTST,270,3,128,16,256,14,7,0.26,33109893,128.77
DuckDuckGeese,PatchTST,270,3,128,16,256,21,11,0.2,21059589,82.8
DuckDuckGeese,PatchTST,270,3,128,16,256,27,14,0.24,16756357,66.38
DuckDuckGeese,PatchTST,270,3,128,16,256,41,21,0.24,10732549,43.4
DuckDuckGeese,PatchTST,270,3,128,16,256,54,27,0.22,9012613,36.84
DuckDuckGeese,PatchTST,270,3,128,16,256,68,34,0.32,6432005,27.0
DuckDuckGeese,PatchTST,270,3,128,16,128,7,4,0.26,57973509,223.61
DuckDuckGeese,PatchTST,270,3,128,16,128,14,7,0.24,33011205,128.39
DuckDuckGeese,PatchTST,270,3,128,16,128,21,11,0.26,20960901,82.42
DuckDuckGeese,PatchTST,270,3,128,16,128,27,14,0.22,16657669,66.01
DuckDuckGeese,PatchTST,270,3,128,16,128,41,21,0.18,10633861,43.03
DuckDuckGeese,PatchTST,270,3,128,16,128,54,27,0.26,8913925,36.47
DuckDuckGeese,PatchTST,270,3,128,16,128,68,34,0.28,6333317,26.62
DuckDuckGeese,PatchTST,270,3,128,16,64,7,4,0.2,57924165,223.43
DuckDuckGeese,PatchTST,270,3,128,16,64,14,7,0.2,32961861,128.2
DuckDuckGeese,PatchTST,270,3,128,16,64,21,11,0.28,20911557,82.23
DuckDuckGeese,PatchTST,270,3,128,16,64,27,14,0.2,16608325,65.82
DuckDuckGeese,PatchTST,270,3,128,16,64,41,21,0.28,10584517,42.84
DuckDuckGeese,PatchTST,270,3,128,16,64,54,27,0.26,8864581,36.28
DuckDuckGeese,PatchTST,270,3,128,16,64,68,34,0.18,6283973,26.43
DuckDuckGeese,PatchTST,270,3,64,16,256,7,4,0.24,28987333,111.82
DuckDuckGeese,PatchTST,270,3,64,16,256,14,7,0.22,16506181,64.21
DuckDuckGeese,PatchTST,270,3,64,16,256,21,11,0.24,10481029,41.22
DuckDuckGeese,PatchTST,270,3,64,16,256,27,14,0.24,8329413,33.02
DuckDuckGeese,PatchTST,270,3,64,16,256,41,21,0.2,5317509,21.53
DuckDuckGeese,PatchTST,270,3,64,16,256,54,27,0.22,4457541,18.25
DuckDuckGeese,PatchTST,270,3,64,16,256,68,34,0.22,3167237,13.32
DuckDuckGeese,PatchTST,270,3,64,16,128,7,4,0.2,28937797,111.63
DuckDuckGeese,PatchTST,270,3,64,16,128,14,7,0.22,16456645,64.02
DuckDuckGeese,PatchTST,270,3,64,16,128,21,11,0.26,10431493,41.04
DuckDuckGeese,PatchTST,270,3,64,16,128,27,14,0.22,8279877,32.83
DuckDuckGeese,PatchTST,270,3,64,16,128,41,21,0.26,5267973,21.34
DuckDuckGeese,PatchTST,270,3,64,16,128,54,27,0.2,4408005,18.06
DuckDuckGeese,PatchTST,270,3,64,16,128,68,34,0.28,3117701,13.14
DuckDuckGeese,PatchTST,270,3,64,16,64,7,4,0.24,28913029,111.54
DuckDuckGeese,PatchTST,270,3,64,16,64,14,7,0.24,16431877,63.92
DuckDuckGeese,PatchTST,270,3,64,16,64,21,11,0.26,10406725,40.94
DuckDuckGeese,PatchTST,270,3,64,16,64,27,14,0.2,8255109,32.73
DuckDuckGeese,PatchTST,270,3,64,16,64,41,21,0.22,5243205,21.24
DuckDuckGeese,PatchTST,270,3,64,16,64,54,27,0.3,4383237,17.96
DuckDuckGeese,PatchTST,270,3,64,16,64,68,34,0.16,3092933,13.04
DuckDuckGeese,PatchTST,270,3,32,4,256,7,4,0.22,14481765,55.88
DuckDuckGeese,PatchTST,270,3,32,4,256,14,7,0.22,8241189,32.07
DuckDuckGeese,PatchTST,270,3,32,4,256,21,11,0.2,5228613,20.58
DuckDuckGeese,PatchTST,270,3,32,4,256,27,14,0.24,4152805,16.47
DuckDuckGeese,PatchTST,270,3,32,4,256,41,21,0.28,2646853,10.73
DuckDuckGeese,PatchTST,270,3,32,4,256,54,27,0.28,2216869,9.09
DuckDuckGeese,PatchTST,270,3,32,4,256,68,34,0.18,1571717,6.63
DuckDuckGeese,PatchTST,270,3,32,4,128,7,4,0.24,14456805,55.78
DuckDuckGeese,PatchTST,270,3,32,4,128,14,7,0.2,8216229,31.97
DuckDuckGeese,PatchTST,270,3,32,4,128,21,11,0.24,5203653,20.48
DuckDuckGeese,PatchTST,270,3,32,4,128,27,14,0.2,4127845,16.38
DuckDuckGeese,PatchTST,270,3,32,4,128,41,21,0.22,2621893,10.63
DuckDuckGeese,PatchTST,270,3,32,4,128,54,27,0.22,2191909,8.99
DuckDuckGeese,PatchTST,270,3,32,4,128,68,34,0.3,1546757,6.53
DuckDuckGeese,PatchTST,270,3,32,4,64,7,4,0.32,14444325,55.73
DuckDuckGeese,PatchTST,270,3,32,4,64,14,7,0.22,8203749,31.93
DuckDuckGeese,PatchTST,270,3,32,4,64,21,11,0.26,5191173,20.43
DuckDuckGeese,PatchTST,270,3,32,4,64,27,14,0.22,4115365,16.33
DuckDuckGeese,PatchTST,270,3,32,4,64,41,21,0.18,2609413,10.59
DuckDuckGeese,PatchTST,270,3,32,4,64,54,27,0.26,2179429,8.95
DuckDuckGeese,PatchTST,270,3,32,4,64,68,34,0.28,1534277,6.48
DuckDuckGeese,PatchTST,270,3,16,4,256,7,4,0.22,7238197,27.94
DuckDuckGeese,PatchTST,270,3,16,4,256,14,7,0.26,4117909,16.03
DuckDuckGeese,PatchTST,270,3,16,4,256,21,11,0.24,2611621,10.29
DuckDuckGeese,PatchTST,270,3,16,4,256,27,14,0.26,2073717,8.24
DuckDuckGeese,PatchTST,270,3,16,4,256,41,21,0.24,1320741,5.36
DuckDuckGeese,PatchTST,270,3,16,4,256,54,27,0.26,1105749,4.54
DuckDuckGeese,PatchTST,270,3,16,4,256,68,34,0.26,783173,3.31
DuckDuckGeese,PatchTST,270,3,16,4,128,7,4,0.26,7225525,27.89
