data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
Epilepsy,PatchTST,206,3,128,16,256,6,3,0.8260869565217391,502916,4.38
Epilepsy,PatchTST,206,3,128,16,256,11,6,0.8913043478260869,451332,4.19
Epilepsy,PatchTST,206,3,128,16,256,16,8,0.9782608695652174,438148,4.13
Epilepsy,PatchTST,206,3,128,16,256,21,11,0.927536231884058,428036,4.1
Epilepsy,PatchTST,206,3,128,16,256,31,16,0.9782608695652174,420100,4.07
Epilepsy,PatchTST,206,3,128,16,256,42,21,0.9637681159420289,416900,4.05
Epilepsy,PatchTST,206,3,128,16,256,52,26,0.9855072463768116,415108,4.05
Epilepsy,PatchTST,206,3,128,16,128,6,3,0.8115942028985508,404228,4.01
Epilepsy,PatchTST,206,3,128,16,128,11,6,0.9057971014492754,352644,3.81
Epilepsy,PatchTST,206,3,128,16,128,16,8,0.9637681159420289,339460,3.76
Epilepsy,PatchTST,206,3,128,16,128,21,11,0.9202898550724637,329348,3.72
Epilepsy,PatchTST,206,3,128,16,128,31,16,0.9565217391304348,321412,3.69
Epilepsy,PatchTST,206,3,128,16,128,42,21,0.9637681159420289,318212,3.68
Epilepsy,PatchTST,206,3,128,16,128,52,26,0.9855072463768116,316420,3.67
Epilepsy,PatchTST,206,3,128,16,64,6,3,0.8188405797101449,354884,3.82
Epilepsy,PatchTST,206,3,128,16,64,11,6,0.9057971014492754,303300,3.62
Epilepsy,PatchTST,206,3,128,16,64,16,8,0.9782608695652174,290116,3.57
Epilepsy,PatchTST,206,3,128,16,64,21,11,0.9130434782608695,280004,3.53
Epilepsy,PatchTST,206,3,128,16,64,31,16,0.9855072463768116,272068,3.5
Epilepsy,PatchTST,206,3,128,16,64,42,21,0.9637681159420289,268868,3.49
Epilepsy,PatchTST,206,3,128,16,64,52,26,0.9710144927536232,267076,3.48
Epilepsy,PatchTST,206,3,64,16,256,6,3,0.8260869565217391,202692,2.02
Epilepsy,PatchTST,206,3,64,16,256,11,6,0.9565217391304348,176900,1.92
Epilepsy,PatchTST,206,3,64,16,256,16,8,0.9710144927536232,170308,1.89
Epilepsy,PatchTST,206,3,64,16,256,21,11,0.9057971014492754,165252,1.87
Epilepsy,PatchTST,206,3,64,16,256,31,16,0.9710144927536232,161284,1.86
