data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
FaceDetection,PatchTST,62,3,128,16,256,2,1,0.6475595913734393,2683522,12.7
FaceDetection,PatchTST,62,3,128,16,256,4,2,0.6546538024971623,1540994,8.34
FaceDetection,PatchTST,62,3,128,16,256,5,3,0.6603291713961408,1172482,6.94
FaceDetection,PatchTST,62,3,128,16,256,7,4,0.6555051078320091,951554,6.09
FaceDetection,PatchTST,62,3,128,16,256,10,5,0.6759364358683314,841346,5.67
FaceDetection,PatchTST,62,3,128,16,256,13,7,0.6614642451759364,731138,5.25
FaceDetection,PatchTST,62,3,128,16,256,16,8,0.6807604994324631,657794,4.97
FaceDetection,PatchTST,62,3,128,16,128,2,1,0.6574914869466515,2584834,12.32
FaceDetection,PatchTST,62,3,128,16,128,4,2,0.6674233825198638,1442306,7.97
FaceDetection,PatchTST,62,3,128,16,128,5,3,0.6696935300794552,1073794,6.56
FaceDetection,PatchTST,62,3,128,16,128,7,4,0.6699772985244041,852866,5.72
FaceDetection,PatchTST,62,3,128,16,128,10,5,0.6625993189557321,742658,5.3
FaceDetection,PatchTST,62,3,128,16,128,13,7,0.6552213393870602,632450,4.88
FaceDetection,PatchTST,62,3,128,16,128,16,8,0.6713961407491487,559106,4.6
FaceDetection,PatchTST,62,3,128,16,64,2,1,0.6623155505107832,2535490,12.14
FaceDetection,PatchTST,62,3,128,16,64,4,2,0.66316685584563,1392962,7.78
FaceDetection,PatchTST,62,3,128,16,64,5,3,0.6591940976163451,1024450,6.37
FaceDetection,PatchTST,62,3,128,16,64,7,4,0.6538024971623155,803522,5.53
FaceDetection,PatchTST,62,3,128,16,64,10,5,0.6716799091940976,693314,5.11
FaceDetection,PatchTST,62,3,128,16,64,13,7,0.6606129398410897,583106,4.69
FaceDetection,PatchTST,62,3,128,16,64,16,8,0.6591940976163451,509762,4.41
FaceDetection,PatchTST,62,3,64,16,256,2,1,0.6566401816118048,1292994,6.17
FaceDetection,PatchTST,62,3,64,16,256,4,2,0.6668558456299659,721730,4.0
FaceDetection,PatchTST,62,3,64,16,256,5,3,0.6614642451759364,537474,3.29
FaceDetection,PatchTST,62,3,64,16,256,7,4,0.6574914869466515,427010,2.87
FaceDetection,PatchTST,62,3,64,16,256,10,5,0.6600454029511919,371906,2.66
FaceDetection,PatchTST,62,3,64,16,256,13,7,0.6546538024971623,316802,2.45
FaceDetection,PatchTST,62,3,64,16,256,16,8,0.6716799091940976,280130,2.31
FaceDetection,PatchTST,62,3,64,16,128,2,1,0.6643019296254257,1243458,5.99
FaceDetection,PatchTST,62,3,64,16,128,4,2,0.6535187287173666,672194,3.81
FaceDetection,PatchTST,62,3,64,16,128,5,3,0.6580590238365494,487938,3.1
FaceDetection,PatchTST,62,3,64,16,128,7,4,0.6657207718501703,377474,2.68
FaceDetection,PatchTST,62,3,64,16,128,10,5,0.6617480136208853,322370,2.47
FaceDetection,PatchTST,62,3,64,16,128,13,7,0.6577752553916004,267266,2.26
FaceDetection,PatchTST,62,3,64,16,128,16,8,0.6679909194097616,230594,2.12
FaceDetection,PatchTST,62,3,64,16,64,2,1,0.6526674233825198,1218690,5.89
FaceDetection,PatchTST,62,3,64,16,64,4,2,0.6543700340522134,647426,3.71
FaceDetection,PatchTST,62,3,64,16,64,5,3,0.6552213393870602,463170,3.01
FaceDetection,PatchTST,62,3,64,16,64,7,4,0.6705448354143019,352706,2.59
FaceDetection,PatchTST,62,3,64,16,64,10,5,0.6583427922814983,297602,2.38
FaceDetection,PatchTST,62,3,64,16,64,13,7,0.6634506242905789,242498,2.17
FaceDetection,PatchTST,62,3,64,16,64,16,8,0.6711123723041997,205826,2.03
FaceDetection,PatchTST,62,3,32,4,256,2,1,0.6606129398410897,634594,3.05
FaceDetection,PatchTST,62,3,32,4,256,4,2,0.6608967082860386,348962,1.96
FaceDetection,PatchTST,62,3,32,4,256,5,3,0.6572077185017026,256834,1.61
FaceDetection,PatchTST,62,3,32,4,256,7,4,0.6549375709421112,201602,1.4
FaceDetection,PatchTST,62,3,32,4,256,10,5,0.6492622020431328,174050,1.3
FaceDetection,PatchTST,62,3,32,4,256,13,7,0.659477866061294,146498,1.19
FaceDetection,PatchTST,62,3,32,4,256,16,8,0.6563564131668559,128162,1.12
FaceDetection,PatchTST,62,3,32,4,128,2,1,0.6563564131668559,609634,2.96
FaceDetection,PatchTST,62,3,32,4,128,4,2,0.6679909194097616,324002,1.87
FaceDetection,PatchTST,62,3,32,4,128,5,3,0.6589103291713961,231874,1.52
FaceDetection,PatchTST,62,3,32,4,128,7,4,0.66316685584563,176642,1.31
FaceDetection,PatchTST,62,3,32,4,128,10,5,0.6486946651532349,149090,1.2
FaceDetection,PatchTST,62,3,32,4,128,13,7,0.6651532349602725,121538,1.1
FaceDetection,PatchTST,62,3,32,4,128,16,8,0.656072644721907,103202,1.03
FaceDetection,PatchTST,62,3,32,4,64,2,1,0.6523836549375709,597154,2.91
FaceDetection,PatchTST,62,3,32,4,64,4,2,0.6640181611804767,311522,1.82
FaceDetection,PatchTST,62,3,32,4,64,5,3,0.6515323496027242,219394,1.47
FaceDetection,PatchTST,62,3,32,4,64,7,4,0.6552213393870602,164162,1.26
FaceDetection,PatchTST,62,3,32,4,64,10,5,0.6478433598183881,136610,1.15
FaceDetection,PatchTST,62,3,32,4,64,13,7,0.6538024971623155,109058,1.05
FaceDetection,PatchTST,62,3,32,4,64,16,8,0.6572077185017026,90722,0.98
FaceDetection,PatchTST,62,3,16,4,256,2,1,0.6498297389330306,314610,1.53
FaceDetection,PatchTST,62,3,16,4,256,4,2,0.6464245175936436,171794,0.98
FaceDetection,PatchTST,62,3,16,4,256,5,3,0.6555051078320091,125730,0.81
FaceDetection,PatchTST,62,3,16,4,256,7,4,0.6452894438138479,98114,0.7
FaceDetection,PatchTST,62,3,16,4,256,10,5,0.6526674233825198,84338,0.65
FaceDetection,PatchTST,62,3,16,4,256,13,7,0.6577752553916004,70562,0.6
FaceDetection,PatchTST,62,3,16,4,256,16,8,0.6620317820658342,61394,0.56
FaceDetection,PatchTST,62,3,16,4,128,2,1,0.64472190692395,301938,1.48
FaceDetection,PatchTST,62,3,16,4,128,4,2,0.6520998864926221,159122,0.93
FaceDetection,PatchTST,62,3,16,4,128,5,3,0.6532349602724177,113058,0.76
FaceDetection,PatchTST,62,3,16,4,128,7,4,0.6538024971623155,85442,0.65
FaceDetection,PatchTST,62,3,16,4,128,10,5,0.6532349602724177,71666,0.6
FaceDetection,PatchTST,62,3,16,4,128,13,7,0.6467082860385925,57890,0.55
FaceDetection,PatchTST,62,3,16,4,128,16,8,0.6722474460839954,48722,0.51
FaceDetection,PatchTST,62,3,16,4,64,2,1,0.6555051078320091,295602,1.45
FaceDetection,PatchTST,62,3,16,4,64,4,2,0.6543700340522134,152786,0.91
FaceDetection,PatchTST,62,3,16,4,64,5,3,0.6492622020431328,106722,0.73
FaceDetection,PatchTST,62,3,16,4,64,7,4,0.6671396140749148,79106,0.63
FaceDetection,PatchTST,62,3,16,4,64,10,5,0.6549375709421112,65330,0.58
FaceDetection,PatchTST,62,3,16,4,64,13,7,0.655788876276958,51554,0.52
FaceDetection,PatchTST,62,3,16,4,64,16,8,0.6654370034052214,42386,0.49
FaceDetection,PatchTST,62,2,128,16,256,2,1,0.6546538024971623,2551042,12.19
FaceDetection,PatchTST,62,2,128,16,256,4,2,0.6620317820658342,1408514,7.83
FaceDetection,PatchTST,62,2,128,16,256,5,3,0.6654370034052214,1040002,6.42
FaceDetection,PatchTST,62,2,128,16,256,7,4,0.66316685584563,819074,5.58
FaceDetection,PatchTST,62,2,128,16,256,10,5,0.6657207718501703,708866,5.16
FaceDetection,PatchTST,62,2,128,16,256,13,7,0.6634506242905789,598658,4.74
FaceDetection,PatchTST,62,2,128,16,256,16,8,0.6691259931895573,525314,4.46
FaceDetection,PatchTST,62,2,128,16,128,2,1,0.6509648127128264,2485250,11.94
FaceDetection,PatchTST,62,2,128,16,128,4,2,0.6509648127128264,1342722,7.58
FaceDetection,PatchTST,62,2,128,16,128,5,3,0.6634506242905789,974210,6.17
FaceDetection,PatchTST,62,2,128,16,128,7,4,0.6688422247446084,753282,5.33
FaceDetection,PatchTST,62,2,128,16,128,10,5,0.6728149829738933,643074,4.91
FaceDetection,PatchTST,62,2,128,16,128,13,7,0.659477866061294,532866,4.49
FaceDetection,PatchTST,62,2,128,16,128,16,8,0.659477866061294,459522,4.21
FaceDetection,PatchTST,62,2,128,16,64,2,1,0.6645856980703746,2452354,11.81
FaceDetection,PatchTST,62,2,128,16,64,4,2,0.6688422247446084,1309826,7.45
FaceDetection,PatchTST,62,2,128,16,64,5,3,0.6583427922814983,941314,6.05
FaceDetection,PatchTST,62,2,128,16,64,7,4,0.6563564131668559,720386,5.21
FaceDetection,PatchTST,62,2,128,16,64,10,5,0.6608967082860386,610178,4.79
FaceDetection,PatchTST,62,2,128,16,64,13,7,0.6614642451759364,499970,4.36
FaceDetection,PatchTST,62,2,128,16,64,16,8,0.6583427922814983,426626,4.08
FaceDetection,PatchTST,62,2,64,16,256,2,1,0.6563564131668559,1243010,5.98
FaceDetection,PatchTST,62,2,64,16,256,4,2,0.6566401816118048,671746,3.8
FaceDetection,PatchTST,62,2,64,16,256,5,3,0.6501135073779796,487490,3.1
FaceDetection,PatchTST,62,2,64,16,256,7,4,0.6566401816118048,377026,2.67
FaceDetection,PatchTST,62,2,64,16,256,10,5,0.6623155505107832,321922,2.46
FaceDetection,PatchTST,62,2,64,16,256,13,7,0.6555051078320091,266818,2.25
FaceDetection,PatchTST,62,2,64,16,256,16,8,0.6719636776390465,230146,2.11
FaceDetection,PatchTST,62,2,64,16,128,2,1,0.6600454029511919,1209986,5.85
FaceDetection,PatchTST,62,2,64,16,128,4,2,0.6552213393870602,638722,3.67
FaceDetection,PatchTST,62,2,64,16,128,5,3,0.6679909194097616,454466,2.97
FaceDetection,PatchTST,62,2,64,16,128,7,4,0.666572077185017,344002,2.55
FaceDetection,PatchTST,62,2,64,16,128,10,5,0.666572077185017,288898,2.34
FaceDetection,PatchTST,62,2,64,16,128,13,7,0.6620317820658342,233794,2.13
FaceDetection,PatchTST,62,2,64,16,128,16,8,0.6586265607264472,197122,1.99
FaceDetection,PatchTST,62,2,64,16,64,2,1,0.6591940976163451,1193474,5.79
FaceDetection,PatchTST,62,2,64,16,64,4,2,0.6566401816118048,622210,3.61
FaceDetection,PatchTST,62,2,64,16,64,5,3,0.6608967082860386,437954,2.91
FaceDetection,PatchTST,62,2,64,16,64,7,4,0.6600454029511919,327490,2.49
FaceDetection,PatchTST,62,2,64,16,64,10,5,0.6589103291713961,272386,2.28
FaceDetection,PatchTST,62,2,64,16,64,13,7,0.6577752553916004,217282,2.07
FaceDetection,PatchTST,62,2,64,16,64,16,8,0.6538024971623155,180610,1.93
FaceDetection,PatchTST,62,2,32,4,256,2,1,0.6461407491486947,613570,2.97
FaceDetection,PatchTST,62,2,32,4,256,4,2,0.6549375709421112,327938,1.88
FaceDetection,PatchTST,62,2,32,4,256,5,3,0.6546538024971623,235810,1.53
FaceDetection,PatchTST,62,2,32,4,256,7,4,0.656072644721907,180578,1.31
FaceDetection,PatchTST,62,2,32,4,256,10,5,0.6577752553916004,153026,1.21
FaceDetection,PatchTST,62,2,32,4,256,13,7,0.6617480136208853,125474,1.1
FaceDetection,PatchTST,62,2,32,4,256,16,8,0.6603291713961408,107138,1.03
FaceDetection,PatchTST,62,2,32,4,128,2,1,0.6617480136208853,596930,2.9
FaceDetection,PatchTST,62,2,32,4,128,4,2,0.6506810442678774,311298,1.81
FaceDetection,PatchTST,62,2,32,4,128,5,3,0.6486946651532349,219170,1.46
FaceDetection,PatchTST,62,2,32,4,128,7,4,0.6583427922814983,163938,1.25
FaceDetection,PatchTST,62,2,32,4,128,10,5,0.6401816118047673,136386,1.15
FaceDetection,PatchTST,62,2,32,4,128,13,7,0.6566401816118048,108834,1.04
FaceDetection,PatchTST,62,2,32,4,128,16,8,0.6552213393870602,90498,0.97
FaceDetection,PatchTST,62,2,32,4,64,2,1,0.64472190692395,588610,2.87
