data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
HandMovementDirection,PatchTST,400,3,128,16,256,10,5,0.527027027027027,808580,5.55
HandMovementDirection,PatchTST,400,3,128,16,256,20,10,0.5540540540540541,605060,4.77
HandMovementDirection,PatchTST,400,3,128,16,256,30,15,0.581081081081081,534660,4.5
HandMovementDirection,PatchTST,400,3,128,16,256,40,20,0.5945945945945946,505220,4.39
HandMovementDirection,PatchTST,400,3,128,16,256,60,30,0.5405405405405406,471940,4.26
HandMovementDirection,PatchTST,400,3,128,16,256,80,40,0.6081081081081081,459140,4.21
HandMovementDirection,PatchTST,400,3,128,16,256,100,50,0.5540540540540541,451460,4.19
HandMovementDirection,PatchTST,400,3,128,16,128,10,5,0.5405405405405406,709892,5.17
HandMovementDirection,PatchTST,400,3,128,16,128,20,10,0.5405405405405406,506372,4.39
HandMovementDirection,PatchTST,400,3,128,16,128,30,15,0.581081081081081,435972,4.13
HandMovementDirection,PatchTST,400,3,128,16,128,40,20,0.581081081081081,406532,4.01
HandMovementDirection,PatchTST,400,3,128,16,128,60,30,0.5945945945945946,373252,3.89
HandMovementDirection,PatchTST,400,3,128,16,128,80,40,0.6081081081081081,360452,3.84
HandMovementDirection,PatchTST,400,3,128,16,128,100,50,0.5945945945945946,352772,3.81
HandMovementDirection,PatchTST,400,3,128,16,64,10,5,0.5675675675675675,660548,4.98
HandMovementDirection,PatchTST,400,3,128,16,64,20,10,0.581081081081081,457028,4.21
HandMovementDirection,PatchTST,400,3,128,16,64,30,15,0.5945945945945946,386628,3.94
HandMovementDirection,PatchTST,400,3,128,16,64,40,20,0.5540540540540541,357188,3.83
HandMovementDirection,PatchTST,400,3,128,16,64,60,30,0.5675675675675675,323908,3.7
HandMovementDirection,PatchTST,400,3,128,16,64,80,40,0.5945945945945946,311108,3.65
HandMovementDirection,PatchTST,400,3,128,16,64,100,50,0.5945945945945946,303428,3.62
HandMovementDirection,PatchTST,400,3,64,16,256,10,5,0.527027027027027,355524,2.6
HandMovementDirection,PatchTST,400,3,64,16,256,20,10,0.5540540540540541,253764,2.21
HandMovementDirection,PatchTST,400,3,64,16,256,30,15,0.5675675675675675,218564,2.08
HandMovementDirection,PatchTST,400,3,64,16,256,40,20,0.5675675675675675,203844,2.02
HandMovementDirection,PatchTST,400,3,64,16,256,60,30,0.581081081081081,187204,1.96
HandMovementDirection,PatchTST,400,3,64,16,256,80,40,0.5405405405405406,180804,1.93
HandMovementDirection,PatchTST,400,3,64,16,256,100,50,0.5405405405405406,176964,1.92
HandMovementDirection,PatchTST,400,3,64,16,128,10,5,0.5405405405405406,305988,2.41
HandMovementDirection,PatchTST,400,3,64,16,128,20,10,0.5540540540540541,204228,2.02
HandMovementDirection,PatchTST,400,3,64,16,128,30,15,0.5405405405405406,169028,1.89
HandMovementDirection,PatchTST,400,3,64,16,128,40,20,0.5945945945945946,154308,1.83
HandMovementDirection,PatchTST,400,3,64,16,128,60,30,0.5945945945945946,137668,1.77
HandMovementDirection,PatchTST,400,3,64,16,128,80,40,0.5675675675675675,131268,1.74
HandMovementDirection,PatchTST,400,3,64,16,128,100,50,0.581081081081081,127428,1.73
HandMovementDirection,PatchTST,400,3,64,16,64,10,5,0.5405405405405406,281220,2.31
