data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
Heartbeat,PatchTST,405,3,128,16,256,11,6,0.697560975609756,1445378,7.98
Heartbeat,PatchTST,405,3,128,16,256,21,11,0.7219512195121951,962562,6.14
Heartbeat,PatchTST,405,3,128,16,256,31,16,0.7024390243902439,792066,5.48
Heartbeat,PatchTST,405,3,128,16,256,41,21,0.6878048780487804,699650,5.13
Heartbeat,PatchTST,405,3,128,16,256,61,31,0.6682926829268293,608514,4.78
Heartbeat,PatchTST,405,3,128,16,256,81,41,0.7170731707317073,548610,4.56
Heartbeat,PatchTST,405,3,128,16,256,102,51,0.7219512195121951,520066,4.45
Heartbeat,PatchTST,405,3,128,16,128,11,6,0.7024390243902439,1346690,7.6
Heartbeat,PatchTST,405,3,128,16,128,21,11,0.7073170731707317,863874,5.76
Heartbeat,PatchTST,405,3,128,16,128,31,16,0.6878048780487804,693378,5.11
Heartbeat,PatchTST,405,3,128,16,128,41,21,0.7170731707317073,600962,4.76
Heartbeat,PatchTST,405,3,128,16,128,61,31,0.6585365853658537,509826,4.41
Heartbeat,PatchTST,405,3,128,16,128,81,41,0.7170731707317073,449922,4.18
Heartbeat,PatchTST,405,3,128,16,128,102,51,0.7219512195121951,421378,4.07
Heartbeat,PatchTST,405,3,128,16,64,11,6,0.697560975609756,1297346,7.41
Heartbeat,PatchTST,405,3,128,16,64,21,11,0.7073170731707317,814530,5.57
Heartbeat,PatchTST,405,3,128,16,64,31,16,0.7024390243902439,644034,4.92
Heartbeat,PatchTST,405,3,128,16,64,41,21,0.7073170731707317,551618,4.57
Heartbeat,PatchTST,405,3,128,16,64,61,31,0.6878048780487804,460482,4.22
Heartbeat,PatchTST,405,3,128,16,64,81,41,0.6731707317073171,400578,3.99
Heartbeat,PatchTST,405,3,128,16,64,102,51,0.7073170731707317,372034,3.88
Heartbeat,PatchTST,405,3,64,16,256,11,6,0.6926829268292682,673922,3.81
Heartbeat,PatchTST,405,3,64,16,256,21,11,0.7024390243902439,432514,2.89
Heartbeat,PatchTST,405,3,64,16,256,31,16,0.6780487804878049,347266,2.57
Heartbeat,PatchTST,405,3,64,16,256,41,21,0.7073170731707317,301058,2.39
Heartbeat,PatchTST,405,3,64,16,256,61,31,0.7219512195121951,255490,2.22
Heartbeat,PatchTST,405,3,64,16,256,81,41,0.7170731707317073,225538,2.1
Heartbeat,PatchTST,405,3,64,16,256,102,51,0.7170731707317073,211266,2.05
Heartbeat,PatchTST,405,3,64,16,128,11,6,0.7170731707317073,624386,3.62
Heartbeat,PatchTST,405,3,64,16,128,21,11,0.7170731707317073,382978,2.7
Heartbeat,PatchTST,405,3,64,16,128,31,16,0.7170731707317073,297730,2.38
Heartbeat,PatchTST,405,3,64,16,128,41,21,0.7219512195121951,251522,2.2
Heartbeat,PatchTST,405,3,64,16,128,61,31,0.697560975609756,205954,2.03
Heartbeat,PatchTST,405,3,64,16,128,81,41,0.7121951219512195,176002,1.91
Heartbeat,PatchTST,405,3,64,16,128,102,51,0.7219512195121951,161730,1.86
Heartbeat,PatchTST,405,3,64,16,64,11,6,0.7073170731707317,599618,3.53
Heartbeat,PatchTST,405,3,64,16,64,21,11,0.7170731707317073,358210,2.61
Heartbeat,PatchTST,405,3,64,16,64,31,16,0.6878048780487804,272962,2.28
Heartbeat,PatchTST,405,3,64,16,64,41,21,0.7073170731707317,226754,2.11
Heartbeat,PatchTST,405,3,64,16,64,61,31,0.7219512195121951,181186,1.93
Heartbeat,PatchTST,405,3,64,16,64,81,41,0.7219512195121951,151234,1.82
Heartbeat,PatchTST,405,3,64,16,64,102,51,0.7170731707317073,136962,1.76
Heartbeat,PatchTST,405,3,32,4,256,11,6,0.6829268292682927,325058,1.87
Heartbeat,PatchTST,405,3,32,4,256,21,11,0.7024390243902439,204354,1.41
Heartbeat,PatchTST,405,3,32,4,256,31,16,0.7121951219512195,161730,1.25
Heartbeat,PatchTST,405,3,32,4,256,41,21,0.7219512195121951,138626,1.16
Heartbeat,PatchTST,405,3,32,4,256,61,31,0.6926829268292682,115842,1.07
Heartbeat,PatchTST,405,3,32,4,256,81,41,0.7317073170731707,100866,1.02
Heartbeat,PatchTST,405,3,32,4,256,102,51,0.6390243902439025,93730,0.99
Heartbeat,PatchTST,405,3,32,4,128,11,6,0.7317073170731707,300098,1.78
Heartbeat,PatchTST,405,3,32,4,128,21,11,0.7219512195121951,179394,1.32
