data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
LSST,PatchTST,36,3,128,16,256,2,1,0.5433901054339011,785038,5.46
LSST,PatchTST,36,3,128,16,256,3,2,0.5174371451743714,591630,4.72
LSST,PatchTST,36,3,128,16,256,4,2,0.5523114355231143,591758,4.72
LSST,PatchTST,36,3,128,16,256,6,3,0.5336577453365775,527502,4.48
LSST,PatchTST,36,3,128,16,256,8,4,0.5486618004866181,495502,4.35
LSST,PatchTST,36,3,128,16,256,9,5,0.5344687753446877,474126,4.27
LSST,PatchTST,36,3,128,16,128,2,1,0.513787510137875,686350,5.08
LSST,PatchTST,36,3,128,16,128,3,2,0.5251419302514193,492942,4.34
LSST,PatchTST,36,3,128,16,128,4,2,0.5563665855636658,493070,4.34
LSST,PatchTST,36,3,128,16,128,6,3,0.5478507704785077,428814,4.1
LSST,PatchTST,36,3,128,16,128,8,4,0.5425790754257908,396814,3.98
LSST,PatchTST,36,3,128,16,128,9,5,0.5519059205190592,375438,3.9
LSST,PatchTST,36,3,128,16,64,2,1,0.5129764801297648,637006,4.89
LSST,PatchTST,36,3,128,16,64,3,2,0.5425790754257908,443598,4.16
LSST,PatchTST,36,3,128,16,64,4,2,0.5656934306569343,443726,4.16
LSST,PatchTST,36,3,128,16,64,6,3,0.537712895377129,379470,3.91
LSST,PatchTST,36,3,128,16,64,8,4,0.5551500405515004,347470,3.79
LSST,PatchTST,36,3,128,16,64,9,5,0.5425790754257908,326094,3.71
LSST,PatchTST,36,3,64,16,256,2,1,0.513787510137875,343758,2.55
LSST,PatchTST,36,3,64,16,256,3,2,0.5352798053527981,247054,2.18
LSST,PatchTST,36,3,64,16,256,4,2,0.5559610705596107,247118,2.18
LSST,PatchTST,36,3,64,16,256,6,3,0.5393349553933495,214990,2.06
LSST,PatchTST,36,3,64,16,256,8,4,0.5494728304947283,198990,2.0
LSST,PatchTST,36,3,64,16,256,9,5,0.5113544201135442,188302,1.96
LSST,PatchTST,36,3,64,16,128,2,1,0.5259529602595296,294222,2.36
