data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
Libras,PatchTST,45,3,128,16,256,2,1,0.7722222222222223,570767,4.64
Libras,PatchTST,45,3,128,16,256,3,2,0.7722222222222223,486415,4.32
Libras,PatchTST,45,3,128,16,256,4,2,0.7944444444444444,482703,4.3
Libras,PatchTST,45,3,128,16,256,5,3,0.8111111111111111,455951,4.2
Libras,PatchTST,45,3,128,16,256,7,4,0.8166666666666667,440847,4.15
Libras,PatchTST,45,3,128,16,256,9,5,0.8166666666666667,433423,4.12
Libras,PatchTST,45,3,128,16,256,12,6,0.8055555555555556,426127,4.09
Libras,PatchTST,45,3,128,16,128,2,1,0.7722222222222223,472079,4.26
Libras,PatchTST,45,3,128,16,128,3,2,0.7666666666666667,387727,3.94
Libras,PatchTST,45,3,128,16,128,4,2,0.7833333333333333,384015,3.93
Libras,PatchTST,45,3,128,16,128,5,3,0.8166666666666667,357263,3.83
Libras,PatchTST,45,3,128,16,128,7,4,0.7777777777777778,342159,3.77
Libras,PatchTST,45,3,128,16,128,9,5,0.7777777777777778,334735,3.74
Libras,PatchTST,45,3,128,16,128,12,6,0.8166666666666667,327439,3.71
Libras,PatchTST,45,3,128,16,64,2,1,0.7555555555555555,422735,4.08
Libras,PatchTST,45,3,128,16,64,3,2,0.7777777777777778,338383,3.75
Libras,PatchTST,45,3,128,16,64,4,2,0.7944444444444444,334671,3.74
Libras,PatchTST,45,3,128,16,64,5,3,0.8,307919,3.64
Libras,PatchTST,45,3,128,16,64,7,4,0.7944444444444444,292815,3.58
Libras,PatchTST,45,3,128,16,64,9,5,0.7944444444444444,285391,3.55
Libras,PatchTST,45,3,128,16,64,12,6,0.8,278095,3.52
Libras,PatchTST,45,3,64,16,256,2,1,0.7611111111111111,236623,2.14
Libras,PatchTST,45,3,64,16,256,3,2,0.7833333333333333,194447,1.98
Libras,PatchTST,45,3,64,16,256,4,2,0.7777777777777778,192591,1.98
Libras,PatchTST,45,3,64,16,256,5,3,0.7833333333333333,179215,1.93
Libras,PatchTST,45,3,64,16,256,7,4,0.8,171663,1.9
Libras,PatchTST,45,3,64,16,256,9,5,0.7722222222222223,167951,1.88
Libras,PatchTST,45,3,64,16,256,12,6,0.8,164303,1.87
