data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
PenDigits,PatchTST,8,3,128,16,256,2,1,0.9591194968553459,418442,4.06
PenDigits,PatchTST,8,3,128,16,128,2,1,0.9576901086335049,319754,3.68
PenDigits,PatchTST,8,3,128,16,64,2,1,0.9685534591194969,270410,3.49
PenDigits,PatchTST,8,3,64,16,256,2,1,0.9754145225843339,160458,1.85
PenDigits,PatchTST,8,3,64,16,128,2,1,0.9702687249857062,110922,1.67
PenDigits,PatchTST,8,3,64,16,64,2,1,0.9719839908519153,86154,1.57
PenDigits,PatchTST,8,3,32,4,256,2,1,0.9702687249857062,68330,0.89
PenDigits,PatchTST,8,3,32,4,128,2,1,0.9771297884505432,43370,0.8
PenDigits,PatchTST,8,3,32,4,64,2,1,0.9731275014293882,30890,0.75
PenDigits,PatchTST,8,3,16,4,256,2,1,0.9714122355631789,31482,0.45
PenDigits,PatchTST,8,3,16,4,128,2,1,0.9751286449399656,18810,0.4
PenDigits,PatchTST,8,3,16,4,64,2,1,0.9765580331618068,12474,0.37
PenDigits,PatchTST,8,2,128,16,256,2,1,0.9731275014293882,285962,3.55
PenDigits,PatchTST,8,2,128,16,128,2,1,0.961978273299028,220170,3.3
PenDigits,PatchTST,8,2,128,16,64,2,1,0.9696969696969697,187274,3.17
PenDigits,PatchTST,8,2,64,16,256,2,1,0.9848484848484849,110474,1.66
PenDigits,PatchTST,8,2,64,16,128,2,1,0.9765580331618068,77450,1.53
PenDigits,PatchTST,8,2,64,16,64,2,1,0.9739851343624929,60938,1.47
PenDigits,PatchTST,8,2,32,4,256,2,1,0.9742710120068611,47306,0.81
PenDigits,PatchTST,8,2,32,4,128,2,1,0.9771297884505432,30666,0.74
PenDigits,PatchTST,8,2,32,4,64,2,1,0.9731275014293882,22346,0.71
PenDigits,PatchTST,8,2,16,4,256,2,1,0.9765580331618068,21866,0.4
PenDigits,PatchTST,8,2,16,4,128,2,1,0.9748427672955975,13418,0.37
PenDigits,PatchTST,8,2,16,4,64,2,1,0.9734133790737565,9194,0.36
PenDigits,PatchTST,8,1,128,16,256,2,1,0.9694110920526015,153482,3.04
PenDigits,PatchTST,8,1,128,16,128,2,1,0.9705546026300743,120586,2.91
PenDigits,PatchTST,8,1,128,16,64,2,1,0.9711263579188107,104138,2.85
PenDigits,PatchTST,8,1,64,16,256,2,1,0.9745568896512292,60490,1.46
PenDigits,PatchTST,8,1,64,16,128,2,1,0.9779874213836478,43978,1.4
PenDigits,PatchTST,8,1,64,16,64,2,1,0.9791309319611207,35722,1.37
PenDigits,PatchTST,8,1,32,4,256,2,1,0.9731275014293882,26282,0.72
PenDigits,PatchTST,8,1,32,4,128,2,1,0.9731275014293882,17962,0.69
PenDigits,PatchTST,8,1,32,4,64,2,1,0.9742710120068611,13802,0.67
PenDigits,PatchTST,8,1,16,4,256,2,1,0.9736992567181246,12250,0.36
PenDigits,PatchTST,8,1,16,4,128,2,1,0.9725557461406518,8026,0.35
PenDigits,PatchTST,8,1,16,4,64,2,1,0.9719839908519153,5914,0.34
