data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
PhonemeSpectra,PatchTST,217,3,128,16,256,6,3,0.12913808529674917,4352167,19.07
PhonemeSpectra,PatchTST,217,3,128,16,256,11,6,0.14822546972860126,2375975,11.53
PhonemeSpectra,PatchTST,217,3,128,16,256,17,9,0.14076946018490905,1717799,9.02
PhonemeSpectra,PatchTST,217,3,128,16,256,22,11,0.1422606620936475,1443879,7.97
PhonemeSpectra,PatchTST,217,3,128,16,256,33,17,0.13301521025946914,1060903,6.51
PhonemeSpectra,PatchTST,217,3,128,16,256,44,22,0.11959439308082315,897575,5.89
PhonemeSpectra,PatchTST,217,3,128,16,256,55,28,0.11452430659111244,789159,5.47
PhonemeSpectra,PatchTST,217,3,128,16,128,6,3,0.14047121980316135,4253479,18.69
PhonemeSpectra,PatchTST,217,3,128,16,128,11,6,0.14524306591112437,2277287,11.15
PhonemeSpectra,PatchTST,217,3,128,16,128,17,9,0.14047121980316135,1619111,8.64
PhonemeSpectra,PatchTST,217,3,128,16,128,22,11,0.1413659409484044,1345191,7.59
PhonemeSpectra,PatchTST,217,3,128,16,128,33,17,0.12764688338801072,962215,6.13
PhonemeSpectra,PatchTST,217,3,128,16,128,44,22,0.11899791231732777,798887,5.51
PhonemeSpectra,PatchTST,217,3,128,16,128,55,28,0.1154190277363555,690471,5.1
PhonemeSpectra,PatchTST,217,3,128,16,64,6,3,0.13689233522218908,4204135,18.5
PhonemeSpectra,PatchTST,217,3,128,16,64,11,6,0.1416641813301521,2227943,10.96
PhonemeSpectra,PatchTST,217,3,128,16,64,17,9,0.14345362362063824,1569767,8.45
PhonemeSpectra,PatchTST,217,3,128,16,64,22,11,0.13987473903966596,1295847,7.41
PhonemeSpectra,PatchTST,217,3,128,16,64,33,17,0.1258574410975246,912871,5.95
PhonemeSpectra,PatchTST,217,3,128,16,64,44,22,0.12406799880703848,749543,5.32
PhonemeSpectra,PatchTST,217,3,128,16,64,55,28,0.1207873546078139,641127,4.91
PhonemeSpectra,PatchTST,217,3,64,16,256,6,3,0.12973456606024455,2127335,9.36
PhonemeSpectra,PatchTST,217,3,64,16,256,11,6,0.13987473903966596,1139239,5.59
PhonemeSpectra,PatchTST,217,3,64,16,256,17,9,0.144646585147629,810151,4.33
PhonemeSpectra,PatchTST,217,3,64,16,256,22,11,0.13719057560393677,673191,3.81
PhonemeSpectra,PatchTST,217,3,64,16,256,33,17,0.1306292872054876,481703,3.08
PhonemeSpectra,PatchTST,217,3,64,16,256,44,22,0.12466447957053385,400039,2.77
PhonemeSpectra,PatchTST,217,3,64,16,256,55,28,0.113033104682374,345831,2.56
PhonemeSpectra,PatchTST,217,3,64,16,128,6,3,0.1234715180435431,2077799,9.17
PhonemeSpectra,PatchTST,217,3,64,16,128,11,6,0.14643602743811512,1089703,5.4
PhonemeSpectra,PatchTST,217,3,64,16,128,17,9,0.14524306591112437,760615,4.14
PhonemeSpectra,PatchTST,217,3,64,16,128,22,11,0.14315538323889054,623655,3.62
PhonemeSpectra,PatchTST,217,3,64,16,128,33,17,0.12705040262451536,432167,2.89
PhonemeSpectra,PatchTST,217,3,64,16,128,44,22,0.12555920071577692,350503,2.58
PhonemeSpectra,PatchTST,217,3,64,16,128,55,28,0.12108559498956159,296295,2.37
PhonemeSpectra,PatchTST,217,3,64,16,64,6,3,0.13212048911422605,2053031,9.07
PhonemeSpectra,PatchTST,217,3,64,16,64,11,6,0.15090963316433045,1064935,5.3
PhonemeSpectra,PatchTST,217,3,64,16,64,17,9,0.14345362362063824,735847,4.05
PhonemeSpectra,PatchTST,217,3,64,16,64,22,11,0.14583954667461974,598887,3.53
PhonemeSpectra,PatchTST,217,3,64,16,64,33,17,0.13540113331345063,407399,2.8
PhonemeSpectra,PatchTST,217,3,64,16,64,44,22,0.11780495079033701,325735,2.48
PhonemeSpectra,PatchTST,217,3,64,16,64,55,28,0.11631374888159857,271527,2.28
PhonemeSpectra,PatchTST,217,3,32,4,256,6,3,0.12168207575305696,1051783,4.64
PhonemeSpectra,PatchTST,217,3,32,4,256,11,6,0.13033104682373994,557735,2.76
PhonemeSpectra,PatchTST,217,3,32,4,256,17,9,0.13450641216820758,393191,2.13
PhonemeSpectra,PatchTST,217,3,32,4,256,22,11,0.12376975842529078,324711,1.87
PhonemeSpectra,PatchTST,217,3,32,4,256,33,17,0.12138383537130927,228967,1.51
PhonemeSpectra,PatchTST,217,3,32,4,256,44,22,0.11959439308082315,188135,1.35
PhonemeSpectra,PatchTST,217,3,32,4,256,55,28,0.1103489412466448,161031,1.25
PhonemeSpectra,PatchTST,217,3,32,4,128,6,3,0.12257679689830003,1026823,4.55
PhonemeSpectra,PatchTST,217,3,32,4,128,11,6,0.1309275275872353,532775,2.66
PhonemeSpectra,PatchTST,217,3,32,4,128,17,9,0.1315240083507307,368231,2.04
PhonemeSpectra,PatchTST,217,3,32,4,128,22,11,0.1318222487324784,299751,1.77
PhonemeSpectra,PatchTST,217,3,32,4,128,33,17,0.1234715180435431,204007,1.41
PhonemeSpectra,PatchTST,217,3,32,4,128,44,22,0.11452430659111244,163175,1.25
PhonemeSpectra,PatchTST,217,3,32,4,128,55,28,0.12138383537130927,136071,1.15
PhonemeSpectra,PatchTST,217,3,32,4,64,6,3,0.12198031613480466,1014343,4.5
PhonemeSpectra,PatchTST,217,3,32,4,64,11,6,0.1309275275872353,520295,2.62
PhonemeSpectra,PatchTST,217,3,32,4,64,17,9,0.1318222487324784,355751,1.99
PhonemeSpectra,PatchTST,217,3,32,4,64,22,11,0.1282433641515061,287271,1.73
PhonemeSpectra,PatchTST,217,3,32,4,64,33,17,0.12048911422606622,191527,1.36
PhonemeSpectra,PatchTST,217,3,32,4,64,44,22,0.1181031911720847,150695,1.21
PhonemeSpectra,PatchTST,217,3,32,4,64,55,28,0.1154190277363555,123591,1.1
PhonemeSpectra,PatchTST,217,3,16,4,256,6,3,0.10975246048314942,523223,2.32
PhonemeSpectra,PatchTST,217,3,16,4,256,11,6,0.11720847002684164,276199,1.38
PhonemeSpectra,PatchTST,217,3,16,4,256,17,9,0.10915597971965404,193927,1.07
PhonemeSpectra,PatchTST,217,3,16,4,256,22,11,0.1234715180435431,159687,0.94
PhonemeSpectra,PatchTST,217,3,16,4,256,33,17,0.12108559498956159,111815,0.75
PhonemeSpectra,PatchTST,217,3,16,4,256,44,22,0.11482254697286012,91399,0.67
PhonemeSpectra,PatchTST,217,3,16,4,256,55,28,0.1103489412466448,77847,0.62
PhonemeSpectra,PatchTST,217,3,16,4,128,6,3,0.11333134506412168,510551,2.27
PhonemeSpectra,PatchTST,217,3,16,4,128,11,6,0.12496271995228155,263527,1.33
PhonemeSpectra,PatchTST,217,3,16,4,128,17,9,0.12436623918878616,181255,1.02
PhonemeSpectra,PatchTST,217,3,16,4,128,22,11,0.12168207575305696,147015,0.89
PhonemeSpectra,PatchTST,217,3,16,4,128,33,17,0.12168207575305696,99143,0.7
PhonemeSpectra,PatchTST,217,3,16,4,128,44,22,0.11154190277363556,78727,0.63
PhonemeSpectra,PatchTST,217,3,16,4,128,55,28,0.11392782582761705,65175,0.57
PhonemeSpectra,PatchTST,217,3,16,4,64,6,3,0.113033104682374,504215,2.25
PhonemeSpectra,PatchTST,217,3,16,4,64,11,6,0.1207873546078139,257191,1.31
PhonemeSpectra,PatchTST,217,3,16,4,64,17,9,0.11362958544586937,174919,0.99
PhonemeSpectra,PatchTST,217,3,16,4,64,22,11,0.12287503728004771,140679,0.86
PhonemeSpectra,PatchTST,217,3,16,4,64,33,17,0.11959439308082315,92807,0.68
PhonemeSpectra,PatchTST,217,3,16,4,64,44,22,0.10736653742916791,72391,0.6
PhonemeSpectra,PatchTST,217,3,16,4,64,55,28,0.10557709513868178,58839,0.55
PhonemeSpectra,PatchTST,217,2,128,16,256,6,3,0.14375186400238593,4219687,18.55
PhonemeSpectra,PatchTST,217,2,128,16,256,11,6,0.14822546972860126,2243495,11.02
PhonemeSpectra,PatchTST,217,2,128,16,256,17,9,0.13689233522218908,1585319,8.51
PhonemeSpectra,PatchTST,217,2,128,16,256,22,11,0.13569937369519833,1311399,7.46
PhonemeSpectra,PatchTST,217,2,128,16,256,33,17,0.12466447957053385,928423,6.0
PhonemeSpectra,PatchTST,217,2,128,16,256,44,22,0.11780495079033701,765095,5.38
PhonemeSpectra,PatchTST,217,2,128,16,256,55,28,0.1154190277363555,656679,4.96
PhonemeSpectra,PatchTST,217,2,128,16,128,6,3,0.13987473903966596,4153895,18.3
PhonemeSpectra,PatchTST,217,2,128,16,128,11,6,0.14792722934685357,2177703,10.76
PhonemeSpectra,PatchTST,217,2,128,16,128,17,9,0.1416641813301521,1519527,8.25
PhonemeSpectra,PatchTST,217,2,128,16,128,22,11,0.13808529674917983,1245607,7.21
PhonemeSpectra,PatchTST,217,2,128,16,128,33,17,0.12257679689830003,862631,5.75
PhonemeSpectra,PatchTST,217,2,128,16,128,44,22,0.11929615269907545,699303,5.13
PhonemeSpectra,PatchTST,217,2,128,16,128,55,28,0.11869967193558008,590887,4.71
PhonemeSpectra,PatchTST,217,2,128,16,64,6,3,0.13569937369519833,4120999,18.18
PhonemeSpectra,PatchTST,217,2,128,16,64,11,6,0.1422606620936475,2144807,10.64
PhonemeSpectra,PatchTST,217,2,128,16,64,17,9,0.13689233522218908,1486631,8.13
PhonemeSpectra,PatchTST,217,2,128,16,64,22,11,0.13540113331345063,1212711,7.08
PhonemeSpectra,PatchTST,217,2,128,16,64,33,17,0.1285416045332538,829735,5.62
PhonemeSpectra,PatchTST,217,2,128,16,64,44,22,0.11959439308082315,666407,5.0
PhonemeSpectra,PatchTST,217,2,128,16,64,55,28,0.11601550849985089,557991,4.59
PhonemeSpectra,PatchTST,217,2,64,16,256,6,3,0.1288398449150015,2077351,9.16
PhonemeSpectra,PatchTST,217,2,64,16,256,11,6,0.1413659409484044,1089255,5.39
PhonemeSpectra,PatchTST,217,2,64,16,256,17,9,0.14703250820161048,760167,4.14
PhonemeSpectra,PatchTST,217,2,64,16,256,22,11,0.14315538323889054,623207,3.61
