data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
RacketSports,PatchTST,30,3,128,16,256,2,1,0.8486842105263158,490116,4.33
RacketSports,PatchTST,30,3,128,16,256,3,2,0.8289473684210527,444164,4.16
RacketSports,PatchTST,30,3,128,16,256,5,3,0.8289473684210527,429060,4.1
RacketSports,PatchTST,30,3,128,16,256,6,3,0.8157894736842105,429188,4.1
RacketSports,PatchTST,30,3,128,16,256,8,4,0.8026315789473685,420228,4.07
RacketSports,PatchTST,30,3,128,16,128,2,1,0.8355263157894737,391428,3.96
RacketSports,PatchTST,30,3,128,16,128,3,2,0.8289473684210527,345476,3.78
RacketSports,PatchTST,30,3,128,16,128,5,3,0.8355263157894737,330372,3.72
RacketSports,PatchTST,30,3,128,16,128,6,3,0.8157894736842105,330500,3.72
RacketSports,PatchTST,30,3,128,16,128,8,4,0.8026315789473685,321540,3.69
RacketSports,PatchTST,30,3,128,16,64,2,1,0.8421052631578947,342084,3.77
RacketSports,PatchTST,30,3,128,16,64,3,2,0.8486842105263158,296132,3.59
RacketSports,PatchTST,30,3,128,16,64,5,3,0.8289473684210527,281028,3.54
RacketSports,PatchTST,30,3,128,16,64,6,3,0.8289473684210527,281156,3.54
RacketSports,PatchTST,30,3,128,16,64,8,4,0.8026315789473685,272196,3.5
RacketSports,PatchTST,30,3,64,16,256,2,1,0.8486842105263158,196292,1.99
RacketSports,PatchTST,30,3,64,16,256,3,2,0.8421052631578947,173316,1.9
RacketSports,PatchTST,30,3,64,16,256,5,3,0.8355263157894737,165764,1.87
RacketSports,PatchTST,30,3,64,16,256,6,3,0.8157894736842105,165828,1.87
RacketSports,PatchTST,30,3,64,16,256,8,4,0.8157894736842105,161348,1.86
RacketSports,PatchTST,30,3,64,16,128,2,1,0.8289473684210527,146756,1.8
RacketSports,PatchTST,30,3,64,16,128,3,2,0.8289473684210527,123780,1.71
RacketSports,PatchTST,30,3,64,16,128,5,3,0.8355263157894737,116228,1.69
RacketSports,PatchTST,30,3,64,16,128,6,3,0.8289473684210527,116292,1.69
RacketSports,PatchTST,30,3,64,16,128,8,4,0.8026315789473685,111812,1.67
RacketSports,PatchTST,30,3,64,16,64,2,1,0.8421052631578947,121988,1.71
RacketSports,PatchTST,30,3,64,16,64,3,2,0.8289473684210527,99012,1.62
RacketSports,PatchTST,30,3,64,16,64,5,3,0.8223684210526315,91460,1.59
RacketSports,PatchTST,30,3,64,16,64,6,3,0.8157894736842105,91524,1.59
RacketSports,PatchTST,30,3,64,16,64,8,4,0.8026315789473685,87044,1.57
RacketSports,PatchTST,30,3,32,4,256,2,1,0.8223684210526315,86244,0.96
RacketSports,PatchTST,30,3,32,4,256,3,2,0.8223684210526315,74756,0.92
RacketSports,PatchTST,30,3,32,4,256,5,3,0.8157894736842105,70980,0.9
RacketSports,PatchTST,30,3,32,4,256,6,3,0.8223684210526315,71012,0.9
RacketSports,PatchTST,30,3,32,4,256,8,4,0.8092105263157895,68772,0.89
RacketSports,PatchTST,30,3,32,4,128,2,1,0.8355263157894737,61284,0.87
RacketSports,PatchTST,30,3,32,4,128,3,2,0.8092105263157895,49796,0.82
RacketSports,PatchTST,30,3,32,4,128,5,3,0.8289473684210527,46020,0.81
RacketSports,PatchTST,30,3,32,4,128,6,3,0.8092105263157895,46052,0.81
RacketSports,PatchTST,30,3,32,4,128,8,4,0.7828947368421053,43812,0.8
RacketSports,PatchTST,30,3,32,4,64,2,1,0.8289473684210527,48804,0.82
RacketSports,PatchTST,30,3,32,4,64,3,2,0.8223684210526315,37316,0.77
RacketSports,PatchTST,30,3,32,4,64,5,3,0.8092105263157895,33540,0.76
RacketSports,PatchTST,30,3,32,4,64,6,3,0.8026315789473685,33572,0.76
RacketSports,PatchTST,30,3,32,4,64,8,4,0.8223684210526315,31332,0.75
RacketSports,PatchTST,30,3,16,4,256,2,1,0.8157894736842105,40436,0.48
RacketSports,PatchTST,30,3,16,4,256,3,2,0.8223684210526315,34692,0.46
