data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
SelfRegulationSCP2,PatchTST,1152,3,128,16,256,29,15,0.49444444444444446,537602,4.51
SelfRegulationSCP2,PatchTST,1152,3,128,16,256,58,29,0.5555555555555556,475010,4.28
SelfRegulationSCP2,PatchTST,1152,3,128,16,256,87,44,0.5444444444444444,455426,4.2
SelfRegulationSCP2,PatchTST,1152,3,128,16,256,116,58,0.5388888888888889,446594,4.17
SelfRegulationSCP2,PatchTST,1152,3,128,16,256,173,87,0.5222222222222223,443138,4.15
SelfRegulationSCP2,PatchTST,1152,3,128,16,256,231,116,0.5388888888888889,443394,4.15
SelfRegulationSCP2,PatchTST,1152,3,128,16,256,288,144,0.5166666666666667,448898,4.18
SelfRegulationSCP2,PatchTST,1152,3,128,16,128,29,15,0.5277777777777778,438914,4.14
SelfRegulationSCP2,PatchTST,1152,3,128,16,128,58,29,0.5166666666666667,376322,3.9
SelfRegulationSCP2,PatchTST,1152,3,128,16,128,87,44,0.5444444444444444,356738,3.82
SelfRegulationSCP2,PatchTST,1152,3,128,16,128,116,58,0.5277777777777778,347906,3.79
SelfRegulationSCP2,PatchTST,1152,3,128,16,128,173,87,0.5611111111111111,344450,3.78
SelfRegulationSCP2,PatchTST,1152,3,128,16,128,231,116,0.6055555555555555,344706,3.78
SelfRegulationSCP2,PatchTST,1152,3,128,16,128,288,144,0.5444444444444444,350210,3.8
SelfRegulationSCP2,PatchTST,1152,3,128,16,64,29,15,0.5277777777777778,389570,3.95
SelfRegulationSCP2,PatchTST,1152,3,128,16,64,58,29,0.5111111111111111,326978,3.71
SelfRegulationSCP2,PatchTST,1152,3,128,16,64,87,44,0.5277777777777778,307394,3.64
SelfRegulationSCP2,PatchTST,1152,3,128,16,64,116,58,0.5277777777777778,298562,3.6
SelfRegulationSCP2,PatchTST,1152,3,128,16,64,173,87,0.5388888888888889,295106,3.59
SelfRegulationSCP2,PatchTST,1152,3,128,16,64,231,116,0.5222222222222223,295362,3.59
SelfRegulationSCP2,PatchTST,1152,3,128,16,64,288,144,0.5333333333333333,300866,3.61
SelfRegulationSCP2,PatchTST,1152,3,64,16,256,29,15,0.5055555555555555,220034,2.08
SelfRegulationSCP2,PatchTST,1152,3,64,16,256,58,29,0.5166666666666667,188738,1.96
SelfRegulationSCP2,PatchTST,1152,3,64,16,256,87,44,0.5555555555555556,178946,1.92
SelfRegulationSCP2,PatchTST,1152,3,64,16,256,116,58,0.5388888888888889,174530,1.91
SelfRegulationSCP2,PatchTST,1152,3,64,16,256,173,87,0.5666666666666667,172802,1.9
SelfRegulationSCP2,PatchTST,1152,3,64,16,256,231,116,0.5222222222222223,172930,1.9
SelfRegulationSCP2,PatchTST,1152,3,64,16,256,288,144,0.5277777777777778,175682,1.91
SelfRegulationSCP2,PatchTST,1152,3,64,16,128,29,15,0.5277777777777778,170498,1.89
SelfRegulationSCP2,PatchTST,1152,3,64,16,128,58,29,0.5222222222222223,139202,1.77
SelfRegulationSCP2,PatchTST,1152,3,64,16,128,87,44,0.5444444444444444,129410,1.74
SelfRegulationSCP2,PatchTST,1152,3,64,16,128,116,58,0.5222222222222223,124994,1.72
SelfRegulationSCP2,PatchTST,1152,3,64,16,128,173,87,0.5277777777777778,123266,1.71
SelfRegulationSCP2,PatchTST,1152,3,64,16,128,231,116,0.5166666666666667,123394,1.71
SelfRegulationSCP2,PatchTST,1152,3,64,16,128,288,144,0.5555555555555556,126146,1.72
SelfRegulationSCP2,PatchTST,1152,3,64,16,64,29,15,0.55,145730,1.8
SelfRegulationSCP2,PatchTST,1152,3,64,16,64,58,29,0.5555555555555556,114434,1.68
SelfRegulationSCP2,PatchTST,1152,3,64,16,64,87,44,0.5833333333333334,104642,1.64
SelfRegulationSCP2,PatchTST,1152,3,64,16,64,116,58,0.5555555555555556,100226,1.62
SelfRegulationSCP2,PatchTST,1152,3,64,16,64,173,87,0.6166666666666667,98498,1.62
SelfRegulationSCP2,PatchTST,1152,3,64,16,64,231,116,0.5333333333333333,98626,1.62
SelfRegulationSCP2,PatchTST,1152,3,64,16,64,288,144,0.5111111111111111,101378,1.63
SelfRegulationSCP2,PatchTST,1152,3,32,4,256,29,15,0.5055555555555555,98114,1.01
SelfRegulationSCP2,PatchTST,1152,3,32,4,256,58,29,0.5222222222222223,82466,0.95
SelfRegulationSCP2,PatchTST,1152,3,32,4,256,87,44,0.5555555555555556,77570,0.93
SelfRegulationSCP2,PatchTST,1152,3,32,4,256,116,58,0.5222222222222223,75362,0.92
SelfRegulationSCP2,PatchTST,1152,3,32,4,256,173,87,0.5611111111111111,74498,0.92
SelfRegulationSCP2,PatchTST,1152,3,32,4,256,231,116,0.5222222222222223,74562,0.92
SelfRegulationSCP2,PatchTST,1152,3,32,4,256,288,144,0.5722222222222222,75938,0.92
SelfRegulationSCP2,PatchTST,1152,3,32,4,128,29,15,0.5222222222222223,73154,0.91
SelfRegulationSCP2,PatchTST,1152,3,32,4,128,58,29,0.5111111111111111,57506,0.85
SelfRegulationSCP2,PatchTST,1152,3,32,4,128,87,44,0.5388888888888889,52610,0.83
SelfRegulationSCP2,PatchTST,1152,3,32,4,128,116,58,0.5333333333333333,50402,0.82
SelfRegulationSCP2,PatchTST,1152,3,32,4,128,173,87,0.5166666666666667,49538,0.82
SelfRegulationSCP2,PatchTST,1152,3,32,4,128,231,116,0.5222222222222223,49602,0.82
SelfRegulationSCP2,PatchTST,1152,3,32,4,128,288,144,0.5111111111111111,50978,0.83
SelfRegulationSCP2,PatchTST,1152,3,32,4,64,29,15,0.5444444444444444,60674,0.86
SelfRegulationSCP2,PatchTST,1152,3,32,4,64,58,29,0.5277777777777778,45026,0.8
SelfRegulationSCP2,PatchTST,1152,3,32,4,64,87,44,0.5611111111111111,40130,0.78
SelfRegulationSCP2,PatchTST,1152,3,32,4,64,116,58,0.5388888888888889,37922,0.78
SelfRegulationSCP2,PatchTST,1152,3,32,4,64,173,87,0.5444444444444444,37058,0.77
SelfRegulationSCP2,PatchTST,1152,3,32,4,64,231,116,0.5333333333333333,37122,0.77
SelfRegulationSCP2,PatchTST,1152,3,32,4,64,288,144,0.5222222222222223,38498,0.78
SelfRegulationSCP2,PatchTST,1152,3,16,4,256,29,15,0.5388888888888889,46370,0.5
SelfRegulationSCP2,PatchTST,1152,3,16,4,256,58,29,0.5222222222222223,38546,0.47
SelfRegulationSCP2,PatchTST,1152,3,16,4,256,87,44,0.5555555555555556,36098,0.46
SelfRegulationSCP2,PatchTST,1152,3,16,4,256,116,58,0.5611111111111111,34994,0.46
SelfRegulationSCP2,PatchTST,1152,3,16,4,256,173,87,0.5388888888888889,34562,0.46
SelfRegulationSCP2,PatchTST,1152,3,16,4,256,231,116,0.5444444444444444,34594,0.46
SelfRegulationSCP2,PatchTST,1152,3,16,4,256,288,144,0.5333333333333333,35282,0.46
SelfRegulationSCP2,PatchTST,1152,3,16,4,128,29,15,0.55,33698,0.45
SelfRegulationSCP2,PatchTST,1152,3,16,4,128,58,29,0.5111111111111111,25874,0.42
SelfRegulationSCP2,PatchTST,1152,3,16,4,128,87,44,0.5611111111111111,23426,0.42
SelfRegulationSCP2,PatchTST,1152,3,16,4,128,116,58,0.5611111111111111,22322,0.41
SelfRegulationSCP2,PatchTST,1152,3,16,4,128,173,87,0.5444444444444444,21890,0.41
SelfRegulationSCP2,PatchTST,1152,3,16,4,128,231,116,0.5333333333333333,21922,0.41
SelfRegulationSCP2,PatchTST,1152,3,16,4,128,288,144,0.55,22610,0.41
SelfRegulationSCP2,PatchTST,1152,3,16,4,64,29,15,0.5166666666666667,27362,0.43
SelfRegulationSCP2,PatchTST,1152,3,16,4,64,58,29,0.49444444444444446,19538,0.4
SelfRegulationSCP2,PatchTST,1152,3,16,4,64,87,44,0.5277777777777778,17090,0.39
SelfRegulationSCP2,PatchTST,1152,3,16,4,64,116,58,0.6,15986,0.39
SelfRegulationSCP2,PatchTST,1152,3,16,4,64,173,87,0.5611111111111111,15554,0.39
SelfRegulationSCP2,PatchTST,1152,3,16,4,64,231,116,0.5888888888888889,15586,0.39
SelfRegulationSCP2,PatchTST,1152,3,16,4,64,288,144,0.5333333333333333,16274,0.39
SelfRegulationSCP2,PatchTST,1152,2,128,16,256,29,15,0.5111111111111111,405122,4.0
SelfRegulationSCP2,PatchTST,1152,2,128,16,256,58,29,0.5277777777777778,342530,3.76
SelfRegulationSCP2,PatchTST,1152,2,128,16,256,87,44,0.5333333333333333,322946,3.69
SelfRegulationSCP2,PatchTST,1152,2,128,16,256,116,58,0.5277777777777778,314114,3.66
SelfRegulationSCP2,PatchTST,1152,2,128,16,256,173,87,0.5166666666666667,310658,3.64
SelfRegulationSCP2,PatchTST,1152,2,128,16,256,231,116,0.5888888888888889,310914,3.64
SelfRegulationSCP2,PatchTST,1152,2,128,16,256,288,144,0.5833333333333334,316418,3.66
SelfRegulationSCP2,PatchTST,1152,2,128,16,128,29,15,0.5111111111111111,339330,3.75
SelfRegulationSCP2,PatchTST,1152,2,128,16,128,58,29,0.5388888888888889,276738,3.51
SelfRegulationSCP2,PatchTST,1152,2,128,16,128,87,44,0.5277777777777778,257154,3.44
SelfRegulationSCP2,PatchTST,1152,2,128,16,128,116,58,0.5277777777777778,248322,3.4
SelfRegulationSCP2,PatchTST,1152,2,128,16,128,173,87,0.5444444444444444,244866,3.39
SelfRegulationSCP2,PatchTST,1152,2,128,16,128,231,116,0.6,245122,3.39
SelfRegulationSCP2,PatchTST,1152,2,128,16,128,288,144,0.5222222222222223,250626,3.41
SelfRegulationSCP2,PatchTST,1152,2,128,16,64,29,15,0.5277777777777778,306434,3.63
SelfRegulationSCP2,PatchTST,1152,2,128,16,64,58,29,0.5333333333333333,243842,3.39
SelfRegulationSCP2,PatchTST,1152,2,128,16,64,87,44,0.5222222222222223,224258,3.31
SelfRegulationSCP2,PatchTST,1152,2,128,16,64,116,58,0.5277777777777778,215426,3.28
SelfRegulationSCP2,PatchTST,1152,2,128,16,64,173,87,0.5277777777777778,211970,3.27
SelfRegulationSCP2,PatchTST,1152,2,128,16,64,231,116,0.5166666666666667,212226,3.27
SelfRegulationSCP2,PatchTST,1152,2,128,16,64,288,144,0.5388888888888889,217730,3.29
SelfRegulationSCP2,PatchTST,1152,2,64,16,256,29,15,0.5388888888888889,170050,1.89
SelfRegulationSCP2,PatchTST,1152,2,64,16,256,58,29,0.5222222222222223,138754,1.77
SelfRegulationSCP2,PatchTST,1152,2,64,16,256,87,44,0.5444444444444444,128962,1.73
SelfRegulationSCP2,PatchTST,1152,2,64,16,256,116,58,0.5666666666666667,124546,1.71
SelfRegulationSCP2,PatchTST,1152,2,64,16,256,173,87,0.55,122818,1.7
SelfRegulationSCP2,PatchTST,1152,2,64,16,256,231,116,0.5222222222222223,122946,1.71
SelfRegulationSCP2,PatchTST,1152,2,64,16,256,288,144,0.5166666666666667,125698,1.72
SelfRegulationSCP2,PatchTST,1152,2,64,16,128,29,15,0.5277777777777778,137026,1.76
SelfRegulationSCP2,PatchTST,1152,2,64,16,128,58,29,0.5388888888888889,105730,1.64
SelfRegulationSCP2,PatchTST,1152,2,64,16,128,87,44,0.5611111111111111,95938,1.6
SelfRegulationSCP2,PatchTST,1152,2,64,16,128,116,58,0.5333333333333333,91522,1.59
SelfRegulationSCP2,PatchTST,1152,2,64,16,128,173,87,0.5333333333333333,89794,1.58
