data_name,model,seq_len,n_layers,d_model,num_heads,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
StandWalkJump,PatchTST,2500,3,128,16,256,63,32,0.4666666666666667,525571,4.47
StandWalkJump,PatchTST,2500,3,128,16,256,125,63,0.6,473603,4.27
StandWalkJump,PatchTST,2500,3,128,16,256,188,94,0.4666666666666667,461699,4.22
StandWalkJump,PatchTST,2500,3,128,16,256,250,125,0.4,460419,4.22
StandWalkJump,PatchTST,2500,3,128,16,256,375,188,0.5333333333333333,465667,4.24
StandWalkJump,PatchTST,2500,3,128,16,256,500,250,0.5333333333333333,477059,4.28
StandWalkJump,PatchTST,2500,3,128,16,256,625,313,0.6666666666666666,488451,4.33
StandWalkJump,PatchTST,2500,3,128,16,128,63,32,0.5333333333333333,426883,4.09
StandWalkJump,PatchTST,2500,3,128,16,128,125,63,0.6,374915,3.89
StandWalkJump,PatchTST,2500,3,128,16,128,188,94,0.4,363011,3.85
StandWalkJump,PatchTST,2500,3,128,16,128,250,125,0.5333333333333333,361731,3.84
StandWalkJump,PatchTST,2500,3,128,16,128,375,188,0.4666666666666667,366979,3.86
StandWalkJump,PatchTST,2500,3,128,16,128,500,250,0.6,378371,3.91
StandWalkJump,PatchTST,2500,3,128,16,128,625,313,0.5333333333333333,389763,3.95
StandWalkJump,PatchTST,2500,3,128,16,64,63,32,0.5333333333333333,377539,3.9
StandWalkJump,PatchTST,2500,3,128,16,64,125,63,0.6666666666666666,325571,3.71
StandWalkJump,PatchTST,2500,3,128,16,64,188,94,0.4666666666666667,313667,3.66
StandWalkJump,PatchTST,2500,3,128,16,64,250,125,0.6666666666666666,312387,3.66
StandWalkJump,PatchTST,2500,3,128,16,64,375,188,0.3333333333333333,317635,3.68
StandWalkJump,PatchTST,2500,3,128,16,64,500,250,0.6,329027,3.72
StandWalkJump,PatchTST,2500,3,128,16,64,625,313,0.6666666666666666,340419,3.76
StandWalkJump,PatchTST,2500,3,64,16,256,63,32,0.4666666666666667,214019,2.06
StandWalkJump,PatchTST,2500,3,64,16,256,125,63,0.6666666666666666,188035,1.96
StandWalkJump,PatchTST,2500,3,64,16,256,188,94,0.6,182083,1.94
StandWalkJump,PatchTST,2500,3,64,16,256,250,125,0.4666666666666667,181443,1.93
StandWalkJump,PatchTST,2500,3,64,16,256,375,188,0.4,184067,1.94
StandWalkJump,PatchTST,2500,3,64,16,256,500,250,0.5333333333333333,189763,1.97
StandWalkJump,PatchTST,2500,3,64,16,256,625,313,0.4,195459,1.99
StandWalkJump,PatchTST,2500,3,64,16,128,63,32,0.4666666666666667,164483,1.87
StandWalkJump,PatchTST,2500,3,64,16,128,125,63,0.4666666666666667,138499,1.77
StandWalkJump,PatchTST,2500,3,64,16,128,188,94,0.5333333333333333,132547,1.75
StandWalkJump,PatchTST,2500,3,64,16,128,250,125,0.4,131907,1.75
StandWalkJump,PatchTST,2500,3,64,16,128,375,188,0.6,134531,1.76
StandWalkJump,PatchTST,2500,3,64,16,128,500,250,0.4666666666666667,140227,1.78
StandWalkJump,PatchTST,2500,3,64,16,128,625,313,0.7333333333333333,145923,1.8
StandWalkJump,PatchTST,2500,3,64,16,64,63,32,0.6666666666666666,139715,1.78
StandWalkJump,PatchTST,2500,3,64,16,64,125,63,0.5333333333333333,113731,1.68
StandWalkJump,PatchTST,2500,3,64,16,64,188,94,0.6666666666666666,107779,1.65
StandWalkJump,PatchTST,2500,3,64,16,64,250,125,0.4666666666666667,107139,1.65
StandWalkJump,PatchTST,2500,3,64,16,64,375,188,0.4,109763,1.66
StandWalkJump,PatchTST,2500,3,64,16,64,500,250,0.5333333333333333,115459,1.68
StandWalkJump,PatchTST,2500,3,64,16,64,625,313,0.4666666666666667,121155,1.7
StandWalkJump,PatchTST,2500,3,32,4,256,63,32,0.4,95107,0.99
StandWalkJump,PatchTST,2500,3,32,4,256,125,63,0.4666666666666667,82115,0.94
StandWalkJump,PatchTST,2500,3,32,4,256,188,94,0.3333333333333333,79139,0.93
StandWalkJump,PatchTST,2500,3,32,4,256,250,125,0.4666666666666667,78819,0.93
StandWalkJump,PatchTST,2500,3,32,4,256,375,188,0.3333333333333333,80131,0.94
StandWalkJump,PatchTST,2500,3,32,4,256,500,250,0.26666666666666666,82979,0.95
StandWalkJump,PatchTST,2500,3,32,4,256,625,313,0.4666666666666667,85827,0.96
StandWalkJump,PatchTST,2500,3,32,4,128,63,32,0.3333333333333333,70147,0.9
StandWalkJump,PatchTST,2500,3,32,4,128,125,63,0.4,57155,0.85
StandWalkJump,PatchTST,2500,3,32,4,128,188,94,0.8666666666666667,54179,0.84
StandWalkJump,PatchTST,2500,3,32,4,128,250,125,0.26666666666666666,53859,0.84
StandWalkJump,PatchTST,2500,3,32,4,128,375,188,0.4666666666666667,55171,0.84
StandWalkJump,PatchTST,2500,3,32,4,128,500,250,0.6666666666666666,58019,0.85
StandWalkJump,PatchTST,2500,3,32,4,128,625,313,0.4,60867,0.86
StandWalkJump,PatchTST,2500,3,32,4,64,63,32,0.6,57667,0.85
StandWalkJump,PatchTST,2500,3,32,4,64,125,63,0.4666666666666667,44675,0.8
StandWalkJump,PatchTST,2500,3,32,4,64,188,94,0.5333333333333333,41699,0.79
StandWalkJump,PatchTST,2500,3,32,4,64,250,125,0.4666666666666667,41379,0.79
StandWalkJump,PatchTST,2500,3,32,4,64,375,188,0.6,42691,0.79
StandWalkJump,PatchTST,2500,3,32,4,64,500,250,0.6666666666666666,45539,0.81
StandWalkJump,PatchTST,2500,3,32,4,64,625,313,0.5333333333333333,48387,0.82
StandWalkJump,PatchTST,2500,3,16,4,256,63,32,0.4,44867,0.5
StandWalkJump,PatchTST,2500,3,16,4,256,125,63,0.4,38371,0.47
StandWalkJump,PatchTST,2500,3,16,4,256,188,94,0.3333333333333333,36883,0.47
StandWalkJump,PatchTST,2500,3,16,4,256,250,125,0.5333333333333333,36723,0.47
StandWalkJump,PatchTST,2500,3,16,4,256,375,188,0.4,37379,0.47
StandWalkJump,PatchTST,2500,3,16,4,256,500,250,0.3333333333333333,38803,0.47
StandWalkJump,PatchTST,2500,3,16,4,256,625,313,0.5333333333333333,40227,0.48
StandWalkJump,PatchTST,2500,3,16,4,128,63,32,0.6,32195,0.45
StandWalkJump,PatchTST,2500,3,16,4,128,125,63,0.3333333333333333,25699,0.42
StandWalkJump,PatchTST,2500,3,16,4,128,188,94,0.4666666666666667,24211,0.42
StandWalkJump,PatchTST,2500,3,16,4,128,250,125,0.3333333333333333,24051,0.42
StandWalkJump,PatchTST,2500,3,16,4,128,375,188,0.2,24707,0.42
StandWalkJump,PatchTST,2500,3,16,4,128,500,250,0.4,26131,0.43
StandWalkJump,PatchTST,2500,3,16,4,128,625,313,0.2,27555,0.43
StandWalkJump,PatchTST,2500,3,16,4,64,63,32,0.3333333333333333,25859,0.42
StandWalkJump,PatchTST,2500,3,16,4,64,125,63,0.4666666666666667,19363,0.4
StandWalkJump,PatchTST,2500,3,16,4,64,188,94,0.4,17875,0.39
StandWalkJump,PatchTST,2500,3,16,4,64,250,125,0.3333333333333333,17715,0.39
StandWalkJump,PatchTST,2500,3,16,4,64,375,188,0.5333333333333333,18371,0.4
StandWalkJump,PatchTST,2500,3,16,4,64,500,250,0.2,19795,0.4
StandWalkJump,PatchTST,2500,3,16,4,64,625,313,0.6,21219,0.41
StandWalkJump,PatchTST,2500,2,128,16,256,63,32,0.4666666666666667,393091,3.96
StandWalkJump,PatchTST,2500,2,128,16,256,125,63,0.5333333333333333,341123,3.76
StandWalkJump,PatchTST,2500,2,128,16,256,188,94,0.6,329219,3.71
StandWalkJump,PatchTST,2500,2,128,16,256,250,125,0.5333333333333333,327939,3.71
StandWalkJump,PatchTST,2500,2,128,16,256,375,188,0.4666666666666667,333187,3.73
StandWalkJump,PatchTST,2500,2,128,16,256,500,250,0.4666666666666667,344579,3.77
StandWalkJump,PatchTST,2500,2,128,16,256,625,313,0.4666666666666667,355971,3.82
StandWalkJump,PatchTST,2500,2,128,16,128,63,32,0.4,327299,3.71
StandWalkJump,PatchTST,2500,2,128,16,128,125,63,0.5333333333333333,275331,3.51
StandWalkJump,PatchTST,2500,2,128,16,128,188,94,0.4666666666666667,263427,3.46
StandWalkJump,PatchTST,2500,2,128,16,128,250,125,0.6666666666666666,262147,3.46
StandWalkJump,PatchTST,2500,2,128,16,128,375,188,0.4666666666666667,267395,3.48
StandWalkJump,PatchTST,2500,2,128,16,128,500,250,0.6,278787,3.52
StandWalkJump,PatchTST,2500,2,128,16,128,625,313,0.4666666666666667,290179,3.56
StandWalkJump,PatchTST,2500,2,128,16,64,63,32,0.5333333333333333,294403,3.58
StandWalkJump,PatchTST,2500,2,128,16,64,125,63,0.6666666666666666,242435,3.38
StandWalkJump,PatchTST,2500,2,128,16,64,188,94,0.6666666666666666,230531,3.34
StandWalkJump,PatchTST,2500,2,128,16,64,250,125,0.4,229251,3.33
StandWalkJump,PatchTST,2500,2,128,16,64,375,188,0.4666666666666667,234499,3.35
StandWalkJump,PatchTST,2500,2,128,16,64,500,250,0.4,245891,3.4
StandWalkJump,PatchTST,2500,2,128,16,64,625,313,0.4666666666666667,257283,3.44
StandWalkJump,PatchTST,2500,2,64,16,256,63,32,0.5333333333333333,164035,1.86
StandWalkJump,PatchTST,2500,2,64,16,256,125,63,0.4666666666666667,138051,1.76
StandWalkJump,PatchTST,2500,2,64,16,256,188,94,0.4666666666666667,132099,1.74
StandWalkJump,PatchTST,2500,2,64,16,256,250,125,0.4666666666666667,131459,1.74
StandWalkJump,PatchTST,2500,2,64,16,256,375,188,0.6,134083,1.75
StandWalkJump,PatchTST,2500,2,64,16,256,500,250,0.6666666666666666,139779,1.77
StandWalkJump,PatchTST,2500,2,64,16,256,625,313,0.13333333333333333,145475,1.79
StandWalkJump,PatchTST,2500,2,64,16,128,63,32,0.4666666666666667,131011,1.74
StandWalkJump,PatchTST,2500,2,64,16,128,125,63,0.4666666666666667,105027,1.64
StandWalkJump,PatchTST,2500,2,64,16,128,188,94,0.4666666666666667,99075,1.61
StandWalkJump,PatchTST,2500,2,64,16,128,250,125,0.4,98435,1.61
StandWalkJump,PatchTST,2500,2,64,16,128,375,188,0.4,101059,1.62
StandWalkJump,PatchTST,2500,2,64,16,128,500,250,0.3333333333333333,106755,1.64
StandWalkJump,PatchTST,2500,2,64,16,128,625,313,0.6,112451,1.67
StandWalkJump,PatchTST,2500,2,64,16,64,63,32,0.4,114499,1.67
StandWalkJump,PatchTST,2500,2,64,16,64,125,63,0.6,88515,1.57
StandWalkJump,PatchTST,2500,2,64,16,64,188,94,0.4666666666666667,82563,1.55
StandWalkJump,PatchTST,2500,2,64,16,64,250,125,0.4666666666666667,81923,1.55
StandWalkJump,PatchTST,2500,2,64,16,64,375,188,0.26666666666666666,84547,1.56
StandWalkJump,PatchTST,2500,2,64,16,64,500,250,0.5333333333333333,90243,1.58
StandWalkJump,PatchTST,2500,2,64,16,64,625,313,0.5333333333333333,95939,1.6
StandWalkJump,PatchTST,2500,2,32,4,256,63,32,0.5333333333333333,74083,0.91
StandWalkJump,PatchTST,2500,2,32,4,256,125,63,0.4666666666666667,61091,0.86
StandWalkJump,PatchTST,2500,2,32,4,256,188,94,0.6666666666666666,58115,0.85
StandWalkJump,PatchTST,2500,2,32,4,256,250,125,0.4,57795,0.85
StandWalkJump,PatchTST,2500,2,32,4,256,375,188,0.3333333333333333,59107,0.85
