data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
AtrialFibrillation,256,3,0.4,16,3.0,True,True,True,True,0.20000000298023224,1.0,35112.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch16_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_46_37
AtrialFibrillation,256,3,0.4,32,3.0,True,True,True,True,0.3333333432674408,0.6666666865348816,35104.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch32_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_48_48
AtrialFibrillation,256,3,0.4,48,3.0,True,True,True,True,0.2666666805744171,0.6666666865348816,35180.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch48_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_50_31
AtrialFibrillation,256,3,0.4,64,3.0,True,True,True,True,0.3333333432674408,0.3333333432674408,35268.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch64_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_53_04
AtrialFibrillation,256,3,0.4,96,3.0,True,True,True,True,0.20000000298023224,0.3333333432674408,35474.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch96_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_54_52
AtrialFibrillation,256,3,0.4,128,3.0,True,True,True,True,0.4000000059604645,0.6666666865348816,35686.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch128_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_57_03
AtrialFibrillation,256,3,0.4,160,3.0,True,True,True,True,0.2666666805744171,0.6666666865348816,35904.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch160_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_58_49
AtrialFibrillation,256,3,0.4,16,2.0,True,True,True,True,0.20000000298023224,0.6666666865348816,23574.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch16_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_00_18
AtrialFibrillation,256,3,0.4,32,2.0,True,True,True,True,0.3333333432674408,0.6666666865348816,23566.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch32_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_01_58
AtrialFibrillation,256,3,0.4,48,2.0,True,True,True,True,0.3333333432674408,0.3333333432674408,23642.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch48_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_03_42
AtrialFibrillation,256,3,0.4,64,2.0,True,True,True,True,0.3333333432674408,0.3333333432674408,23730.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch64_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_05_13
AtrialFibrillation,256,3,0.4,96,2.0,True,True,True,True,0.4000000059604645,0.6666666865348816,23936.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch96_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_06_55
AtrialFibrillation,256,3,0.4,128,2.0,True,True,True,True,0.3333333432674408,0.3333333432674408,24148.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch128_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_08_09
AtrialFibrillation,256,3,0.4,160,2.0,True,True,True,True,0.46666666865348816,0.3333333432674408,24366.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch160_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_09_39
AtrialFibrillation,256,3,0.4,16,1.0,True,True,True,True,0.2666666805744171,0.6666666865348816,12036.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch16_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_10_55
AtrialFibrillation,256,3,0.4,32,1.0,True,True,True,True,0.20000000298023224,0.6666666865348816,12028.44921875,AtrialFibrillation_dim256_depth3_mask0.4_patch32_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_12_04
