data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
Cricket,256,3,0.4,30,3.0,True,True,True,True,0.9722222089767456,0.9523809552192688,35597.44921875,Cricket_dim256_depth3_mask0.4_patch30_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_46_37
Cricket,256,3,0.4,60,3.0,True,True,True,True,0.9861111044883728,1.0,36047.44921875,Cricket_dim256_depth3_mask0.4_patch60_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_49_40
Cricket,256,3,0.4,90,3.0,True,True,True,True,0.9722222089767456,1.0,36581.44921875,Cricket_dim256_depth3_mask0.4_patch90_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_51_48
Cricket,256,3,0.4,120,3.0,True,True,True,True,0.9861111044883728,1.0,37127.44921875,Cricket_dim256_depth3_mask0.4_patch120_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_54_15
Cricket,256,3,0.4,180,3.0,True,True,True,True,0.9583333134651184,0.9523809552192688,38249.44921875,Cricket_dim256_depth3_mask0.4_patch180_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_57_08
Cricket,256,3,0.4,240,3.0,True,True,True,True,0.8472222089767456,1.0,39377.44921875,Cricket_dim256_depth3_mask0.4_patch240_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_59_30
Cricket,256,3,0.4,300,3.0,True,True,True,True,0.8333333134651184,0.761904776096344,40511.44921875,Cricket_dim256_depth3_mask0.4_patch300_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_02_14
Cricket,256,3,0.4,30,2.0,True,True,True,True,0.9722222089767456,1.0,24059.44921875,Cricket_dim256_depth3_mask0.4_patch30_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_05_10
Cricket,256,3,0.4,60,2.0,True,True,True,True,0.9861111044883728,1.0,24509.44921875,Cricket_dim256_depth3_mask0.4_patch60_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_07_22
Cricket,256,3,0.4,90,2.0,True,True,True,True,0.9861111044883728,1.0,25043.44921875,Cricket_dim256_depth3_mask0.4_patch90_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_09_13
Cricket,256,3,0.4,120,2.0,True,True,True,True,0.9583333134651184,1.0,25589.44921875,Cricket_dim256_depth3_mask0.4_patch120_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_11_00
Cricket,256,3,0.4,180,2.0,True,True,True,True,0.9166666865348816,1.0,26711.44921875,Cricket_dim256_depth3_mask0.4_patch180_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_13_05
Cricket,256,3,0.4,240,2.0,True,True,True,True,0.8333333134651184,1.0,27839.44921875,Cricket_dim256_depth3_mask0.4_patch240_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_14_59
Cricket,256,3,0.4,300,2.0,True,True,True,True,0.8472222089767456,0.9523809552192688,28973.44921875,Cricket_dim256_depth3_mask0.4_patch300_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_16_43
Cricket,256,3,0.4,30,1.0,True,True,True,True,0.9861111044883728,1.0,12521.44921875,Cricket_dim256_depth3_mask0.4_patch30_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_18_41
Cricket,256,3,0.4,60,1.0,True,True,True,True,0.9861111044883728,1.0,12971.44921875,Cricket_dim256_depth3_mask0.4_patch60_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_20_40
Cricket,256,3,0.4,90,1.0,True,True,True,True,0.9861111044883728,1.0,13505.44921875,Cricket_dim256_depth3_mask0.4_patch90_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_22_08
Cricket,256,3,0.4,120,1.0,True,True,True,True,0.9861111044883728,1.0,14051.44921875,Cricket_dim256_depth3_mask0.4_patch120_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_23_37
Cricket,256,3,0.4,180,1.0,True,True,True,True,0.8888888955116272,0.9047619104385376,15173.44921875,Cricket_dim256_depth3_mask0.4_patch180_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_24_59
Cricket,256,3,0.4,240,1.0,True,True,True,True,0.8472222089767456,0.9523809552192688,16301.44921875,Cricket_dim256_depth3_mask0.4_patch240_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_26_27
Cricket,256,3,0.4,300,1.0,True,True,True,True,0.8472222089767456,0.9047619104385376,17435.44921875,Cricket_dim256_depth3_mask0.4_patch300_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_27_56
Cricket,128,3,0.4,30,3.0,True,True,True,True,0.9722222089767456,1.0,9186.26171875,Cricket_dim128_depth3_mask0.4_patch30_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_29_42
Cricket,128,3,0.4,60,3.0,True,True,True,True,0.9861111044883728,1.0,9411.26171875,Cricket_dim128_depth3_mask0.4_patch60_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_31_07
Cricket,128,3,0.4,90,3.0,True,True,True,True,0.9861111044883728,1.0,9678.26171875,Cricket_dim128_depth3_mask0.4_patch90_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_32_16
Cricket,128,3,0.4,120,3.0,True,True,True,True,0.9861111044883728,1.0,9951.26171875,Cricket_dim128_depth3_mask0.4_patch120_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_33_34
Cricket,128,3,0.4,180,3.0,True,True,True,True,0.8611111044883728,0.8571428656578064,10512.26171875,Cricket_dim128_depth3_mask0.4_patch180_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_34_42
Cricket,128,3,0.4,240,3.0,True,True,True,True,0.8611111044883728,0.9047619104385376,11076.26171875,Cricket_dim128_depth3_mask0.4_patch240_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_35_59
Cricket,128,3,0.4,300,3.0,True,True,True,True,0.8888888955116272,1.0,11643.26171875,Cricket_dim128_depth3_mask0.4_patch300_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_37_14
Cricket,128,3,0.4,30,2.0,True,True,True,True,0.9861111044883728,1.0,6297.26171875,Cricket_dim128_depth3_mask0.4_patch30_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_38_28
Cricket,128,3,0.4,60,2.0,True,True,True,True,0.9722222089767456,1.0,6522.26171875,Cricket_dim128_depth3_mask0.4_patch60_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_39_43
Cricket,128,3,0.4,90,2.0,True,True,True,True,0.9861111044883728,1.0,6789.26171875,Cricket_dim128_depth3_mask0.4_patch90_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_40_55
Cricket,128,3,0.4,120,2.0,True,True,True,True,0.9722222089767456,1.0,7062.26171875,Cricket_dim128_depth3_mask0.4_patch120_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_41_59
Cricket,128,3,0.4,180,2.0,True,True,True,True,0.9166666865348816,1.0,7623.26171875,Cricket_dim128_depth3_mask0.4_patch180_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_43_10
Cricket,128,3,0.4,240,2.0,True,True,True,True,0.8055555820465088,0.9523809552192688,8187.26171875,Cricket_dim128_depth3_mask0.4_patch240_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_44_19
Cricket,128,3,0.4,300,2.0,True,True,True,True,0.8472222089767456,0.8571428656578064,8754.26171875,Cricket_dim128_depth3_mask0.4_patch300_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_45_27
Cricket,128,3,0.4,30,1.0,True,True,True,True,0.9722222089767456,1.0,3408.13671875,Cricket_dim128_depth3_mask0.4_patch30_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_46_29
Cricket,128,3,0.4,60,1.0,True,True,True,True,0.9861111044883728,1.0,3633.13671875,Cricket_dim128_depth3_mask0.4_patch60_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_47_31
Cricket,128,3,0.4,90,1.0,True,True,True,True,0.9861111044883728,1.0,3900.13671875,Cricket_dim128_depth3_mask0.4_patch90_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_48_40
Cricket,128,3,0.4,120,1.0,True,True,True,True,0.9861111044883728,1.0,4173.13671875,Cricket_dim128_depth3_mask0.4_patch120_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_49_41
Cricket,128,3,0.4,180,1.0,True,True,True,True,0.9583333134651184,0.9523809552192688,4734.13671875,Cricket_dim128_depth3_mask0.4_patch180_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_50_44
Cricket,128,3,0.4,240,1.0,True,True,True,True,0.8333333134651184,0.9523809552192688,5298.13671875,Cricket_dim128_depth3_mask0.4_patch240_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_51_47
Cricket,128,3,0.4,300,1.0,True,True,True,True,0.7638888955116272,0.9523809552192688,5865.13671875,Cricket_dim128_depth3_mask0.4_patch300_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_05_52_43
Cricket,64,3,0.4,30,3.0,True,True,True,True,0.9722222089767456,1.0,2460.63671875,Cricket_dim64_depth3_mask0.4_patch30_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_53_41
Cricket,64,3,0.4,60,3.0,True,True,True,True,0.9583333134651184,1.0,2573.13671875,Cricket_dim64_depth3_mask0.4_patch60_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_54_35
Cricket,64,3,0.4,90,3.0,True,True,True,True,0.9861111044883728,1.0,2706.63671875,Cricket_dim64_depth3_mask0.4_patch90_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_55_39
Cricket,64,3,0.4,120,3.0,True,True,True,True,0.9722222089767456,1.0,2843.13671875,Cricket_dim64_depth3_mask0.4_patch120_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_56_46
Cricket,64,3,0.4,180,3.0,True,True,True,True,0.9305555820465088,1.0,3123.63671875,Cricket_dim64_depth3_mask0.4_patch180_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_57_47
