data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
ERing,256,3,0.4,2,3.0,True,True,True,True,0.5407407283782959,0.6666666865348816,34993.44921875,ERing_dim256_depth3_mask0.4_patch2_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_46_37
ERing,256,3,0.4,4,3.0,True,True,True,True,0.5518518686294556,0.6666666865348816,34923.44921875,ERing_dim256_depth3_mask0.4_patch4_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_48_40
ERing,256,3,0.4,5,3.0,True,True,True,True,0.529629647731781,0.6666666865348816,34930.44921875,ERing_dim256_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_50_10
ERing,256,3,0.4,7,3.0,True,True,True,True,0.39259257912635803,0.3333333432674408,34929.38671875,ERing_dim256_depth3_mask0.4_patch7_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_51_32
ERing,256,3,0.4,10,3.0,True,True,True,True,0.5407407283782959,0.5,34941.44921875,ERing_dim256_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_52_57
ERing,256,3,0.4,13,3.0,True,True,True,True,0.5444444417953491,0.5,34968.44921875,ERing_dim256_depth3_mask0.4_patch13_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_54_39
ERing,256,3,0.4,17,3.0,True,True,True,True,0.5703703761100769,0.6666666865348816,35014.44921875,ERing_dim256_depth3_mask0.4_patch17_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_56_39
ERing,256,3,0.4,2,2.0,True,True,True,True,0.4185185134410858,0.5,23455.38671875,ERing_dim256_depth3_mask0.4_patch2_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_04_58_22
ERing,256,3,0.4,4,2.0,True,True,True,True,0.4851851761341095,0.6666666865348816,23385.44921875,ERing_dim256_depth3_mask0.4_patch4_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_04_59_22
ERing,256,3,0.4,5,2.0,True,True,True,True,0.29629629850387573,0.1666666716337204,23392.38671875,ERing_dim256_depth3_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_00_58
ERing,256,3,0.4,7,2.0,True,True,True,True,0.5148147940635681,0.6666666865348816,23391.44921875,ERing_dim256_depth3_mask0.4_patch7_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_02_18
ERing,256,3,0.4,10,2.0,True,True,True,True,0.5222222208976746,0.6666666865348816,23403.44921875,ERing_dim256_depth3_mask0.4_patch10_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_03_41
ERing,256,3,0.4,13,2.0,True,True,True,True,0.5629629492759705,0.6666666865348816,23430.44921875,ERing_dim256_depth3_mask0.4_patch13_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_05_05
