data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
EigenWorms,256,3,0.4,450,3.0,True,True,True,True,0.7251908183097839,0.7200000286102295,43556.44921875,EigenWorms_dim256_depth3_mask0.4_patch450_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_46_37
EigenWorms,256,3,0.4,900,3.0,True,True,True,True,0.6488549709320068,0.6800000071525574,51986.44921875,EigenWorms_dim256_depth3_mask0.4_patch900_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_04_54_27
EigenWorms,256,3,0.4,1349,3.0,True,True,True,True,0.5343511700630188,0.6000000238418579,60481.44921875,EigenWorms_dim256_depth3_mask0.4_patch1349_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_01_54
EigenWorms,256,3,0.4,1799,3.0,True,True,True,True,0.45038166642189026,0.36000001430511475,69007.44921875,EigenWorms_dim256_depth3_mask0.4_patch1799_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_08_23
EigenWorms,256,3,0.4,2698,3.0,True,True,True,True,0.4885496199131012,0.47999998927116394,86070.44921875,EigenWorms_dim256_depth3_mask0.4_patch2698_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_15_02
EigenWorms,256,3,0.4,3597,3.0,True,True,True,True,0.40458014607429504,0.36000001430511475,103139.44921875,EigenWorms_dim256_depth3_mask0.4_patch3597_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_26_41
EigenWorms,256,3,0.4,4496,3.0,True,True,True,True,0.38167938590049744,0.47999998927116394,120214.44921875,EigenWorms_dim256_depth3_mask0.4_patch4496_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_05_37_00
EigenWorms,256,3,0.4,450,2.0,True,True,True,True,0.6793892979621887,0.6399999856948853,32018.44921875,EigenWorms_dim256_depth3_mask0.4_patch450_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_46_32
EigenWorms,256,3,0.4,900,2.0,True,True,True,True,0.5954198241233826,0.6399999856948853,40448.44921875,EigenWorms_dim256_depth3_mask0.4_patch900_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_05_57_07
EigenWorms,256,3,0.4,1349,2.0,True,True,True,True,0.572519063949585,0.6000000238418579,48943.44921875,EigenWorms_dim256_depth3_mask0.4_patch1349_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_04_57
EigenWorms,256,3,0.4,1799,2.0,True,True,True,True,0.5114504098892212,0.47999998927116394,57469.44921875,EigenWorms_dim256_depth3_mask0.4_patch1799_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_12_01
EigenWorms,256,3,0.4,2698,2.0,True,True,True,True,0.4656488597393036,0.5600000023841858,74532.44921875,EigenWorms_dim256_depth3_mask0.4_patch2698_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_19_44
EigenWorms,256,3,0.4,3597,2.0,True,True,True,True,0.32824426889419556,0.20000000298023224,91601.44921875,EigenWorms_dim256_depth3_mask0.4_patch3597_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_27_46
EigenWorms,256,3,0.4,4496,2.0,True,True,True,True,0.37404578924179077,0.3199999928474426,108676.44921875,EigenWorms_dim256_depth3_mask0.4_patch4496_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_06_36_22
EigenWorms,256,3,0.4,450,1.0,True,True,True,True,0.7480915784835815,0.6800000071525574,20480.44921875,EigenWorms_dim256_depth3_mask0.4_patch450_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_06_45_20
EigenWorms,256,3,0.4,900,1.0,True,True,True,True,0.6488549709320068,0.8399999737739563,28910.44921875,EigenWorms_dim256_depth3_mask0.4_patch900_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_06_55_23
EigenWorms,256,3,0.4,1349,1.0,True,True,True,True,0.572519063949585,0.5600000023841858,37405.44921875,EigenWorms_dim256_depth3_mask0.4_patch1349_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_07_03
EigenWorms,256,3,0.4,1799,1.0,True,True,True,True,0.4580152630805969,0.5199999809265137,45931.44921875,EigenWorms_dim256_depth3_mask0.4_patch1799_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_20_42
EigenWorms,256,3,0.4,2698,1.0,True,True,True,True,0.4351145029067993,0.6399999856948853,62994.44921875,EigenWorms_dim256_depth3_mask0.4_patch2698_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_33_40
EigenWorms,256,3,0.4,3597,1.0,True,True,True,True,0.38167938590049744,0.07999999821186066,80063.44921875,EigenWorms_dim256_depth3_mask0.4_patch3597_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_07_46_46
EigenWorms,256,3,0.4,4496,1.0,True,True,True,True,0.4351145029067993,0.23999999463558197,97138.44921875,EigenWorms_dim256_depth3_mask0.4_patch4496_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_08_00_12
EigenWorms,128,3,0.4,450,3.0,True,True,True,True,0.7022900581359863,0.800000011920929,13165.76171875,EigenWorms_dim128_depth3_mask0.4_patch450_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_10_54
EigenWorms,128,3,0.4,900,3.0,True,True,True,True,0.6259542107582092,0.5600000023841858,17380.76171875,EigenWorms_dim128_depth3_mask0.4_patch900_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_23_04
EigenWorms,128,3,0.4,1349,3.0,True,True,True,True,0.6183205842971802,0.5199999809265137,21628.26171875,EigenWorms_dim128_depth3_mask0.4_patch1349_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_34_53
EigenWorms,128,3,0.4,1799,3.0,True,True,True,True,0.32824426889419556,0.36000001430511475,25891.26171875,EigenWorms_dim128_depth3_mask0.4_patch1799_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_44_39
EigenWorms,128,3,0.4,2698,3.0,True,True,True,True,0.38167938590049744,0.4000000059604645,34422.76171875,EigenWorms_dim128_depth3_mask0.4_patch2698_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_53_06
EigenWorms,128,3,0.4,3597,3.0,True,True,True,True,0.4580152630805969,0.47999998927116394,42957.26171875,EigenWorms_dim128_depth3_mask0.4_patch3597_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_09_07_41
EigenWorms,128,3,0.4,4496,3.0,True,True,True,True,0.3358778655529022,0.4000000059604645,51494.76171875,EigenWorms_dim128_depth3_mask0.4_patch4496_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_09_23_42
EigenWorms,128,3,0.4,450,2.0,True,True,True,True,0.7557252049446106,0.8399999737739563,10276.76171875,EigenWorms_dim128_depth3_mask0.4_patch450_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_09_34_05
EigenWorms,128,3,0.4,900,2.0,True,True,True,True,0.6259542107582092,0.6000000238418579,14491.76171875,EigenWorms_dim128_depth3_mask0.4_patch900_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_09_45_35
EigenWorms,128,3,0.4,1349,2.0,True,True,True,True,0.47328245639801025,0.4000000059604645,18739.26171875,EigenWorms_dim128_depth3_mask0.4_patch1349_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_09_56_52
EigenWorms,128,3,0.4,1799,2.0,True,True,True,True,0.5038167834281921,0.4399999976158142,23002.26171875,EigenWorms_dim128_depth3_mask0.4_patch1799_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_10_10_09
