data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
FaceDetection,256,3,0.4,2,3.0,True,True,True,True,0.4985811710357666,0.5008488893508911,35809.44921875,FaceDetection_dim256_depth3_mask0.4_patch2_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_07_07_57
FaceDetection,256,3,0.4,4,3.0,True,True,True,True,0.49829739332199097,0.4991511106491089,36585.44921875,FaceDetection_dim256_depth3_mask0.4_patch4_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_07_45_40
FaceDetection,256,3,0.4,5,3.0,True,True,True,True,0.5,0.5,37018.44921875,FaceDetection_dim256_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_20_25
FaceDetection,256,3,0.4,7,3.0,True,True,True,True,0.4994324743747711,0.5,37848.44921875,FaceDetection_dim256_depth3_mask0.4_patch7_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_08_54_53
FaceDetection,256,3,0.4,10,3.0,True,True,True,True,0.5002837777137756,0.5,39129.44921875,FaceDetection_dim256_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_09_29_48
FaceDetection,256,3,0.4,13,3.0,True,True,True,True,0.5005675554275513,0.4983022212982178,40416.44921875,FaceDetection_dim256_depth3_mask0.4_patch13_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_10_01_51
FaceDetection,256,3,0.4,16,3.0,True,True,True,True,0.5,0.5,41709.44921875,FaceDetection_dim256_depth3_mask0.4_patch16_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_10_35_08
FaceDetection,256,3,0.4,2,2.0,True,True,True,True,0.5,0.5,24271.44921875,FaceDetection_dim256_depth3_mask0.4_patch2_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_11_08_48
FaceDetection,256,3,0.4,4,2.0,True,True,True,True,0.5,0.5042445063591003,25047.44921875,FaceDetection_dim256_depth3_mask0.4_patch4_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_11_39_58
FaceDetection,256,3,0.4,5,2.0,True,True,True,True,0.5002837777137756,0.4991511106491089,25480.44921875,FaceDetection_dim256_depth3_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_10_36
FaceDetection,256,3,0.4,7,2.0,True,True,True,True,0.49971622228622437,0.5,26310.44921875,FaceDetection_dim256_depth3_mask0.4_patch7_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_43_13
FaceDetection,256,3,0.4,10,2.0,True,True,True,True,0.4991486966609955,0.4991511106491089,27591.44921875,FaceDetection_dim256_depth3_mask0.4_patch10_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_14_04
FaceDetection,256,3,0.4,13,2.0,True,True,True,True,0.5,0.4991511106491089,28878.44921875,FaceDetection_dim256_depth3_mask0.4_patch13_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_56_49
FaceDetection,256,3,0.4,16,2.0,True,True,True,True,0.5014188289642334,0.5016977787017822,30171.44921875,FaceDetection_dim256_depth3_mask0.4_patch16_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_15_29
FaceDetection,256,3,0.4,2,1.0,True,True,True,True,0.5,0.5,12733.44921875,FaceDetection_dim256_depth3_mask0.4_patch2_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_50_21
FaceDetection,256,3,0.4,4,1.0,True,True,True,True,0.4991486966609955,0.4991511106491089,13509.44921875,FaceDetection_dim256_depth3_mask0.4_patch4_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_23_25
FaceDetection,256,3,0.4,5,1.0,True,True,True,True,0.4991486966609955,0.4991511106491089,13942.44921875,FaceDetection_dim256_depth3_mask0.4_patch5_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_17_07_23
FaceDetection,256,3,0.4,7,1.0,True,True,True,True,0.5,0.5,14772.44921875,FaceDetection_dim256_depth3_mask0.4_patch7_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_17_48_50
FaceDetection,256,3,0.4,10,1.0,True,True,True,True,0.5,0.5008488893508911,16053.44921875,FaceDetection_dim256_depth3_mask0.4_patch10_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_18_23_20
FaceDetection,256,3,0.4,13,1.0,True,True,True,True,0.5,0.5016977787017822,17340.44921875,FaceDetection_dim256_depth3_mask0.4_patch13_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_00_08
FaceDetection,256,3,0.4,16,1.0,True,True,True,True,0.4991486966609955,0.4991511106491089,18633.44921875,FaceDetection_dim256_depth3_mask0.4_patch16_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_38_36
FaceDetection,128,3,0.4,2,3.0,True,True,True,True,0.49971622228622437,0.5,9292.26171875,FaceDetection_dim128_depth3_mask0.4_patch2_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_20_08_25
FaceDetection,128,3,0.4,4,3.0,True,True,True,True,0.49971622228622437,0.4991511106491089,9680.26171875,FaceDetection_dim128_depth3_mask0.4_patch4_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_20_38_19
