data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
PhonemeSpectra,256,3,0.4,6,3.0,True,True,True,True,0.03549060598015785,0.03318250551819801,35294.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch6_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_43_16
PhonemeSpectra,256,3,0.4,11,3.0,True,True,True,True,0.023859230801463127,0.024132730439305305,35371.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch11_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_04_06
PhonemeSpectra,256,3,0.4,17,3.0,True,True,True,True,0.025350432842969894,0.027149321511387825,35527.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch17_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_26_01
PhonemeSpectra,256,3,0.4,22,3.0,True,True,True,True,0.026245154440402985,0.027149321511387825,35676.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch22_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_45_11
PhonemeSpectra,256,3,0.4,33,3.0,True,True,True,True,0.03250820189714432,0.03469080105423927,36032.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch33_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_16_03_11
PhonemeSpectra,256,3,0.4,44,3.0,True,True,True,True,0.02594691328704357,0.025641025975346565,36394.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch44_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_16_25_25
PhonemeSpectra,256,3,0.4,55,3.0,True,True,True,True,0.036683566868305206,0.04374057427048683,36762.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch55_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_16_48_26
PhonemeSpectra,256,3,0.4,6,2.0,True,True,True,True,0.02564867213368416,0.025641025975346565,23756.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch6_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_08_31
PhonemeSpectra,256,3,0.4,11,2.0,True,True,True,True,0.03698180615901947,0.04223227873444557,23833.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch11_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_32_24
PhonemeSpectra,256,3,0.4,17,2.0,True,True,True,True,0.022069787606596947,0.016591252759099007,23989.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch17_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_53_23
PhonemeSpectra,256,3,0.4,22,2.0,True,True,True,True,0.031315241008996964,0.03318250551819801,24138.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch22_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_13_08
PhonemeSpectra,256,3,0.4,33,2.0,True,True,True,True,0.02654339373111725,0.025641025975346565,24494.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch33_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_30_19
PhonemeSpectra,256,3,0.4,44,2.0,True,True,True,True,0.027736354619264603,0.025641025975346565,24856.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch44_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_18_46_39
PhonemeSpectra,256,3,0.4,55,2.0,True,True,True,True,0.03280644118785858,0.030165912583470345,25224.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch55_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_19_03_39
PhonemeSpectra,256,3,0.4,6,1.0,True,True,True,True,0.02564867213368416,0.025641025975346565,12218.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch6_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_23_20
PhonemeSpectra,256,3,0.4,11,1.0,True,True,True,True,0.025350432842969894,0.025641025975346565,12295.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch11_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_39_25
PhonemeSpectra,256,3,0.4,17,1.0,True,True,True,True,0.022069787606596947,0.021116139367222786,12451.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch17_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_59_35
PhonemeSpectra,256,3,0.4,22,1.0,True,True,True,True,0.02564867213368416,0.025641025975346565,12600.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch22_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_19_19
PhonemeSpectra,256,3,0.4,33,1.0,True,True,True,True,0.022964509204030037,0.022624434903264046,12956.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch33_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_35_25
PhonemeSpectra,256,3,0.4,44,1.0,True,True,True,True,0.024455711245536804,0.027149321511387825,13318.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch44_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_55_03
PhonemeSpectra,256,3,0.4,55,1.0,True,True,True,True,0.024753952398896217,0.025641025975346565,13686.82421875,PhonemeSpectra_dim256_depth3_mask0.4_patch55_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_21_13_24
PhonemeSpectra,128,3,0.4,6,3.0,True,True,True,True,0.03847301006317139,0.04374057427048683,9035.13671875,PhonemeSpectra_dim128_depth3_mask0.4_patch6_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_21_30_57
PhonemeSpectra,128,3,0.4,11,3.0,True,True,True,True,0.021175067871809006,0.021116139367222786,9073.63671875,PhonemeSpectra_dim128_depth3_mask0.4_patch11_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_21_47_32
PhonemeSpectra,128,3,0.4,17,3.0,True,True,True,True,0.02564867213368416,0.022624434903264046,9151.63671875,PhonemeSpectra_dim128_depth3_mask0.4_patch17_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_22_02_50
PhonemeSpectra,128,3,0.4,22,3.0,True,True,True,True,0.023560989648103714,0.025641025975346565,9226.13671875,PhonemeSpectra_dim128_depth3_mask0.4_patch22_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_22_19_41
PhonemeSpectra,128,3,0.4,33,3.0,True,True,True,True,0.03012227825820446,0.031674209982156754,9404.13671875,PhonemeSpectra_dim128_depth3_mask0.4_patch33_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_22_43_12
PhonemeSpectra,128,3,0.4,44,3.0,True,True,True,True,0.022964509204030037,0.024132730439305305,9585.13671875,PhonemeSpectra_dim128_depth3_mask0.4_patch44_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_23_08_12
PhonemeSpectra,128,3,0.4,55,3.0,True,True,True,True,0.03161348029971123,0.03318250551819801,9769.13671875,PhonemeSpectra_dim128_depth3_mask0.4_patch55_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_23_28_01
PhonemeSpectra,128,3,0.4,6,2.0,True,True,True,True,0.02833283692598343,0.028657617047429085,6146.13671875,PhonemeSpectra_dim128_depth3_mask0.4_patch6_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_23_50_46
