data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
RacketSports,256,3,0.4,2,3.0,True,True,True,True,0.9013158082962036,0.9333333373069763,34891.44921875,RacketSports_dim256_depth3_mask0.4_patch2_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_43_16
RacketSports,256,3,0.4,3,3.0,True,True,True,True,0.8815789222717285,0.8999999761581421,34907.44921875,RacketSports_dim256_depth3_mask0.4_patch3_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_48_35
RacketSports,256,3,0.4,5,3.0,True,True,True,True,0.8355262875556946,0.8666666746139526,34900.44921875,RacketSports_dim256_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_06_02
RacketSports,256,3,0.4,6,3.0,True,True,True,True,0.8684210777282715,0.9666666388511658,34907.44921875,RacketSports_dim256_depth3_mask0.4_patch6_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_08_13
RacketSports,256,3,0.4,8,3.0,True,True,True,True,0.7828947305679321,0.8333333134651184,34939.44921875,RacketSports_dim256_depth3_mask0.4_patch8_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_10_13
RacketSports,256,3,0.4,2,2.0,True,True,True,True,0.9013158082962036,0.9333333373069763,23353.44921875,RacketSports_dim256_depth3_mask0.4_patch2_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_12_00
RacketSports,256,3,0.4,3,2.0,True,True,True,True,0.9013158082962036,0.9333333373069763,23369.44921875,RacketSports_dim256_depth3_mask0.4_patch3_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_14_53
RacketSports,256,3,0.4,5,2.0,True,True,True,True,0.8486841917037964,0.9333333373069763,23362.44921875,RacketSports_dim256_depth3_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_16_48
RacketSports,256,3,0.4,6,2.0,True,True,True,True,0.8486841917037964,0.9333333373069763,23369.44921875,RacketSports_dim256_depth3_mask0.4_patch6_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_18_50
RacketSports,256,3,0.4,8,2.0,True,True,True,True,0.8092105388641357,0.8999999761581421,23401.44921875,RacketSports_dim256_depth3_mask0.4_patch8_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_20_42
RacketSports,256,3,0.4,2,1.0,True,True,True,True,0.9276315569877625,0.9666666388511658,11815.44921875,RacketSports_dim256_depth3_mask0.4_patch2_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_22_45
RacketSports,256,3,0.4,3,1.0,True,True,True,True,0.875,0.9333333373069763,11831.44921875,RacketSports_dim256_depth3_mask0.4_patch3_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_24_30
RacketSports,256,3,0.4,5,1.0,True,True,True,True,0.8355262875556946,0.9666666388511658,11824.44921875,RacketSports_dim256_depth3_mask0.4_patch5_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_26_04
RacketSports,256,3,0.4,6,1.0,True,True,True,True,0.8421052694320679,0.8666666746139526,11831.44921875,RacketSports_dim256_depth3_mask0.4_patch6_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_27_43
RacketSports,256,3,0.4,8,1.0,True,True,True,True,0.8092105388641357,0.8999999761581421,11863.44921875,RacketSports_dim256_depth3_mask0.4_patch8_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_29_32
RacketSports,128,3,0.4,2,3.0,True,True,True,True,0.8815789222717285,0.9333333373069763,8833.26171875,RacketSports_dim128_depth3_mask0.4_patch2_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_31_15
RacketSports,128,3,0.4,3,3.0,True,True,True,True,0.9078947305679321,0.9666666388511658,8841.26171875,RacketSports_dim128_depth3_mask0.4_patch3_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_32_58
RacketSports,128,3,0.4,5,3.0,True,True,True,True,0.8881579041481018,0.9666666388511658,8837.76171875,RacketSports_dim128_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_34_28
RacketSports,128,3,0.4,6,3.0,True,True,True,True,0.8881579041481018,0.9666666388511658,8841.26171875,RacketSports_dim128_depth3_mask0.4_patch6_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_35_58
RacketSports,128,3,0.4,8,3.0,True,True,True,True,0.8421052694320679,0.8333333134651184,8857.26171875,RacketSports_dim128_depth3_mask0.4_patch8_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_37_41
RacketSports,128,3,0.4,2,2.0,True,True,True,True,0.8881579041481018,1.0,5944.26171875,RacketSports_dim128_depth3_mask0.4_patch2_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_39_06
