data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
SelfRegulationSCP2,256,3,0.4,29,3.0,True,True,True,True,0.5055555701255798,0.574999988079071,35641.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch29_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_16_59_52
SelfRegulationSCP2,256,3,0.4,58,3.0,True,True,True,True,0.4833333194255829,0.4749999940395355,36153.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch58_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_03_59
SelfRegulationSCP2,256,3,0.4,87,3.0,True,True,True,True,0.5611110925674438,0.5249999761581421,36755.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch87_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_06_12
SelfRegulationSCP2,256,3,0.4,116,3.0,True,True,True,True,0.5111111402511597,0.5,37369.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch116_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_08_26
SelfRegulationSCP2,256,3,0.4,173,3.0,True,True,True,True,0.5222222208976746,0.550000011920929,38605.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch173_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_10_45
SelfRegulationSCP2,256,3,0.4,231,3.0,True,True,True,True,0.5111111402511597,0.5249999761581421,39869.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch231_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_13_32
SelfRegulationSCP2,256,3,0.4,288,3.0,True,True,True,True,0.5222222208976746,0.4749999940395355,41117.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch288_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_15_48
SelfRegulationSCP2,256,3,0.4,29,2.0,True,True,True,True,0.5444444417953491,0.6499999761581421,24103.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch29_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_17_56
SelfRegulationSCP2,256,3,0.4,58,2.0,True,True,True,True,0.5277777910232544,0.4749999940395355,24615.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch58_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_20_16
SelfRegulationSCP2,256,3,0.4,87,2.0,True,True,True,True,0.5722222328186035,0.4749999940395355,25217.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch87_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_22_06
SelfRegulationSCP2,256,3,0.4,116,2.0,True,True,True,True,0.5,0.5,25831.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch116_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_23_58
SelfRegulationSCP2,256,3,0.4,173,2.0,True,True,True,True,0.5222222208976746,0.6000000238418579,27067.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch173_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_26_00
SelfRegulationSCP2,256,3,0.4,231,2.0,True,True,True,True,0.5722222328186035,0.375,28331.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch231_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_27_52
SelfRegulationSCP2,256,3,0.4,288,2.0,True,True,True,True,0.5444444417953491,0.550000011920929,29579.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch288_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_29_55
SelfRegulationSCP2,256,3,0.4,29,1.0,True,True,True,True,0.5555555820465088,0.625,12565.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch29_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_17_31_43
SelfRegulationSCP2,256,3,0.4,58,1.0,True,True,True,True,0.5,0.5,13077.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch58_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_17_33_38
SelfRegulationSCP2,256,3,0.4,87,1.0,True,True,True,True,0.5166666507720947,0.5,13679.44921875,SelfRegulationSCP2_dim256_depth3_mask0.4_patch87_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_17_35_17
