data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
UWaveGestureLibrary,256,3,0.4,8,3.0,True,True,True,True,0.925000011920929,1.0,35095.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch8_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_16_59_52
UWaveGestureLibrary,256,3,0.4,16,3.0,True,True,True,True,0.918749988079071,1.0,35055.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch16_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_02_41
UWaveGestureLibrary,256,3,0.4,24,3.0,True,True,True,True,0.8968750238418579,1.0,35099.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch24_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_04_35
UWaveGestureLibrary,256,3,0.4,32,3.0,True,True,True,True,0.903124988079071,1.0,35155.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch32_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_06_53
UWaveGestureLibrary,256,3,0.4,48,3.0,True,True,True,True,0.903124988079071,0.9583333134651184,35297.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch48_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_08_48
UWaveGestureLibrary,256,3,0.4,63,3.0,True,True,True,True,0.8843749761581421,1.0,35435.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch63_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_11_01
UWaveGestureLibrary,256,3,0.4,79,3.0,True,True,True,True,0.8968750238418579,0.9166666865348816,35589.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch79_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_17_13_26
UWaveGestureLibrary,256,3,0.4,8,2.0,True,True,True,True,0.890625,0.9166666865348816,23557.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch8_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_14_57
UWaveGestureLibrary,256,3,0.4,16,2.0,True,True,True,True,0.90625,0.9166666865348816,23517.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch16_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_16_26
UWaveGestureLibrary,256,3,0.4,24,2.0,True,True,True,True,0.909375011920929,1.0,23561.44921875,UWaveGestureLibrary_dim256_depth3_mask0.4_patch24_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_17_54
