data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
HandMovementDirection,256,3,0.4,10,3.0,True,True,True,True,0.37837839126586914,0.37837839126586914,35313.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_38_02
HandMovementDirection,256,3,0.4,20,3.0,True,True,True,True,0.4054054021835327,0.4054054021835327,35503.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch20_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_44_40
HandMovementDirection,256,3,0.4,30,3.0,True,True,True,True,0.36486485600471497,0.36486485600471497,35777.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch30_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_49_06
HandMovementDirection,256,3,0.4,40,3.0,True,True,True,True,0.37837839126586914,0.37837839126586914,36063.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch40_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_54_09
HandMovementDirection,256,3,0.4,60,3.0,True,True,True,True,0.37837839126586914,0.37837839126586914,36665.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch60_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_57_51
HandMovementDirection,256,3,0.4,80,3.0,True,True,True,True,0.4189189076423645,0.4189189076423645,37273.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch80_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_02_58
HandMovementDirection,256,3,0.4,100,3.0,True,True,True,True,0.36486485600471497,0.36486485600471497,37887.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch100_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_08_30
HandMovementDirection,256,3,0.4,10,2.0,True,True,True,True,0.3378378450870514,0.3378378450870514,23775.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch10_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_13_29
HandMovementDirection,256,3,0.4,20,2.0,True,True,True,True,0.4324324429035187,0.4324324429035187,23965.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch20_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_16_39
HandMovementDirection,256,3,0.4,30,2.0,True,True,True,True,0.3513513505458832,0.3513513505458832,24239.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch30_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_20_24
HandMovementDirection,256,3,0.4,40,2.0,True,True,True,True,0.4189189076423645,0.4189189076423645,24525.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch40_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_23_07
HandMovementDirection,256,3,0.4,60,2.0,True,True,True,True,0.37837839126586914,0.37837839126586914,25127.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch60_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_25_48
HandMovementDirection,256,3,0.4,80,2.0,True,True,True,True,0.4324324429035187,0.4324324429035187,25735.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch80_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_29_12
HandMovementDirection,256,3,0.4,100,2.0,True,True,True,True,0.4189189076423645,0.4189189076423645,26349.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch100_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_12_33_39
HandMovementDirection,256,3,0.4,10,1.0,True,True,True,True,0.36486485600471497,0.36486485600471497,12237.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch10_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_35_47
HandMovementDirection,256,3,0.4,20,1.0,True,True,True,True,0.3918918967247009,0.3918918967247009,12427.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch20_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_39_42
HandMovementDirection,256,3,0.4,30,1.0,True,True,True,True,0.3918918967247009,0.3918918967247009,12701.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch30_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_43_41
HandMovementDirection,256,3,0.4,40,1.0,True,True,True,True,0.4189189076423645,0.4189189076423645,12987.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch40_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_47_30
HandMovementDirection,256,3,0.4,60,1.0,True,True,True,True,0.45945945382118225,0.45945945382118225,13589.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch60_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_50_58
HandMovementDirection,256,3,0.4,80,1.0,True,True,True,True,0.37837839126586914,0.37837839126586914,14197.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch80_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_53_33
HandMovementDirection,256,3,0.4,100,1.0,True,True,True,True,0.3918918967247009,0.3918918967247009,14811.759765625,HandMovementDirection_dim256_depth3_mask0.4_patch100_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_12_56_57
HandMovementDirection,128,3,0.4,10,3.0,True,True,True,True,0.31081080436706543,0.31081080436706543,9044.509765625,HandMovementDirection_dim128_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_59_23
