data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
MotorImagery,256,3,0.4,75,3.0,True,True,True,True,0.6600000262260437,0.6600000262260437,49475.697265625,MotorImagery_dim256_depth3_mask0.4_patch75_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_38_02
MotorImagery,256,3,0.4,150,3.0,True,True,True,True,0.6800000071525574,0.6800000071525574,63827.759765625,MotorImagery_dim256_depth3_mask0.4_patch150_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_51_41
MotorImagery,256,3,0.4,225,3.0,True,True,True,True,0.6899999976158142,0.6899999976158142,78266.697265625,MotorImagery_dim256_depth3_mask0.4_patch225_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_08_43
MotorImagery,256,3,0.4,300,3.0,True,True,True,True,0.6899999976158142,0.6899999976158142,92717.759765625,MotorImagery_dim256_depth3_mask0.4_patch300_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_23_46
MotorImagery,256,3,0.4,450,3.0,True,True,True,True,0.6800000071525574,0.6800000071525574,121649.759765625,MotorImagery_dim256_depth3_mask0.4_patch450_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_37_05
MotorImagery,256,3,0.4,600,3.0,True,True,True,True,0.6000000238418579,0.6000000238418579,150587.759765625,MotorImagery_dim256_depth3_mask0.4_patch600_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_59_33
MotorImagery,256,3,0.4,750,3.0,True,True,True,True,0.6299999952316284,0.6299999952316284,179531.759765625,MotorImagery_dim256_depth3_mask0.4_patch750_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_16_59
MotorImagery,256,3,0.4,75,2.0,True,True,True,True,0.6100000143051147,0.6100000143051147,37937.697265625,MotorImagery_dim256_depth3_mask0.4_patch75_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_29_47
MotorImagery,256,3,0.4,150,2.0,True,True,True,True,0.6600000262260437,0.6600000262260437,52289.759765625,MotorImagery_dim256_depth3_mask0.4_patch150_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_13_43_07
MotorImagery,256,3,0.4,225,2.0,True,True,True,True,0.7099999785423279,0.7099999785423279,66728.759765625,MotorImagery_dim256_depth3_mask0.4_patch225_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_02_04
MotorImagery,256,3,0.4,300,2.0,True,True,True,True,0.6700000166893005,0.6700000166893005,81179.759765625,MotorImagery_dim256_depth3_mask0.4_patch300_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_24_57
MotorImagery,256,3,0.4,450,2.0,True,True,True,True,0.6800000071525574,0.6800000071525574,110111.759765625,MotorImagery_dim256_depth3_mask0.4_patch450_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_37_39
MotorImagery,256,3,0.4,600,2.0,True,True,True,True,0.6700000166893005,0.6700000166893005,139049.759765625,MotorImagery_dim256_depth3_mask0.4_patch600_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_14_55_42
MotorImagery,256,3,0.4,750,2.0,True,True,True,True,0.6499999761581421,0.6499999761581421,167993.759765625,MotorImagery_dim256_depth3_mask0.4_patch750_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_06_50
MotorImagery,256,3,0.4,75,1.0,True,True,True,True,0.5899999737739563,0.5899999737739563,26399.697265625,MotorImagery_dim256_depth3_mask0.4_patch75_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_18_52
MotorImagery,256,3,0.4,150,1.0,True,True,True,True,0.6700000166893005,0.6700000166893005,40751.759765625,MotorImagery_dim256_depth3_mask0.4_patch150_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_32_23
MotorImagery,256,3,0.4,225,1.0,True,True,True,True,0.7099999785423279,0.7099999785423279,55190.759765625,MotorImagery_dim256_depth3_mask0.4_patch225_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_15_45_37
MotorImagery,256,3,0.4,300,1.0,True,True,True,True,0.6299999952316284,0.6299999952316284,69641.759765625,MotorImagery_dim256_depth3_mask0.4_patch300_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_04_46
MotorImagery,256,3,0.4,450,1.0,True,True,True,True,0.699999988079071,0.699999988079071,98573.759765625,MotorImagery_dim256_depth3_mask0.4_patch450_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_16_18_40
