data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
PEMS-SF,256,3,0.4,4,3.0,True,True,True,True,0.8670520186424255,0.8670520186424255,46548.697265625,PEMS-SF_dim256_depth3_mask0.4_patch4_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_38_02
PEMS-SF,256,3,0.4,8,3.0,True,True,True,True,0.7803468108177185,0.7803468108177185,58000.697265625,PEMS-SF_dim256_depth3_mask0.4_patch8_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_09_09
PEMS-SF,256,3,0.4,11,3.0,True,True,True,True,0.7861271500587463,0.7861271500587463,66652.759765625,PEMS-SF_dim256_depth3_mask0.4_patch11_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_36_16
PEMS-SF,256,3,0.4,15,3.0,True,True,True,True,0.8208092451095581,0.8208092451095581,78185.759765625,PEMS-SF_dim256_depth3_mask0.4_patch15_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_15_50
PEMS-SF,256,3,0.4,22,3.0,True,True,True,True,0.8092485666275024,0.8092485666275024,98394.759765625,PEMS-SF_dim256_depth3_mask0.4_patch22_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_45_50
PEMS-SF,256,3,0.4,29,3.0,True,True,True,True,0.8323699235916138,0.8323699235916138,118612.759765625,PEMS-SF_dim256_depth3_mask0.4_patch29_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_17_11
PEMS-SF,256,3,0.4,36,3.0,True,True,True,True,0.849711000919342,0.849711000919342,138836.759765625,PEMS-SF_dim256_depth3_mask0.4_patch36_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_41_19
PEMS-SF,256,3,0.4,4,2.0,True,True,True,True,0.8208092451095581,0.8208092451095581,35010.697265625,PEMS-SF_dim256_depth3_mask0.4_patch4_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_00_51
PEMS-SF,256,3,0.4,8,2.0,True,True,True,True,0.8034682273864746,0.8034682273864746,46462.697265625,PEMS-SF_dim256_depth3_mask0.4_patch8_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_28_34
PEMS-SF,256,3,0.4,11,2.0,True,True,True,True,0.7803468108177185,0.7803468108177185,55114.759765625,PEMS-SF_dim256_depth3_mask0.4_patch11_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_15_57_15
PEMS-SF,256,3,0.4,15,2.0,True,True,True,True,0.7861271500587463,0.7861271500587463,66647.759765625,PEMS-SF_dim256_depth3_mask0.4_patch15_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_26_02
PEMS-SF,256,3,0.4,22,2.0,True,True,True,True,0.8092485666275024,0.8092485666275024,86856.759765625,PEMS-SF_dim256_depth3_mask0.4_patch22_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_49_45
PEMS-SF,256,3,0.4,29,2.0,True,True,True,True,0.8554913401603699,0.8554913401603699,107074.759765625,PEMS-SF_dim256_depth3_mask0.4_patch29_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_11_50
PEMS-SF,256,3,0.4,36,2.0,True,True,True,True,0.7687861323356628,0.7687861323356628,127298.759765625,PEMS-SF_dim256_depth3_mask0.4_patch36_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_44_13
PEMS-SF,256,3,0.4,4,1.0,True,True,True,True,0.8092485666275024,0.8092485666275024,23472.697265625,PEMS-SF_dim256_depth3_mask0.4_patch4_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_18_04_58
PEMS-SF,256,3,0.4,8,1.0,True,True,True,True,0.8034682273864746,0.8034682273864746,34924.697265625,PEMS-SF_dim256_depth3_mask0.4_patch8_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_18_35_23
PEMS-SF,256,3,0.4,11,1.0,True,True,True,True,0.7803468108177185,0.7803468108177185,43576.759765625,PEMS-SF_dim256_depth3_mask0.4_patch11_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_04_01
PEMS-SF,256,3,0.4,15,1.0,True,True,True,True,0.7919074892997742,0.7919074892997742,55109.759765625,PEMS-SF_dim256_depth3_mask0.4_patch15_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_27_16
PEMS-SF,256,3,0.4,22,1.0,True,True,True,True,0.8034682273864746,0.8034682273864746,75318.759765625,PEMS-SF_dim256_depth3_mask0.4_patch22_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_19_47_28
PEMS-SF,256,3,0.4,29,1.0,True,True,True,True,0.8150289058685303,0.8150289058685303,95536.759765625,PEMS-SF_dim256_depth3_mask0.4_patch29_mlp1.0___ASB_True__AF_True__ICB_True__preTr_True_20_04_37
