data_name,dim,depth,mask,patch,mlp,ASB,AF,ICB,preTr,acc,acc_val,model_size (KB),log_path
SpokenArabicDigits,256,3,0.4,3,3.0,True,True,True,True,0.0995907261967659,0.0995907261967659,35177.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch3_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_11_38_01
SpokenArabicDigits,256,3,0.4,5,3.0,True,True,True,True,0.0995907261967659,0.0995907261967659,35122.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch5_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_10_28
SpokenArabicDigits,256,3,0.4,7,3.0,True,True,True,True,0.13642564415931702,0.13642564415931702,35157.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch7_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_12_31_52
SpokenArabicDigits,256,3,0.4,10,3.0,True,True,True,True,0.4142792224884033,0.4142792224884033,35241.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch10_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_13_08_25
SpokenArabicDigits,256,3,0.4,14,3.0,True,True,True,True,0.39381536841392517,0.39381536841392517,35383.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch14_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_01_09
SpokenArabicDigits,256,3,0.4,19,3.0,True,True,True,True,0.3710777759552002,0.3710777759552002,35571.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch19_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_14_57_26
SpokenArabicDigits,256,3,0.4,24,3.0,True,True,True,True,0.2978626787662506,0.2978626787662506,35765.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch24_mlp3.0___ASB_True__AF_True__ICB_True__preTr_True_15_42_30
SpokenArabicDigits,256,3,0.4,3,2.0,True,True,True,True,0.0995907261967659,0.0995907261967659,23639.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch3_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_09_27
SpokenArabicDigits,256,3,0.4,5,2.0,True,True,True,True,0.5316053032875061,0.5316053032875061,23584.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch5_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_16_27_42
SpokenArabicDigits,256,3,0.4,7,2.0,True,True,True,True,0.6080036163330078,0.6080036163330078,23619.759765625,SpokenArabicDigits_dim256_depth3_mask0.4_patch7_mlp2.0___ASB_True__AF_True__ICB_True__preTr_True_17_14_03
