data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
ArticularyWordRecognition,TimeMixerPP,144,4,64,8,64,conv,3,2,3,0.98,19083742,72.91
ArticularyWordRecognition,TimeMixerPP,144,4,64,8,64,conv,3,2,2,0.98,19083742,72.91
ArticularyWordRecognition,TimeMixerPP,144,4,64,8,32,conv,3,2,3,0.9833333333333333,9677278,37.03
ArticularyWordRecognition,TimeMixerPP,144,4,64,8,32,conv,3,2,2,0.98,9677278,37.03
ArticularyWordRecognition,TimeMixerPP,144,4,64,8,16,conv,3,2,3,0.9833333333333333,4974046,19.09
ArticularyWordRecognition,TimeMixerPP,144,4,64,8,16,conv,3,2,2,0.9833333333333333,4974046,19.09
ArticularyWordRecognition,TimeMixerPP,144,4,32,8,64,conv,3,2,3,0.9833333333333333,9536510,36.49
ArticularyWordRecognition,TimeMixerPP,144,4,32,8,64,conv,3,2,2,0.9833333333333333,9536510,36.49
ArticularyWordRecognition,TimeMixerPP,144,4,32,8,32,conv,3,2,3,0.9833333333333333,4832254,18.55
ArticularyWordRecognition,TimeMixerPP,144,4,32,8,32,conv,3,2,2,0.98,4832254,18.55
ArticularyWordRecognition,TimeMixerPP,144,4,32,8,16,conv,3,2,3,0.98,2480126,9.57
ArticularyWordRecognition,TimeMixerPP,144,4,32,8,16,conv,3,2,2,0.98,2480126,9.57
ArticularyWordRecognition,TimeMixerPP,144,4,16,8,64,conv,3,2,3,0.9833333333333333,4769038,18.31
ArticularyWordRecognition,TimeMixerPP,144,4,16,8,64,conv,3,2,2,0.9833333333333333,4769038,18.31
ArticularyWordRecognition,TimeMixerPP,144,4,16,8,32,conv,3,2,3,0.98,2415886,9.33
ArticularyWordRecognition,TimeMixerPP,144,4,16,8,32,conv,3,2,2,0.98,2415886,9.33
ArticularyWordRecognition,TimeMixerPP,144,4,16,8,16,conv,3,2,3,0.9866666666666667,1239310,4.84
ArticularyWordRecognition,TimeMixerPP,144,4,16,8,16,conv,3,2,2,0.9866666666666667,1239310,4.84
ArticularyWordRecognition,TimeMixerPP,144,3,64,8,64,conv,3,2,3,0.9866666666666667,14371292,54.91
ArticularyWordRecognition,TimeMixerPP,144,3,64,8,64,conv,3,2,2,0.9866666666666667,14371292,54.91
ArticularyWordRecognition,TimeMixerPP,144,3,64,8,32,conv,3,2,3,0.9833333333333333,7316444,28.0
ArticularyWordRecognition,TimeMixerPP,144,3,64,8,32,conv,3,2,2,0.9833333333333333,7316444,28.0
ArticularyWordRecognition,TimeMixerPP,144,3,64,8,16,conv,3,2,3,0.98,3789020,14.54
ArticularyWordRecognition,TimeMixerPP,144,3,64,8,16,conv,3,2,2,0.98,3789020,14.54
ArticularyWordRecognition,TimeMixerPP,144,3,32,8,64,conv,3,2,3,0.9866666666666667,7181820,27.48
ArticularyWordRecognition,TimeMixerPP,144,3,32,8,64,conv,3,2,2,0.9866666666666667,7181820,27.48
ArticularyWordRecognition,TimeMixerPP,144,3,32,8,32,conv,3,2,3,0.9833333333333333,3653628,14.02
ArticularyWordRecognition,TimeMixerPP,144,3,32,8,32,conv,3,2,2,0.9833333333333333,3653628,14.02
ArticularyWordRecognition,TimeMixerPP,144,3,32,8,16,conv,3,2,3,0.98,1889532,7.29
ArticularyWordRecognition,TimeMixerPP,144,3,32,8,16,conv,3,2,2,0.98,1889532,7.29
ArticularyWordRecognition,TimeMixerPP,144,3,16,8,64,conv,3,2,3,0.9733333333333334,3591692,13.79
ArticularyWordRecognition,TimeMixerPP,144,3,16,8,64,conv,3,2,2,0.9733333333333334,3591692,13.79
ArticularyWordRecognition,TimeMixerPP,144,3,16,8,32,conv,3,2,3,0.98,1826828,7.06
ArticularyWordRecognition,TimeMixerPP,144,3,16,8,32,conv,3,2,2,0.98,1826828,7.06
