data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
BasicMotions,TimeMixerPP,100,4,64,8,64,conv,3,2,3,1.0,18877388,72.12
BasicMotions,TimeMixerPP,100,4,64,8,64,conv,3,2,2,1.0,18877388,72.12
BasicMotions,TimeMixerPP,100,4,64,8,32,conv,3,2,3,1.0,9470924,36.24
BasicMotions,TimeMixerPP,100,4,64,8,32,conv,3,2,2,1.0,9470924,36.24
BasicMotions,TimeMixerPP,100,4,64,8,16,conv,3,2,3,1.0,4767692,18.3
BasicMotions,TimeMixerPP,100,4,64,8,16,conv,3,2,2,0.975,4767692,18.3
BasicMotions,TimeMixerPP,100,4,32,8,64,conv,3,2,3,0.975,9432844,36.1
BasicMotions,TimeMixerPP,100,4,32,8,64,conv,3,2,2,0.975,9432844,36.1
BasicMotions,TimeMixerPP,100,4,32,8,32,conv,3,2,3,0.95,4728588,18.15
BasicMotions,TimeMixerPP,100,4,32,8,32,conv,3,2,2,0.975,4728588,18.15
BasicMotions,TimeMixerPP,100,4,32,8,16,conv,3,2,3,1.0,2376460,9.18
BasicMotions,TimeMixerPP,100,4,32,8,16,conv,3,2,2,1.0,2376460,9.18
BasicMotions,TimeMixerPP,100,4,16,8,64,conv,3,2,3,1.0,4716716,18.11
BasicMotions,TimeMixerPP,100,4,16,8,64,conv,3,2,2,1.0,4716716,18.11
BasicMotions,TimeMixerPP,100,4,16,8,32,conv,3,2,3,1.0,2363564,9.13
BasicMotions,TimeMixerPP,100,4,16,8,32,conv,3,2,2,1.0,2363564,9.13
BasicMotions,TimeMixerPP,100,4,16,8,16,conv,3,2,3,0.975,1186988,4.64
BasicMotions,TimeMixerPP,100,4,16,8,16,conv,3,2,2,0.925,1186988,4.64
BasicMotions,TimeMixerPP,100,3,64,8,64,conv,3,2,3,1.0,14164938,54.12
BasicMotions,TimeMixerPP,100,3,64,8,64,conv,3,2,2,1.0,14164938,54.12
BasicMotions,TimeMixerPP,100,3,64,8,32,conv,3,2,3,0.925,7110090,27.21
BasicMotions,TimeMixerPP,100,3,64,8,32,conv,3,2,2,0.975,7110090,27.21
BasicMotions,TimeMixerPP,100,3,64,8,16,conv,3,2,3,1.0,3582666,13.75
BasicMotions,TimeMixerPP,100,3,64,8,16,conv,3,2,2,1.0,3582666,13.75
BasicMotions,TimeMixerPP,100,3,32,8,64,conv,3,2,3,0.95,7078154,27.09
BasicMotions,TimeMixerPP,100,3,32,8,64,conv,3,2,2,0.975,7078154,27.09
BasicMotions,TimeMixerPP,100,3,32,8,32,conv,3,2,3,0.975,3549962,13.63
BasicMotions,TimeMixerPP,100,3,32,8,32,conv,3,2,2,0.975,3549962,13.63
BasicMotions,TimeMixerPP,100,3,32,8,16,conv,3,2,3,0.95,1785866,6.9
BasicMotions,TimeMixerPP,100,3,32,8,16,conv,3,2,2,0.975,1785866,6.9
BasicMotions,TimeMixerPP,100,3,16,8,64,conv,3,2,3,1.0,3539370,13.59
BasicMotions,TimeMixerPP,100,3,16,8,64,conv,3,2,2,0.95,3539370,13.59
BasicMotions,TimeMixerPP,100,3,16,8,32,conv,3,2,3,1.0,1774506,6.86
BasicMotions,TimeMixerPP,100,3,16,8,32,conv,3,2,2,1.0,1774506,6.86
BasicMotions,TimeMixerPP,100,3,16,8,16,conv,3,2,3,0.95,892074,3.49
BasicMotions,TimeMixerPP,100,3,16,8,16,conv,3,2,2,0.925,892074,3.49
BasicMotions,TimeMixerPP,100,2,64,8,64,conv,3,2,3,0.95,9452488,36.12
BasicMotions,TimeMixerPP,100,2,64,8,64,conv,3,2,2,0.95,9452488,36.12
BasicMotions,TimeMixerPP,100,2,64,8,32,conv,3,2,3,0.975,4749256,18.18
BasicMotions,TimeMixerPP,100,2,64,8,32,conv,3,2,2,0.975,4749256,18.18
BasicMotions,TimeMixerPP,100,2,64,8,16,conv,3,2,3,1.0,2397640,9.21
BasicMotions,TimeMixerPP,100,2,64,8,16,conv,3,2,2,0.975,2397640,9.21
BasicMotions,TimeMixerPP,100,2,32,8,64,conv,3,2,3,1.0,4723464,18.08
BasicMotions,TimeMixerPP,100,2,32,8,64,conv,3,2,2,1.0,4723464,18.08
BasicMotions,TimeMixerPP,100,2,32,8,32,conv,3,2,3,1.0,2371336,9.11
BasicMotions,TimeMixerPP,100,2,32,8,32,conv,3,2,2,1.0,2371336,9.11
BasicMotions,TimeMixerPP,100,2,32,8,16,conv,3,2,3,0.95,1195272,4.62
BasicMotions,TimeMixerPP,100,2,32,8,16,conv,3,2,2,0.975,1195272,4.62
BasicMotions,TimeMixerPP,100,2,16,8,64,conv,3,2,3,1.0,2362024,9.07
BasicMotions,TimeMixerPP,100,2,16,8,64,conv,3,2,2,1.0,2362024,9.07
