data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
CharacterTrajectories,TimeMixerPP,182,4,64,8,64,conv,3,2,3,0.9832869080779945,19085141,72.92
CharacterTrajectories,TimeMixerPP,182,4,64,8,64,conv,3,2,2,0.9811977715877437,19085141,72.92
CharacterTrajectories,TimeMixerPP,182,4,64,8,32,conv,3,2,3,0.9811977715877437,9678677,37.03
CharacterTrajectories,TimeMixerPP,182,4,64,8,32,conv,3,2,2,0.983983286908078,9678677,37.03
CharacterTrajectories,TimeMixerPP,182,4,64,8,16,conv,3,2,3,0.9853760445682451,4975445,19.09
CharacterTrajectories,TimeMixerPP,182,4,64,8,16,conv,3,2,2,0.9853760445682451,4975445,19.09
CharacterTrajectories,TimeMixerPP,182,4,32,8,64,conv,3,2,3,0.983983286908078,9537205,36.5
CharacterTrajectories,TimeMixerPP,182,4,32,8,64,conv,3,2,2,0.9853760445682451,9537205,36.5
CharacterTrajectories,TimeMixerPP,182,4,32,8,32,conv,3,2,3,0.9888579387186629,4832949,18.55
CharacterTrajectories,TimeMixerPP,182,4,32,8,32,conv,3,2,2,0.9867688022284122,4832949,18.55
CharacterTrajectories,TimeMixerPP,182,4,32,8,16,conv,3,2,3,0.9888579387186629,2480821,9.58
CharacterTrajectories,TimeMixerPP,182,4,32,8,16,conv,3,2,2,0.9867688022284122,2480821,9.58
CharacterTrajectories,TimeMixerPP,182,4,16,8,64,conv,3,2,3,0.9853760445682451,4769381,18.31
CharacterTrajectories,TimeMixerPP,182,4,16,8,64,conv,3,2,2,0.9930362116991643,4769381,18.31
CharacterTrajectories,TimeMixerPP,182,4,16,8,32,conv,3,2,3,0.9895543175487466,2416229,9.33
CharacterTrajectories,TimeMixerPP,182,4,16,8,32,conv,3,2,2,0.9902506963788301,2416229,9.33
CharacterTrajectories,TimeMixerPP,182,4,16,8,16,conv,3,2,3,0.9888579387186629,1239653,4.84
CharacterTrajectories,TimeMixerPP,182,4,16,8,16,conv,3,2,2,0.9895543175487466,1239653,4.84
CharacterTrajectories,TimeMixerPP,182,3,64,8,64,conv,3,2,3,0.983983286908078,14372691,54.91
CharacterTrajectories,TimeMixerPP,182,3,64,8,64,conv,3,2,2,0.9846796657381616,14372691,54.91
CharacterTrajectories,TimeMixerPP,182,3,64,8,32,conv,3,2,3,0.9832869080779945,7317843,28.0
CharacterTrajectories,TimeMixerPP,182,3,64,8,32,conv,3,2,2,0.983983286908078,7317843,28.0
CharacterTrajectories,TimeMixerPP,182,3,64,8,16,conv,3,2,3,0.9846796657381616,3790419,14.55
CharacterTrajectories,TimeMixerPP,182,3,64,8,16,conv,3,2,2,0.9825905292479109,3790419,14.55
CharacterTrajectories,TimeMixerPP,182,3,32,8,64,conv,3,2,3,0.9860724233983287,7182515,27.49
CharacterTrajectories,TimeMixerPP,182,3,32,8,64,conv,3,2,2,0.9853760445682451,7182515,27.49
CharacterTrajectories,TimeMixerPP,182,3,32,8,32,conv,3,2,3,0.9860724233983287,3654323,14.03
CharacterTrajectories,TimeMixerPP,182,3,32,8,32,conv,3,2,2,0.9909470752089137,3654323,14.03
CharacterTrajectories,TimeMixerPP,182,3,32,8,16,conv,3,2,3,0.9888579387186629,1890227,7.3
CharacterTrajectories,TimeMixerPP,182,3,32,8,16,conv,3,2,2,0.9895543175487466,1890227,7.3
CharacterTrajectories,TimeMixerPP,182,3,16,8,64,conv,3,2,3,0.9853760445682451,3592035,13.79
CharacterTrajectories,TimeMixerPP,182,3,16,8,64,conv,3,2,2,0.9867688022284122,3592035,13.79
CharacterTrajectories,TimeMixerPP,182,3,16,8,32,conv,3,2,3,0.9902506963788301,1827171,7.06
CharacterTrajectories,TimeMixerPP,182,3,16,8,32,conv,3,2,2,0.9888579387186629,1827171,7.06
CharacterTrajectories,TimeMixerPP,182,3,16,8,16,conv,3,2,3,0.9902506963788301,944739,3.69
CharacterTrajectories,TimeMixerPP,182,3,16,8,16,conv,3,2,2,0.9895543175487466,944739,3.69
CharacterTrajectories,TimeMixerPP,182,2,64,8,64,conv,3,2,3,0.9811977715877437,9660241,36.91
CharacterTrajectories,TimeMixerPP,182,2,64,8,64,conv,3,2,2,0.979108635097493,9660241,36.91
CharacterTrajectories,TimeMixerPP,182,2,64,8,32,conv,3,2,3,0.9895543175487466,4957009,18.97
CharacterTrajectories,TimeMixerPP,182,2,64,8,32,conv,3,2,2,0.9853760445682451,4957009,18.97
CharacterTrajectories,TimeMixerPP,182,2,64,8,16,conv,3,2,3,0.9874651810584958,2605393,10.0
CharacterTrajectories,TimeMixerPP,182,2,64,8,16,conv,3,2,2,0.9881615598885793,2605393,10.0
CharacterTrajectories,TimeMixerPP,182,2,32,8,64,conv,3,2,3,0.9888579387186629,4827825,18.48
CharacterTrajectories,TimeMixerPP,182,2,32,8,64,conv,3,2,2,0.9860724233983287,4827825,18.48
CharacterTrajectories,TimeMixerPP,182,2,32,8,32,conv,3,2,3,0.9888579387186629,2475697,9.5
CharacterTrajectories,TimeMixerPP,182,2,32,8,32,conv,3,2,2,0.9881615598885793,2475697,9.5
CharacterTrajectories,TimeMixerPP,182,2,32,8,16,conv,3,2,3,0.9916434540389972,1299633,5.02
CharacterTrajectories,TimeMixerPP,182,2,32,8,16,conv,3,2,2,0.9867688022284122,1299633,5.02
CharacterTrajectories,TimeMixerPP,182,2,16,8,64,conv,3,2,3,0.9881615598885793,2414689,9.27
CharacterTrajectories,TimeMixerPP,182,2,16,8,64,conv,3,2,2,0.9874651810584958,2414689,9.27
CharacterTrajectories,TimeMixerPP,182,2,16,8,32,conv,3,2,3,0.9874651810584958,1238113,4.78
CharacterTrajectories,TimeMixerPP,182,2,16,8,32,conv,3,2,2,0.9874651810584958,1238113,4.78
CharacterTrajectories,TimeMixerPP,182,2,16,8,16,conv,3,2,3,0.9888579387186629,649825,2.54
CharacterTrajectories,TimeMixerPP,182,2,16,8,16,conv,3,2,2,0.9874651810584958,649825,2.54
CharacterTrajectories,TimeMixerPP,182,1,64,8,64,conv,3,2,3,0.9853760445682451,4947791,18.91
CharacterTrajectories,TimeMixerPP,182,1,64,8,64,conv,3,2,2,0.983983286908078,4947791,18.91
CharacterTrajectories,TimeMixerPP,182,1,64,8,32,conv,3,2,3,0.9860724233983287,2596175,9.94
CharacterTrajectories,TimeMixerPP,182,1,64,8,32,conv,3,2,2,0.9874651810584958,2596175,9.94
CharacterTrajectories,TimeMixerPP,182,1,64,8,16,conv,3,2,3,0.9832869080779945,1420367,5.45
CharacterTrajectories,TimeMixerPP,182,1,64,8,16,conv,3,2,2,0.9818941504178273,1420367,5.45
CharacterTrajectories,TimeMixerPP,182,1,32,8,64,conv,3,2,3,0.9832869080779945,2473135,9.47
CharacterTrajectories,TimeMixerPP,182,1,32,8,64,conv,3,2,2,0.9846796657381616,2473135,9.47
CharacterTrajectories,TimeMixerPP,182,1,32,8,32,conv,3,2,3,0.9867688022284122,1297071,4.98
CharacterTrajectories,TimeMixerPP,182,1,32,8,32,conv,3,2,2,0.9888579387186629,1297071,4.98
CharacterTrajectories,TimeMixerPP,182,1,32,8,16,conv,3,2,3,0.9881615598885793,709039,2.74
CharacterTrajectories,TimeMixerPP,182,1,32,8,16,conv,3,2,2,0.9888579387186629,709039,2.74
CharacterTrajectories,TimeMixerPP,182,1,16,8,64,conv,3,2,3,0.9853760445682451,1237343,4.75
CharacterTrajectories,TimeMixerPP,182,1,16,8,64,conv,3,2,2,0.9874651810584958,1237343,4.75
CharacterTrajectories,TimeMixerPP,182,1,16,8,32,conv,3,2,3,0.9860724233983287,649055,2.51
CharacterTrajectories,TimeMixerPP,182,1,16,8,32,conv,3,2,2,0.9853760445682451,649055,2.51
CharacterTrajectories,TimeMixerPP,182,1,16,8,16,conv,3,2,3,0.9867688022284122,354911,1.39
CharacterTrajectories,TimeMixerPP,182,1,16,8,16,conv,3,2,2,0.9874651810584958,354911,1.39
CharacterTrajectories,TimeMixerPP,182,4,64,8,64,conv,2,2,3,0.9853760445682451,19091022,72.94
CharacterTrajectories,TimeMixerPP,182,4,64,8,64,conv,2,2,2,0.9818941504178273,19091022,72.94
CharacterTrajectories,TimeMixerPP,182,4,64,8,32,conv,2,2,3,0.9881615598885793,9684558,37.06
CharacterTrajectories,TimeMixerPP,182,4,64,8,32,conv,2,2,2,0.9832869080779945,9684558,37.06
CharacterTrajectories,TimeMixerPP,182,4,64,8,16,conv,2,2,3,0.9881615598885793,4981326,19.11
CharacterTrajectories,TimeMixerPP,182,4,64,8,16,conv,2,2,2,0.9825905292479109,4981326,19.11
CharacterTrajectories,TimeMixerPP,182,4,32,8,64,conv,2,2,3,0.9846796657381616,9543086,36.52
CharacterTrajectories,TimeMixerPP,182,4,32,8,64,conv,2,2,2,0.9818941504178273,9543086,36.52
CharacterTrajectories,TimeMixerPP,182,4,32,8,32,conv,2,2,3,0.9846796657381616,4838830,18.57
CharacterTrajectories,TimeMixerPP,182,4,32,8,32,conv,2,2,2,0.9888579387186629,4838830,18.57
CharacterTrajectories,TimeMixerPP,182,4,32,8,16,conv,2,2,3,0.983983286908078,2486702,9.6
CharacterTrajectories,TimeMixerPP,182,4,32,8,16,conv,2,2,2,0.9811977715877437,2486702,9.6
CharacterTrajectories,TimeMixerPP,182,4,16,8,64,conv,2,2,3,0.9902506963788301,4775262,18.33
CharacterTrajectories,TimeMixerPP,182,4,16,8,64,conv,2,2,2,0.9909470752089137,4775262,18.33
CharacterTrajectories,TimeMixerPP,182,4,16,8,32,conv,2,2,3,0.9895543175487466,2422110,9.35
CharacterTrajectories,TimeMixerPP,182,4,16,8,32,conv,2,2,2,0.9867688022284122,2422110,9.35
CharacterTrajectories,TimeMixerPP,182,4,16,8,16,conv,2,2,3,0.9881615598885793,1245534,4.86
CharacterTrajectories,TimeMixerPP,182,4,16,8,16,conv,2,2,2,0.9860724233983287,1245534,4.86
CharacterTrajectories,TimeMixerPP,182,3,64,8,64,conv,2,2,3,0.9888579387186629,14378572,54.94
CharacterTrajectories,TimeMixerPP,182,3,64,8,64,conv,2,2,2,0.983983286908078,14378572,54.94
CharacterTrajectories,TimeMixerPP,182,3,64,8,32,conv,2,2,3,0.9881615598885793,7323724,28.02
CharacterTrajectories,TimeMixerPP,182,3,64,8,32,conv,2,2,2,0.9818941504178273,7323724,28.02
CharacterTrajectories,TimeMixerPP,182,3,64,8,16,conv,2,2,3,0.9818941504178273,3796300,14.57
CharacterTrajectories,TimeMixerPP,182,3,64,8,16,conv,2,2,2,0.9832869080779945,3796300,14.57
CharacterTrajectories,TimeMixerPP,182,3,32,8,64,conv,2,2,3,0.9853760445682451,7188396,27.51
CharacterTrajectories,TimeMixerPP,182,3,32,8,64,conv,2,2,2,0.9798050139275766,7188396,27.51
CharacterTrajectories,TimeMixerPP,182,3,32,8,32,conv,2,2,3,0.9867688022284122,3660204,14.05
CharacterTrajectories,TimeMixerPP,182,3,32,8,32,conv,2,2,2,0.9846796657381616,3660204,14.05
CharacterTrajectories,TimeMixerPP,182,3,32,8,16,conv,2,2,3,0.9881615598885793,1896108,7.32
CharacterTrajectories,TimeMixerPP,182,3,32,8,16,conv,2,2,2,0.9881615598885793,1896108,7.32
CharacterTrajectories,TimeMixerPP,182,3,16,8,64,conv,2,2,3,0.9909470752089137,3597916,13.81
CharacterTrajectories,TimeMixerPP,182,3,16,8,64,conv,2,2,2,0.9867688022284122,3597916,13.81
CharacterTrajectories,TimeMixerPP,182,3,16,8,32,conv,2,2,3,0.9825905292479109,1833052,7.08
CharacterTrajectories,TimeMixerPP,182,3,16,8,32,conv,2,2,2,0.9860724233983287,1833052,7.08
CharacterTrajectories,TimeMixerPP,182,3,16,8,16,conv,2,2,3,0.9902506963788301,950620,3.71
CharacterTrajectories,TimeMixerPP,182,3,16,8,16,conv,2,2,2,0.9888579387186629,950620,3.71
CharacterTrajectories,TimeMixerPP,182,2,64,8,64,conv,2,2,3,0.9867688022284122,9666122,36.93
CharacterTrajectories,TimeMixerPP,182,2,64,8,64,conv,2,2,2,0.983983286908078,9666122,36.93
CharacterTrajectories,TimeMixerPP,182,2,64,8,32,conv,2,2,3,0.9832869080779945,4962890,18.99
CharacterTrajectories,TimeMixerPP,182,2,64,8,32,conv,2,2,2,0.9798050139275766,4962890,18.99
CharacterTrajectories,TimeMixerPP,182,2,64,8,16,conv,2,2,3,0.9811977715877437,2611274,10.02
CharacterTrajectories,TimeMixerPP,182,2,64,8,16,conv,2,2,2,0.9846796657381616,2611274,10.02
CharacterTrajectories,TimeMixerPP,182,2,32,8,64,conv,2,2,3,0.9888579387186629,4833706,18.5
CharacterTrajectories,TimeMixerPP,182,2,32,8,64,conv,2,2,2,0.9895543175487466,4833706,18.5
CharacterTrajectories,TimeMixerPP,182,2,32,8,32,conv,2,2,3,0.9846796657381616,2481578,9.53
CharacterTrajectories,TimeMixerPP,182,2,32,8,32,conv,2,2,2,0.9853760445682451,2481578,9.53
CharacterTrajectories,TimeMixerPP,182,2,32,8,16,conv,2,2,3,0.9853760445682451,1305514,5.04
CharacterTrajectories,TimeMixerPP,182,2,32,8,16,conv,2,2,2,0.9853760445682451,1305514,5.04
