data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
DuckDuckGeese,TimeMixerPP,270,4,64,8,64,conv,3,2,3,0.56,24636889,94.1
DuckDuckGeese,TimeMixerPP,270,4,64,8,64,conv,3,2,2,0.62,24636889,94.1
DuckDuckGeese,TimeMixerPP,270,4,64,8,32,conv,3,2,3,0.64,15230425,58.21
DuckDuckGeese,TimeMixerPP,270,4,64,8,32,conv,3,2,2,0.58,15230425,58.21
DuckDuckGeese,TimeMixerPP,270,4,64,8,16,conv,3,2,3,0.56,10527193,40.27
DuckDuckGeese,TimeMixerPP,270,4,64,8,16,conv,3,2,2,0.56,10527193,40.27
DuckDuckGeese,TimeMixerPP,270,4,32,8,64,conv,3,2,3,0.6,15033401,57.46
DuckDuckGeese,TimeMixerPP,270,4,32,8,64,conv,3,2,2,0.62,15033401,57.46
DuckDuckGeese,TimeMixerPP,270,4,32,8,32,conv,3,2,3,0.6,10329145,39.52
DuckDuckGeese,TimeMixerPP,270,4,32,8,32,conv,3,2,2,0.52,10329145,39.52
DuckDuckGeese,TimeMixerPP,270,4,32,8,16,conv,3,2,3,0.54,7977017,30.54
DuckDuckGeese,TimeMixerPP,270,4,32,8,16,conv,3,2,2,0.52,7977017,30.54
DuckDuckGeese,TimeMixerPP,270,4,16,8,64,conv,3,2,3,0.6,10237801,39.17
DuckDuckGeese,TimeMixerPP,270,4,16,8,64,conv,3,2,2,0.62,10237801,39.17
DuckDuckGeese,TimeMixerPP,270,4,16,8,32,conv,3,2,3,0.58,7884649,30.19
DuckDuckGeese,TimeMixerPP,270,4,16,8,32,conv,3,2,2,0.56,7884649,30.19
DuckDuckGeese,TimeMixerPP,270,4,16,8,16,conv,3,2,3,0.58,6708073,25.7
DuckDuckGeese,TimeMixerPP,270,4,16,8,16,conv,3,2,2,0.66,6708073,25.7
DuckDuckGeese,TimeMixerPP,270,3,64,8,64,conv,3,2,3,0.58,19924439,76.09
DuckDuckGeese,TimeMixerPP,270,3,64,8,64,conv,3,2,2,0.58,19924439,76.09
DuckDuckGeese,TimeMixerPP,270,3,64,8,32,conv,3,2,3,0.62,12869591,49.18
DuckDuckGeese,TimeMixerPP,270,3,64,8,32,conv,3,2,2,0.64,12869591,49.18
DuckDuckGeese,TimeMixerPP,270,3,64,8,16,conv,3,2,3,0.54,9342167,35.72
DuckDuckGeese,TimeMixerPP,270,3,64,8,16,conv,3,2,2,0.54,9342167,35.72
DuckDuckGeese,TimeMixerPP,270,3,32,8,64,conv,3,2,3,0.56,12678711,48.45
DuckDuckGeese,TimeMixerPP,270,3,32,8,64,conv,3,2,2,0.52,12678711,48.45
DuckDuckGeese,TimeMixerPP,270,3,32,8,32,conv,3,2,3,0.68,9150519,34.99
DuckDuckGeese,TimeMixerPP,270,3,32,8,32,conv,3,2,2,0.56,9150519,34.99
DuckDuckGeese,TimeMixerPP,270,3,32,8,16,conv,3,2,3,0.6,7386423,28.26
DuckDuckGeese,TimeMixerPP,270,3,32,8,16,conv,3,2,2,0.58,7386423,28.26
DuckDuckGeese,TimeMixerPP,270,3,16,8,64,conv,3,2,3,0.58,9060455,34.65
DuckDuckGeese,TimeMixerPP,270,3,16,8,64,conv,3,2,2,0.58,9060455,34.65
DuckDuckGeese,TimeMixerPP,270,3,16,8,32,conv,3,2,3,0.52,7295591,27.92
DuckDuckGeese,TimeMixerPP,270,3,16,8,32,conv,3,2,2,0.56,7295591,27.92
