data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
ERing,TimeMixerPP,65,4,64,8,64,conv,3,2,3,0.9407407407407408,18876158,72.12
ERing,TimeMixerPP,65,4,64,8,64,conv,3,2,2,0.9407407407407408,18876158,72.12
ERing,TimeMixerPP,65,4,64,8,32,conv,3,2,3,0.9444444444444444,9469694,36.24
ERing,TimeMixerPP,65,4,64,8,32,conv,3,2,2,0.9518518518518518,9469694,36.24
ERing,TimeMixerPP,65,4,64,8,16,conv,3,2,3,0.9148148148148149,4766462,18.3
ERing,TimeMixerPP,65,4,64,8,16,conv,3,2,2,0.9222222222222223,4766462,18.3
ERing,TimeMixerPP,65,4,32,8,64,conv,3,2,3,0.9296296296296296,9432126,36.09
ERing,TimeMixerPP,65,4,32,8,64,conv,3,2,2,0.9259259259259259,9432126,36.09
ERing,TimeMixerPP,65,4,32,8,32,conv,3,2,3,0.9444444444444444,4727870,18.15
ERing,TimeMixerPP,65,4,32,8,32,conv,3,2,2,0.9444444444444444,4727870,18.15
ERing,TimeMixerPP,65,4,32,8,16,conv,3,2,3,0.9444444444444444,2375742,9.18
ERing,TimeMixerPP,65,4,32,8,16,conv,3,2,2,0.9518518518518518,2375742,9.18
ERing,TimeMixerPP,65,4,16,8,64,conv,3,2,3,0.9407407407407408,4716254,18.1
ERing,TimeMixerPP,65,4,16,8,64,conv,3,2,2,0.8888888888888888,4716254,18.1
ERing,TimeMixerPP,65,4,16,8,32,conv,3,2,3,0.9074074074074074,2363102,9.13
ERing,TimeMixerPP,65,4,16,8,32,conv,3,2,2,0.9037037037037037,2363102,9.13
ERing,TimeMixerPP,65,4,16,8,16,conv,3,2,3,0.9518518518518518,1186526,4.64
ERing,TimeMixerPP,65,4,16,8,16,conv,3,2,2,0.9481481481481482,1186526,4.64
ERing,TimeMixerPP,65,3,64,8,64,conv,3,2,3,0.9444444444444444,14163708,54.12
ERing,TimeMixerPP,65,3,64,8,64,conv,3,2,2,0.9444444444444444,14163708,54.12
ERing,TimeMixerPP,65,3,64,8,32,conv,3,2,3,0.9185185185185185,7108860,27.2
ERing,TimeMixerPP,65,3,64,8,32,conv,3,2,2,0.9222222222222223,7108860,27.2
ERing,TimeMixerPP,65,3,64,8,16,conv,3,2,3,0.9296296296296296,3581436,13.75
ERing,TimeMixerPP,65,3,64,8,16,conv,3,2,2,0.9333333333333333,3581436,13.75
ERing,TimeMixerPP,65,3,32,8,64,conv,3,2,3,0.9407407407407408,7077436,27.09
ERing,TimeMixerPP,65,3,32,8,64,conv,3,2,2,0.9518518518518518,7077436,27.09
ERing,TimeMixerPP,65,3,32,8,32,conv,3,2,3,0.9407407407407408,3549244,13.63
ERing,TimeMixerPP,65,3,32,8,32,conv,3,2,2,0.9444444444444444,3549244,13.63
ERing,TimeMixerPP,65,3,32,8,16,conv,3,2,3,0.9555555555555556,1785148,6.9
ERing,TimeMixerPP,65,3,32,8,16,conv,3,2,2,0.9481481481481482,1785148,6.9
ERing,TimeMixerPP,65,3,16,8,64,conv,3,2,3,0.937037037037037,3538908,13.59
ERing,TimeMixerPP,65,3,16,8,64,conv,3,2,2,0.9333333333333333,3538908,13.59
ERing,TimeMixerPP,65,3,16,8,32,conv,3,2,3,0.9074074074074074,1774044,6.85
ERing,TimeMixerPP,65,3,16,8,32,conv,3,2,2,0.937037037037037,1774044,6.85
ERing,TimeMixerPP,65,3,16,8,16,conv,3,2,3,0.9333333333333333,891612,3.49
ERing,TimeMixerPP,65,3,16,8,16,conv,3,2,2,0.9333333333333333,891612,3.49
ERing,TimeMixerPP,65,2,64,8,64,conv,3,2,3,0.937037037037037,9451258,36.11
ERing,TimeMixerPP,65,2,64,8,64,conv,3,2,2,0.9444444444444444,9451258,36.11
ERing,TimeMixerPP,65,2,64,8,32,conv,3,2,3,0.9407407407407408,4748026,18.17
ERing,TimeMixerPP,65,2,64,8,32,conv,3,2,2,0.9296296296296296,4748026,18.17
ERing,TimeMixerPP,65,2,64,8,16,conv,3,2,3,0.9407407407407408,2396410,9.2
ERing,TimeMixerPP,65,2,64,8,16,conv,3,2,2,0.9407407407407408,2396410,9.2
ERing,TimeMixerPP,65,2,32,8,64,conv,3,2,3,0.9333333333333333,4722746,18.08
ERing,TimeMixerPP,65,2,32,8,64,conv,3,2,2,0.937037037037037,4722746,18.08
ERing,TimeMixerPP,65,2,32,8,32,conv,3,2,3,0.9259259259259259,2370618,9.1
ERing,TimeMixerPP,65,2,32,8,32,conv,3,2,2,0.9296296296296296,2370618,9.1
ERing,TimeMixerPP,65,2,32,8,16,conv,3,2,3,0.9296296296296296,1194554,4.62
ERing,TimeMixerPP,65,2,32,8,16,conv,3,2,2,0.9333333333333333,1194554,4.62
ERing,TimeMixerPP,65,2,16,8,64,conv,3,2,3,0.937037037037037,2361562,9.07
ERing,TimeMixerPP,65,2,16,8,64,conv,3,2,2,0.937037037037037,2361562,9.07
ERing,TimeMixerPP,65,2,16,8,32,conv,3,2,3,0.8814814814814815,1184986,4.58
ERing,TimeMixerPP,65,2,16,8,32,conv,3,2,2,0.8962962962962963,1184986,4.58
