data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
EigenWorms,TimeMixerPP,17984,4,64,8,64,conv,3,2,3,0.549618320610687,44829257,171.12
EigenWorms,TimeMixerPP,17984,4,64,8,64,conv,3,2,2,0.5419847328244275,44829257,171.12
EigenWorms,TimeMixerPP,17984,4,64,8,32,conv,3,2,3,0.5343511450381679,35422793,135.24
EigenWorms,TimeMixerPP,17984,4,64,8,32,conv,3,2,2,0.5572519083969466,35422793,135.24
EigenWorms,TimeMixerPP,17984,4,64,8,16,conv,3,2,3,0.5801526717557252,30719561,117.3
EigenWorms,TimeMixerPP,17984,4,64,8,16,conv,3,2,2,0.5877862595419847,30719561,117.3
EigenWorms,TimeMixerPP,17984,4,32,8,64,conv,3,2,3,0.5419847328244275,32520073,124.17
EigenWorms,TimeMixerPP,17984,4,32,8,64,conv,3,2,2,0.5801526717557252,32520073,124.17
EigenWorms,TimeMixerPP,17984,4,32,8,32,conv,3,2,3,0.5572519083969466,27815817,106.22
EigenWorms,TimeMixerPP,17984,4,32,8,32,conv,3,2,2,0.549618320610687,27815817,106.22
EigenWorms,TimeMixerPP,17984,4,32,8,16,conv,3,2,3,0.5801526717557252,25463689,97.25
EigenWorms,TimeMixerPP,17984,4,32,8,16,conv,3,2,2,0.5648854961832062,25463689,97.25
EigenWorms,TimeMixerPP,17984,4,16,8,64,conv,3,2,3,0.5725190839694656,26371625,100.71
EigenWorms,TimeMixerPP,17984,4,16,8,64,conv,3,2,2,0.5267175572519084,26371625,100.71
EigenWorms,TimeMixerPP,17984,4,16,8,32,conv,3,2,3,0.5190839694656488,24018473,91.74
EigenWorms,TimeMixerPP,17984,4,16,8,32,conv,3,2,2,0.5572519083969466,24018473,91.74
EigenWorms,TimeMixerPP,17984,4,16,8,16,conv,3,2,3,0.5572519083969466,22841897,87.25
EigenWorms,TimeMixerPP,17984,4,16,8,16,conv,3,2,2,0.5419847328244275,22841897,87.25
EigenWorms,TimeMixerPP,17984,3,64,8,64,conv,3,2,3,0.5343511450381679,40116807,153.12
EigenWorms,TimeMixerPP,17984,3,64,8,64,conv,3,2,2,0.5343511450381679,40116807,153.12
EigenWorms,TimeMixerPP,17984,3,64,8,32,conv,3,2,3,0.5572519083969466,33061959,126.21
EigenWorms,TimeMixerPP,17984,3,64,8,32,conv,3,2,2,0.5725190839694656,33061959,126.21
EigenWorms,TimeMixerPP,17984,3,64,8,16,conv,3,2,3,0.549618320610687,29534535,112.75
EigenWorms,TimeMixerPP,17984,3,64,8,16,conv,3,2,2,0.5725190839694656,29534535,112.75
EigenWorms,TimeMixerPP,17984,3,32,8,64,conv,3,2,3,0.5267175572519084,30165383,115.16
EigenWorms,TimeMixerPP,17984,3,32,8,64,conv,3,2,2,0.5114503816793893,30165383,115.16
EigenWorms,TimeMixerPP,17984,3,32,8,32,conv,3,2,3,0.5801526717557252,26637191,101.7
EigenWorms,TimeMixerPP,17984,3,32,8,32,conv,3,2,2,0.5877862595419847,26637191,101.7
EigenWorms,TimeMixerPP,17984,3,32,8,16,conv,3,2,3,0.5877862595419847,24873095,94.97
EigenWorms,TimeMixerPP,17984,3,32,8,16,conv,3,2,2,0.5725190839694656,24873095,94.97
EigenWorms,TimeMixerPP,17984,3,16,8,64,conv,3,2,3,0.549618320610687,25194279,96.2
EigenWorms,TimeMixerPP,17984,3,16,8,64,conv,3,2,2,0.5343511450381679,25194279,96.2
EigenWorms,TimeMixerPP,17984,3,16,8,32,conv,3,2,3,0.5572519083969466,23429415,89.46
EigenWorms,TimeMixerPP,17984,3,16,8,32,conv,3,2,2,0.5419847328244275,23429415,89.46
EigenWorms,TimeMixerPP,17984,3,16,8,16,conv,3,2,3,0.5648854961832062,22546983,86.1
EigenWorms,TimeMixerPP,17984,3,16,8,16,conv,3,2,2,0.5725190839694656,22546983,86.1
EigenWorms,TimeMixerPP,17984,2,64,8,64,conv,3,2,3,0.549618320610687,35404357,135.12
EigenWorms,TimeMixerPP,17984,2,64,8,64,conv,3,2,2,0.5419847328244275,35404357,135.12
EigenWorms,TimeMixerPP,17984,2,64,8,32,conv,3,2,3,0.5801526717557252,30701125,117.18
EigenWorms,TimeMixerPP,17984,2,64,8,32,conv,3,2,2,0.6106870229007634,30701125,117.18
EigenWorms,TimeMixerPP,17984,2,64,8,16,conv,3,2,3,0.5572519083969466,28349509,108.21
EigenWorms,TimeMixerPP,17984,2,64,8,16,conv,3,2,2,0.5648854961832062,28349509,108.21
EigenWorms,TimeMixerPP,17984,2,32,8,64,conv,3,2,3,0.5801526717557252,27810693,106.15
EigenWorms,TimeMixerPP,17984,2,32,8,64,conv,3,2,2,0.5725190839694656,27810693,106.15
EigenWorms,TimeMixerPP,17984,2,32,8,32,conv,3,2,3,0.5725190839694656,25458565,97.18
EigenWorms,TimeMixerPP,17984,2,32,8,32,conv,3,2,2,0.5572519083969466,25458565,97.18
