data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
Epilepsy,TimeMixerPP,206,4,64,8,64,conv,3,2,3,0.9057971014492754,18905920,72.23
Epilepsy,TimeMixerPP,206,4,64,8,64,conv,3,2,2,0.8913043478260869,18905920,72.23
Epilepsy,TimeMixerPP,206,4,64,8,32,conv,3,2,3,0.8623188405797102,9499456,36.35
Epilepsy,TimeMixerPP,206,4,64,8,32,conv,3,2,2,0.8695652173913043,9499456,36.35
Epilepsy,TimeMixerPP,206,4,64,8,16,conv,3,2,3,0.8260869565217391,4796224,18.41
Epilepsy,TimeMixerPP,206,4,64,8,16,conv,3,2,2,0.8695652173913043,4796224,18.41
Epilepsy,TimeMixerPP,206,4,32,8,64,conv,3,2,3,0.8115942028985508,9448096,36.15
Epilepsy,TimeMixerPP,206,4,32,8,64,conv,3,2,2,0.8333333333333334,9448096,36.15
Epilepsy,TimeMixerPP,206,4,32,8,32,conv,3,2,3,0.9057971014492754,4743840,18.21
Epilepsy,TimeMixerPP,206,4,32,8,32,conv,3,2,2,0.9057971014492754,4743840,18.21
Epilepsy,TimeMixerPP,206,4,32,8,16,conv,3,2,3,0.8478260869565217,2391712,9.24
Epilepsy,TimeMixerPP,206,4,32,8,16,conv,3,2,2,0.8333333333333334,2391712,9.24
Epilepsy,TimeMixerPP,206,4,16,8,64,conv,3,2,3,0.8913043478260869,4725328,18.14
Epilepsy,TimeMixerPP,206,4,16,8,64,conv,3,2,2,0.8840579710144928,4725328,18.14
Epilepsy,TimeMixerPP,206,4,16,8,32,conv,3,2,3,0.8695652173913043,2372176,9.16
Epilepsy,TimeMixerPP,206,4,16,8,32,conv,3,2,2,0.8840579710144928,2372176,9.16
Epilepsy,TimeMixerPP,206,4,16,8,16,conv,3,2,3,0.8768115942028986,1195600,4.67
Epilepsy,TimeMixerPP,206,4,16,8,16,conv,3,2,2,0.8768115942028986,1195600,4.67
Epilepsy,TimeMixerPP,206,3,64,8,64,conv,3,2,3,0.855072463768116,14193470,54.23
Epilepsy,TimeMixerPP,206,3,64,8,64,conv,3,2,2,0.8623188405797102,14193470,54.23
Epilepsy,TimeMixerPP,206,3,64,8,32,conv,3,2,3,0.855072463768116,7138622,27.32
Epilepsy,TimeMixerPP,206,3,64,8,32,conv,3,2,2,0.8623188405797102,7138622,27.32
Epilepsy,TimeMixerPP,206,3,64,8,16,conv,3,2,3,0.8913043478260869,3611198,13.86
Epilepsy,TimeMixerPP,206,3,64,8,16,conv,3,2,2,0.8695652173913043,3611198,13.86
Epilepsy,TimeMixerPP,206,3,32,8,64,conv,3,2,3,0.9130434782608695,7093406,27.15
Epilepsy,TimeMixerPP,206,3,32,8,64,conv,3,2,2,0.9130434782608695,7093406,27.15
Epilepsy,TimeMixerPP,206,3,32,8,32,conv,3,2,3,0.8840579710144928,3565214,13.69
Epilepsy,TimeMixerPP,206,3,32,8,32,conv,3,2,2,0.8840579710144928,3565214,13.69
Epilepsy,TimeMixerPP,206,3,32,8,16,conv,3,2,3,0.8913043478260869,1801118,6.96
Epilepsy,TimeMixerPP,206,3,32,8,16,conv,3,2,2,0.8840579710144928,1801118,6.96
Epilepsy,TimeMixerPP,206,3,16,8,64,conv,3,2,3,0.8913043478260869,3547982,13.62
Epilepsy,TimeMixerPP,206,3,16,8,64,conv,3,2,2,0.927536231884058,3547982,13.62
Epilepsy,TimeMixerPP,206,3,16,8,32,conv,3,2,3,0.8623188405797102,1783118,6.89
Epilepsy,TimeMixerPP,206,3,16,8,32,conv,3,2,2,0.9057971014492754,1783118,6.89
Epilepsy,TimeMixerPP,206,3,16,8,16,conv,3,2,3,0.9130434782608695,900686,3.52
Epilepsy,TimeMixerPP,206,3,16,8,16,conv,3,2,2,0.9057971014492754,900686,3.52
Epilepsy,TimeMixerPP,206,2,64,8,64,conv,3,2,3,0.8043478260869565,9481020,36.23
Epilepsy,TimeMixerPP,206,2,64,8,64,conv,3,2,2,0.8043478260869565,9481020,36.23
Epilepsy,TimeMixerPP,206,2,64,8,32,conv,3,2,3,0.8478260869565217,4777788,18.29
Epilepsy,TimeMixerPP,206,2,64,8,32,conv,3,2,2,0.8405797101449275,4777788,18.29
Epilepsy,TimeMixerPP,206,2,64,8,16,conv,3,2,3,0.8913043478260869,2426172,9.32
Epilepsy,TimeMixerPP,206,2,64,8,16,conv,3,2,2,0.8623188405797102,2426172,9.32
Epilepsy,TimeMixerPP,206,2,32,8,64,conv,3,2,3,0.8695652173913043,4738716,18.14
Epilepsy,TimeMixerPP,206,2,32,8,64,conv,3,2,2,0.855072463768116,4738716,18.14
Epilepsy,TimeMixerPP,206,2,32,8,32,conv,3,2,3,0.8405797101449275,2386588,9.16
Epilepsy,TimeMixerPP,206,2,32,8,32,conv,3,2,2,0.8768115942028986,2386588,9.16
Epilepsy,TimeMixerPP,206,2,32,8,16,conv,3,2,3,0.8985507246376812,1210524,4.68
Epilepsy,TimeMixerPP,206,2,32,8,16,conv,3,2,2,0.855072463768116,1210524,4.68
Epilepsy,TimeMixerPP,206,2,16,8,64,conv,3,2,3,0.8405797101449275,2370636,9.1
Epilepsy,TimeMixerPP,206,2,16,8,64,conv,3,2,2,0.8115942028985508,2370636,9.1
Epilepsy,TimeMixerPP,206,2,16,8,32,conv,3,2,3,0.8840579710144928,1194060,4.62
Epilepsy,TimeMixerPP,206,2,16,8,32,conv,3,2,2,0.8840579710144928,1194060,4.62
Epilepsy,TimeMixerPP,206,2,16,8,16,conv,3,2,3,0.8405797101449275,605772,2.37
Epilepsy,TimeMixerPP,206,2,16,8,16,conv,3,2,2,0.8768115942028986,605772,2.37
Epilepsy,TimeMixerPP,206,1,64,8,64,conv,3,2,3,0.8768115942028986,4768570,18.22
Epilepsy,TimeMixerPP,206,1,64,8,64,conv,3,2,2,0.8913043478260869,4768570,18.22
Epilepsy,TimeMixerPP,206,1,64,8,32,conv,3,2,3,0.9057971014492754,2416954,9.25
Epilepsy,TimeMixerPP,206,1,64,8,32,conv,3,2,2,0.8985507246376812,2416954,9.25
Epilepsy,TimeMixerPP,206,1,64,8,16,conv,3,2,3,0.7898550724637681,1241146,4.77
Epilepsy,TimeMixerPP,206,1,64,8,16,conv,3,2,2,0.7898550724637681,1241146,4.77
Epilepsy,TimeMixerPP,206,1,32,8,64,conv,3,2,3,0.9202898550724637,2384026,9.13
Epilepsy,TimeMixerPP,206,1,32,8,64,conv,3,2,2,0.9347826086956522,2384026,9.13
Epilepsy,TimeMixerPP,206,1,32,8,32,conv,3,2,3,0.8478260869565217,1207962,4.64
Epilepsy,TimeMixerPP,206,1,32,8,32,conv,3,2,2,0.8478260869565217,1207962,4.64
Epilepsy,TimeMixerPP,206,1,32,8,16,conv,3,2,3,0.8333333333333334,619930,2.4
Epilepsy,TimeMixerPP,206,1,32,8,16,conv,3,2,2,0.8478260869565217,619930,2.4
Epilepsy,TimeMixerPP,206,1,16,8,64,conv,3,2,3,0.855072463768116,1193290,4.59
Epilepsy,TimeMixerPP,206,1,16,8,64,conv,3,2,2,0.8623188405797102,1193290,4.59
Epilepsy,TimeMixerPP,206,1,16,8,32,conv,3,2,3,0.8188405797101449,605002,2.34
Epilepsy,TimeMixerPP,206,1,16,8,32,conv,3,2,2,0.8913043478260869,605002,2.34
Epilepsy,TimeMixerPP,206,1,16,8,16,conv,3,2,3,0.8333333333333334,310858,1.22
Epilepsy,TimeMixerPP,206,1,16,8,16,conv,3,2,2,0.8333333333333334,310858,1.22
Epilepsy,TimeMixerPP,206,4,64,8,64,conv,2,2,3,0.8985507246376812,18913404,72.26
Epilepsy,TimeMixerPP,206,4,64,8,64,conv,2,2,2,0.9057971014492754,18913404,72.26
Epilepsy,TimeMixerPP,206,4,64,8,32,conv,2,2,3,0.8985507246376812,9506940,36.38
Epilepsy,TimeMixerPP,206,4,64,8,32,conv,2,2,2,0.8985507246376812,9506940,36.38
Epilepsy,TimeMixerPP,206,4,64,8,16,conv,2,2,3,0.8913043478260869,4803708,18.44
Epilepsy,TimeMixerPP,206,4,64,8,16,conv,2,2,2,0.9057971014492754,4803708,18.44
Epilepsy,TimeMixerPP,206,4,32,8,64,conv,2,2,3,0.9130434782608695,9455580,36.18
Epilepsy,TimeMixerPP,206,4,32,8,64,conv,2,2,2,0.855072463768116,9455580,36.18
Epilepsy,TimeMixerPP,206,4,32,8,32,conv,2,2,3,0.8695652173913043,4751324,18.24
Epilepsy,TimeMixerPP,206,4,32,8,32,conv,2,2,2,0.8695652173913043,4751324,18.24
Epilepsy,TimeMixerPP,206,4,32,8,16,conv,2,2,3,0.8478260869565217,2399196,9.26
Epilepsy,TimeMixerPP,206,4,32,8,16,conv,2,2,2,0.9130434782608695,2399196,9.26
Epilepsy,TimeMixerPP,206,4,16,8,64,conv,2,2,3,0.9130434782608695,4732812,18.17
Epilepsy,TimeMixerPP,206,4,16,8,64,conv,2,2,2,0.9202898550724637,4732812,18.17
Epilepsy,TimeMixerPP,206,4,16,8,32,conv,2,2,3,0.8985507246376812,2379660,9.19
Epilepsy,TimeMixerPP,206,4,16,8,32,conv,2,2,2,0.8695652173913043,2379660,9.19
Epilepsy,TimeMixerPP,206,4,16,8,16,conv,2,2,3,0.927536231884058,1203084,4.7
Epilepsy,TimeMixerPP,206,4,16,8,16,conv,2,2,2,0.9057971014492754,1203084,4.7
Epilepsy,TimeMixerPP,206,3,64,8,64,conv,2,2,3,0.9492753623188406,14200954,54.26
Epilepsy,TimeMixerPP,206,3,64,8,64,conv,2,2,2,0.8913043478260869,14200954,54.26
Epilepsy,TimeMixerPP,206,3,64,8,32,conv,2,2,3,0.8985507246376812,7146106,27.35
Epilepsy,TimeMixerPP,206,3,64,8,32,conv,2,2,2,0.9057971014492754,7146106,27.35
