data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
EthanolConcentration,TimeMixerPP,1751,4,64,8,64,conv,3,2,3,0.30798479087452474,19488161,74.45
EthanolConcentration,TimeMixerPP,1751,4,64,8,64,conv,3,2,2,0.29277566539923955,19488161,74.45
EthanolConcentration,TimeMixerPP,1751,4,64,8,32,conv,3,2,3,0.30798479087452474,10081697,38.57
EthanolConcentration,TimeMixerPP,1751,4,64,8,32,conv,3,2,2,0.30798479087452474,10081697,38.57
EthanolConcentration,TimeMixerPP,1751,4,64,8,16,conv,3,2,3,0.3231939163498099,5378465,20.63
EthanolConcentration,TimeMixerPP,1751,4,64,8,16,conv,3,2,2,0.2889733840304182,5378465,20.63
EthanolConcentration,TimeMixerPP,1751,4,32,8,64,conv,3,2,3,0.34600760456273766,9832577,37.62
EthanolConcentration,TimeMixerPP,1751,4,32,8,64,conv,3,2,2,0.34220532319391633,9832577,37.62
EthanolConcentration,TimeMixerPP,1751,4,32,8,32,conv,3,2,3,0.3041825095057034,5128321,19.68
EthanolConcentration,TimeMixerPP,1751,4,32,8,32,conv,3,2,2,0.3041825095057034,5128321,19.68
EthanolConcentration,TimeMixerPP,1751,4,32,8,16,conv,3,2,3,0.3269961977186312,2776193,10.7
EthanolConcentration,TimeMixerPP,1751,4,32,8,16,conv,3,2,2,0.33079847908745247,2776193,10.7
EthanolConcentration,TimeMixerPP,1751,4,16,8,64,conv,3,2,3,0.29277566539923955,5010929,19.23
EthanolConcentration,TimeMixerPP,1751,4,16,8,64,conv,3,2,2,0.29277566539923955,5010929,19.23
EthanolConcentration,TimeMixerPP,1751,4,16,8,32,conv,3,2,3,0.29277566539923955,2657777,10.25
EthanolConcentration,TimeMixerPP,1751,4,16,8,32,conv,3,2,2,0.29277566539923955,2657777,10.25
EthanolConcentration,TimeMixerPP,1751,4,16,8,16,conv,3,2,3,0.28517110266159695,1481201,5.76
EthanolConcentration,TimeMixerPP,1751,4,16,8,16,conv,3,2,2,0.3041825095057034,1481201,5.76
EthanolConcentration,TimeMixerPP,1751,3,64,8,64,conv,3,2,3,0.30038022813688214,14775711,56.45
EthanolConcentration,TimeMixerPP,1751,3,64,8,64,conv,3,2,2,0.3041825095057034,14775711,56.45
EthanolConcentration,TimeMixerPP,1751,3,64,8,32,conv,3,2,3,0.3231939163498099,7720863,29.54
EthanolConcentration,TimeMixerPP,1751,3,64,8,32,conv,3,2,2,0.30038022813688214,7720863,29.54
EthanolConcentration,TimeMixerPP,1751,3,64,8,16,conv,3,2,3,0.2965779467680608,4193439,16.08
EthanolConcentration,TimeMixerPP,1751,3,64,8,16,conv,3,2,2,0.2965779467680608,4193439,16.08
EthanolConcentration,TimeMixerPP,1751,3,32,8,64,conv,3,2,3,0.3231939163498099,7477887,28.61
EthanolConcentration,TimeMixerPP,1751,3,32,8,64,conv,3,2,2,0.3231939163498099,7477887,28.61
EthanolConcentration,TimeMixerPP,1751,3,32,8,32,conv,3,2,3,0.3041825095057034,3949695,15.15
EthanolConcentration,TimeMixerPP,1751,3,32,8,32,conv,3,2,2,0.2813688212927757,3949695,15.15
EthanolConcentration,TimeMixerPP,1751,3,32,8,16,conv,3,2,3,0.3155893536121673,2185599,8.42
EthanolConcentration,TimeMixerPP,1751,3,32,8,16,conv,3,2,2,0.3193916349809886,2185599,8.42
EthanolConcentration,TimeMixerPP,1751,3,16,8,64,conv,3,2,3,0.30038022813688214,3833583,14.71
EthanolConcentration,TimeMixerPP,1751,3,16,8,64,conv,3,2,2,0.2965779467680608,3833583,14.71
EthanolConcentration,TimeMixerPP,1751,3,16,8,32,conv,3,2,3,0.3155893536121673,2068719,7.98
EthanolConcentration,TimeMixerPP,1751,3,16,8,32,conv,3,2,2,0.3193916349809886,2068719,7.98
EthanolConcentration,TimeMixerPP,1751,3,16,8,16,conv,3,2,3,0.30798479087452474,1186287,4.61
EthanolConcentration,TimeMixerPP,1751,3,16,8,16,conv,3,2,2,0.311787072243346,1186287,4.61
EthanolConcentration,TimeMixerPP,1751,2,64,8,64,conv,3,2,3,0.2889733840304182,10063261,38.45
EthanolConcentration,TimeMixerPP,1751,2,64,8,64,conv,3,2,2,0.2889733840304182,10063261,38.45
EthanolConcentration,TimeMixerPP,1751,2,64,8,32,conv,3,2,3,0.33079847908745247,5360029,20.51
EthanolConcentration,TimeMixerPP,1751,2,64,8,32,conv,3,2,2,0.2965779467680608,5360029,20.51
EthanolConcentration,TimeMixerPP,1751,2,64,8,16,conv,3,2,3,0.29277566539923955,3008413,11.54
EthanolConcentration,TimeMixerPP,1751,2,64,8,16,conv,3,2,2,0.30798479087452474,3008413,11.54
EthanolConcentration,TimeMixerPP,1751,2,32,8,64,conv,3,2,3,0.2889733840304182,5123197,19.6
EthanolConcentration,TimeMixerPP,1751,2,32,8,64,conv,3,2,2,0.2889733840304182,5123197,19.6
EthanolConcentration,TimeMixerPP,1751,2,32,8,32,conv,3,2,3,0.30798479087452474,2771069,10.63
EthanolConcentration,TimeMixerPP,1751,2,32,8,32,conv,3,2,2,0.29277566539923955,2771069,10.63
EthanolConcentration,TimeMixerPP,1751,2,32,8,16,conv,3,2,3,0.34220532319391633,1595005,6.14
EthanolConcentration,TimeMixerPP,1751,2,32,8,16,conv,3,2,2,0.34220532319391633,1595005,6.14
EthanolConcentration,TimeMixerPP,1751,2,16,8,64,conv,3,2,3,0.29277566539923955,2656237,10.19
EthanolConcentration,TimeMixerPP,1751,2,16,8,64,conv,3,2,2,0.29277566539923955,2656237,10.19
EthanolConcentration,TimeMixerPP,1751,2,16,8,32,conv,3,2,3,0.311787072243346,1479661,5.7
EthanolConcentration,TimeMixerPP,1751,2,16,8,32,conv,3,2,2,0.311787072243346,1479661,5.7
EthanolConcentration,TimeMixerPP,1751,2,16,8,16,conv,3,2,3,0.29277566539923955,891373,3.46
EthanolConcentration,TimeMixerPP,1751,2,16,8,16,conv,3,2,2,0.29277566539923955,891373,3.46
EthanolConcentration,TimeMixerPP,1751,1,64,8,64,conv,3,2,3,0.311787072243346,5350811,20.45
EthanolConcentration,TimeMixerPP,1751,1,64,8,64,conv,3,2,2,0.311787072243346,5350811,20.45
EthanolConcentration,TimeMixerPP,1751,1,64,8,32,conv,3,2,3,0.29277566539923955,2999195,11.47
EthanolConcentration,TimeMixerPP,1751,1,64,8,32,conv,3,2,2,0.29277566539923955,2999195,11.47
EthanolConcentration,TimeMixerPP,1751,1,64,8,16,conv,3,2,3,0.28517110266159695,1823387,6.99
EthanolConcentration,TimeMixerPP,1751,1,64,8,16,conv,3,2,2,0.311787072243346,1823387,6.99
EthanolConcentration,TimeMixerPP,1751,1,32,8,64,conv,3,2,3,0.2965779467680608,2768507,10.59
EthanolConcentration,TimeMixerPP,1751,1,32,8,64,conv,3,2,2,0.2965779467680608,2768507,10.59
EthanolConcentration,TimeMixerPP,1751,1,32,8,32,conv,3,2,3,0.30038022813688214,1592443,6.11
EthanolConcentration,TimeMixerPP,1751,1,32,8,32,conv,3,2,2,0.30038022813688214,1592443,6.11
EthanolConcentration,TimeMixerPP,1751,1,32,8,16,conv,3,2,3,0.30798479087452474,1004411,3.87
EthanolConcentration,TimeMixerPP,1751,1,32,8,16,conv,3,2,2,0.30798479087452474,1004411,3.87
EthanolConcentration,TimeMixerPP,1751,1,16,8,64,conv,3,2,3,0.3269961977186312,1478891,5.68
EthanolConcentration,TimeMixerPP,1751,1,16,8,64,conv,3,2,2,0.3269961977186312,1478891,5.68
EthanolConcentration,TimeMixerPP,1751,1,16,8,32,conv,3,2,3,0.30038022813688214,890603,3.43
EthanolConcentration,TimeMixerPP,1751,1,16,8,32,conv,3,2,2,0.3041825095057034,890603,3.43
EthanolConcentration,TimeMixerPP,1751,1,16,8,16,conv,3,2,3,0.2889733840304182,596459,2.31
EthanolConcentration,TimeMixerPP,1751,1,16,8,16,conv,3,2,2,0.2889733840304182,596459,2.31
EthanolConcentration,TimeMixerPP,1751,4,64,8,64,conv,2,2,3,0.30798479087452474,20055806,76.62
EthanolConcentration,TimeMixerPP,1751,4,64,8,64,conv,2,2,2,0.30798479087452474,20055806,76.62
EthanolConcentration,TimeMixerPP,1751,4,64,8,32,conv,2,2,3,0.3155893536121673,10649342,40.74
EthanolConcentration,TimeMixerPP,1751,4,64,8,32,conv,2,2,2,0.30798479087452474,10649342,40.74
EthanolConcentration,TimeMixerPP,1751,4,64,8,16,conv,2,2,3,0.30798479087452474,5946110,22.8
EthanolConcentration,TimeMixerPP,1751,4,64,8,16,conv,2,2,2,0.311787072243346,5946110,22.8
EthanolConcentration,TimeMixerPP,1751,4,32,8,64,conv,2,2,3,0.30798479087452474,10400222,39.79
EthanolConcentration,TimeMixerPP,1751,4,32,8,64,conv,2,2,2,0.30798479087452474,10400222,39.79
EthanolConcentration,TimeMixerPP,1751,4,32,8,32,conv,2,2,3,0.2889733840304182,5695966,21.84
EthanolConcentration,TimeMixerPP,1751,4,32,8,32,conv,2,2,2,0.2889733840304182,5695966,21.84
EthanolConcentration,TimeMixerPP,1751,4,32,8,16,conv,2,2,3,0.2889733840304182,3343838,12.87
EthanolConcentration,TimeMixerPP,1751,4,32,8,16,conv,2,2,2,0.2965779467680608,3343838,12.87
EthanolConcentration,TimeMixerPP,1751,4,16,8,64,conv,2,2,3,0.30798479087452474,5578574,21.39
EthanolConcentration,TimeMixerPP,1751,4,16,8,64,conv,2,2,2,0.30798479087452474,5578574,21.39
EthanolConcentration,TimeMixerPP,1751,4,16,8,32,conv,2,2,3,0.2889733840304182,3225422,12.42
EthanolConcentration,TimeMixerPP,1751,4,16,8,32,conv,2,2,2,0.2889733840304182,3225422,12.42
EthanolConcentration,TimeMixerPP,1751,4,16,8,16,conv,2,2,3,0.2889733840304182,2048846,7.93
EthanolConcentration,TimeMixerPP,1751,4,16,8,16,conv,2,2,2,0.2889733840304182,2048846,7.93
EthanolConcentration,TimeMixerPP,1751,3,64,8,64,conv,2,2,3,0.30038022813688214,15343356,58.62
EthanolConcentration,TimeMixerPP,1751,3,64,8,64,conv,2,2,2,0.29277566539923955,15343356,58.62
EthanolConcentration,TimeMixerPP,1751,3,64,8,32,conv,2,2,3,0.311787072243346,8288508,31.7
EthanolConcentration,TimeMixerPP,1751,3,64,8,32,conv,2,2,2,0.30798479087452474,8288508,31.7
EthanolConcentration,TimeMixerPP,1751,3,64,8,16,conv,2,2,3,0.2965779467680608,4761084,18.25
EthanolConcentration,TimeMixerPP,1751,3,64,8,16,conv,2,2,2,0.3041825095057034,4761084,18.25
EthanolConcentration,TimeMixerPP,1751,3,32,8,64,conv,2,2,3,0.3231939163498099,8045532,30.78
EthanolConcentration,TimeMixerPP,1751,3,32,8,64,conv,2,2,2,0.3231939163498099,8045532,30.78
EthanolConcentration,TimeMixerPP,1751,3,32,8,32,conv,2,2,3,0.26996197718631176,4517340,17.32
EthanolConcentration,TimeMixerPP,1751,3,32,8,32,conv,2,2,2,0.3041825095057034,4517340,17.32
EthanolConcentration,TimeMixerPP,1751,3,32,8,16,conv,2,2,3,0.3193916349809886,2753244,10.59
EthanolConcentration,TimeMixerPP,1751,3,32,8,16,conv,2,2,2,0.3193916349809886,2753244,10.59
EthanolConcentration,TimeMixerPP,1751,3,16,8,64,conv,2,2,3,0.3231939163498099,4401228,16.88
EthanolConcentration,TimeMixerPP,1751,3,16,8,64,conv,2,2,2,0.3231939163498099,4401228,16.88
EthanolConcentration,TimeMixerPP,1751,3,16,8,32,conv,2,2,3,0.2889733840304182,2636364,10.14
EthanolConcentration,TimeMixerPP,1751,3,16,8,32,conv,2,2,2,0.30798479087452474,2636364,10.14
EthanolConcentration,TimeMixerPP,1751,3,16,8,16,conv,2,2,3,0.27756653992395436,1753932,6.78
EthanolConcentration,TimeMixerPP,1751,3,16,8,16,conv,2,2,2,0.27756653992395436,1753932,6.78
EthanolConcentration,TimeMixerPP,1751,2,64,8,64,conv,2,2,3,0.2965779467680608,10630906,40.61
EthanolConcentration,TimeMixerPP,1751,2,64,8,64,conv,2,2,2,0.2965779467680608,10630906,40.61
EthanolConcentration,TimeMixerPP,1751,2,64,8,32,conv,2,2,3,0.2965779467680608,5927674,22.67
EthanolConcentration,TimeMixerPP,1751,2,64,8,32,conv,2,2,2,0.2965779467680608,5927674,22.67
EthanolConcentration,TimeMixerPP,1751,2,64,8,16,conv,2,2,3,0.30038022813688214,3576058,13.7
EthanolConcentration,TimeMixerPP,1751,2,64,8,16,conv,2,2,2,0.30038022813688214,3576058,13.7
EthanolConcentration,TimeMixerPP,1751,2,32,8,64,conv,2,2,3,0.2737642585551331,5690842,21.77
EthanolConcentration,TimeMixerPP,1751,2,32,8,64,conv,2,2,2,0.2737642585551331,5690842,21.77
EthanolConcentration,TimeMixerPP,1751,2,32,8,32,conv,2,2,3,0.2889733840304182,3338714,12.8
EthanolConcentration,TimeMixerPP,1751,2,32,8,32,conv,2,2,2,0.2889733840304182,3338714,12.8
EthanolConcentration,TimeMixerPP,1751,2,32,8,16,conv,2,2,3,0.2965779467680608,2162650,8.31
EthanolConcentration,TimeMixerPP,1751,2,32,8,16,conv,2,2,2,0.2965779467680608,2162650,8.31
EthanolConcentration,TimeMixerPP,1751,2,16,8,64,conv,2,2,3,0.29277566539923955,3223882,12.36
EthanolConcentration,TimeMixerPP,1751,2,16,8,64,conv,2,2,2,0.2623574144486692,3223882,12.36
EthanolConcentration,TimeMixerPP,1751,2,16,8,32,conv,2,2,3,0.28517110266159695,2047306,7.87
EthanolConcentration,TimeMixerPP,1751,2,16,8,32,conv,2,2,2,0.28517110266159695,2047306,7.87
EthanolConcentration,TimeMixerPP,1751,2,16,8,16,conv,2,2,3,0.28517110266159695,1459018,5.63
EthanolConcentration,TimeMixerPP,1751,2,16,8,16,conv,2,2,2,0.28517110266159695,1459018,5.63
EthanolConcentration,TimeMixerPP,1751,1,64,8,64,conv,2,2,3,0.311787072243346,5918456,22.61
EthanolConcentration,TimeMixerPP,1751,1,64,8,64,conv,2,2,2,0.30798479087452474,5918456,22.61
EthanolConcentration,TimeMixerPP,1751,1,64,8,32,conv,2,2,3,0.28517110266159695,3566840,13.64
EthanolConcentration,TimeMixerPP,1751,1,64,8,32,conv,2,2,2,0.2889733840304182,3566840,13.64
EthanolConcentration,TimeMixerPP,1751,1,64,8,16,conv,2,2,3,0.29277566539923955,2391032,9.15
EthanolConcentration,TimeMixerPP,1751,1,64,8,16,conv,2,2,2,0.30038022813688214,2391032,9.15
EthanolConcentration,TimeMixerPP,1751,1,32,8,64,conv,2,2,3,0.2661596958174905,3336152,12.76
EthanolConcentration,TimeMixerPP,1751,1,32,8,64,conv,2,2,2,0.2661596958174905,3336152,12.76
EthanolConcentration,TimeMixerPP,1751,1,32,8,32,conv,2,2,3,0.26996197718631176,2160088,8.27
EthanolConcentration,TimeMixerPP,1751,1,32,8,32,conv,2,2,2,0.26996197718631176,2160088,8.27
EthanolConcentration,TimeMixerPP,1751,1,32,8,16,conv,2,2,3,0.30038022813688214,1572056,6.03
EthanolConcentration,TimeMixerPP,1751,1,32,8,16,conv,2,2,2,0.30798479087452474,1572056,6.03
EthanolConcentration,TimeMixerPP,1751,1,16,8,64,conv,2,2,3,0.33079847908745247,2046536,7.84
