data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
FingerMovements,TimeMixerPP,50,4,64,8,64,conv,3,2,3,0.59,18864416,72.07
FingerMovements,TimeMixerPP,50,4,64,8,64,conv,3,2,2,0.6,18864416,72.07
FingerMovements,TimeMixerPP,50,4,64,8,32,conv,3,2,3,0.58,9457952,36.19
FingerMovements,TimeMixerPP,50,4,64,8,32,conv,3,2,2,0.58,9457952,36.19
FingerMovements,TimeMixerPP,50,4,64,8,16,conv,3,2,3,0.59,4754720,18.25
FingerMovements,TimeMixerPP,50,4,64,8,16,conv,3,2,2,0.6,4754720,18.25
FingerMovements,TimeMixerPP,50,4,32,8,64,conv,3,2,3,0.61,9427360,36.08
FingerMovements,TimeMixerPP,50,4,32,8,64,conv,3,2,2,0.6,9427360,36.08
FingerMovements,TimeMixerPP,50,4,32,8,32,conv,3,2,3,0.58,4723104,18.13
FingerMovements,TimeMixerPP,50,4,32,8,32,conv,3,2,2,0.58,4723104,18.13
FingerMovements,TimeMixerPP,50,4,32,8,16,conv,3,2,3,0.59,2370976,9.16
FingerMovements,TimeMixerPP,50,4,32,8,16,conv,3,2,2,0.59,2370976,9.16
FingerMovements,TimeMixerPP,50,4,16,8,64,conv,3,2,3,0.61,4714976,18.1
FingerMovements,TimeMixerPP,50,4,16,8,64,conv,3,2,2,0.6,4714976,18.1
FingerMovements,TimeMixerPP,50,4,16,8,32,conv,3,2,3,0.57,2361824,9.12
FingerMovements,TimeMixerPP,50,4,16,8,32,conv,3,2,2,0.57,2361824,9.12
FingerMovements,TimeMixerPP,50,4,16,8,16,conv,3,2,3,0.59,1185248,4.63
FingerMovements,TimeMixerPP,50,4,16,8,16,conv,3,2,2,0.62,1185248,4.63
FingerMovements,TimeMixerPP,50,3,64,8,64,conv,3,2,3,0.57,14151966,54.07
FingerMovements,TimeMixerPP,50,3,64,8,64,conv,3,2,2,0.57,14151966,54.07
FingerMovements,TimeMixerPP,50,3,64,8,32,conv,3,2,3,0.6,7097118,27.16
FingerMovements,TimeMixerPP,50,3,64,8,32,conv,3,2,2,0.59,7097118,27.16
FingerMovements,TimeMixerPP,50,3,64,8,16,conv,3,2,3,0.61,3569694,13.7
FingerMovements,TimeMixerPP,50,3,64,8,16,conv,3,2,2,0.6,3569694,13.7
FingerMovements,TimeMixerPP,50,3,32,8,64,conv,3,2,3,0.6,7072670,27.07
FingerMovements,TimeMixerPP,50,3,32,8,64,conv,3,2,2,0.6,7072670,27.07
FingerMovements,TimeMixerPP,50,3,32,8,32,conv,3,2,3,0.57,3544478,13.61
FingerMovements,TimeMixerPP,50,3,32,8,32,conv,3,2,2,0.57,3544478,13.61
FingerMovements,TimeMixerPP,50,3,32,8,16,conv,3,2,3,0.62,1780382,6.88
FingerMovements,TimeMixerPP,50,3,32,8,16,conv,3,2,2,0.62,1780382,6.88
FingerMovements,TimeMixerPP,50,3,16,8,64,conv,3,2,3,0.53,3537630,13.58
FingerMovements,TimeMixerPP,50,3,16,8,64,conv,3,2,2,0.54,3537630,13.58
FingerMovements,TimeMixerPP,50,3,16,8,32,conv,3,2,3,0.57,1772766,6.85
FingerMovements,TimeMixerPP,50,3,16,8,32,conv,3,2,2,0.56,1772766,6.85
FingerMovements,TimeMixerPP,50,3,16,8,16,conv,3,2,3,0.59,890334,3.48
FingerMovements,TimeMixerPP,50,3,16,8,16,conv,3,2,2,0.59,890334,3.48
FingerMovements,TimeMixerPP,50,2,64,8,64,conv,3,2,3,0.61,9439516,36.07
FingerMovements,TimeMixerPP,50,2,64,8,64,conv,3,2,2,0.61,9439516,36.07
FingerMovements,TimeMixerPP,50,2,64,8,32,conv,3,2,3,0.58,4736284,18.13
FingerMovements,TimeMixerPP,50,2,64,8,32,conv,3,2,2,0.57,4736284,18.13
FingerMovements,TimeMixerPP,50,2,64,8,16,conv,3,2,3,0.57,2384668,9.16
FingerMovements,TimeMixerPP,50,2,64,8,16,conv,3,2,2,0.58,2384668,9.16
FingerMovements,TimeMixerPP,50,2,32,8,64,conv,3,2,3,0.6,4717980,18.06
FingerMovements,TimeMixerPP,50,2,32,8,64,conv,3,2,2,0.59,4717980,18.06
FingerMovements,TimeMixerPP,50,2,32,8,32,conv,3,2,3,0.61,2365852,9.08
FingerMovements,TimeMixerPP,50,2,32,8,32,conv,3,2,2,0.61,2365852,9.08
FingerMovements,TimeMixerPP,50,2,32,8,16,conv,3,2,3,0.56,1189788,4.6
FingerMovements,TimeMixerPP,50,2,32,8,16,conv,3,2,2,0.58,1189788,4.6
FingerMovements,TimeMixerPP,50,2,16,8,64,conv,3,2,3,0.57,2360284,9.06
FingerMovements,TimeMixerPP,50,2,16,8,64,conv,3,2,2,0.55,2360284,9.06
FingerMovements,TimeMixerPP,50,2,16,8,32,conv,3,2,3,0.6,1183708,4.58
FingerMovements,TimeMixerPP,50,2,16,8,32,conv,3,2,2,0.6,1183708,4.58
FingerMovements,TimeMixerPP,50,2,16,8,16,conv,3,2,3,0.56,595420,2.33
FingerMovements,TimeMixerPP,50,2,16,8,16,conv,3,2,2,0.55,595420,2.33
FingerMovements,TimeMixerPP,50,1,64,8,64,conv,3,2,3,0.64,4727066,18.07
FingerMovements,TimeMixerPP,50,1,64,8,64,conv,3,2,2,0.64,4727066,18.07
FingerMovements,TimeMixerPP,50,1,64,8,32,conv,3,2,3,0.62,2375450,9.09
FingerMovements,TimeMixerPP,50,1,64,8,32,conv,3,2,2,0.62,2375450,9.09
FingerMovements,TimeMixerPP,50,1,64,8,16,conv,3,2,3,0.64,1199642,4.61
FingerMovements,TimeMixerPP,50,1,64,8,16,conv,3,2,2,0.64,1199642,4.61
FingerMovements,TimeMixerPP,50,1,32,8,64,conv,3,2,3,0.57,2363290,9.05
FingerMovements,TimeMixerPP,50,1,32,8,64,conv,3,2,2,0.58,2363290,9.05
FingerMovements,TimeMixerPP,50,1,32,8,32,conv,3,2,3,0.67,1187226,4.56
FingerMovements,TimeMixerPP,50,1,32,8,32,conv,3,2,2,0.65,1187226,4.56
FingerMovements,TimeMixerPP,50,1,32,8,16,conv,3,2,3,0.54,599194,2.32
FingerMovements,TimeMixerPP,50,1,32,8,16,conv,3,2,2,0.57,599194,2.32
FingerMovements,TimeMixerPP,50,1,16,8,64,conv,3,2,3,0.56,1182938,4.55
FingerMovements,TimeMixerPP,50,1,16,8,64,conv,3,2,2,0.56,1182938,4.55
FingerMovements,TimeMixerPP,50,1,16,8,32,conv,3,2,3,0.6,594650,2.3
FingerMovements,TimeMixerPP,50,1,16,8,32,conv,3,2,2,0.6,594650,2.3
FingerMovements,TimeMixerPP,50,1,16,8,16,conv,3,2,3,0.58,300506,1.18
FingerMovements,TimeMixerPP,50,1,16,8,16,conv,3,2,2,0.58,300506,1.18
FingerMovements,TimeMixerPP,50,4,64,8,64,conv,2,2,3,0.58,18864774,72.08
FingerMovements,TimeMixerPP,50,4,64,8,64,conv,2,2,2,0.59,18864774,72.08
FingerMovements,TimeMixerPP,50,4,64,8,32,conv,2,2,3,0.57,9458310,36.19
FingerMovements,TimeMixerPP,50,4,64,8,32,conv,2,2,2,0.57,9458310,36.19
