data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
HandMovementDirection,TimeMixerPP,400,4,64,8,64,conv,3,2,3,0.6756756756756757,18964554,72.46
HandMovementDirection,TimeMixerPP,400,4,64,8,64,conv,3,2,2,0.6621621621621622,18964554,72.46
HandMovementDirection,TimeMixerPP,400,4,64,8,32,conv,3,2,3,0.6891891891891891,9558090,36.57
HandMovementDirection,TimeMixerPP,400,4,64,8,32,conv,3,2,2,0.6756756756756757,9558090,36.57
HandMovementDirection,TimeMixerPP,400,4,64,8,16,conv,3,2,3,0.6621621621621622,4854858,18.63
HandMovementDirection,TimeMixerPP,400,4,64,8,16,conv,3,2,2,0.6756756756756757,4854858,18.63
HandMovementDirection,TimeMixerPP,400,4,32,8,64,conv,3,2,3,0.5945945945945946,9481226,36.28
HandMovementDirection,TimeMixerPP,400,4,32,8,64,conv,3,2,2,0.5945945945945946,9481226,36.28
HandMovementDirection,TimeMixerPP,400,4,32,8,32,conv,3,2,3,0.5945945945945946,4776970,18.34
HandMovementDirection,TimeMixerPP,400,4,32,8,32,conv,3,2,2,0.5945945945945946,4776970,18.34
HandMovementDirection,TimeMixerPP,400,4,32,8,16,conv,3,2,3,0.6081081081081081,2424842,9.36
HandMovementDirection,TimeMixerPP,400,4,32,8,16,conv,3,2,2,0.6351351351351351,2424842,9.36
HandMovementDirection,TimeMixerPP,400,4,16,8,64,conv,3,2,3,0.6081081081081081,4745706,18.22
HandMovementDirection,TimeMixerPP,400,4,16,8,64,conv,3,2,2,0.5945945945945946,4745706,18.22
HandMovementDirection,TimeMixerPP,400,4,16,8,32,conv,3,2,3,0.7027027027027027,2392554,9.24
HandMovementDirection,TimeMixerPP,400,4,16,8,32,conv,3,2,2,0.7027027027027027,2392554,9.24
HandMovementDirection,TimeMixerPP,400,4,16,8,16,conv,3,2,3,0.6081081081081081,1215978,4.75
HandMovementDirection,TimeMixerPP,400,4,16,8,16,conv,3,2,2,0.6216216216216216,1215978,4.75
HandMovementDirection,TimeMixerPP,400,3,64,8,64,conv,3,2,3,0.6351351351351351,14252104,54.45
HandMovementDirection,TimeMixerPP,400,3,64,8,64,conv,3,2,2,0.6621621621621622,14252104,54.45
HandMovementDirection,TimeMixerPP,400,3,64,8,32,conv,3,2,3,0.581081081081081,7197256,27.54
HandMovementDirection,TimeMixerPP,400,3,64,8,32,conv,3,2,2,0.581081081081081,7197256,27.54
