data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
Handwriting,TimeMixerPP,152,4,64,8,64,conv,3,2,3,0.2988235294117647,19104920,72.99
Handwriting,TimeMixerPP,152,4,64,8,64,conv,3,2,2,0.3235294117647059,19104920,72.99
Handwriting,TimeMixerPP,152,4,64,8,32,conv,3,2,3,0.2917647058823529,9698456,37.11
Handwriting,TimeMixerPP,152,4,64,8,32,conv,3,2,2,0.3023529411764706,9698456,37.11
Handwriting,TimeMixerPP,152,4,64,8,16,conv,3,2,3,0.29294117647058826,4995224,19.17
Handwriting,TimeMixerPP,152,4,64,8,16,conv,3,2,2,0.26941176470588235,4995224,19.17
Handwriting,TimeMixerPP,152,4,32,8,64,conv,3,2,3,0.29294117647058826,9547000,36.53
Handwriting,TimeMixerPP,152,4,32,8,64,conv,3,2,2,0.2858823529411765,9547000,36.53
Handwriting,TimeMixerPP,152,4,32,8,32,conv,3,2,3,0.2858823529411765,4842744,18.59
Handwriting,TimeMixerPP,152,4,32,8,32,conv,3,2,2,0.2788235294117647,4842744,18.59
Handwriting,TimeMixerPP,152,4,32,8,16,conv,3,2,3,0.2788235294117647,2490616,9.61
Handwriting,TimeMixerPP,152,4,32,8,16,conv,3,2,2,0.3,2490616,9.61
Handwriting,TimeMixerPP,152,4,16,8,64,conv,3,2,3,0.29764705882352943,4774184,18.33
Handwriting,TimeMixerPP,152,4,16,8,64,conv,3,2,2,0.2952941176470588,4774184,18.33
Handwriting,TimeMixerPP,152,4,16,8,32,conv,3,2,3,0.2752941176470588,2421032,9.35
Handwriting,TimeMixerPP,152,4,16,8,32,conv,3,2,2,0.26,2421032,9.35
Handwriting,TimeMixerPP,152,4,16,8,16,conv,3,2,3,0.26,1244456,4.86
Handwriting,TimeMixerPP,152,4,16,8,16,conv,3,2,2,0.2635294117647059,1244456,4.86
Handwriting,TimeMixerPP,152,3,64,8,64,conv,3,2,3,0.3058823529411765,14392470,54.99
Handwriting,TimeMixerPP,152,3,64,8,64,conv,3,2,2,0.29411764705882354,14392470,54.99
Handwriting,TimeMixerPP,152,3,64,8,32,conv,3,2,3,0.28,7337622,28.08
Handwriting,TimeMixerPP,152,3,64,8,32,conv,3,2,2,0.24705882352941178,7337622,28.08
Handwriting,TimeMixerPP,152,3,64,8,16,conv,3,2,3,0.2823529411764706,3810198,14.62
Handwriting,TimeMixerPP,152,3,64,8,16,conv,3,2,2,0.27294117647058824,3810198,14.62
Handwriting,TimeMixerPP,152,3,32,8,64,conv,3,2,3,0.29411764705882354,7192310,27.52
Handwriting,TimeMixerPP,152,3,32,8,64,conv,3,2,2,0.2988235294117647,7192310,27.52
Handwriting,TimeMixerPP,152,3,32,8,32,conv,3,2,3,0.3023529411764706,3664118,14.06
Handwriting,TimeMixerPP,152,3,32,8,32,conv,3,2,2,0.30823529411764705,3664118,14.06
Handwriting,TimeMixerPP,152,3,32,8,16,conv,3,2,3,0.2988235294117647,1900022,7.33
Handwriting,TimeMixerPP,152,3,32,8,16,conv,3,2,2,0.26705882352941174,1900022,7.33
Handwriting,TimeMixerPP,152,3,16,8,64,conv,3,2,3,0.32235294117647056,3596838,13.81
Handwriting,TimeMixerPP,152,3,16,8,64,conv,3,2,2,0.32588235294117646,3596838,13.81
Handwriting,TimeMixerPP,152,3,16,8,32,conv,3,2,3,0.26235294117647057,1831974,7.08
Handwriting,TimeMixerPP,152,3,16,8,32,conv,3,2,2,0.25058823529411767,1831974,7.08
Handwriting,TimeMixerPP,152,3,16,8,16,conv,3,2,3,0.27294117647058824,949542,3.71
Handwriting,TimeMixerPP,152,3,16,8,16,conv,3,2,2,0.26941176470588235,949542,3.71
Handwriting,TimeMixerPP,152,2,64,8,64,conv,3,2,3,0.3058823529411765,9680020,36.99
Handwriting,TimeMixerPP,152,2,64,8,64,conv,3,2,2,0.3176470588235294,9680020,36.99
Handwriting,TimeMixerPP,152,2,64,8,32,conv,3,2,3,0.26705882352941174,4976788,19.05
Handwriting,TimeMixerPP,152,2,64,8,32,conv,3,2,2,0.2635294117647059,4976788,19.05
Handwriting,TimeMixerPP,152,2,64,8,16,conv,3,2,3,0.2776470588235294,2625172,10.07
Handwriting,TimeMixerPP,152,2,64,8,16,conv,3,2,2,0.27294117647058824,2625172,10.07
Handwriting,TimeMixerPP,152,2,32,8,64,conv,3,2,3,0.28352941176470586,4837620,18.51
Handwriting,TimeMixerPP,152,2,32,8,64,conv,3,2,2,0.2788235294117647,4837620,18.51
Handwriting,TimeMixerPP,152,2,32,8,32,conv,3,2,3,0.26941176470588235,2485492,9.54
Handwriting,TimeMixerPP,152,2,32,8,32,conv,3,2,2,0.27058823529411763,2485492,9.54
Handwriting,TimeMixerPP,152,2,32,8,16,conv,3,2,3,0.30823529411764705,1309428,5.06
Handwriting,TimeMixerPP,152,2,32,8,16,conv,3,2,2,0.27058823529411763,1309428,5.06
Handwriting,TimeMixerPP,152,2,16,8,64,conv,3,2,3,0.31411764705882356,2419492,9.29
Handwriting,TimeMixerPP,152,2,16,8,64,conv,3,2,2,0.32,2419492,9.29
Handwriting,TimeMixerPP,152,2,16,8,32,conv,3,2,3,0.28823529411764703,1242916,4.8
Handwriting,TimeMixerPP,152,2,16,8,32,conv,3,2,2,0.2752941176470588,1242916,4.8
Handwriting,TimeMixerPP,152,2,16,8,16,conv,3,2,3,0.28352941176470586,654628,2.56
Handwriting,TimeMixerPP,152,2,16,8,16,conv,3,2,2,0.26,654628,2.56
Handwriting,TimeMixerPP,152,1,64,8,64,conv,3,2,3,0.27176470588235296,4967570,18.98
Handwriting,TimeMixerPP,152,1,64,8,64,conv,3,2,2,0.2858823529411765,4967570,18.98
Handwriting,TimeMixerPP,152,1,64,8,32,conv,3,2,3,0.26588235294117646,2615954,10.01
Handwriting,TimeMixerPP,152,1,64,8,32,conv,3,2,2,0.25882352941176473,2615954,10.01
Handwriting,TimeMixerPP,152,1,64,8,16,conv,3,2,3,0.26,1440146,5.53
Handwriting,TimeMixerPP,152,1,64,8,16,conv,3,2,2,0.25882352941176473,1440146,5.53
Handwriting,TimeMixerPP,152,1,32,8,64,conv,3,2,3,0.28352941176470586,2482930,9.51
Handwriting,TimeMixerPP,152,1,32,8,64,conv,3,2,2,0.26235294117647057,2482930,9.51
Handwriting,TimeMixerPP,152,1,32,8,32,conv,3,2,3,0.2647058823529412,1306866,5.02
Handwriting,TimeMixerPP,152,1,32,8,32,conv,3,2,2,0.26941176470588235,1306866,5.02
Handwriting,TimeMixerPP,152,1,32,8,16,conv,3,2,3,0.25529411764705884,718834,2.78
Handwriting,TimeMixerPP,152,1,32,8,16,conv,3,2,2,0.2541176470588235,718834,2.78
Handwriting,TimeMixerPP,152,1,16,8,64,conv,3,2,3,0.2952941176470588,1242146,4.77
Handwriting,TimeMixerPP,152,1,16,8,64,conv,3,2,2,0.29764705882352943,1242146,4.77
Handwriting,TimeMixerPP,152,1,16,8,32,conv,3,2,3,0.29411764705882354,653858,2.53
Handwriting,TimeMixerPP,152,1,16,8,32,conv,3,2,2,0.26823529411764707,653858,2.53
Handwriting,TimeMixerPP,152,1,16,8,16,conv,3,2,3,0.24823529411764705,359714,1.41
Handwriting,TimeMixerPP,152,1,16,8,16,conv,3,2,2,0.2447058823529412,359714,1.41
Handwriting,TimeMixerPP,152,4,64,8,64,conv,2,2,3,0.3058823529411765,19108629,73.01
Handwriting,TimeMixerPP,152,4,64,8,64,conv,2,2,2,0.3176470588235294,19108629,73.01
