data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
Heartbeat,TimeMixerPP,405,4,64,8,64,conv,3,2,3,0.7804878048780488,18935055,72.34
Heartbeat,TimeMixerPP,405,4,64,8,64,conv,3,2,2,0.7707317073170732,18935055,72.34
Heartbeat,TimeMixerPP,405,4,64,8,32,conv,3,2,3,0.7463414634146341,9528591,36.46
Heartbeat,TimeMixerPP,405,4,64,8,32,conv,3,2,2,0.7414634146341463,9528591,36.46
Heartbeat,TimeMixerPP,405,4,64,8,16,conv,3,2,3,0.7707317073170732,4825359,18.52
Heartbeat,TimeMixerPP,405,4,64,8,16,conv,3,2,2,0.7609756097560976,4825359,18.52
Heartbeat,TimeMixerPP,405,4,32,8,64,conv,3,2,3,0.7560975609756098,9472111,36.25
Heartbeat,TimeMixerPP,405,4,32,8,64,conv,3,2,2,0.7560975609756098,9472111,36.25
Heartbeat,TimeMixerPP,405,4,32,8,32,conv,3,2,3,0.7658536585365854,4767855,18.3
Heartbeat,TimeMixerPP,405,4,32,8,32,conv,3,2,2,0.7804878048780488,4767855,18.3
Heartbeat,TimeMixerPP,405,4,32,8,16,conv,3,2,3,0.7804878048780488,2415727,9.33
Heartbeat,TimeMixerPP,405,4,32,8,16,conv,3,2,2,0.7707317073170732,2415727,9.33
Heartbeat,TimeMixerPP,405,4,16,8,64,conv,3,2,3,0.775609756097561,4746783,18.22
Heartbeat,TimeMixerPP,405,4,16,8,64,conv,3,2,2,0.775609756097561,4746783,18.22
Heartbeat,TimeMixerPP,405,4,16,8,32,conv,3,2,3,0.7853658536585366,2393631,9.24
Heartbeat,TimeMixerPP,405,4,16,8,32,conv,3,2,2,0.7609756097560976,2393631,9.24
Heartbeat,TimeMixerPP,405,4,16,8,16,conv,3,2,3,0.7609756097560976,1217055,4.76
Heartbeat,TimeMixerPP,405,4,16,8,16,conv,3,2,2,0.7609756097560976,1217055,4.76
Heartbeat,TimeMixerPP,405,3,64,8,64,conv,3,2,3,0.7804878048780488,14222605,54.34
Heartbeat,TimeMixerPP,405,3,64,8,64,conv,3,2,2,0.775609756097561,14222605,54.34
Heartbeat,TimeMixerPP,405,3,64,8,32,conv,3,2,3,0.7707317073170732,7167757,27.43
Heartbeat,TimeMixerPP,405,3,64,8,32,conv,3,2,2,0.7707317073170732,7167757,27.43
Heartbeat,TimeMixerPP,405,3,64,8,16,conv,3,2,3,0.7414634146341463,3640333,13.97
Heartbeat,TimeMixerPP,405,3,64,8,16,conv,3,2,2,0.7414634146341463,3640333,13.97
Heartbeat,TimeMixerPP,405,3,32,8,64,conv,3,2,3,0.7707317073170732,7117421,27.24
Heartbeat,TimeMixerPP,405,3,32,8,64,conv,3,2,2,0.7707317073170732,7117421,27.24
Heartbeat,TimeMixerPP,405,3,32,8,32,conv,3,2,3,0.7658536585365854,3589229,13.78
Heartbeat,TimeMixerPP,405,3,32,8,32,conv,3,2,2,0.775609756097561,3589229,13.78
Heartbeat,TimeMixerPP,405,3,32,8,16,conv,3,2,3,0.7609756097560976,1825133,7.05
Heartbeat,TimeMixerPP,405,3,32,8,16,conv,3,2,2,0.7560975609756098,1825133,7.05
Heartbeat,TimeMixerPP,405,3,16,8,64,conv,3,2,3,0.7609756097560976,3569437,13.7
Heartbeat,TimeMixerPP,405,3,16,8,64,conv,3,2,2,0.7707317073170732,3569437,13.7
Heartbeat,TimeMixerPP,405,3,16,8,32,conv,3,2,3,0.7609756097560976,1804573,6.97
Heartbeat,TimeMixerPP,405,3,16,8,32,conv,3,2,2,0.7658536585365854,1804573,6.97
Heartbeat,TimeMixerPP,405,3,16,8,16,conv,3,2,3,0.7902439024390244,922141,3.6
Heartbeat,TimeMixerPP,405,3,16,8,16,conv,3,2,2,0.7902439024390244,922141,3.6
Heartbeat,TimeMixerPP,405,2,64,8,64,conv,3,2,3,0.751219512195122,9510155,36.34
Heartbeat,TimeMixerPP,405,2,64,8,64,conv,3,2,2,0.7658536585365854,9510155,36.34
Heartbeat,TimeMixerPP,405,2,64,8,32,conv,3,2,3,0.7707317073170732,4806923,18.4
Heartbeat,TimeMixerPP,405,2,64,8,32,conv,3,2,2,0.7707317073170732,4806923,18.4
Heartbeat,TimeMixerPP,405,2,64,8,16,conv,3,2,3,0.7658536585365854,2455307,9.43
Heartbeat,TimeMixerPP,405,2,64,8,16,conv,3,2,2,0.7707317073170732,2455307,9.43
Heartbeat,TimeMixerPP,405,2,32,8,64,conv,3,2,3,0.7560975609756098,4762731,18.23
Heartbeat,TimeMixerPP,405,2,32,8,64,conv,3,2,2,0.7609756097560976,4762731,18.23
Heartbeat,TimeMixerPP,405,2,32,8,32,conv,3,2,3,0.7707317073170732,2410603,9.26
Heartbeat,TimeMixerPP,405,2,32,8,32,conv,3,2,2,0.7707317073170732,2410603,9.26
Heartbeat,TimeMixerPP,405,2,32,8,16,conv,3,2,3,0.7560975609756098,1234539,4.77
Heartbeat,TimeMixerPP,405,2,32,8,16,conv,3,2,2,0.7658536585365854,1234539,4.77
Heartbeat,TimeMixerPP,405,2,16,8,64,conv,3,2,3,0.775609756097561,2392091,9.19
Heartbeat,TimeMixerPP,405,2,16,8,64,conv,3,2,2,0.7609756097560976,2392091,9.19
Heartbeat,TimeMixerPP,405,2,16,8,32,conv,3,2,3,0.7853658536585366,1215515,4.7
Heartbeat,TimeMixerPP,405,2,16,8,32,conv,3,2,2,0.7804878048780488,1215515,4.7
Heartbeat,TimeMixerPP,405,2,16,8,16,conv,3,2,3,0.7463414634146341,627227,2.45
Heartbeat,TimeMixerPP,405,2,16,8,16,conv,3,2,2,0.7463414634146341,627227,2.45
Heartbeat,TimeMixerPP,405,1,64,8,64,conv,3,2,3,0.7853658536585366,4797705,18.34
Heartbeat,TimeMixerPP,405,1,64,8,64,conv,3,2,2,0.7853658536585366,4797705,18.34
Heartbeat,TimeMixerPP,405,1,64,8,32,conv,3,2,3,0.7707317073170732,2446089,9.36
Heartbeat,TimeMixerPP,405,1,64,8,32,conv,3,2,2,0.7658536585365854,2446089,9.36
Heartbeat,TimeMixerPP,405,1,64,8,16,conv,3,2,3,0.7658536585365854,1270281,4.88
Heartbeat,TimeMixerPP,405,1,64,8,16,conv,3,2,2,0.751219512195122,1270281,4.88
Heartbeat,TimeMixerPP,405,1,32,8,64,conv,3,2,3,0.7707317073170732,2408041,9.22
Heartbeat,TimeMixerPP,405,1,32,8,64,conv,3,2,2,0.7707317073170732,2408041,9.22
Heartbeat,TimeMixerPP,405,1,32,8,32,conv,3,2,3,0.7804878048780488,1231977,4.73
Heartbeat,TimeMixerPP,405,1,32,8,32,conv,3,2,2,0.7707317073170732,1231977,4.73
Heartbeat,TimeMixerPP,405,1,32,8,16,conv,3,2,3,0.7658536585365854,643945,2.49
Heartbeat,TimeMixerPP,405,1,32,8,16,conv,3,2,2,0.7658536585365854,643945,2.49
Heartbeat,TimeMixerPP,405,1,16,8,64,conv,3,2,3,0.7804878048780488,1214745,4.67
Heartbeat,TimeMixerPP,405,1,16,8,64,conv,3,2,2,0.7707317073170732,1214745,4.67
Heartbeat,TimeMixerPP,405,1,16,8,32,conv,3,2,3,0.7707317073170732,626457,2.42
Heartbeat,TimeMixerPP,405,1,16,8,32,conv,3,2,2,0.775609756097561,626457,2.42
Heartbeat,TimeMixerPP,405,1,16,8,16,conv,3,2,3,0.7609756097560976,332313,1.3
Heartbeat,TimeMixerPP,405,1,16,8,16,conv,3,2,2,0.7658536585365854,332313,1.3
Heartbeat,TimeMixerPP,405,4,64,8,64,conv,2,2,3,0.7609756097560976,18964312,72.46
