data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
InsectWingbeat,TimeMixerPP,22,4,64,8,64,conv,3,2,3,0.60812,19024148,72.68
InsectWingbeat,TimeMixerPP,22,4,64,8,64,conv,3,2,2,0.6092,19024148,72.68
InsectWingbeat,TimeMixerPP,22,4,64,8,32,conv,3,2,3,0.61356,9617684,36.8
InsectWingbeat,TimeMixerPP,22,4,64,8,32,conv,3,2,2,0.6204,9617684,36.8
InsectWingbeat,TimeMixerPP,22,4,64,8,16,conv,3,2,3,0.62032,4914452,18.86
InsectWingbeat,TimeMixerPP,22,4,64,8,16,conv,3,2,2,0.62064,4914452,18.86
InsectWingbeat,TimeMixerPP,22,4,32,8,64,conv,3,2,3,0.60848,9566740,36.61
InsectWingbeat,TimeMixerPP,22,4,32,8,64,conv,3,2,2,0.60888,9566740,36.61
InsectWingbeat,TimeMixerPP,22,4,32,8,32,conv,3,2,3,0.61764,4862484,18.66
InsectWingbeat,TimeMixerPP,22,4,32,8,32,conv,3,2,2,0.61316,4862484,18.66
InsectWingbeat,TimeMixerPP,22,4,32,8,16,conv,3,2,3,0.61156,2510356,9.69
InsectWingbeat,TimeMixerPP,22,4,32,8,16,conv,3,2,2,0.61272,2510356,9.69
InsectWingbeat,TimeMixerPP,22,4,16,8,64,conv,3,2,3,0.59888,4844180,18.59
InsectWingbeat,TimeMixerPP,22,4,16,8,64,conv,3,2,2,0.60212,4844180,18.59
InsectWingbeat,TimeMixerPP,22,4,16,8,32,conv,3,2,3,0.6002,2491028,9.62
InsectWingbeat,TimeMixerPP,22,4,16,8,32,conv,3,2,2,0.6018,2491028,9.62
InsectWingbeat,TimeMixerPP,22,4,16,8,16,conv,3,2,3,0.60424,1314452,5.13
InsectWingbeat,TimeMixerPP,22,4,16,8,16,conv,3,2,2,0.60804,1314452,5.13
InsectWingbeat,TimeMixerPP,22,3,64,8,64,conv,3,2,3,0.60644,14311698,54.68
InsectWingbeat,TimeMixerPP,22,3,64,8,64,conv,3,2,2,0.60984,14311698,54.68
InsectWingbeat,TimeMixerPP,22,3,64,8,32,conv,3,2,3,0.61756,7256850,27.77
InsectWingbeat,TimeMixerPP,22,3,64,8,32,conv,3,2,2,0.6182,7256850,27.77
InsectWingbeat,TimeMixerPP,22,3,64,8,16,conv,3,2,3,0.62472,3729426,14.31
InsectWingbeat,TimeMixerPP,22,3,64,8,16,conv,3,2,2,0.62544,3729426,14.31
InsectWingbeat,TimeMixerPP,22,3,32,8,64,conv,3,2,3,0.61616,7212050,27.6
InsectWingbeat,TimeMixerPP,22,3,32,8,64,conv,3,2,2,0.60836,7212050,27.6
InsectWingbeat,TimeMixerPP,22,3,32,8,32,conv,3,2,3,0.61032,3683858,14.14
InsectWingbeat,TimeMixerPP,22,3,32,8,32,conv,3,2,2,0.6108,3683858,14.14
InsectWingbeat,TimeMixerPP,22,3,32,8,16,conv,3,2,3,0.61668,1919762,7.41
InsectWingbeat,TimeMixerPP,22,3,32,8,16,conv,3,2,2,0.62196,1919762,7.41
