data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
JapaneseVowels,TimeMixerPP,29,4,64,8,64,conv,3,2,3,0.9837837837837838,18869604,72.09
JapaneseVowels,TimeMixerPP,29,4,64,8,64,conv,3,2,2,0.9837837837837838,18869604,72.09
JapaneseVowels,TimeMixerPP,29,4,64,8,32,conv,3,2,3,0.9783783783783784,9463140,36.21
JapaneseVowels,TimeMixerPP,29,4,64,8,32,conv,3,2,2,0.9783783783783784,9463140,36.21
JapaneseVowels,TimeMixerPP,29,4,64,8,16,conv,3,2,3,0.9675675675675676,4759908,18.27
JapaneseVowels,TimeMixerPP,29,4,64,8,16,conv,3,2,2,0.9675675675675676,4759908,18.27
JapaneseVowels,TimeMixerPP,29,4,32,8,64,conv,3,2,3,0.9594594594594594,9428932,36.08
JapaneseVowels,TimeMixerPP,29,4,32,8,64,conv,3,2,2,0.9594594594594594,9428932,36.08
JapaneseVowels,TimeMixerPP,29,4,32,8,32,conv,3,2,3,0.972972972972973,4724676,18.14
JapaneseVowels,TimeMixerPP,29,4,32,8,32,conv,3,2,2,0.972972972972973,4724676,18.14
JapaneseVowels,TimeMixerPP,29,4,32,8,16,conv,3,2,3,0.972972972972973,2372548,9.16
JapaneseVowels,TimeMixerPP,29,4,32,8,16,conv,3,2,2,0.972972972972973,2372548,9.16
JapaneseVowels,TimeMixerPP,29,4,16,8,64,conv,3,2,3,0.9756756756756757,4714740,18.1
JapaneseVowels,TimeMixerPP,29,4,16,8,64,conv,3,2,2,0.9756756756756757,4714740,18.1
JapaneseVowels,TimeMixerPP,29,4,16,8,32,conv,3,2,3,0.9621621621621622,2361588,9.12
JapaneseVowels,TimeMixerPP,29,4,16,8,32,conv,3,2,2,0.9621621621621622,2361588,9.12
JapaneseVowels,TimeMixerPP,29,4,16,8,16,conv,3,2,3,0.9675675675675676,1185012,4.63
JapaneseVowels,TimeMixerPP,29,4,16,8,16,conv,3,2,2,0.9675675675675676,1185012,4.63
JapaneseVowels,TimeMixerPP,29,3,64,8,64,conv,3,2,3,0.972972972972973,14157154,54.09
JapaneseVowels,TimeMixerPP,29,3,64,8,64,conv,3,2,2,0.972972972972973,14157154,54.09
JapaneseVowels,TimeMixerPP,29,3,64,8,32,conv,3,2,3,0.9756756756756757,7102306,27.18
JapaneseVowels,TimeMixerPP,29,3,64,8,32,conv,3,2,2,0.9756756756756757,7102306,27.18
JapaneseVowels,TimeMixerPP,29,3,64,8,16,conv,3,2,3,0.9594594594594594,3574882,13.72
JapaneseVowels,TimeMixerPP,29,3,64,8,16,conv,3,2,2,0.9594594594594594,3574882,13.72
JapaneseVowels,TimeMixerPP,29,3,32,8,64,conv,3,2,3,0.9756756756756757,7074242,27.07
JapaneseVowels,TimeMixerPP,29,3,32,8,64,conv,3,2,2,0.9756756756756757,7074242,27.07
JapaneseVowels,TimeMixerPP,29,3,32,8,32,conv,3,2,3,0.972972972972973,3546050,13.61
JapaneseVowels,TimeMixerPP,29,3,32,8,32,conv,3,2,2,0.972972972972973,3546050,13.61
JapaneseVowels,TimeMixerPP,29,3,32,8,16,conv,3,2,3,0.9675675675675676,1781954,6.88
JapaneseVowels,TimeMixerPP,29,3,32,8,16,conv,3,2,2,0.9675675675675676,1781954,6.88
JapaneseVowels,TimeMixerPP,29,3,16,8,64,conv,3,2,3,0.9756756756756757,3537394,13.58
JapaneseVowels,TimeMixerPP,29,3,16,8,64,conv,3,2,2,0.9756756756756757,3537394,13.58
JapaneseVowels,TimeMixerPP,29,3,16,8,32,conv,3,2,3,0.9702702702702702,1772530,6.85
JapaneseVowels,TimeMixerPP,29,3,16,8,32,conv,3,2,2,0.9702702702702702,1772530,6.85
JapaneseVowels,TimeMixerPP,29,3,16,8,16,conv,3,2,3,0.9594594594594594,890098,3.48
JapaneseVowels,TimeMixerPP,29,3,16,8,16,conv,3,2,2,0.9594594594594594,890098,3.48
JapaneseVowels,TimeMixerPP,29,2,64,8,64,conv,3,2,3,0.972972972972973,9444704,36.09
JapaneseVowels,TimeMixerPP,29,2,64,8,64,conv,3,2,2,0.972972972972973,9444704,36.09
JapaneseVowels,TimeMixerPP,29,2,64,8,32,conv,3,2,3,0.972972972972973,4741472,18.15
JapaneseVowels,TimeMixerPP,29,2,64,8,32,conv,3,2,2,0.972972972972973,4741472,18.15
