data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
Libras,TimeMixerPP,45,4,64,8,64,conv,3,2,3,0.8055555555555556,18893688,72.19
Libras,TimeMixerPP,45,4,64,8,64,conv,3,2,2,0.8166666666666667,18893688,72.19
Libras,TimeMixerPP,45,4,64,8,32,conv,3,2,3,0.8111111111111111,9487224,36.3
Libras,TimeMixerPP,45,4,64,8,32,conv,3,2,2,0.8111111111111111,9487224,36.3
Libras,TimeMixerPP,45,4,64,8,16,conv,3,2,3,0.7888888888888889,4783992,18.36
Libras,TimeMixerPP,45,4,64,8,16,conv,3,2,2,0.7888888888888889,4783992,18.36
Libras,TimeMixerPP,45,4,32,8,64,conv,3,2,3,0.8222222222222222,9440728,36.13
Libras,TimeMixerPP,45,4,32,8,64,conv,3,2,2,0.8222222222222222,9440728,36.13
Libras,TimeMixerPP,45,4,32,8,32,conv,3,2,3,0.8333333333333334,4736472,18.18
Libras,TimeMixerPP,45,4,32,8,32,conv,3,2,2,0.8333333333333334,4736472,18.18
Libras,TimeMixerPP,45,4,32,8,16,conv,3,2,3,0.7777777777777778,2384344,9.21
Libras,TimeMixerPP,45,4,32,8,16,conv,3,2,2,0.7888888888888889,2384344,9.21
Libras,TimeMixerPP,45,4,16,8,64,conv,3,2,3,0.8444444444444444,4720392,18.12
Libras,TimeMixerPP,45,4,16,8,64,conv,3,2,2,0.8833333333333333,4720392,18.12
Libras,TimeMixerPP,45,4,16,8,32,conv,3,2,3,0.8222222222222222,2367240,9.14
Libras,TimeMixerPP,45,4,16,8,32,conv,3,2,2,0.8277777777777777,2367240,9.14
Libras,TimeMixerPP,45,4,16,8,16,conv,3,2,3,0.7777777777777778,1190664,4.65
Libras,TimeMixerPP,45,4,16,8,16,conv,3,2,2,0.7777777777777778,1190664,4.65
Libras,TimeMixerPP,45,3,64,8,64,conv,3,2,3,0.8111111111111111,14181238,54.18
Libras,TimeMixerPP,45,3,64,8,64,conv,3,2,2,0.8166666666666667,14181238,54.18
Libras,TimeMixerPP,45,3,64,8,32,conv,3,2,3,0.8111111111111111,7126390,27.27
Libras,TimeMixerPP,45,3,64,8,32,conv,3,2,2,0.8166666666666667,7126390,27.27
Libras,TimeMixerPP,45,3,64,8,16,conv,3,2,3,0.8055555555555556,3598966,13.82
Libras,TimeMixerPP,45,3,64,8,16,conv,3,2,2,0.8111111111111111,3598966,13.82
Libras,TimeMixerPP,45,3,32,8,64,conv,3,2,3,0.8055555555555556,7086038,27.12
Libras,TimeMixerPP,45,3,32,8,64,conv,3,2,2,0.8111111111111111,7086038,27.12
Libras,TimeMixerPP,45,3,32,8,32,conv,3,2,3,0.8388888888888889,3557846,13.66
Libras,TimeMixerPP,45,3,32,8,32,conv,3,2,2,0.8166666666666667,3557846,13.66
Libras,TimeMixerPP,45,3,32,8,16,conv,3,2,3,0.8055555555555556,1793750,6.93
Libras,TimeMixerPP,45,3,32,8,16,conv,3,2,2,0.8444444444444444,1793750,6.93
Libras,TimeMixerPP,45,3,16,8,64,conv,3,2,3,0.8055555555555556,3543046,13.6
Libras,TimeMixerPP,45,3,16,8,64,conv,3,2,2,0.7888888888888889,3543046,13.6
Libras,TimeMixerPP,45,3,16,8,32,conv,3,2,3,0.8,1778182,6.87
Libras,TimeMixerPP,45,3,16,8,32,conv,3,2,2,0.8055555555555556,1778182,6.87
Libras,TimeMixerPP,45,3,16,8,16,conv,3,2,3,0.8,895750,3.5
Libras,TimeMixerPP,45,3,16,8,16,conv,3,2,2,0.8222222222222222,895750,3.5
Libras,TimeMixerPP,45,2,64,8,64,conv,3,2,3,0.8,9468788,36.18
Libras,TimeMixerPP,45,2,64,8,64,conv,3,2,2,0.7833333333333333,9468788,36.18
Libras,TimeMixerPP,45,2,64,8,32,conv,3,2,3,0.8111111111111111,4765556,18.24
Libras,TimeMixerPP,45,2,64,8,32,conv,3,2,2,0.7944444444444444,4765556,18.24
Libras,TimeMixerPP,45,2,64,8,16,conv,3,2,3,0.8333333333333334,2413940,9.27
Libras,TimeMixerPP,45,2,64,8,16,conv,3,2,2,0.8111111111111111,2413940,9.27
Libras,TimeMixerPP,45,2,32,8,64,conv,3,2,3,0.7944444444444444,4731348,18.11
Libras,TimeMixerPP,45,2,32,8,64,conv,3,2,2,0.8111111111111111,4731348,18.11
Libras,TimeMixerPP,45,2,32,8,32,conv,3,2,3,0.8277777777777777,2379220,9.14
Libras,TimeMixerPP,45,2,32,8,32,conv,3,2,2,0.8222222222222222,2379220,9.14
Libras,TimeMixerPP,45,2,32,8,16,conv,3,2,3,0.7944444444444444,1203156,4.65
Libras,TimeMixerPP,45,2,32,8,16,conv,3,2,2,0.8,1203156,4.65
Libras,TimeMixerPP,45,2,16,8,64,conv,3,2,3,0.8222222222222222,2365700,9.08
Libras,TimeMixerPP,45,2,16,8,64,conv,3,2,2,0.8444444444444444,2365700,9.08
Libras,TimeMixerPP,45,2,16,8,32,conv,3,2,3,0.8166666666666667,1189124,4.6
Libras,TimeMixerPP,45,2,16,8,32,conv,3,2,2,0.7722222222222223,1189124,4.6
Libras,TimeMixerPP,45,2,16,8,16,conv,3,2,3,0.7944444444444444,600836,2.35
Libras,TimeMixerPP,45,2,16,8,16,conv,3,2,2,0.7888888888888889,600836,2.35
Libras,TimeMixerPP,45,1,64,8,64,conv,3,2,3,0.8388888888888889,4756338,18.18
Libras,TimeMixerPP,45,1,64,8,64,conv,3,2,2,0.7833333333333333,4756338,18.18
Libras,TimeMixerPP,45,1,64,8,32,conv,3,2,3,0.8222222222222222,2404722,9.21
Libras,TimeMixerPP,45,1,64,8,32,conv,3,2,2,0.8222222222222222,2404722,9.21
Libras,TimeMixerPP,45,1,64,8,16,conv,3,2,3,0.7944444444444444,1228914,4.72
Libras,TimeMixerPP,45,1,64,8,16,conv,3,2,2,0.7833333333333333,1228914,4.72
Libras,TimeMixerPP,45,1,32,8,64,conv,3,2,3,0.8222222222222222,2376658,9.1
Libras,TimeMixerPP,45,1,32,8,64,conv,3,2,2,0.8277777777777777,2376658,9.1
Libras,TimeMixerPP,45,1,32,8,32,conv,3,2,3,0.8055555555555556,1200594,4.61
Libras,TimeMixerPP,45,1,32,8,32,conv,3,2,2,0.8,1200594,4.61
Libras,TimeMixerPP,45,1,32,8,16,conv,3,2,3,0.8444444444444444,612562,2.37
Libras,TimeMixerPP,45,1,32,8,16,conv,3,2,2,0.8111111111111111,612562,2.37
Libras,TimeMixerPP,45,1,16,8,64,conv,3,2,3,0.8388888888888889,1188354,4.57
Libras,TimeMixerPP,45,1,16,8,64,conv,3,2,2,0.8277777777777777,1188354,4.57
Libras,TimeMixerPP,45,1,16,8,32,conv,3,2,3,0.8222222222222222,600066,2.32
Libras,TimeMixerPP,45,1,16,8,32,conv,3,2,2,0.8166666666666667,600066,2.32
Libras,TimeMixerPP,45,1,16,8,16,conv,3,2,3,0.8222222222222222,305922,1.2
Libras,TimeMixerPP,45,1,16,8,16,conv,3,2,2,0.8388888888888889,305922,1.2
Libras,TimeMixerPP,45,4,64,8,64,conv,2,2,3,0.8277777777777777,18894066,72.19
Libras,TimeMixerPP,45,4,64,8,64,conv,2,2,2,0.8333333333333334,18894066,72.19
Libras,TimeMixerPP,45,4,64,8,32,conv,2,2,3,0.7888888888888889,9487602,36.3
Libras,TimeMixerPP,45,4,64,8,32,conv,2,2,2,0.7944444444444444,9487602,36.3
