data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
MotorImagery,TimeMixerPP,3000,4,64,8,64,conv,3,2,3,0.57,19812625,75.69
MotorImagery,TimeMixerPP,3000,4,64,8,64,conv,3,2,2,0.57,19812625,75.69
MotorImagery,TimeMixerPP,3000,4,64,8,32,conv,3,2,3,0.56,10406161,39.81
MotorImagery,TimeMixerPP,3000,4,64,8,32,conv,3,2,2,0.56,10406161,39.81
MotorImagery,TimeMixerPP,3000,4,64,8,16,conv,3,2,3,0.59,5702929,21.87
MotorImagery,TimeMixerPP,3000,4,64,8,16,conv,3,2,2,0.57,5702929,21.87
MotorImagery,TimeMixerPP,3000,4,32,8,64,conv,3,2,3,0.53,10183313,38.96
MotorImagery,TimeMixerPP,3000,4,32,8,64,conv,3,2,2,0.52,10183313,38.96
MotorImagery,TimeMixerPP,3000,4,32,8,32,conv,3,2,3,0.61,5479057,21.01
MotorImagery,TimeMixerPP,3000,4,32,8,32,conv,3,2,2,0.61,5479057,21.01
MotorImagery,TimeMixerPP,3000,4,32,8,16,conv,3,2,3,0.55,3126929,12.04
MotorImagery,TimeMixerPP,3000,4,32,8,16,conv,3,2,2,0.57,3126929,12.04
MotorImagery,TimeMixerPP,3000,4,16,8,64,conv,3,2,3,0.56,5374801,20.62
MotorImagery,TimeMixerPP,3000,4,16,8,64,conv,3,2,2,0.59,5374801,20.62
MotorImagery,TimeMixerPP,3000,4,16,8,32,conv,3,2,3,0.58,3021649,11.64
MotorImagery,TimeMixerPP,3000,4,16,8,32,conv,3,2,2,0.58,3021649,11.64
MotorImagery,TimeMixerPP,3000,4,16,8,16,conv,3,2,3,0.63,1845073,7.15
MotorImagery,TimeMixerPP,3000,4,16,8,16,conv,3,2,2,0.63,1845073,7.15
MotorImagery,TimeMixerPP,3000,3,64,8,64,conv,3,2,3,0.55,15100175,57.69
MotorImagery,TimeMixerPP,3000,3,64,8,64,conv,3,2,2,0.55,15100175,57.69
MotorImagery,TimeMixerPP,3000,3,64,8,32,conv,3,2,3,0.58,8045327,30.78
MotorImagery,TimeMixerPP,3000,3,64,8,32,conv,3,2,2,0.59,8045327,30.78
MotorImagery,TimeMixerPP,3000,3,64,8,16,conv,3,2,3,0.55,4517903,17.32
MotorImagery,TimeMixerPP,3000,3,64,8,16,conv,3,2,2,0.55,4517903,17.32
MotorImagery,TimeMixerPP,3000,3,32,8,64,conv,3,2,3,0.57,7828623,29.95
MotorImagery,TimeMixerPP,3000,3,32,8,64,conv,3,2,2,0.61,7828623,29.95
MotorImagery,TimeMixerPP,3000,3,32,8,32,conv,3,2,3,0.62,4300431,16.49
MotorImagery,TimeMixerPP,3000,3,32,8,32,conv,3,2,2,0.62,4300431,16.49
MotorImagery,TimeMixerPP,3000,3,32,8,16,conv,3,2,3,0.6,2536335,9.76
MotorImagery,TimeMixerPP,3000,3,32,8,16,conv,3,2,2,0.59,2536335,9.76
MotorImagery,TimeMixerPP,3000,3,16,8,64,conv,3,2,3,0.59,4197455,16.1
MotorImagery,TimeMixerPP,3000,3,16,8,64,conv,3,2,2,0.58,4197455,16.1
MotorImagery,TimeMixerPP,3000,3,16,8,32,conv,3,2,3,0.57,2432591,9.37
MotorImagery,TimeMixerPP,3000,3,16,8,32,conv,3,2,2,0.57,2432591,9.37
MotorImagery,TimeMixerPP,3000,3,16,8,16,conv,3,2,3,0.62,1550159,6.0
MotorImagery,TimeMixerPP,3000,3,16,8,16,conv,3,2,2,0.62,1550159,6.0
MotorImagery,TimeMixerPP,3000,2,64,8,64,conv,3,2,3,0.54,10387725,39.69
MotorImagery,TimeMixerPP,3000,2,64,8,64,conv,3,2,2,0.61,10387725,39.69
MotorImagery,TimeMixerPP,3000,2,64,8,32,conv,3,2,3,0.57,5684493,21.75
MotorImagery,TimeMixerPP,3000,2,64,8,32,conv,3,2,2,0.57,5684493,21.75
MotorImagery,TimeMixerPP,3000,2,64,8,16,conv,3,2,3,0.57,3332877,12.77
MotorImagery,TimeMixerPP,3000,2,64,8,16,conv,3,2,2,0.57,3332877,12.77
MotorImagery,TimeMixerPP,3000,2,32,8,64,conv,3,2,3,0.59,5473933,20.94
MotorImagery,TimeMixerPP,3000,2,32,8,64,conv,3,2,2,0.57,5473933,20.94
MotorImagery,TimeMixerPP,3000,2,32,8,32,conv,3,2,3,0.56,3121805,11.97
MotorImagery,TimeMixerPP,3000,2,32,8,32,conv,3,2,2,0.61,3121805,11.97
MotorImagery,TimeMixerPP,3000,2,32,8,16,conv,3,2,3,0.54,1945741,7.48
MotorImagery,TimeMixerPP,3000,2,32,8,16,conv,3,2,2,0.54,1945741,7.48
MotorImagery,TimeMixerPP,3000,2,16,8,64,conv,3,2,3,0.6,3020109,11.58
MotorImagery,TimeMixerPP,3000,2,16,8,64,conv,3,2,2,0.61,3020109,11.58
