data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
NATOPS,TimeMixerPP,51,4,64,8,64,conv,3,2,3,0.95,18876180,72.12
NATOPS,TimeMixerPP,51,4,64,8,64,conv,3,2,2,0.9611111111111111,18876180,72.12
NATOPS,TimeMixerPP,51,4,64,8,32,conv,3,2,3,0.95,9469716,36.24
NATOPS,TimeMixerPP,51,4,64,8,32,conv,3,2,2,0.95,9469716,36.24
NATOPS,TimeMixerPP,51,4,64,8,16,conv,3,2,3,0.9277777777777778,4766484,18.3
NATOPS,TimeMixerPP,51,4,64,8,16,conv,3,2,2,0.9111111111111111,4766484,18.3
NATOPS,TimeMixerPP,51,4,32,8,64,conv,3,2,3,0.9277777777777778,9432916,36.1
NATOPS,TimeMixerPP,51,4,32,8,64,conv,3,2,2,0.9333333333333333,9432916,36.1
NATOPS,TimeMixerPP,51,4,32,8,32,conv,3,2,3,0.9111111111111111,4728660,18.15
NATOPS,TimeMixerPP,51,4,32,8,32,conv,3,2,2,0.9388888888888889,4728660,18.15
NATOPS,TimeMixerPP,51,4,32,8,16,conv,3,2,3,0.9444444444444444,2376532,9.18
NATOPS,TimeMixerPP,51,4,32,8,16,conv,3,2,2,0.9333333333333333,2376532,9.18
NATOPS,TimeMixerPP,51,4,16,8,64,conv,3,2,3,0.9166666666666666,4717428,18.11
NATOPS,TimeMixerPP,51,4,16,8,64,conv,3,2,2,0.9277777777777778,4717428,18.11
NATOPS,TimeMixerPP,51,4,16,8,32,conv,3,2,3,0.9444444444444444,2364276,9.13
NATOPS,TimeMixerPP,51,4,16,8,32,conv,3,2,2,0.95,2364276,9.13
NATOPS,TimeMixerPP,51,4,16,8,16,conv,3,2,3,0.9388888888888889,1187700,4.64
NATOPS,TimeMixerPP,51,4,16,8,16,conv,3,2,2,0.9388888888888889,1187700,4.64
NATOPS,TimeMixerPP,51,3,64,8,64,conv,3,2,3,0.9555555555555556,14163730,54.12
NATOPS,TimeMixerPP,51,3,64,8,64,conv,3,2,2,0.9555555555555556,14163730,54.12
NATOPS,TimeMixerPP,51,3,64,8,32,conv,3,2,3,0.9444444444444444,7108882,27.2
NATOPS,TimeMixerPP,51,3,64,8,32,conv,3,2,2,0.9444444444444444,7108882,27.2
NATOPS,TimeMixerPP,51,3,64,8,16,conv,3,2,3,0.9333333333333333,3581458,13.75
NATOPS,TimeMixerPP,51,3,64,8,16,conv,3,2,2,0.9333333333333333,3581458,13.75
NATOPS,TimeMixerPP,51,3,32,8,64,conv,3,2,3,0.95,7078226,27.09
NATOPS,TimeMixerPP,51,3,32,8,64,conv,3,2,2,0.9277777777777778,7078226,27.09
