data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
RacketSports,TimeMixerPP,30,4,64,8,64,conv,3,2,3,0.868421052631579,18859051,72.05
RacketSports,TimeMixerPP,30,4,64,8,64,conv,3,2,2,0.868421052631579,18859051,72.05
RacketSports,TimeMixerPP,30,4,64,8,32,conv,3,2,3,0.8355263157894737,9452587,36.17
RacketSports,TimeMixerPP,30,4,64,8,32,conv,3,2,2,0.8355263157894737,9452587,36.17
RacketSports,TimeMixerPP,30,4,64,8,16,conv,3,2,3,0.868421052631579,4749355,18.23
RacketSports,TimeMixerPP,30,4,64,8,16,conv,3,2,2,0.868421052631579,4749355,18.23
RacketSports,TimeMixerPP,30,4,32,8,64,conv,3,2,3,0.8618421052631579,9423467,36.06
RacketSports,TimeMixerPP,30,4,32,8,64,conv,3,2,2,0.8618421052631579,9423467,36.06
RacketSports,TimeMixerPP,30,4,32,8,32,conv,3,2,3,0.875,4719211,18.12
RacketSports,TimeMixerPP,30,4,32,8,32,conv,3,2,2,0.875,4719211,18.12
RacketSports,TimeMixerPP,30,4,32,8,16,conv,3,2,3,0.868421052631579,2367083,9.14
RacketSports,TimeMixerPP,30,4,32,8,16,conv,3,2,2,0.868421052631579,2367083,9.14
RacketSports,TimeMixerPP,30,4,16,8,64,conv,3,2,3,0.8618421052631579,4711819,18.09
RacketSports,TimeMixerPP,30,4,16,8,64,conv,3,2,2,0.8618421052631579,4711819,18.09
RacketSports,TimeMixerPP,30,4,16,8,32,conv,3,2,3,0.875,2358667,9.11
RacketSports,TimeMixerPP,30,4,16,8,32,conv,3,2,2,0.875,2358667,9.11
RacketSports,TimeMixerPP,30,4,16,8,16,conv,3,2,3,0.8355263157894737,1182091,4.62
RacketSports,TimeMixerPP,30,4,16,8,16,conv,3,2,2,0.8355263157894737,1182091,4.62
RacketSports,TimeMixerPP,30,3,64,8,64,conv,3,2,3,0.868421052631579,14146601,54.05
RacketSports,TimeMixerPP,30,3,64,8,64,conv,3,2,2,0.868421052631579,14146601,54.05
RacketSports,TimeMixerPP,30,3,64,8,32,conv,3,2,3,0.8947368421052632,7091753,27.14
RacketSports,TimeMixerPP,30,3,64,8,32,conv,3,2,2,0.8947368421052632,7091753,27.14
RacketSports,TimeMixerPP,30,3,64,8,16,conv,3,2,3,0.8552631578947368,3564329,13.68
RacketSports,TimeMixerPP,30,3,64,8,16,conv,3,2,2,0.8552631578947368,3564329,13.68
