data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
SelfRegulationSCP2,TimeMixerPP,1152,4,64,8,64,conv,3,2,3,0.5444444444444444,19082581,72.91
SelfRegulationSCP2,TimeMixerPP,1152,4,64,8,64,conv,3,2,2,0.5555555555555556,19082581,72.91
SelfRegulationSCP2,TimeMixerPP,1152,4,64,8,32,conv,3,2,3,0.5666666666666667,9676117,37.02
SelfRegulationSCP2,TimeMixerPP,1152,4,64,8,32,conv,3,2,2,0.5722222222222222,9676117,37.02
SelfRegulationSCP2,TimeMixerPP,1152,4,64,8,16,conv,3,2,3,0.5333333333333333,4972885,19.08
SelfRegulationSCP2,TimeMixerPP,1152,4,64,8,16,conv,3,2,2,0.5333333333333333,4972885,19.08
SelfRegulationSCP2,TimeMixerPP,1152,4,32,8,64,conv,3,2,3,0.6055555555555555,9577013,36.65
SelfRegulationSCP2,TimeMixerPP,1152,4,32,8,64,conv,3,2,2,0.5722222222222222,9577013,36.65
SelfRegulationSCP2,TimeMixerPP,1152,4,32,8,32,conv,3,2,3,0.55,4872757,18.7
SelfRegulationSCP2,TimeMixerPP,1152,4,32,8,32,conv,3,2,2,0.5722222222222222,4872757,18.7
SelfRegulationSCP2,TimeMixerPP,1152,4,32,8,16,conv,3,2,3,0.5166666666666667,2520629,9.73
SelfRegulationSCP2,TimeMixerPP,1152,4,32,8,16,conv,3,2,2,0.5333333333333333,2520629,9.73
SelfRegulationSCP2,TimeMixerPP,1152,4,16,8,64,conv,3,2,3,0.5333333333333333,4830373,18.54
SelfRegulationSCP2,TimeMixerPP,1152,4,16,8,64,conv,3,2,2,0.5166666666666667,4830373,18.54
SelfRegulationSCP2,TimeMixerPP,1152,4,16,8,32,conv,3,2,3,0.5166666666666667,2477221,9.56
SelfRegulationSCP2,TimeMixerPP,1152,4,16,8,32,conv,3,2,2,0.5055555555555555,2477221,9.56
SelfRegulationSCP2,TimeMixerPP,1152,4,16,8,16,conv,3,2,3,0.5333333333333333,1300645,5.07
SelfRegulationSCP2,TimeMixerPP,1152,4,16,8,16,conv,3,2,2,0.55,1300645,5.07
SelfRegulationSCP2,TimeMixerPP,1152,3,64,8,64,conv,3,2,3,0.5333333333333333,14370131,54.9
SelfRegulationSCP2,TimeMixerPP,1152,3,64,8,64,conv,3,2,2,0.5444444444444444,14370131,54.9
SelfRegulationSCP2,TimeMixerPP,1152,3,64,8,32,conv,3,2,3,0.5444444444444444,7315283,27.99
SelfRegulationSCP2,TimeMixerPP,1152,3,64,8,32,conv,3,2,2,0.55,7315283,27.99
SelfRegulationSCP2,TimeMixerPP,1152,3,64,8,16,conv,3,2,3,0.5388888888888889,3787859,14.54
SelfRegulationSCP2,TimeMixerPP,1152,3,64,8,16,conv,3,2,2,0.5333333333333333,3787859,14.54
SelfRegulationSCP2,TimeMixerPP,1152,3,32,8,64,conv,3,2,3,0.5444444444444444,7222323,27.64
SelfRegulationSCP2,TimeMixerPP,1152,3,32,8,64,conv,3,2,2,0.55,7222323,27.64
SelfRegulationSCP2,TimeMixerPP,1152,3,32,8,32,conv,3,2,3,0.5333333333333333,3694131,14.18
SelfRegulationSCP2,TimeMixerPP,1152,3,32,8,32,conv,3,2,2,0.5444444444444444,3694131,14.18
SelfRegulationSCP2,TimeMixerPP,1152,3,32,8,16,conv,3,2,3,0.55,1930035,7.45
SelfRegulationSCP2,TimeMixerPP,1152,3,32,8,16,conv,3,2,2,0.55,1930035,7.45
SelfRegulationSCP2,TimeMixerPP,1152,3,16,8,64,conv,3,2,3,0.5444444444444444,3653027,14.02
SelfRegulationSCP2,TimeMixerPP,1152,3,16,8,64,conv,3,2,2,0.5388888888888889,3653027,14.02
SelfRegulationSCP2,TimeMixerPP,1152,3,16,8,32,conv,3,2,3,0.5333333333333333,1888163,7.29
SelfRegulationSCP2,TimeMixerPP,1152,3,16,8,32,conv,3,2,2,0.5277777777777778,1888163,7.29
SelfRegulationSCP2,TimeMixerPP,1152,3,16,8,16,conv,3,2,3,0.5333333333333333,1005731,3.92
SelfRegulationSCP2,TimeMixerPP,1152,3,16,8,16,conv,3,2,2,0.5388888888888889,1005731,3.92
SelfRegulationSCP2,TimeMixerPP,1152,2,64,8,64,conv,3,2,3,0.5611111111111111,9657681,36.9
SelfRegulationSCP2,TimeMixerPP,1152,2,64,8,64,conv,3,2,2,0.5611111111111111,9657681,36.9
SelfRegulationSCP2,TimeMixerPP,1152,2,64,8,32,conv,3,2,3,0.5444444444444444,4954449,18.96
SelfRegulationSCP2,TimeMixerPP,1152,2,64,8,32,conv,3,2,2,0.5444444444444444,4954449,18.96
SelfRegulationSCP2,TimeMixerPP,1152,2,64,8,16,conv,3,2,3,0.5777777777777777,2602833,9.99
SelfRegulationSCP2,TimeMixerPP,1152,2,64,8,16,conv,3,2,2,0.5722222222222222,2602833,9.99
SelfRegulationSCP2,TimeMixerPP,1152,2,32,8,64,conv,3,2,3,0.5833333333333334,4867633,18.63
SelfRegulationSCP2,TimeMixerPP,1152,2,32,8,64,conv,3,2,2,0.5666666666666667,4867633,18.63
