data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
StandWalkJump,TimeMixerPP,2500,4,64,8,64,conv,3,2,3,0.4,19721531,75.35
StandWalkJump,TimeMixerPP,2500,4,64,8,64,conv,3,2,2,0.4,19721531,75.35
StandWalkJump,TimeMixerPP,2500,4,64,8,32,conv,3,2,3,0.4,10315067,39.46
StandWalkJump,TimeMixerPP,2500,4,64,8,32,conv,3,2,2,0.4666666666666667,10315067,39.46
StandWalkJump,TimeMixerPP,2500,4,64,8,16,conv,3,2,3,0.4666666666666667,5611835,21.52
StandWalkJump,TimeMixerPP,2500,4,64,8,16,conv,3,2,2,0.4666666666666667,5611835,21.52
StandWalkJump,TimeMixerPP,2500,4,32,8,64,conv,3,2,3,0.4666666666666667,10049979,38.45
StandWalkJump,TimeMixerPP,2500,4,32,8,64,conv,3,2,2,0.4,10049979,38.45
StandWalkJump,TimeMixerPP,2500,4,32,8,32,conv,3,2,3,0.4666666666666667,5345723,20.51
StandWalkJump,TimeMixerPP,2500,4,32,8,32,conv,3,2,2,0.4666666666666667,5345723,20.51
StandWalkJump,TimeMixerPP,2500,4,32,8,16,conv,3,2,3,0.6666666666666666,2993595,11.53
StandWalkJump,TimeMixerPP,2500,4,32,8,16,conv,3,2,2,0.7333333333333333,2993595,11.53
StandWalkJump,TimeMixerPP,2500,4,16,8,64,conv,3,2,3,0.26666666666666666,5220347,20.03
StandWalkJump,TimeMixerPP,2500,4,16,8,64,conv,3,2,2,0.26666666666666666,5220347,20.03
StandWalkJump,TimeMixerPP,2500,4,16,8,32,conv,3,2,3,0.4666666666666667,2867195,11.05
StandWalkJump,TimeMixerPP,2500,4,16,8,32,conv,3,2,2,0.4,2867195,11.05
StandWalkJump,TimeMixerPP,2500,4,16,8,16,conv,3,2,3,0.4666666666666667,1690619,6.56
StandWalkJump,TimeMixerPP,2500,4,16,8,16,conv,3,2,2,0.4666666666666667,1690619,6.56
StandWalkJump,TimeMixerPP,2500,3,64,8,64,conv,3,2,3,0.4,15009081,57.34
StandWalkJump,TimeMixerPP,2500,3,64,8,64,conv,3,2,2,0.3333333333333333,15009081,57.34
StandWalkJump,TimeMixerPP,2500,3,64,8,32,conv,3,2,3,0.3333333333333333,7954233,30.43
StandWalkJump,TimeMixerPP,2500,3,64,8,32,conv,3,2,2,0.3333333333333333,7954233,30.43
StandWalkJump,TimeMixerPP,2500,3,64,8,16,conv,3,2,3,0.4666666666666667,4426809,16.97
StandWalkJump,TimeMixerPP,2500,3,64,8,16,conv,3,2,2,0.4666666666666667,4426809,16.97
StandWalkJump,TimeMixerPP,2500,3,32,8,64,conv,3,2,3,0.5333333333333333,7695289,29.44
StandWalkJump,TimeMixerPP,2500,3,32,8,64,conv,3,2,2,0.5333333333333333,7695289,29.44
StandWalkJump,TimeMixerPP,2500,3,32,8,32,conv,3,2,3,0.4,4167097,15.98
StandWalkJump,TimeMixerPP,2500,3,32,8,32,conv,3,2,2,0.4,4167097,15.98
StandWalkJump,TimeMixerPP,2500,3,32,8,16,conv,3,2,3,0.3333333333333333,2403001,9.25
StandWalkJump,TimeMixerPP,2500,3,32,8,16,conv,3,2,2,0.3333333333333333,2403001,9.25
StandWalkJump,TimeMixerPP,2500,3,16,8,64,conv,3,2,3,0.4,4043001,15.51
StandWalkJump,TimeMixerPP,2500,3,16,8,64,conv,3,2,2,0.4,4043001,15.51
StandWalkJump,TimeMixerPP,2500,3,16,8,32,conv,3,2,3,0.4,2278137,8.78
StandWalkJump,TimeMixerPP,2500,3,16,8,32,conv,3,2,2,0.4,2278137,8.78
StandWalkJump,TimeMixerPP,2500,3,16,8,16,conv,3,2,3,0.4666666666666667,1395705,5.41
StandWalkJump,TimeMixerPP,2500,3,16,8,16,conv,3,2,2,0.4666666666666667,1395705,5.41
StandWalkJump,TimeMixerPP,2500,2,64,8,64,conv,3,2,3,0.4,10296631,39.34
StandWalkJump,TimeMixerPP,2500,2,64,8,64,conv,3,2,2,0.4666666666666667,10296631,39.34
StandWalkJump,TimeMixerPP,2500,2,64,8,32,conv,3,2,3,0.4666666666666667,5593399,21.4
StandWalkJump,TimeMixerPP,2500,2,64,8,32,conv,3,2,2,0.4666666666666667,5593399,21.4
StandWalkJump,TimeMixerPP,2500,2,64,8,16,conv,3,2,3,0.3333333333333333,3241783,12.43
StandWalkJump,TimeMixerPP,2500,2,64,8,16,conv,3,2,2,0.3333333333333333,3241783,12.43
StandWalkJump,TimeMixerPP,2500,2,32,8,64,conv,3,2,3,0.3333333333333333,5340599,20.43
StandWalkJump,TimeMixerPP,2500,2,32,8,64,conv,3,2,2,0.3333333333333333,5340599,20.43
StandWalkJump,TimeMixerPP,2500,2,32,8,32,conv,3,2,3,0.6,2988471,11.46
StandWalkJump,TimeMixerPP,2500,2,32,8,32,conv,3,2,2,0.6,2988471,11.46
StandWalkJump,TimeMixerPP,2500,2,32,8,16,conv,3,2,3,0.4666666666666667,1812407,6.97
StandWalkJump,TimeMixerPP,2500,2,32,8,16,conv,3,2,2,0.4666666666666667,1812407,6.97
StandWalkJump,TimeMixerPP,2500,2,16,8,64,conv,3,2,3,0.4,2865655,10.99
StandWalkJump,TimeMixerPP,2500,2,16,8,64,conv,3,2,2,0.4666666666666667,2865655,10.99
StandWalkJump,TimeMixerPP,2500,2,16,8,32,conv,3,2,3,0.4666666666666667,1689079,6.5
