data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,downsampling_method,downsampling_layers,downsampling_window,top_k,acc,model_params,model_size
UWaveGestureLibrary,TimeMixerPP,315,4,64,8,64,conv,3,2,3,0.871875,19017098,72.66
UWaveGestureLibrary,TimeMixerPP,315,4,64,8,64,conv,3,2,2,0.871875,19017098,72.66
UWaveGestureLibrary,TimeMixerPP,315,4,64,8,32,conv,3,2,3,0.878125,9610634,36.78
UWaveGestureLibrary,TimeMixerPP,315,4,64,8,32,conv,3,2,2,0.875,9610634,36.78
UWaveGestureLibrary,TimeMixerPP,315,4,64,8,16,conv,3,2,3,0.859375,4907402,18.83
UWaveGestureLibrary,TimeMixerPP,315,4,64,8,16,conv,3,2,2,0.85625,4907402,18.83
UWaveGestureLibrary,TimeMixerPP,315,4,32,8,64,conv,3,2,3,0.871875,9505002,36.37
UWaveGestureLibrary,TimeMixerPP,315,4,32,8,64,conv,3,2,2,0.88125,9505002,36.37
UWaveGestureLibrary,TimeMixerPP,315,4,32,8,32,conv,3,2,3,0.884375,4800746,18.43
UWaveGestureLibrary,TimeMixerPP,315,4,32,8,32,conv,3,2,2,0.88125,4800746,18.43
UWaveGestureLibrary,TimeMixerPP,315,4,32,8,16,conv,3,2,3,0.86875,2448618,9.45
UWaveGestureLibrary,TimeMixerPP,315,4,32,8,16,conv,3,2,2,0.86875,2448618,9.45
UWaveGestureLibrary,TimeMixerPP,315,4,16,8,64,conv,3,2,3,0.865625,4755098,18.25
UWaveGestureLibrary,TimeMixerPP,315,4,16,8,64,conv,3,2,2,0.88125,4755098,18.25
UWaveGestureLibrary,TimeMixerPP,315,4,16,8,32,conv,3,2,3,0.90625,2401946,9.28
UWaveGestureLibrary,TimeMixerPP,315,4,16,8,32,conv,3,2,2,0.903125,2401946,9.28
UWaveGestureLibrary,TimeMixerPP,315,4,16,8,16,conv,3,2,3,0.859375,1225370,4.79
UWaveGestureLibrary,TimeMixerPP,315,4,16,8,16,conv,3,2,2,0.853125,1225370,4.79
UWaveGestureLibrary,TimeMixerPP,315,3,64,8,64,conv,3,2,3,0.871875,14304648,54.65
