data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
ArticularyWordRecognition,TimesNet,144,4,128,256,6,3,0.98,75447449,290.29
ArticularyWordRecognition,TimesNet,144,4,128,256,4,3,0.98,22491289,88.26
ArticularyWordRecognition,TimesNet,144,4,128,256,6,2,0.98,75447449,290.29
ArticularyWordRecognition,TimesNet,144,4,128,256,4,2,0.98,22491289,88.26
ArticularyWordRecognition,TimesNet,144,4,128,256,6,1,0.98,75447449,290.29
ArticularyWordRecognition,TimesNet,144,4,128,256,4,1,0.98,22491289,88.26
ArticularyWordRecognition,TimesNet,144,4,128,128,6,3,0.9833333333333333,37957785,147.27
ArticularyWordRecognition,TimesNet,144,4,128,128,4,3,0.98,11479193,46.26
ArticularyWordRecognition,TimesNet,144,4,128,128,6,2,0.9833333333333333,37957785,147.27
ArticularyWordRecognition,TimesNet,144,4,128,128,4,2,0.98,11479193,46.26
ArticularyWordRecognition,TimesNet,144,4,128,128,6,1,0.9833333333333333,37957785,147.27
ArticularyWordRecognition,TimesNet,144,4,128,128,4,1,0.98,11479193,46.26
ArticularyWordRecognition,TimesNet,144,4,64,256,6,3,0.9766666666666667,37726809,145.17
ArticularyWordRecognition,TimesNet,144,4,64,256,4,3,0.9833333333333333,11247705,44.15
ArticularyWordRecognition,TimesNet,144,4,64,256,6,2,0.9766666666666667,37726809,145.17
ArticularyWordRecognition,TimesNet,144,4,64,256,4,2,0.9833333333333333,11247705,44.15
ArticularyWordRecognition,TimesNet,144,4,64,256,6,1,0.98,37726809,145.17
ArticularyWordRecognition,TimesNet,144,4,64,256,4,1,0.9833333333333333,11247705,44.15
ArticularyWordRecognition,TimesNet,144,4,64,128,6,3,0.9766666666666667,18980441,73.66
ArticularyWordRecognition,TimesNet,144,4,64,128,4,3,0.98,5740633,23.14
ArticularyWordRecognition,TimesNet,144,4,64,128,6,2,0.9766666666666667,18980441,73.66
ArticularyWordRecognition,TimesNet,144,4,64,128,4,2,0.98,5740633,23.14
ArticularyWordRecognition,TimesNet,144,4,64,128,6,1,0.9766666666666667,18980441,73.66
ArticularyWordRecognition,TimesNet,144,4,64,128,4,1,0.98,5740633,23.14
ArticularyWordRecognition,TimesNet,144,4,64,64,6,3,0.9833333333333333,9607257,37.91
ArticularyWordRecognition,TimesNet,144,4,64,64,4,3,0.9833333333333333,2987097,12.64
ArticularyWordRecognition,TimesNet,144,4,64,64,6,2,0.9833333333333333,9607257,37.91
ArticularyWordRecognition,TimesNet,144,4,64,64,4,2,0.9833333333333333,2987097,12.64
ArticularyWordRecognition,TimesNet,144,4,64,64,6,1,0.9833333333333333,9607257,37.91
ArticularyWordRecognition,TimesNet,144,4,64,64,4,1,0.9833333333333333,2987097,12.64
ArticularyWordRecognition,TimesNet,144,4,32,128,6,3,0.9833333333333333,9491769,36.85
ArticularyWordRecognition,TimesNet,144,4,32,128,4,3,0.9766666666666667,2871353,11.59
ArticularyWordRecognition,TimesNet,144,4,32,128,6,2,0.9833333333333333,9491769,36.85
ArticularyWordRecognition,TimesNet,144,4,32,128,4,2,0.9766666666666667,2871353,11.59
ArticularyWordRecognition,TimesNet,144,4,32,128,6,1,0.9866666666666667,9491769,36.85
ArticularyWordRecognition,TimesNet,144,4,32,128,4,1,0.9766666666666667,2871353,11.59
ArticularyWordRecognition,TimesNet,144,4,32,64,6,3,0.9733333333333334,4804409,18.97
ArticularyWordRecognition,TimesNet,144,4,32,64,4,3,0.98,1494073,6.33
ArticularyWordRecognition,TimesNet,144,4,32,64,6,2,0.9733333333333334,4804409,18.97
ArticularyWordRecognition,TimesNet,144,4,32,64,4,2,0.98,1494073,6.33
ArticularyWordRecognition,TimesNet,144,4,32,64,6,1,0.9733333333333334,4804409,18.97
ArticularyWordRecognition,TimesNet,144,4,32,64,4,1,0.98,1494073,6.33
ArticularyWordRecognition,TimesNet,144,4,32,32,6,3,0.9833333333333333,2460729,10.03
ArticularyWordRecognition,TimesNet,144,4,32,32,4,3,0.98,805433,3.71
ArticularyWordRecognition,TimesNet,144,4,32,32,6,2,0.9833333333333333,2460729,10.03
ArticularyWordRecognition,TimesNet,144,4,32,32,4,2,0.98,805433,3.71
ArticularyWordRecognition,TimesNet,144,4,32,32,6,1,0.9833333333333333,2460729,10.03
ArticularyWordRecognition,TimesNet,144,4,32,32,4,1,0.98,805433,3.71
ArticularyWordRecognition,TimesNet,144,4,16,64,6,3,0.97,2402985,9.51
ArticularyWordRecognition,TimesNet,144,4,16,64,4,3,0.97,747561,3.18
ArticularyWordRecognition,TimesNet,144,4,16,64,6,2,0.97,2402985,9.51
ArticularyWordRecognition,TimesNet,144,4,16,64,4,2,0.97,747561,3.18
ArticularyWordRecognition,TimesNet,144,4,16,64,6,1,0.97,2402985,9.51
ArticularyWordRecognition,TimesNet,144,4,16,64,4,1,0.9733333333333334,747561,3.18
ArticularyWordRecognition,TimesNet,144,4,16,32,6,3,0.9833333333333333,1230761,5.04
ArticularyWordRecognition,TimesNet,144,4,16,32,4,3,0.98,402985,1.87
ArticularyWordRecognition,TimesNet,144,4,16,32,6,2,0.9833333333333333,1230761,5.04
ArticularyWordRecognition,TimesNet,144,4,16,32,4,2,0.98,402985,1.87
ArticularyWordRecognition,TimesNet,144,4,16,32,6,1,0.9833333333333333,1230761,5.04
ArticularyWordRecognition,TimesNet,144,4,16,32,4,1,0.98,402985,1.87
ArticularyWordRecognition,TimesNet,144,4,16,16,6,3,0.9833333333333333,644649,2.8
ArticularyWordRecognition,TimesNet,144,4,16,16,4,3,0.9733333333333334,230697,1.21
ArticularyWordRecognition,TimesNet,144,4,16,16,6,2,0.9833333333333333,644649,2.8
ArticularyWordRecognition,TimesNet,144,4,16,16,4,2,0.9733333333333334,230697,1.21
ArticularyWordRecognition,TimesNet,144,4,16,16,6,1,0.9833333333333333,644649,2.8
ArticularyWordRecognition,TimesNet,144,4,16,16,4,1,0.9766666666666667,230697,1.21
ArticularyWordRecognition,TimesNet,144,4,8,64,6,3,0.9633333333333334,1202273,4.77
ArticularyWordRecognition,TimesNet,144,4,8,64,4,3,0.95,374305,1.61
ArticularyWordRecognition,TimesNet,144,4,8,64,6,2,0.9633333333333334,1202273,4.77
ArticularyWordRecognition,TimesNet,144,4,8,64,4,2,0.95,374305,1.61
ArticularyWordRecognition,TimesNet,144,4,8,64,6,1,0.9666666666666667,1202273,4.77
ArticularyWordRecognition,TimesNet,144,4,8,64,4,1,0.9566666666666667,374305,1.61
ArticularyWordRecognition,TimesNet,144,4,8,32,6,3,0.9633333333333334,615777,2.54
ArticularyWordRecognition,TimesNet,144,4,8,32,4,3,0.9633333333333334,201761,0.95
ArticularyWordRecognition,TimesNet,144,4,8,32,6,2,0.9633333333333334,615777,2.54
ArticularyWordRecognition,TimesNet,144,4,8,32,4,2,0.9633333333333334,201761,0.95
ArticularyWordRecognition,TimesNet,144,4,8,32,6,1,0.9733333333333334,615777,2.54
ArticularyWordRecognition,TimesNet,144,4,8,32,4,1,0.9633333333333334,201761,0.95
ArticularyWordRecognition,TimesNet,144,4,8,16,6,3,0.95,322529,1.42
ArticularyWordRecognition,TimesNet,144,4,8,16,4,3,0.9633333333333334,115489,0.62
ArticularyWordRecognition,TimesNet,144,4,8,16,6,2,0.95,322529,1.42
ArticularyWordRecognition,TimesNet,144,4,8,16,4,2,0.9633333333333334,115489,0.62
ArticularyWordRecognition,TimesNet,144,4,8,16,6,1,0.9533333333333334,322529,1.42
ArticularyWordRecognition,TimesNet,144,4,8,16,4,1,0.9666666666666667,115489,0.62
ArticularyWordRecognition,TimesNet,144,3,128,256,6,3,0.98,56701849,218.77
ArticularyWordRecognition,TimesNet,144,3,128,256,4,3,0.98,16984729,67.25
ArticularyWordRecognition,TimesNet,144,3,128,256,6,2,0.98,56701849,218.77
ArticularyWordRecognition,TimesNet,144,3,128,256,4,2,0.98,16984729,67.25
ArticularyWordRecognition,TimesNet,144,3,128,256,6,1,0.98,56701849,218.77
