data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
AtrialFibrillation,TimesNet,640,4,128,256,6,3,0.4666666666666667,75229699,289.46
AtrialFibrillation,TimesNet,640,4,128,256,4,3,0.3333333333333333,22273539,87.43
AtrialFibrillation,TimesNet,640,4,128,256,6,2,0.4666666666666667,75229699,289.46
AtrialFibrillation,TimesNet,640,4,128,256,4,2,0.3333333333333333,22273539,87.43
AtrialFibrillation,TimesNet,640,4,128,256,6,1,0.4666666666666667,75229699,289.46
AtrialFibrillation,TimesNet,640,4,128,256,4,1,0.4,22273539,87.43
AtrialFibrillation,TimesNet,640,4,128,128,6,3,0.3333333333333333,37740035,146.44
AtrialFibrillation,TimesNet,640,4,128,128,4,3,0.3333333333333333,11261443,45.43
AtrialFibrillation,TimesNet,640,4,128,128,6,2,0.4,37740035,146.44
AtrialFibrillation,TimesNet,640,4,128,128,4,2,0.3333333333333333,11261443,45.43
AtrialFibrillation,TimesNet,640,4,128,128,6,1,0.4,37740035,146.44
AtrialFibrillation,TimesNet,640,4,128,128,4,1,0.4666666666666667,11261443,45.43
AtrialFibrillation,TimesNet,640,4,64,256,6,3,0.4,37617923,144.76
AtrialFibrillation,TimesNet,640,4,64,256,4,3,0.4666666666666667,11138819,43.74
AtrialFibrillation,TimesNet,640,4,64,256,6,2,0.4,37617923,144.76
AtrialFibrillation,TimesNet,640,4,64,256,4,2,0.4666666666666667,11138819,43.74
AtrialFibrillation,TimesNet,640,4,64,256,6,1,0.3333333333333333,37617923,144.76
AtrialFibrillation,TimesNet,640,4,64,256,4,1,0.4666666666666667,11138819,43.74
AtrialFibrillation,TimesNet,640,4,64,128,6,3,0.3333333333333333,18871555,73.25
AtrialFibrillation,TimesNet,640,4,64,128,4,3,0.4666666666666667,5631747,22.73
AtrialFibrillation,TimesNet,640,4,64,128,6,2,0.3333333333333333,18871555,73.25
AtrialFibrillation,TimesNet,640,4,64,128,4,2,0.4666666666666667,5631747,22.73
AtrialFibrillation,TimesNet,640,4,64,128,6,1,0.3333333333333333,18871555,73.25
AtrialFibrillation,TimesNet,640,4,64,128,4,1,0.4,5631747,22.73
AtrialFibrillation,TimesNet,640,4,64,64,6,3,0.4,9498371,37.49
AtrialFibrillation,TimesNet,640,4,64,64,4,3,0.26666666666666666,2878211,12.23
AtrialFibrillation,TimesNet,640,4,64,64,6,2,0.4,9498371,37.49
AtrialFibrillation,TimesNet,640,4,64,64,4,2,0.26666666666666666,2878211,12.23
AtrialFibrillation,TimesNet,640,4,64,64,6,1,0.4,9498371,37.49
AtrialFibrillation,TimesNet,640,4,64,64,4,1,0.3333333333333333,2878211,12.23
AtrialFibrillation,TimesNet,640,4,32,128,6,3,0.4,9437315,36.65
AtrialFibrillation,TimesNet,640,4,32,128,4,3,0.4666666666666667,2816899,11.38
AtrialFibrillation,TimesNet,640,4,32,128,6,2,0.3333333333333333,9437315,36.65
