data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
CharacterTrajectories,TimesNet,182,4,128,256,6,3,0.947075208913649,75450260,290.3
CharacterTrajectories,TimesNet,182,4,128,256,4,3,0.9484679665738162,22494100,88.27
CharacterTrajectories,TimesNet,182,4,128,256,6,2,0.963091922005571,75450260,290.3
CharacterTrajectories,TimesNet,182,4,128,256,4,2,0.9477715877437326,22494100,88.27
CharacterTrajectories,TimesNet,182,4,128,256,6,1,0.9707520891364902,75450260,290.3
CharacterTrajectories,TimesNet,182,4,128,256,4,1,0.9491643454038997,22494100,88.27
CharacterTrajectories,TimesNet,182,4,128,128,6,3,0.9728412256267409,37960596,147.29
CharacterTrajectories,TimesNet,182,4,128,128,4,3,0.9693593314763231,11482004,46.27
CharacterTrajectories,TimesNet,182,4,128,128,6,2,0.9610027855153204,37960596,147.29
CharacterTrajectories,TimesNet,182,4,128,128,4,2,0.9672701949860725,11482004,46.27
CharacterTrajectories,TimesNet,182,4,128,128,6,1,0.9623955431754875,37960596,147.29
CharacterTrajectories,TimesNet,182,4,128,128,4,1,0.9644846796657381,11482004,46.27
CharacterTrajectories,TimesNet,182,4,64,256,6,3,0.963091922005571,37728212,145.18
CharacterTrajectories,TimesNet,182,4,64,256,4,3,0.9644846796657381,11249108,44.16
CharacterTrajectories,TimesNet,182,4,64,256,6,2,0.9547353760445683,37728212,145.18
CharacterTrajectories,TimesNet,182,4,64,256,4,2,0.9616991643454039,11249108,44.16
CharacterTrajectories,TimesNet,182,4,64,256,6,1,0.9540389972144847,37728212,145.18
CharacterTrajectories,TimesNet,182,4,64,256,4,1,0.9526462395543176,11249108,44.16
CharacterTrajectories,TimesNet,182,4,64,128,6,3,0.9575208913649025,18981844,73.67
CharacterTrajectories,TimesNet,182,4,64,128,4,3,0.9714484679665738,5742036,23.15
CharacterTrajectories,TimesNet,182,4,64,128,6,2,0.9700557103064067,18981844,73.67
CharacterTrajectories,TimesNet,182,4,64,128,4,2,0.9658774373259053,5742036,23.15
CharacterTrajectories,TimesNet,182,4,64,128,6,1,0.9533426183844012,18981844,73.67
CharacterTrajectories,TimesNet,182,4,64,128,4,1,0.9610027855153204,5742036,23.15
CharacterTrajectories,TimesNet,182,4,64,64,6,3,0.9714484679665738,9608660,37.91
CharacterTrajectories,TimesNet,182,4,64,64,4,3,0.9714484679665738,2988500,12.65
CharacterTrajectories,TimesNet,182,4,64,64,6,2,0.9749303621169917,9608660,37.91
CharacterTrajectories,TimesNet,182,4,64,64,4,2,0.9707520891364902,2988500,12.65
CharacterTrajectories,TimesNet,182,4,64,64,6,1,0.9533426183844012,9608660,37.91
CharacterTrajectories,TimesNet,182,4,64,64,4,1,0.9693593314763231,2988500,12.65
CharacterTrajectories,TimesNet,182,4,32,128,6,3,0.9714484679665738,9492468,36.86
CharacterTrajectories,TimesNet,182,4,32,128,4,3,0.9700557103064067,2872052,11.59
CharacterTrajectories,TimesNet,182,4,32,128,6,2,0.967966573816156,9492468,36.86
CharacterTrajectories,TimesNet,182,4,32,128,4,2,0.9707520891364902,2872052,11.59
CharacterTrajectories,TimesNet,182,4,32,128,6,1,0.9637883008356546,9492468,36.86
CharacterTrajectories,TimesNet,182,4,32,128,4,1,0.9693593314763231,2872052,11.59
CharacterTrajectories,TimesNet,182,4,32,64,6,3,0.9714484679665738,4805108,18.98
CharacterTrajectories,TimesNet,182,4,32,64,4,3,0.9763231197771588,1494772,6.34
CharacterTrajectories,TimesNet,182,4,32,64,6,2,0.967966573816156,4805108,18.98
CharacterTrajectories,TimesNet,182,4,32,64,4,2,0.9805013927576601,1494772,6.34
CharacterTrajectories,TimesNet,182,4,32,64,6,1,0.9707520891364902,4805108,18.98
CharacterTrajectories,TimesNet,182,4,32,64,4,1,0.9749303621169917,1494772,6.34
CharacterTrajectories,TimesNet,182,4,32,32,6,3,0.974233983286908,2461428,10.04
CharacterTrajectories,TimesNet,182,4,32,32,4,3,0.9763231197771588,806132,3.71
CharacterTrajectories,TimesNet,182,4,32,32,6,2,0.9777158774373259,2461428,10.04
CharacterTrajectories,TimesNet,182,4,32,32,4,2,0.9818941504178273,806132,3.71
CharacterTrajectories,TimesNet,182,4,32,32,6,1,0.9770194986072424,2461428,10.04
CharacterTrajectories,TimesNet,182,4,32,32,4,1,0.979108635097493,806132,3.71
CharacterTrajectories,TimesNet,182,4,16,64,6,3,0.9728412256267409,2403332,9.51
CharacterTrajectories,TimesNet,182,4,16,64,4,3,0.9735376044568245,747908,3.18
CharacterTrajectories,TimesNet,182,4,16,64,6,2,0.9714484679665738,2403332,9.51
CharacterTrajectories,TimesNet,182,4,16,64,4,2,0.9596100278551533,747908,3.18
CharacterTrajectories,TimesNet,182,4,16,64,6,1,0.963091922005571,2403332,9.51
CharacterTrajectories,TimesNet,182,4,16,64,4,1,0.9756267409470752,747908,3.18
CharacterTrajectories,TimesNet,182,4,16,32,6,3,0.9763231197771588,1231108,5.04
CharacterTrajectories,TimesNet,182,4,16,32,4,3,0.9756267409470752,403332,1.87
CharacterTrajectories,TimesNet,182,4,16,32,6,2,0.9700557103064067,1231108,5.04
CharacterTrajectories,TimesNet,182,4,16,32,4,2,0.9693593314763231,403332,1.87
CharacterTrajectories,TimesNet,182,4,16,32,6,1,0.9700557103064067,1231108,5.04
CharacterTrajectories,TimesNet,182,4,16,32,4,1,0.9832869080779945,403332,1.87
