data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
DuckDuckGeese,TimesNet,270,4,128,256,6,3,0.64,75672453,291.14
DuckDuckGeese,TimesNet,270,4,128,256,4,3,0.58,22716293,89.12
DuckDuckGeese,TimesNet,270,4,128,256,6,2,0.54,75672453,291.14
DuckDuckGeese,TimesNet,270,4,128,256,4,2,0.58,22716293,89.12
DuckDuckGeese,TimesNet,270,4,128,256,6,1,0.52,75672453,291.14
DuckDuckGeese,TimesNet,270,4,128,256,4,1,0.56,22716293,89.12
DuckDuckGeese,TimesNet,270,4,128,128,6,3,0.54,38182789,148.13
DuckDuckGeese,TimesNet,270,4,128,128,4,3,0.62,11704197,47.11
DuckDuckGeese,TimesNet,270,4,128,128,6,2,0.52,38182789,148.13
DuckDuckGeese,TimesNet,270,4,128,128,4,2,0.62,11704197,47.11
DuckDuckGeese,TimesNet,270,4,128,128,6,1,0.54,38182789,148.13
DuckDuckGeese,TimesNet,270,4,128,128,4,1,0.58,11704197,47.11
DuckDuckGeese,TimesNet,270,4,64,256,6,3,0.6,37839301,145.6
DuckDuckGeese,TimesNet,270,4,64,256,4,3,0.6,11360197,44.58
DuckDuckGeese,TimesNet,270,4,64,256,6,2,0.58,37839301,145.6
DuckDuckGeese,TimesNet,270,4,64,256,4,2,0.6,11360197,44.58
DuckDuckGeese,TimesNet,270,4,64,256,6,1,0.6,37839301,145.6
DuckDuckGeese,TimesNet,270,4,64,256,4,1,0.6,11360197,44.58
DuckDuckGeese,TimesNet,270,4,64,128,6,3,0.64,19092933,74.09
DuckDuckGeese,TimesNet,270,4,64,128,4,3,0.6,5853125,23.57
DuckDuckGeese,TimesNet,270,4,64,128,6,2,0.62,19092933,74.09
DuckDuckGeese,TimesNet,270,4,64,128,4,2,0.58,5853125,23.57
DuckDuckGeese,TimesNet,270,4,64,128,6,1,0.58,19092933,74.09
DuckDuckGeese,TimesNet,270,4,64,128,4,1,0.6,5853125,23.57
DuckDuckGeese,TimesNet,270,4,64,64,6,3,0.6,9719749,38.33
DuckDuckGeese,TimesNet,270,4,64,64,4,3,0.56,3099589,13.07
DuckDuckGeese,TimesNet,270,4,64,64,6,2,0.64,9719749,38.33
DuckDuckGeese,TimesNet,270,4,64,64,4,2,0.58,3099589,13.07
DuckDuckGeese,TimesNet,270,4,64,64,6,1,0.54,9719749,38.33
DuckDuckGeese,TimesNet,270,4,64,64,4,1,0.56,3099589,13.07
DuckDuckGeese,TimesNet,270,4,32,128,6,3,0.58,9548005,37.07
DuckDuckGeese,TimesNet,270,4,32,128,4,3,0.66,2927589,11.8
DuckDuckGeese,TimesNet,270,4,32,128,6,2,0.58,9548005,37.07
DuckDuckGeese,TimesNet,270,4,32,128,4,2,0.6,2927589,11.8
DuckDuckGeese,TimesNet,270,4,32,128,6,1,0.62,9548005,37.07
DuckDuckGeese,TimesNet,270,4,32,128,4,1,0.64,2927589,11.8
DuckDuckGeese,TimesNet,270,4,32,64,6,3,0.64,4860645,19.19
DuckDuckGeese,TimesNet,270,4,32,64,4,3,0.6,1550309,6.55
DuckDuckGeese,TimesNet,270,4,32,64,6,2,0.56,4860645,19.19
DuckDuckGeese,TimesNet,270,4,32,64,4,2,0.62,1550309,6.55
DuckDuckGeese,TimesNet,270,4,32,64,6,1,0.54,4860645,19.19
DuckDuckGeese,TimesNet,270,4,32,64,4,1,0.6,1550309,6.55
DuckDuckGeese,TimesNet,270,4,32,32,6,3,0.68,2516965,10.25
DuckDuckGeese,TimesNet,270,4,32,32,4,3,0.62,861669,3.92
DuckDuckGeese,TimesNet,270,4,32,32,6,2,0.66,2516965,10.25
DuckDuckGeese,TimesNet,270,4,32,32,4,2,0.64,861669,3.92
DuckDuckGeese,TimesNet,270,4,32,32,6,1,0.62,2516965,10.25
DuckDuckGeese,TimesNet,270,4,32,32,4,1,0.62,861669,3.92
DuckDuckGeese,TimesNet,270,4,16,64,6,3,0.6,2431093,9.61
DuckDuckGeese,TimesNet,270,4,16,64,4,3,0.62,775669,3.29
DuckDuckGeese,TimesNet,270,4,16,64,6,2,0.6,2431093,9.61
DuckDuckGeese,TimesNet,270,4,16,64,4,2,0.58,775669,3.29
DuckDuckGeese,TimesNet,270,4,16,64,6,1,0.56,2431093,9.61
DuckDuckGeese,TimesNet,270,4,16,64,4,1,0.58,775669,3.29
DuckDuckGeese,TimesNet,270,4,16,32,6,3,0.6,1258869,5.14
DuckDuckGeese,TimesNet,270,4,16,32,4,3,0.54,431093,1.97
DuckDuckGeese,TimesNet,270,4,16,32,6,2,0.62,1258869,5.14
DuckDuckGeese,TimesNet,270,4,16,32,4,2,0.52,431093,1.97
DuckDuckGeese,TimesNet,270,4,16,32,6,1,0.62,1258869,5.14
DuckDuckGeese,TimesNet,270,4,16,32,4,1,0.52,431093,1.97
DuckDuckGeese,TimesNet,270,4,16,16,6,3,0.54,672757,2.91
DuckDuckGeese,TimesNet,270,4,16,16,4,3,0.58,258805,1.32
DuckDuckGeese,TimesNet,270,4,16,16,6,2,0.58,672757,2.91
DuckDuckGeese,TimesNet,270,4,16,16,4,2,0.6,258805,1.32
DuckDuckGeese,TimesNet,270,4,16,16,6,1,0.58,672757,2.91
DuckDuckGeese,TimesNet,270,4,16,16,4,1,0.6,258805,1.32
DuckDuckGeese,TimesNet,270,4,8,64,6,3,0.58,1216317,4.83
DuckDuckGeese,TimesNet,270,4,8,64,4,3,0.44,388349,1.66
DuckDuckGeese,TimesNet,270,4,8,64,6,2,0.56,1216317,4.83
DuckDuckGeese,TimesNet,270,4,8,64,4,2,0.5,388349,1.66
DuckDuckGeese,TimesNet,270,4,8,64,6,1,0.56,1216317,4.83
DuckDuckGeese,TimesNet,270,4,8,64,4,1,0.54,388349,1.66
DuckDuckGeese,TimesNet,270,4,8,32,6,3,0.48,629821,2.59
DuckDuckGeese,TimesNet,270,4,8,32,4,3,0.5,215805,1.0
DuckDuckGeese,TimesNet,270,4,8,32,6,2,0.5,629821,2.59
DuckDuckGeese,TimesNet,270,4,8,32,4,2,0.48,215805,1.0
DuckDuckGeese,TimesNet,270,4,8,32,6,1,0.54,629821,2.59
DuckDuckGeese,TimesNet,270,4,8,32,4,1,0.5,215805,1.0
DuckDuckGeese,TimesNet,270,4,8,16,6,3,0.5,336573,1.47
DuckDuckGeese,TimesNet,270,4,8,16,4,3,0.54,129533,0.67
DuckDuckGeese,TimesNet,270,4,8,16,6,2,0.54,336573,1.47
DuckDuckGeese,TimesNet,270,4,8,16,4,2,0.58,129533,0.67
DuckDuckGeese,TimesNet,270,4,8,16,6,1,0.54,336573,1.47
DuckDuckGeese,TimesNet,270,4,8,16,4,1,0.58,129533,0.67
DuckDuckGeese,TimesNet,270,3,128,256,6,3,0.58,56926853,219.63
DuckDuckGeese,TimesNet,270,3,128,256,4,3,0.6,17209733,68.11
DuckDuckGeese,TimesNet,270,3,128,256,6,2,0.6,56926853,219.63
DuckDuckGeese,TimesNet,270,3,128,256,4,2,0.56,17209733,68.11
DuckDuckGeese,TimesNet,270,3,128,256,6,1,0.6,56926853,219.63
DuckDuckGeese,TimesNet,270,3,128,256,4,1,0.58,17209733,68.11
DuckDuckGeese,TimesNet,270,3,128,128,6,3,0.52,28809605,112.37
DuckDuckGeese,TimesNet,270,3,128,128,4,3,0.6,8950661,36.61
DuckDuckGeese,TimesNet,270,3,128,128,6,2,0.54,28809605,112.37
DuckDuckGeese,TimesNet,270,3,128,128,4,2,0.58,8950661,36.61
DuckDuckGeese,TimesNet,270,3,128,128,6,1,0.54,28809605,112.37
DuckDuckGeese,TimesNet,270,3,128,128,4,1,0.58,8950661,36.61
DuckDuckGeese,TimesNet,270,3,64,256,6,3,0.62,28465733,109.84
DuckDuckGeese,TimesNet,270,3,64,256,4,3,0.6,8606405,34.07
DuckDuckGeese,TimesNet,270,3,64,256,6,2,0.6,28465733,109.84
DuckDuckGeese,TimesNet,270,3,64,256,4,2,0.58,8606405,34.07
DuckDuckGeese,TimesNet,270,3,64,256,6,1,0.62,28465733,109.84
DuckDuckGeese,TimesNet,270,3,64,256,4,1,0.6,8606405,34.07
DuckDuckGeese,TimesNet,270,3,64,128,6,3,0.56,14405957,56.2
DuckDuckGeese,TimesNet,270,3,64,128,4,3,0.6,4476101,18.32
DuckDuckGeese,TimesNet,270,3,64,128,6,2,0.64,14405957,56.2
DuckDuckGeese,TimesNet,270,3,64,128,4,2,0.6,4476101,18.32
DuckDuckGeese,TimesNet,270,3,64,128,6,1,0.56,14405957,56.2
DuckDuckGeese,TimesNet,270,3,64,128,4,1,0.6,4476101,18.32
DuckDuckGeese,TimesNet,270,3,64,64,6,3,0.64,7376069,29.39
DuckDuckGeese,TimesNet,270,3,64,64,4,3,0.58,2410949,10.44
DuckDuckGeese,TimesNet,270,3,64,64,6,2,0.6,7376069,29.39
DuckDuckGeese,TimesNet,270,3,64,64,4,2,0.62,2410949,10.44
DuckDuckGeese,TimesNet,270,3,64,64,6,1,0.6,7376069,29.39
DuckDuckGeese,TimesNet,270,3,64,64,4,1,0.58,2410949,10.44
DuckDuckGeese,TimesNet,270,3,32,128,6,3,0.6,7204133,28.12
DuckDuckGeese,TimesNet,270,3,32,128,4,3,0.64,2238821,9.17
DuckDuckGeese,TimesNet,270,3,32,128,6,2,0.64,7204133,28.12
DuckDuckGeese,TimesNet,270,3,32,128,4,2,0.62,2238821,9.17
DuckDuckGeese,TimesNet,270,3,32,128,6,1,0.64,7204133,28.12
DuckDuckGeese,TimesNet,270,3,32,128,4,1,0.66,2238821,9.17
DuckDuckGeese,TimesNet,270,3,32,64,6,3,0.62,3688613,14.71
DuckDuckGeese,TimesNet,270,3,32,64,4,3,0.6,1205861,5.23
DuckDuckGeese,TimesNet,270,3,32,64,6,2,0.66,3688613,14.71
DuckDuckGeese,TimesNet,270,3,32,64,4,2,0.66,1205861,5.23
DuckDuckGeese,TimesNet,270,3,32,64,6,1,0.64,3688613,14.71
DuckDuckGeese,TimesNet,270,3,32,64,4,1,0.62,1205861,5.23
DuckDuckGeese,TimesNet,270,3,32,32,6,3,0.58,1930853,8.0
DuckDuckGeese,TimesNet,270,3,32,32,4,3,0.58,689381,3.26
DuckDuckGeese,TimesNet,270,3,32,32,6,2,0.58,1930853,8.0
DuckDuckGeese,TimesNet,270,3,32,32,4,2,0.58,689381,3.26
DuckDuckGeese,TimesNet,270,3,32,32,6,1,0.58,1930853,8.0
DuckDuckGeese,TimesNet,270,3,32,32,4,1,0.6,689381,3.26
DuckDuckGeese,TimesNet,270,3,16,64,6,3,0.46,1844885,7.37
DuckDuckGeese,TimesNet,270,3,16,64,4,3,0.56,603317,2.63
DuckDuckGeese,TimesNet,270,3,16,64,6,2,0.46,1844885,7.37
DuckDuckGeese,TimesNet,270,3,16,64,4,2,0.56,603317,2.63
DuckDuckGeese,TimesNet,270,3,16,64,6,1,0.48,1844885,7.37
DuckDuckGeese,TimesNet,270,3,16,64,4,1,0.58,603317,2.63
DuckDuckGeese,TimesNet,270,3,16,32,6,3,0.56,965717,4.02
DuckDuckGeese,TimesNet,270,3,16,32,4,3,0.62,344885,1.64
DuckDuckGeese,TimesNet,270,3,16,32,6,2,0.58,965717,4.02
DuckDuckGeese,TimesNet,270,3,16,32,4,2,0.62,344885,1.64
DuckDuckGeese,TimesNet,270,3,16,32,6,1,0.54,965717,4.02
DuckDuckGeese,TimesNet,270,3,16,32,4,1,0.64,344885,1.64
DuckDuckGeese,TimesNet,270,3,16,16,6,3,0.56,526133,2.34
DuckDuckGeese,TimesNet,270,3,16,16,4,3,0.6,215669,1.15
DuckDuckGeese,TimesNet,270,3,16,16,6,2,0.56,526133,2.34
DuckDuckGeese,TimesNet,270,3,16,16,4,2,0.6,215669,1.15
DuckDuckGeese,TimesNet,270,3,16,16,6,1,0.6,526133,2.34
DuckDuckGeese,TimesNet,270,3,16,16,4,1,0.66,215669,1.15
DuckDuckGeese,TimesNet,270,3,8,64,6,3,0.46,923021,3.7
DuckDuckGeese,TimesNet,270,3,8,64,4,3,0.46,302045,1.32
DuckDuckGeese,TimesNet,270,3,8,64,6,2,0.56,923021,3.7
DuckDuckGeese,TimesNet,270,3,8,64,4,2,0.48,302045,1.32
DuckDuckGeese,TimesNet,270,3,8,64,6,1,0.56,923021,3.7
DuckDuckGeese,TimesNet,270,3,8,64,4,1,0.52,302045,1.32
DuckDuckGeese,TimesNet,270,3,8,32,6,3,0.52,483149,2.02
DuckDuckGeese,TimesNet,270,3,8,32,4,3,0.52,172637,0.83
DuckDuckGeese,TimesNet,270,3,8,32,6,2,0.52,483149,2.02
