data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
ERing,TimesNet,65,4,128,256,6,3,0.9259259259259259,75034630,288.71
ERing,TimesNet,65,4,128,256,4,3,0.9296296296296296,22078470,86.69
ERing,TimesNet,65,4,128,256,6,2,0.9259259259259259,75034630,288.71
ERing,TimesNet,65,4,128,256,4,2,0.9296296296296296,22078470,86.69
ERing,TimesNet,65,4,128,256,6,1,0.9222222222222223,75034630,288.71
ERing,TimesNet,65,4,128,256,4,1,0.9333333333333333,22078470,86.69
ERing,TimesNet,65,4,128,128,6,3,0.9407407407407408,37544966,145.7
ERing,TimesNet,65,4,128,128,4,3,0.9259259259259259,11066374,44.68
ERing,TimesNet,65,4,128,128,6,2,0.9407407407407408,37544966,145.7
ERing,TimesNet,65,4,128,128,4,2,0.9259259259259259,11066374,44.68
ERing,TimesNet,65,4,128,128,6,1,0.9407407407407408,37544966,145.7
ERing,TimesNet,65,4,128,128,4,1,0.9259259259259259,11066374,44.68
ERing,TimesNet,65,4,64,256,6,3,0.9296296296296296,37520390,144.39
ERing,TimesNet,65,4,64,256,4,3,0.9296296296296296,11041286,43.37
ERing,TimesNet,65,4,64,256,6,2,0.9259259259259259,37520390,144.39
ERing,TimesNet,65,4,64,256,4,2,0.9296296296296296,11041286,43.37
ERing,TimesNet,65,4,64,256,6,1,0.9259259259259259,37520390,144.39
ERing,TimesNet,65,4,64,256,4,1,0.9296296296296296,11041286,43.37
ERing,TimesNet,65,4,64,128,6,3,0.9148148148148149,18774022,72.87
ERing,TimesNet,65,4,64,128,4,3,0.9555555555555556,5534214,22.36
ERing,TimesNet,65,4,64,128,6,2,0.9148148148148149,18774022,72.87
ERing,TimesNet,65,4,64,128,4,2,0.9555555555555556,5534214,22.36
ERing,TimesNet,65,4,64,128,6,1,0.9185185185185185,18774022,72.87
ERing,TimesNet,65,4,64,128,4,1,0.9481481481481482,5534214,22.36
ERing,TimesNet,65,4,64,64,6,3,0.9259259259259259,9400838,37.12
ERing,TimesNet,65,4,64,64,4,3,0.9185185185185185,2780678,11.85
ERing,TimesNet,65,4,64,64,6,2,0.9259259259259259,9400838,37.12
ERing,TimesNet,65,4,64,64,4,2,0.9185185185185185,2780678,11.85
ERing,TimesNet,65,4,64,64,6,1,0.9333333333333333,9400838,37.12
ERing,TimesNet,65,4,64,64,4,1,0.9148148148148149,2780678,11.85
ERing,TimesNet,65,4,32,128,6,3,0.9074074074074074,9388550,36.46
ERing,TimesNet,65,4,32,128,4,3,0.9222222222222223,2768134,11.2
ERing,TimesNet,65,4,32,128,6,2,0.9074074074074074,9388550,36.46
ERing,TimesNet,65,4,32,128,4,2,0.9222222222222223,2768134,11.2
ERing,TimesNet,65,4,32,128,6,1,0.9148148148148149,9388550,36.46
ERing,TimesNet,65,4,32,128,4,1,0.9259259259259259,2768134,11.2
ERing,TimesNet,65,4,32,64,6,3,0.9333333333333333,4701190,18.58
ERing,TimesNet,65,4,32,64,4,3,0.9259259259259259,1390854,5.94
ERing,TimesNet,65,4,32,64,6,2,0.9333333333333333,4701190,18.58
ERing,TimesNet,65,4,32,64,4,2,0.9259259259259259,1390854,5.94
ERing,TimesNet,65,4,32,64,6,1,0.937037037037037,4701190,18.58
ERing,TimesNet,65,4,32,64,4,1,0.9333333333333333,1390854,5.94
ERing,TimesNet,65,4,32,32,6,3,0.9296296296296296,2357510,9.64
ERing,TimesNet,65,4,32,32,4,3,0.9148148148148149,702214,3.31
ERing,TimesNet,65,4,32,32,6,2,0.9296296296296296,2357510,9.64
ERing,TimesNet,65,4,32,32,4,2,0.9148148148148149,702214,3.31
ERing,TimesNet,65,4,32,32,6,1,0.9333333333333333,2357510,9.64
ERing,TimesNet,65,4,32,32,4,1,0.9148148148148149,702214,3.31
ERing,TimesNet,65,4,16,64,6,3,0.8703703703703703,2351366,9.31
ERing,TimesNet,65,4,16,64,4,3,0.9,695942,2.99
ERing,TimesNet,65,4,16,64,6,2,0.8666666666666667,2351366,9.31
ERing,TimesNet,65,4,16,64,4,2,0.9,695942,2.99
ERing,TimesNet,65,4,16,64,6,1,0.8814814814814815,2351366,9.31
ERing,TimesNet,65,4,16,64,4,1,0.9,695942,2.99
ERing,TimesNet,65,4,16,32,6,3,0.8148148148148148,1179142,4.84
ERing,TimesNet,65,4,16,32,4,3,0.8740740740740741,351366,1.67
ERing,TimesNet,65,4,16,32,6,2,0.8148148148148148,1179142,4.84
