data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
EigenWorms,TimesNet,17984,4,128,256,6,3,0.5038167938931297,86495237,338.77
EigenWorms,TimesNet,17984,4,128,256,4,3,0.5267175572519084,33539077,136.75
EigenWorms,TimesNet,17984,4,128,256,6,2,0.5038167938931297,86495237,338.77
EigenWorms,TimesNet,17984,4,128,256,4,2,0.549618320610687,33539077,136.75
EigenWorms,TimesNet,17984,4,128,256,6,1,0.5267175572519084,86495237,338.77
EigenWorms,TimesNet,17984,4,128,256,4,1,0.5877862595419847,33539077,136.75
EigenWorms,TimesNet,17984,4,128,128,6,3,0.5648854961832062,49005573,195.76
EigenWorms,TimesNet,17984,4,128,128,4,3,0.5648854961832062,22526981,94.74
EigenWorms,TimesNet,17984,4,128,128,6,2,0.5114503816793893,49005573,195.76
EigenWorms,TimesNet,17984,4,128,128,4,2,0.5648854961832062,22526981,94.74
EigenWorms,TimesNet,17984,4,128,128,6,1,0.5801526717557252,49005573,195.76
EigenWorms,TimesNet,17984,4,128,128,4,1,0.5343511450381679,22526981,94.74
EigenWorms,TimesNet,17984,4,64,256,6,3,0.5648854961832062,43250693,169.41
EigenWorms,TimesNet,17984,4,64,256,4,3,0.5725190839694656,16771589,68.39
EigenWorms,TimesNet,17984,4,64,256,6,2,0.549618320610687,43250693,169.41
EigenWorms,TimesNet,17984,4,64,256,4,2,0.5419847328244275,16771589,68.39
EigenWorms,TimesNet,17984,4,64,256,6,1,0.5877862595419847,43250693,169.41
EigenWorms,TimesNet,17984,4,64,256,4,1,0.549618320610687,16771589,68.39
EigenWorms,TimesNet,17984,4,64,128,6,3,0.5267175572519084,24504325,97.9
EigenWorms,TimesNet,17984,4,64,128,4,3,0.5343511450381679,11264517,47.39
EigenWorms,TimesNet,17984,4,64,128,6,2,0.549618320610687,24504325,97.9
EigenWorms,TimesNet,17984,4,64,128,4,2,0.5801526717557252,11264517,47.39
EigenWorms,TimesNet,17984,4,64,128,6,1,0.5877862595419847,24504325,97.9
EigenWorms,TimesNet,17984,4,64,128,4,1,0.5419847328244275,11264517,47.39
EigenWorms,TimesNet,17984,4,64,64,6,3,0.5877862595419847,15131141,62.15
EigenWorms,TimesNet,17984,4,64,64,4,3,0.5725190839694656,8510981,36.88
EigenWorms,TimesNet,17984,4,64,64,6,2,0.6106870229007634,15131141,62.15
EigenWorms,TimesNet,17984,4,64,64,4,2,0.6030534351145038,8510981,36.88
EigenWorms,TimesNet,17984,4,64,64,6,1,0.5801526717557252,15131141,62.15
EigenWorms,TimesNet,17984,4,64,64,4,1,0.6030534351145038,8510981,36.88
EigenWorms,TimesNet,17984,4,32,128,6,3,0.5343511450381679,12253701,48.98
EigenWorms,TimesNet,17984,4,32,128,4,3,0.5877862595419847,5633285,23.71
EigenWorms,TimesNet,17984,4,32,128,6,2,0.5419847328244275,12253701,48.98
EigenWorms,TimesNet,17984,4,32,128,4,2,0.5419847328244275,5633285,23.71
EigenWorms,TimesNet,17984,4,32,128,6,1,0.5648854961832062,12253701,48.98
EigenWorms,TimesNet,17984,4,32,128,4,1,0.5725190839694656,5633285,23.71
EigenWorms,TimesNet,17984,4,32,64,6,3,0.5877862595419847,7566341,31.09
EigenWorms,TimesNet,17984,4,32,64,4,3,0.5572519083969466,4256005,18.46
EigenWorms,TimesNet,17984,4,32,64,6,2,0.5725190839694656,7566341,31.09
EigenWorms,TimesNet,17984,4,32,64,4,2,0.5648854961832062,4256005,18.46
EigenWorms,TimesNet,17984,4,32,64,6,1,0.5877862595419847,7566341,31.09
EigenWorms,TimesNet,17984,4,32,64,4,1,0.5725190839694656,4256005,18.46
EigenWorms,TimesNet,17984,4,32,32,6,3,0.6030534351145038,5222661,22.15
EigenWorms,TimesNet,17984,4,32,32,4,3,0.5648854961832062,3567365,15.83
EigenWorms,TimesNet,17984,4,32,32,6,2,0.5954198473282443,5222661,22.15
EigenWorms,TimesNet,17984,4,32,32,4,2,0.5954198473282443,3567365,15.83
EigenWorms,TimesNet,17984,4,32,32,6,1,0.5877862595419847,5222661,22.15
EigenWorms,TimesNet,17984,4,32,32,4,1,0.5877862595419847,3567365,15.83
EigenWorms,TimesNet,17984,4,16,64,6,3,0.5343511450381679,3783941,15.57
EigenWorms,TimesNet,17984,4,16,64,4,3,0.5725190839694656,2128517,9.24
EigenWorms,TimesNet,17984,4,16,64,6,2,0.5725190839694656,3783941,15.57
EigenWorms,TimesNet,17984,4,16,64,4,2,0.5572519083969466,2128517,9.24
EigenWorms,TimesNet,17984,4,16,64,6,1,0.5419847328244275,3783941,15.57
EigenWorms,TimesNet,17984,4,16,64,4,1,0.5801526717557252,2128517,9.24
EigenWorms,TimesNet,17984,4,16,32,6,3,0.5648854961832062,2611717,11.1
EigenWorms,TimesNet,17984,4,16,32,4,3,0.6106870229007634,1783941,7.93
EigenWorms,TimesNet,17984,4,16,32,6,2,0.5801526717557252,2611717,11.1
EigenWorms,TimesNet,17984,4,16,32,4,2,0.6106870229007634,1783941,7.93
EigenWorms,TimesNet,17984,4,16,32,6,1,0.5725190839694656,2611717,11.1
EigenWorms,TimesNet,17984,4,16,32,4,1,0.5648854961832062,1783941,7.93
EigenWorms,TimesNet,17984,4,16,16,6,3,0.5419847328244275,2025605,8.86
EigenWorms,TimesNet,17984,4,16,16,4,3,0.5648854961832062,1611653,7.27
EigenWorms,TimesNet,17984,4,16,16,6,2,0.5343511450381679,2025605,8.86
EigenWorms,TimesNet,17984,4,16,16,4,2,0.5801526717557252,1611653,7.27
EigenWorms,TimesNet,17984,4,16,16,6,1,0.5725190839694656,2025605,8.86
EigenWorms,TimesNet,17984,4,16,16,4,1,0.5954198473282443,1611653,7.27
EigenWorms,TimesNet,17984,4,8,64,6,3,0.5572519083969466,1892741,7.8
EigenWorms,TimesNet,17984,4,8,64,4,3,0.5190839694656488,1064773,4.64
EigenWorms,TimesNet,17984,4,8,64,6,2,0.5419847328244275,1892741,7.8
EigenWorms,TimesNet,17984,4,8,64,4,2,0.5267175572519084,1064773,4.64
EigenWorms,TimesNet,17984,4,8,64,6,1,0.5648854961832062,1892741,7.8
EigenWorms,TimesNet,17984,4,8,64,4,1,0.5190839694656488,1064773,4.64
EigenWorms,TimesNet,17984,4,8,32,6,3,0.5267175572519084,1306245,5.57
EigenWorms,TimesNet,17984,4,8,32,4,3,0.5267175572519084,892229,3.98
EigenWorms,TimesNet,17984,4,8,32,6,2,0.5572519083969466,1306245,5.57
EigenWorms,TimesNet,17984,4,8,32,4,2,0.5877862595419847,892229,3.98
EigenWorms,TimesNet,17984,4,8,32,6,1,0.5419847328244275,1306245,5.57
EigenWorms,TimesNet,17984,4,8,32,4,1,0.549618320610687,892229,3.98
EigenWorms,TimesNet,17984,4,8,16,6,3,0.5343511450381679,1012997,4.45
EigenWorms,TimesNet,17984,4,8,16,4,3,0.5267175572519084,805957,3.65
EigenWorms,TimesNet,17984,4,8,16,6,2,0.5954198473282443,1012997,4.45
EigenWorms,TimesNet,17984,4,8,16,4,2,0.5572519083969466,805957,3.65
EigenWorms,TimesNet,17984,4,8,16,6,1,0.5267175572519084,1012997,4.45
EigenWorms,TimesNet,17984,4,8,16,4,1,0.5419847328244275,805957,3.65
EigenWorms,TimesNet,17984,3,128,256,6,3,0.5267175572519084,67749637,267.25
EigenWorms,TimesNet,17984,3,128,256,4,3,0.5038167938931297,28032517,115.74
EigenWorms,TimesNet,17984,3,128,256,6,2,0.5419847328244275,67749637,267.25
EigenWorms,TimesNet,17984,3,128,256,4,2,0.5648854961832062,28032517,115.74
EigenWorms,TimesNet,17984,3,128,256,6,1,0.5419847328244275,67749637,267.25
EigenWorms,TimesNet,17984,3,128,256,4,1,0.5343511450381679,28032517,115.74
EigenWorms,TimesNet,17984,3,128,128,6,3,0.5190839694656488,39632389,159.99
EigenWorms,TimesNet,17984,3,128,128,4,3,0.5954198473282443,19773445,84.23
EigenWorms,TimesNet,17984,3,128,128,6,2,0.6183206106870229,39632389,159.99
EigenWorms,TimesNet,17984,3,128,128,4,2,0.5419847328244275,19773445,84.23
EigenWorms,TimesNet,17984,3,128,128,6,1,0.5801526717557252,39632389,159.99
EigenWorms,TimesNet,17984,3,128,128,4,1,0.5801526717557252,19773445,84.23
EigenWorms,TimesNet,17984,3,64,256,6,3,0.5877862595419847,33877125,133.65
EigenWorms,TimesNet,17984,3,64,256,4,3,0.5725190839694656,14017797,57.88
EigenWorms,TimesNet,17984,3,64,256,6,2,0.5877862595419847,33877125,133.65
EigenWorms,TimesNet,17984,3,64,256,4,2,0.5572519083969466,14017797,57.88
EigenWorms,TimesNet,17984,3,64,256,6,1,0.5343511450381679,33877125,133.65
EigenWorms,TimesNet,17984,3,64,256,4,1,0.6335877862595419,14017797,57.88
EigenWorms,TimesNet,17984,3,64,128,6,3,0.5954198473282443,19817349,80.02
EigenWorms,TimesNet,17984,3,64,128,4,3,0.4961832061068702,9887493,42.13
EigenWorms,TimesNet,17984,3,64,128,6,2,0.5343511450381679,19817349,80.02
EigenWorms,TimesNet,17984,3,64,128,4,2,0.5572519083969466,9887493,42.13
EigenWorms,TimesNet,17984,3,64,128,6,1,0.5954198473282443,19817349,80.02
EigenWorms,TimesNet,17984,3,64,128,4,1,0.5572519083969466,9887493,42.13
EigenWorms,TimesNet,17984,3,64,64,6,3,0.5648854961832062,12787461,53.2
EigenWorms,TimesNet,17984,3,64,64,4,3,0.5267175572519084,7822341,34.25
EigenWorms,TimesNet,17984,3,64,64,6,2,0.5801526717557252,12787461,53.2
EigenWorms,TimesNet,17984,3,64,64,4,2,0.5801526717557252,7822341,34.25
EigenWorms,TimesNet,17984,3,64,64,6,1,0.6030534351145038,12787461,53.2
EigenWorms,TimesNet,17984,3,64,64,4,1,0.5725190839694656,7822341,34.25
EigenWorms,TimesNet,17984,3,32,128,6,3,0.5419847328244275,9909829,40.03
EigenWorms,TimesNet,17984,3,32,128,4,3,0.5648854961832062,4944517,21.08
EigenWorms,TimesNet,17984,3,32,128,6,2,0.6030534351145038,9909829,40.03
EigenWorms,TimesNet,17984,3,32,128,4,2,0.5725190839694656,4944517,21.08
EigenWorms,TimesNet,17984,3,32,128,6,1,0.5801526717557252,9909829,40.03
EigenWorms,TimesNet,17984,3,32,128,4,1,0.5877862595419847,4944517,21.08
EigenWorms,TimesNet,17984,3,32,64,6,3,0.5954198473282443,6394309,26.62
EigenWorms,TimesNet,17984,3,32,64,4,3,0.5954198473282443,3911557,17.14
EigenWorms,TimesNet,17984,3,32,64,6,2,0.5725190839694656,6394309,26.62
EigenWorms,TimesNet,17984,3,32,64,4,2,0.5725190839694656,3911557,17.14
EigenWorms,TimesNet,17984,3,32,64,6,1,0.6030534351145038,6394309,26.62
