data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
Epilepsy,TimesNet,206,4,128,256,6,3,0.8840579710144928,75089796,288.92
Epilepsy,TimesNet,206,4,128,256,4,3,0.927536231884058,22133636,86.9
Epilepsy,TimesNet,206,4,128,256,6,2,0.8913043478260869,75089796,288.92
Epilepsy,TimesNet,206,4,128,256,4,2,0.9057971014492754,22133636,86.9
Epilepsy,TimesNet,206,4,128,256,6,1,0.8985507246376812,75089796,288.92
Epilepsy,TimesNet,206,4,128,256,4,1,0.927536231884058,22133636,86.9
Epilepsy,TimesNet,206,4,128,128,6,3,0.9057971014492754,37600132,145.91
Epilepsy,TimesNet,206,4,128,128,4,3,0.9057971014492754,11121540,44.89
Epilepsy,TimesNet,206,4,128,128,6,2,0.9130434782608695,37600132,145.91
Epilepsy,TimesNet,206,4,128,128,4,2,0.9057971014492754,11121540,44.89
Epilepsy,TimesNet,206,4,128,128,6,1,0.927536231884058,37600132,145.91
Epilepsy,TimesNet,206,4,128,128,4,1,0.9057971014492754,11121540,44.89
Epilepsy,TimesNet,206,4,64,256,6,3,0.8913043478260869,37547972,144.49
Epilepsy,TimesNet,206,4,64,256,4,3,0.9057971014492754,11068868,43.47
Epilepsy,TimesNet,206,4,64,256,6,2,0.9130434782608695,37547972,144.49
Epilepsy,TimesNet,206,4,64,256,4,2,0.9202898550724637,11068868,43.47
Epilepsy,TimesNet,206,4,64,256,6,1,0.8913043478260869,37547972,144.49
Epilepsy,TimesNet,206,4,64,256,4,1,0.9057971014492754,11068868,43.47
Epilepsy,TimesNet,206,4,64,128,6,3,0.9202898550724637,18801604,72.98
Epilepsy,TimesNet,206,4,64,128,4,3,0.9057971014492754,5561796,22.46
Epilepsy,TimesNet,206,4,64,128,6,2,0.9202898550724637,18801604,72.98
Epilepsy,TimesNet,206,4,64,128,4,2,0.9130434782608695,5561796,22.46
Epilepsy,TimesNet,206,4,64,128,6,1,0.8768115942028986,18801604,72.98
Epilepsy,TimesNet,206,4,64,128,4,1,0.9130434782608695,5561796,22.46
Epilepsy,TimesNet,206,4,64,64,6,3,0.9130434782608695,9428420,37.22
Epilepsy,TimesNet,206,4,64,64,4,3,0.927536231884058,2808260,11.96
Epilepsy,TimesNet,206,4,64,64,6,2,0.9057971014492754,9428420,37.22
Epilepsy,TimesNet,206,4,64,64,4,2,0.9202898550724637,2808260,11.96
