data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
FingerMovements,TimesNet,50,4,128,256,6,3,0.56,75006722,288.61
FingerMovements,TimesNet,50,4,128,256,4,3,0.6,22050562,86.58
FingerMovements,TimesNet,50,4,128,256,6,2,0.62,75006722,288.61
FingerMovements,TimesNet,50,4,128,256,4,2,0.61,22050562,86.58
FingerMovements,TimesNet,50,4,128,256,6,1,0.6,75006722,288.61
FingerMovements,TimesNet,50,4,128,256,4,1,0.61,22050562,86.58
FingerMovements,TimesNet,50,4,128,128,6,3,0.58,37517058,145.59
FingerMovements,TimesNet,50,4,128,128,4,3,0.6,11038466,44.58
FingerMovements,TimesNet,50,4,128,128,6,2,0.59,37517058,145.59
FingerMovements,TimesNet,50,4,128,128,4,2,0.63,11038466,44.58
FingerMovements,TimesNet,50,4,128,128,6,1,0.58,37517058,145.59
FingerMovements,TimesNet,50,4,128,128,4,1,0.62,11038466,44.58
FingerMovements,TimesNet,50,4,64,256,6,3,0.57,37506434,144.33
FingerMovements,TimesNet,50,4,64,256,4,3,0.58,11027330,43.31
FingerMovements,TimesNet,50,4,64,256,6,2,0.55,37506434,144.33
FingerMovements,TimesNet,50,4,64,256,4,2,0.57,11027330,43.31
FingerMovements,TimesNet,50,4,64,256,6,1,0.58,37506434,144.33
FingerMovements,TimesNet,50,4,64,256,4,1,0.61,11027330,43.31
FingerMovements,TimesNet,50,4,64,128,6,3,0.54,18760066,72.82
FingerMovements,TimesNet,50,4,64,128,4,3,0.6,5520258,22.3
FingerMovements,TimesNet,50,4,64,128,6,2,0.57,18760066,72.82
FingerMovements,TimesNet,50,4,64,128,4,2,0.61,5520258,22.3
FingerMovements,TimesNet,50,4,64,128,6,1,0.58,18760066,72.82
FingerMovements,TimesNet,50,4,64,128,4,1,0.59,5520258,22.3
FingerMovements,TimesNet,50,4,64,64,6,3,0.56,9386882,37.06
FingerMovements,TimesNet,50,4,64,64,4,3,0.54,2766722,11.8
FingerMovements,TimesNet,50,4,64,64,6,2,0.57,9386882,37.06
FingerMovements,TimesNet,50,4,64,64,4,2,0.56,2766722,11.8
FingerMovements,TimesNet,50,4,64,64,6,1,0.56,9386882,37.06
FingerMovements,TimesNet,50,4,64,64,4,1,0.57,2766722,11.8
FingerMovements,TimesNet,50,4,32,128,6,3,0.57,9381570,36.43
FingerMovements,TimesNet,50,4,32,128,4,3,0.58,2761154,11.17
FingerMovements,TimesNet,50,4,32,128,6,2,0.54,9381570,36.43
FingerMovements,TimesNet,50,4,32,128,4,2,0.59,2761154,11.17
FingerMovements,TimesNet,50,4,32,128,6,1,0.61,9381570,36.43
FingerMovements,TimesNet,50,4,32,128,4,1,0.61,2761154,11.17
FingerMovements,TimesNet,50,4,32,64,6,3,0.58,4694210,18.55
FingerMovements,TimesNet,50,4,32,64,4,3,0.57,1383874,5.91
FingerMovements,TimesNet,50,4,32,64,6,2,0.58,4694210,18.55
FingerMovements,TimesNet,50,4,32,64,4,2,0.6,1383874,5.91
FingerMovements,TimesNet,50,4,32,64,6,1,0.58,4694210,18.55
FingerMovements,TimesNet,50,4,32,64,4,1,0.6,1383874,5.91
FingerMovements,TimesNet,50,4,32,32,6,3,0.56,2350530,9.61
FingerMovements,TimesNet,50,4,32,32,4,3,0.6,695234,3.29
FingerMovements,TimesNet,50,4,32,32,6,2,0.57,2350530,9.61
FingerMovements,TimesNet,50,4,32,32,4,2,0.59,695234,3.29
FingerMovements,TimesNet,50,4,32,32,6,1,0.58,2350530,9.61
