data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
HandMovementDirection,TimesNet,400,4,128,256,6,3,0.6351351351351351,75191812,289.31
HandMovementDirection,TimesNet,400,4,128,256,4,3,0.6756756756756757,22235652,87.29
HandMovementDirection,TimesNet,400,4,128,256,6,2,0.5945945945945946,75191812,289.31
HandMovementDirection,TimesNet,400,4,128,256,4,2,0.6621621621621622,22235652,87.29
HandMovementDirection,TimesNet,400,4,128,256,6,1,0.6621621621621622,75191812,289.31
HandMovementDirection,TimesNet,400,4,128,256,4,1,0.6756756756756757,22235652,87.29
HandMovementDirection,TimesNet,400,4,128,128,6,3,0.6486486486486487,37702148,146.3
HandMovementDirection,TimesNet,400,4,128,128,4,3,0.6351351351351351,11223556,45.28
HandMovementDirection,TimesNet,400,4,128,128,6,2,0.6216216216216216,37702148,146.3
HandMovementDirection,TimesNet,400,4,128,128,4,2,0.581081081081081,11223556,45.28
HandMovementDirection,TimesNet,400,4,128,128,6,1,0.6621621621621622,37702148,146.3
HandMovementDirection,TimesNet,400,4,128,128,4,1,0.6216216216216216,11223556,45.28
HandMovementDirection,TimesNet,400,4,64,256,6,3,0.6756756756756757,37598980,144.69
HandMovementDirection,TimesNet,400,4,64,256,4,3,0.6351351351351351,11119876,43.66
HandMovementDirection,TimesNet,400,4,64,256,6,2,0.6621621621621622,37598980,144.69
HandMovementDirection,TimesNet,400,4,64,256,4,2,0.6351351351351351,11119876,43.66
HandMovementDirection,TimesNet,400,4,64,256,6,1,0.6621621621621622,37598980,144.69
HandMovementDirection,TimesNet,400,4,64,256,4,1,0.6891891891891891,11119876,43.66
HandMovementDirection,TimesNet,400,4,64,128,6,3,0.6486486486486487,18852612,73.17
HandMovementDirection,TimesNet,400,4,64,128,4,3,0.6216216216216216,5612804,22.66
HandMovementDirection,TimesNet,400,4,64,128,6,2,0.6891891891891891,18852612,73.17
HandMovementDirection,TimesNet,400,4,64,128,4,2,0.6621621621621622,5612804,22.66
HandMovementDirection,TimesNet,400,4,64,128,6,1,0.6621621621621622,18852612,73.17
HandMovementDirection,TimesNet,400,4,64,128,4,1,0.6756756756756757,5612804,22.66
HandMovementDirection,TimesNet,400,4,64,64,6,3,0.6351351351351351,9479428,37.42
HandMovementDirection,TimesNet,400,4,64,64,4,3,0.6216216216216216,2859268,12.15
HandMovementDirection,TimesNet,400,4,64,64,6,2,0.5945945945945946,9479428,37.42
HandMovementDirection,TimesNet,400,4,64,64,4,2,0.6621621621621622,2859268,12.15
HandMovementDirection,TimesNet,400,4,64,64,6,1,0.6216216216216216,9479428,37.42
HandMovementDirection,TimesNet,400,4,64,64,4,1,0.6621621621621622,2859268,12.15
HandMovementDirection,TimesNet,400,4,32,128,6,3,0.5135135135135135,9427844,36.61
HandMovementDirection,TimesNet,400,4,32,128,4,3,0.5945945945945946,2807428,11.35
HandMovementDirection,TimesNet,400,4,32,128,6,2,0.5945945945945946,9427844,36.61
HandMovementDirection,TimesNet,400,4,32,128,4,2,0.6486486486486487,2807428,11.35
HandMovementDirection,TimesNet,400,4,32,128,6,1,0.6756756756756757,9427844,36.61
HandMovementDirection,TimesNet,400,4,32,128,4,1,0.6486486486486487,2807428,11.35
HandMovementDirection,TimesNet,400,4,32,64,6,3,0.6216216216216216,4740484,18.73
HandMovementDirection,TimesNet,400,4,32,64,4,3,0.6216216216216216,1430148,6.09
HandMovementDirection,TimesNet,400,4,32,64,6,2,0.6351351351351351,4740484,18.73
HandMovementDirection,TimesNet,400,4,32,64,4,2,0.6486486486486487,1430148,6.09
HandMovementDirection,TimesNet,400,4,32,64,6,1,0.6486486486486487,4740484,18.73
