data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
Heartbeat,TimesNet,405,4,128,256,6,3,0.775609756097561,75110274,289.0
Heartbeat,TimesNet,405,4,128,256,4,3,0.7463414634146341,22154114,86.98
Heartbeat,TimesNet,405,4,128,256,6,2,0.7707317073170732,75110274,289.0
Heartbeat,TimesNet,405,4,128,256,4,2,0.7560975609756098,22154114,86.98
Heartbeat,TimesNet,405,4,128,256,6,1,0.7658536585365854,75110274,289.0
Heartbeat,TimesNet,405,4,128,256,4,1,0.7463414634146341,22154114,86.98
Heartbeat,TimesNet,405,4,128,128,6,3,0.7853658536585366,37620610,145.99
Heartbeat,TimesNet,405,4,128,128,4,3,0.7804878048780488,11142018,44.97
Heartbeat,TimesNet,405,4,128,128,6,2,0.7804878048780488,37620610,145.99
Heartbeat,TimesNet,405,4,128,128,4,2,0.775609756097561,11142018,44.97
Heartbeat,TimesNet,405,4,128,128,6,1,0.775609756097561,37620610,145.99
Heartbeat,TimesNet,405,4,128,128,4,1,0.7707317073170732,11142018,44.97
Heartbeat,TimesNet,405,4,64,256,6,3,0.775609756097561,37558210,144.53
Heartbeat,TimesNet,405,4,64,256,4,3,0.775609756097561,11079106,43.51
Heartbeat,TimesNet,405,4,64,256,6,2,0.7804878048780488,37558210,144.53
Heartbeat,TimesNet,405,4,64,256,4,2,0.7609756097560976,11079106,43.51
Heartbeat,TimesNet,405,4,64,256,6,1,0.7707317073170732,37558210,144.53
Heartbeat,TimesNet,405,4,64,256,4,1,0.7658536585365854,11079106,43.51
Heartbeat,TimesNet,405,4,64,128,6,3,0.7658536585365854,18811842,73.02
Heartbeat,TimesNet,405,4,64,128,4,3,0.775609756097561,5572034,22.5
Heartbeat,TimesNet,405,4,64,128,6,2,0.7658536585365854,18811842,73.02
Heartbeat,TimesNet,405,4,64,128,4,2,0.7707317073170732,5572034,22.5
Heartbeat,TimesNet,405,4,64,128,6,1,0.7560975609756098,18811842,73.02
Heartbeat,TimesNet,405,4,64,128,4,1,0.7560975609756098,5572034,22.5
Heartbeat,TimesNet,405,4,64,64,6,3,0.7853658536585366,9438658,37.26
Heartbeat,TimesNet,405,4,64,64,4,3,0.7853658536585366,2818498,12.0
Heartbeat,TimesNet,405,4,64,64,6,2,0.7902439024390244,9438658,37.26
Heartbeat,TimesNet,405,4,64,64,4,2,0.7707317073170732,2818498,12.0
Heartbeat,TimesNet,405,4,64,64,6,1,0.7902439024390244,9438658,37.26
Heartbeat,TimesNet,405,4,64,64,4,1,0.7707317073170732,2818498,12.0
Heartbeat,TimesNet,405,4,32,128,6,3,0.7707317073170732,9407458,36.53
Heartbeat,TimesNet,405,4,32,128,4,3,0.775609756097561,2787042,11.27
Heartbeat,TimesNet,405,4,32,128,6,2,0.7658536585365854,9407458,36.53
Heartbeat,TimesNet,405,4,32,128,4,2,0.7707317073170732,2787042,11.27
Heartbeat,TimesNet,405,4,32,128,6,1,0.7658536585365854,9407458,36.53
Heartbeat,TimesNet,405,4,32,128,4,1,0.7609756097560976,2787042,11.27
Heartbeat,TimesNet,405,4,32,64,6,3,0.7609756097560976,4720098,18.65
Heartbeat,TimesNet,405,4,32,64,4,3,0.775609756097561,1409762,6.01
Heartbeat,TimesNet,405,4,32,64,6,2,0.7853658536585366,4720098,18.65
Heartbeat,TimesNet,405,4,32,64,4,2,0.7804878048780488,1409762,6.01
Heartbeat,TimesNet,405,4,32,64,6,1,0.775609756097561,4720098,18.65
Heartbeat,TimesNet,405,4,32,64,4,1,0.7707317073170732,1409762,6.01
Heartbeat,TimesNet,405,4,32,32,6,3,0.775609756097561,2376418,9.71
Heartbeat,TimesNet,405,4,32,32,4,3,0.7560975609756098,721122,3.39
Heartbeat,TimesNet,405,4,32,32,6,2,0.7658536585365854,2376418,9.71
Heartbeat,TimesNet,405,4,32,32,4,2,0.7707317073170732,721122,3.39
Heartbeat,TimesNet,405,4,32,32,6,1,0.751219512195122,2376418,9.71
Heartbeat,TimesNet,405,4,32,32,4,1,0.7658536585365854,721122,3.39
Heartbeat,TimesNet,405,4,16,64,6,3,0.7707317073170732,2360818,9.35
Heartbeat,TimesNet,405,4,16,64,4,3,0.7658536585365854,705394,3.02
Heartbeat,TimesNet,405,4,16,64,6,2,0.7804878048780488,2360818,9.35
Heartbeat,TimesNet,405,4,16,64,4,2,0.775609756097561,705394,3.02
Heartbeat,TimesNet,405,4,16,64,6,1,0.7902439024390244,2360818,9.35
Heartbeat,TimesNet,405,4,16,64,4,1,0.775609756097561,705394,3.02
Heartbeat,TimesNet,405,4,16,32,6,3,0.7658536585365854,1188594,4.88
Heartbeat,TimesNet,405,4,16,32,4,3,0.775609756097561,360818,1.71
Heartbeat,TimesNet,405,4,16,32,6,2,0.7902439024390244,1188594,4.88
Heartbeat,TimesNet,405,4,16,32,4,2,0.7804878048780488,360818,1.71
Heartbeat,TimesNet,405,4,16,32,6,1,0.7902439024390244,1188594,4.88
Heartbeat,TimesNet,405,4,16,32,4,1,0.7853658536585366,360818,1.71
Heartbeat,TimesNet,405,4,16,16,6,3,0.7609756097560976,602482,2.64
Heartbeat,TimesNet,405,4,16,16,4,3,0.7560975609756098,188530,1.05
Heartbeat,TimesNet,405,4,16,16,6,2,0.751219512195122,602482,2.64
Heartbeat,TimesNet,405,4,16,16,4,2,0.7707317073170732,188530,1.05
Heartbeat,TimesNet,405,4,16,16,6,1,0.751219512195122,602482,2.64
Heartbeat,TimesNet,405,4,16,16,4,1,0.7560975609756098,188530,1.05
Heartbeat,TimesNet,405,4,8,64,6,3,0.7609756097560976,1181178,4.69
Heartbeat,TimesNet,405,4,8,64,4,3,0.7609756097560976,353210,1.52
Heartbeat,TimesNet,405,4,8,64,6,2,0.7658536585365854,1181178,4.69
Heartbeat,TimesNet,405,4,8,64,4,2,0.7609756097560976,353210,1.52
Heartbeat,TimesNet,405,4,8,64,6,1,0.8048780487804879,1181178,4.69
Heartbeat,TimesNet,405,4,8,64,4,1,0.8390243902439024,353210,1.52
Heartbeat,TimesNet,405,4,8,32,6,3,0.7902439024390244,594682,2.46
Heartbeat,TimesNet,405,4,8,32,4,3,0.7463414634146341,180666,0.87
Heartbeat,TimesNet,405,4,8,32,6,2,0.7609756097560976,594682,2.46
Heartbeat,TimesNet,405,4,8,32,4,2,0.751219512195122,180666,0.87
Heartbeat,TimesNet,405,4,8,32,6,1,0.8146341463414634,594682,2.46
