data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
JapaneseVowels,TimesNet,29,4,128,256,6,3,0.9675675675675676,75021193,288.66
JapaneseVowels,TimesNet,29,4,128,256,4,3,0.972972972972973,22065033,86.64
JapaneseVowels,TimesNet,29,4,128,256,6,2,0.972972972972973,75021193,288.66
JapaneseVowels,TimesNet,29,4,128,256,4,2,0.9756756756756757,22065033,86.64
JapaneseVowels,TimesNet,29,4,128,256,6,1,0.9756756756756757,75021193,288.66
JapaneseVowels,TimesNet,29,4,128,256,4,1,0.9702702702702702,22065033,86.64
JapaneseVowels,TimesNet,29,4,128,128,6,3,0.9783783783783784,37531529,145.65
JapaneseVowels,TimesNet,29,4,128,128,4,3,0.981081081081081,11052937,44.63
JapaneseVowels,TimesNet,29,4,128,128,6,2,0.9756756756756757,37531529,145.65
JapaneseVowels,TimesNet,29,4,128,128,4,2,0.9756756756756757,11052937,44.63
JapaneseVowels,TimesNet,29,4,128,128,6,1,0.9702702702702702,37531529,145.65
JapaneseVowels,TimesNet,29,4,128,128,4,1,0.9756756756756757,11052937,44.63
JapaneseVowels,TimesNet,29,4,64,256,6,3,0.981081081081081,37513673,144.36
JapaneseVowels,TimesNet,29,4,64,256,4,3,0.9702702702702702,11034569,43.34
JapaneseVowels,TimesNet,29,4,64,256,6,2,0.9783783783783784,37513673,144.36
JapaneseVowels,TimesNet,29,4,64,256,4,2,0.9675675675675676,11034569,43.34
JapaneseVowels,TimesNet,29,4,64,256,6,1,0.9837837837837838,37513673,144.36
JapaneseVowels,TimesNet,29,4,64,256,4,1,0.981081081081081,11034569,43.34
JapaneseVowels,TimesNet,29,4,64,128,6,3,0.9648648648648649,18767305,72.85
JapaneseVowels,TimesNet,29,4,64,128,4,3,0.981081081081081,5527497,22.33
JapaneseVowels,TimesNet,29,4,64,128,6,2,0.9675675675675676,18767305,72.85
JapaneseVowels,TimesNet,29,4,64,128,4,2,0.981081081081081,5527497,22.33
JapaneseVowels,TimesNet,29,4,64,128,6,1,0.9675675675675676,18767305,72.85
JapaneseVowels,TimesNet,29,4,64,128,4,1,0.9756756756756757,5527497,22.33
JapaneseVowels,TimesNet,29,4,64,64,6,3,0.9837837837837838,9394121,37.09
JapaneseVowels,TimesNet,29,4,64,64,4,3,0.9648648648648649,2773961,11.83
JapaneseVowels,TimesNet,29,4,64,64,6,2,0.9864864864864865,9394121,37.09
JapaneseVowels,TimesNet,29,4,64,64,4,2,0.9675675675675676,2773961,11.83
JapaneseVowels,TimesNet,29,4,64,64,6,1,0.9756756756756757,9394121,37.09
JapaneseVowels,TimesNet,29,4,64,64,4,1,0.9675675675675676,2773961,11.83
JapaneseVowels,TimesNet,29,4,32,128,6,3,0.9702702702702702,9385193,36.45
JapaneseVowels,TimesNet,29,4,32,128,4,3,0.972972972972973,2764777,11.18
JapaneseVowels,TimesNet,29,4,32,128,6,2,0.9756756756756757,9385193,36.45
JapaneseVowels,TimesNet,29,4,32,128,4,2,0.972972972972973,2764777,11.18
JapaneseVowels,TimesNet,29,4,32,128,6,1,0.972972972972973,9385193,36.45
JapaneseVowels,TimesNet,29,4,32,128,4,1,0.9756756756756757,2764777,11.18
