data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
MotorImagery,TimesNet,3000,4,128,256,6,3,0.61,75775746,291.54
MotorImagery,TimesNet,3000,4,128,256,4,3,0.61,22819586,89.52
MotorImagery,TimesNet,3000,4,128,256,6,2,0.61,75775746,291.54
MotorImagery,TimesNet,3000,4,128,256,4,2,0.57,22819586,89.52
MotorImagery,TimesNet,3000,4,128,256,6,1,0.61,75775746,291.54
MotorImagery,TimesNet,3000,4,128,256,4,1,0.56,22819586,89.52
MotorImagery,TimesNet,3000,4,128,128,6,3,0.6,38286082,148.53
MotorImagery,TimesNet,3000,4,128,128,4,3,0.62,11807490,47.51
MotorImagery,TimesNet,3000,4,128,128,6,2,0.61,38286082,148.53
MotorImagery,TimesNet,3000,4,128,128,4,2,0.63,11807490,47.51
MotorImagery,TimesNet,3000,4,128,128,6,1,0.6,38286082,148.53
MotorImagery,TimesNet,3000,4,128,128,4,1,0.6,11807490,47.51
MotorImagery,TimesNet,3000,4,64,256,6,3,0.64,37890946,145.8
MotorImagery,TimesNet,3000,4,64,256,4,3,0.53,11411842,44.78
MotorImagery,TimesNet,3000,4,64,256,6,2,0.64,37890946,145.8
MotorImagery,TimesNet,3000,4,64,256,4,2,0.53,11411842,44.78
MotorImagery,TimesNet,3000,4,64,256,6,1,0.65,37890946,145.8
MotorImagery,TimesNet,3000,4,64,256,4,1,0.59,11411842,44.78
MotorImagery,TimesNet,3000,4,64,128,6,3,0.57,19144578,74.29
MotorImagery,TimesNet,3000,4,64,128,4,3,0.59,5904770,23.77
MotorImagery,TimesNet,3000,4,64,128,6,2,0.58,19144578,74.29
MotorImagery,TimesNet,3000,4,64,128,4,2,0.56,5904770,23.77
MotorImagery,TimesNet,3000,4,64,128,6,1,0.54,19144578,74.29
MotorImagery,TimesNet,3000,4,64,128,4,1,0.56,5904770,23.77
MotorImagery,TimesNet,3000,4,64,64,6,3,0.57,9771394,38.53
MotorImagery,TimesNet,3000,4,64,64,4,3,0.64,3151234,13.27
MotorImagery,TimesNet,3000,4,64,64,6,2,0.58,9771394,38.53
MotorImagery,TimesNet,3000,4,64,64,4,2,0.63,3151234,13.27
MotorImagery,TimesNet,3000,4,64,64,6,1,0.57,9771394,38.53
MotorImagery,TimesNet,3000,4,64,64,4,1,0.63,3151234,13.27
MotorImagery,TimesNet,3000,4,32,128,6,3,0.58,9573826,37.17
MotorImagery,TimesNet,3000,4,32,128,4,3,0.56,2953410,11.9
MotorImagery,TimesNet,3000,4,32,128,6,2,0.58,9573826,37.17
MotorImagery,TimesNet,3000,4,32,128,4,2,0.57,2953410,11.9
MotorImagery,TimesNet,3000,4,32,128,6,1,0.59,9573826,37.17
MotorImagery,TimesNet,3000,4,32,128,4,1,0.59,2953410,11.9
MotorImagery,TimesNet,3000,4,32,64,6,3,0.6,4886466,19.29
MotorImagery,TimesNet,3000,4,32,64,4,3,0.61,1576130,6.65
MotorImagery,TimesNet,3000,4,32,64,6,2,0.6,4886466,19.29
MotorImagery,TimesNet,3000,4,32,64,4,2,0.6,1576130,6.65
MotorImagery,TimesNet,3000,4,32,64,6,1,0.6,4886466,19.29
MotorImagery,TimesNet,3000,4,32,64,4,1,0.61,1576130,6.65
MotorImagery,TimesNet,3000,4,32,32,6,3,0.61,2542786,10.35
MotorImagery,TimesNet,3000,4,32,32,4,3,0.6,887490,4.02
MotorImagery,TimesNet,3000,4,32,32,6,2,0.62,2542786,10.35
MotorImagery,TimesNet,3000,4,32,32,4,2,0.56,887490,4.02
MotorImagery,TimesNet,3000,4,32,32,6,1,0.63,2542786,10.35
MotorImagery,TimesNet,3000,4,32,32,4,1,0.55,887490,4.02
MotorImagery,TimesNet,3000,4,16,64,6,3,0.59,2444002,9.66
MotorImagery,TimesNet,3000,4,16,64,4,3,0.59,788578,3.34
MotorImagery,TimesNet,3000,4,16,64,6,2,0.59,2444002,9.66
MotorImagery,TimesNet,3000,4,16,64,4,2,0.58,788578,3.34
MotorImagery,TimesNet,3000,4,16,64,6,1,0.57,2444002,9.66
MotorImagery,TimesNet,3000,4,16,64,4,1,0.58,788578,3.34
MotorImagery,TimesNet,3000,4,16,32,6,3,0.6,1271778,5.19
MotorImagery,TimesNet,3000,4,16,32,4,3,0.63,444002,2.02
MotorImagery,TimesNet,3000,4,16,32,6,2,0.59,1271778,5.19
MotorImagery,TimesNet,3000,4,16,32,4,2,0.63,444002,2.02
MotorImagery,TimesNet,3000,4,16,32,6,1,0.58,1271778,5.19
MotorImagery,TimesNet,3000,4,16,32,4,1,0.64,444002,2.02
MotorImagery,TimesNet,3000,4,16,16,6,3,0.59,685666,2.96
MotorImagery,TimesNet,3000,4,16,16,4,3,0.62,271714,1.37
MotorImagery,TimesNet,3000,4,16,16,6,2,0.59,685666,2.96
MotorImagery,TimesNet,3000,4,16,16,4,2,0.63,271714,1.37
MotorImagery,TimesNet,3000,4,16,16,6,1,0.61,685666,2.96
MotorImagery,TimesNet,3000,4,16,16,4,1,0.65,271714,1.37
MotorImagery,TimesNet,3000,4,8,64,6,3,0.61,1222770,4.85
MotorImagery,TimesNet,3000,4,8,64,4,3,0.61,394802,1.68
MotorImagery,TimesNet,3000,4,8,64,6,2,0.62,1222770,4.85
MotorImagery,TimesNet,3000,4,8,64,4,2,0.6,394802,1.68
MotorImagery,TimesNet,3000,4,8,64,6,1,0.62,1222770,4.85
MotorImagery,TimesNet,3000,4,8,64,4,1,0.63,394802,1.68
MotorImagery,TimesNet,3000,4,8,32,6,3,0.65,636274,2.61
MotorImagery,TimesNet,3000,4,8,32,4,3,0.58,222258,1.03
MotorImagery,TimesNet,3000,4,8,32,6,2,0.65,636274,2.61
MotorImagery,TimesNet,3000,4,8,32,4,2,0.6,222258,1.03
MotorImagery,TimesNet,3000,4,8,32,6,1,0.64,636274,2.61
MotorImagery,TimesNet,3000,4,8,32,4,1,0.62,222258,1.03
MotorImagery,TimesNet,3000,4,8,16,6,3,0.54,343026,1.5
MotorImagery,TimesNet,3000,4,8,16,4,3,0.59,135986,0.7
MotorImagery,TimesNet,3000,4,8,16,6,2,0.54,343026,1.5
MotorImagery,TimesNet,3000,4,8,16,4,2,0.59,135986,0.7
MotorImagery,TimesNet,3000,4,8,16,6,1,0.57,343026,1.5
MotorImagery,TimesNet,3000,4,8,16,4,1,0.58,135986,0.7
MotorImagery,TimesNet,3000,3,128,256,6,3,0.61,57030146,220.02
MotorImagery,TimesNet,3000,3,128,256,4,3,0.61,17313026,68.51
