data_name,model,seq_len,n_layers,d_model,inception_filters,inception_num_kernels,top_k,acc,model_params,model_size (MB)
PEMS-SF,TimesNet,144,4,128,256,6,3,0.8323699421965318,75481991,290.42
PEMS-SF,TimesNet,144,4,128,256,4,3,0.7976878612716763,22525831,88.4
PEMS-SF,TimesNet,144,4,128,256,6,2,0.8323699421965318,75481991,290.42
PEMS-SF,TimesNet,144,4,128,256,4,2,0.7976878612716763,22525831,88.4
PEMS-SF,TimesNet,144,4,128,256,6,1,0.8323699421965318,75481991,290.42
PEMS-SF,TimesNet,144,4,128,256,4,1,0.7976878612716763,22525831,88.4
PEMS-SF,TimesNet,144,4,128,128,6,3,0.8728323699421965,37992327,147.41
PEMS-SF,TimesNet,144,4,128,128,4,3,0.8265895953757225,11513735,46.39
PEMS-SF,TimesNet,144,4,128,128,6,2,0.8728323699421965,37992327,147.41
PEMS-SF,TimesNet,144,4,128,128,4,2,0.8265895953757225,11513735,46.39
PEMS-SF,TimesNet,144,4,128,128,6,1,0.8728323699421965,37992327,147.41
PEMS-SF,TimesNet,144,4,128,128,4,1,0.8265895953757225,11513735,46.39
PEMS-SF,TimesNet,144,4,64,256,6,3,0.861271676300578,37744071,145.24
PEMS-SF,TimesNet,144,4,64,256,4,3,0.8439306358381503,11264967,44.22
PEMS-SF,TimesNet,144,4,64,256,6,2,0.861271676300578,37744071,145.24
PEMS-SF,TimesNet,144,4,64,256,4,2,0.8439306358381503,11264967,44.22
PEMS-SF,TimesNet,144,4,64,256,6,1,0.861271676300578,37744071,145.24
PEMS-SF,TimesNet,144,4,64,256,4,1,0.8439306358381503,11264967,44.22
PEMS-SF,TimesNet,144,4,64,128,6,3,0.861271676300578,18997703,73.73
PEMS-SF,TimesNet,144,4,64,128,4,3,0.8208092485549133,5757895,23.21
PEMS-SF,TimesNet,144,4,64,128,6,2,0.8439306358381503,18997703,73.73
PEMS-SF,TimesNet,144,4,64,128,4,2,0.8208092485549133,5757895,23.21
PEMS-SF,TimesNet,144,4,64,128,6,1,0.8323699421965318,18997703,73.73
PEMS-SF,TimesNet,144,4,64,128,4,1,0.8208092485549133,5757895,23.21
PEMS-SF,TimesNet,144,4,64,64,6,3,0.7861271676300579,9624519,37.97
PEMS-SF,TimesNet,144,4,64,64,4,3,0.838150289017341,3004359,12.71
PEMS-SF,TimesNet,144,4,64,64,6,2,0.7861271676300579,9624519,37.97
PEMS-SF,TimesNet,144,4,64,64,4,2,0.838150289017341,3004359,12.71
PEMS-SF,TimesNet,144,4,64,64,6,1,0.7861271676300579,9624519,37.97
PEMS-SF,TimesNet,144,4,64,64,4,1,0.838150289017341,3004359,12.71
PEMS-SF,TimesNet,144,4,32,128,6,3,0.8323699421965318,9500391,36.89
PEMS-SF,TimesNet,144,4,32,128,4,3,0.8554913294797688,2879975,11.62
PEMS-SF,TimesNet,144,4,32,128,6,2,0.8265895953757225,9500391,36.89
PEMS-SF,TimesNet,144,4,32,128,4,2,0.8554913294797688,2879975,11.62
PEMS-SF,TimesNet,144,4,32,128,6,1,0.8323699421965318,9500391,36.89
PEMS-SF,TimesNet,144,4,32,128,4,1,0.8554913294797688,2879975,11.62
PEMS-SF,TimesNet,144,4,32,64,6,3,0.8323699421965318,4813031,19.01
PEMS-SF,TimesNet,144,4,32,64,4,3,0.8092485549132948,1502695,6.37
PEMS-SF,TimesNet,144,4,32,64,6,2,0.8265895953757225,4813031,19.01
